,dates,chi0494-0000,chi0494-0001,chi0494-0002,chi0494-0003,chi0494-0004,chi0494-0005,chi0494-0006,chi0494-0007,chi0494-0008,chi0494-0009,chi0494-0010,chi0494-0011,chi0494-0012,chi0494-0013,chi0494-0014,chi0494-0015,chi0494-0016,chi0494-0017,chi0494-0018,chi0494-0019,chi0494-0020,chi0494-0021,chi0494-0022,chi0494-0023,chi0494-0024,chi0494-0025,chi0494-0026,chi0494-0027,chi0494-0028,chi0494-0029,chi0494-0030,chi0494-0031,chi0494-0032,chi0494-0033,chi0494-0034,chi0494-0035,chi0494-0036,chi0494-0037,chi0494-0038,chi0494-0039,chi0494-0040,chi0494-0041,chi0494-0042,chi0494-0043,chi0494-0044,chi0494-0045,chi0494-0046,chi0494-0047,chi0494-0048,chi0494-0049,chi0494-0050,chi0494-0051,chi0494-0052,chi0494-0053,chi0494-0054,chi0494-0055,chi0494-0056,chi0494-0057,chi0494-0058,chi0494-0059,chi0494-0060,chi0494-0061,chi0494-0062,chi0494-0063,chi0494-0064,chi0494-0065,chi0494-0066,chi0494-0067,chi0494-0068,chi0494-0069,chi0494-0070,chi0494-0071,chi0494-0072,chi0494-0073,chi0494-0074,chi0494-0075,chi0494-0076,chi0494-0077,chi0494-0078,chi0494-0079,chi0494-0080,chi0494-0081,chi0494-0082
0,1985-01-25 14:06:03+00:00,176.99182140344206,168.07845669356377,174.17091945097846,180.55995826828905,197.54698256840777,206.91785114126176,207.3063922332442,211.3267883729008,194.16375336751804,213.24988884589783,217.28608019320836,203.9789188214474,201.53521567140825,219.67361897577223,223.06170218901192,,202.99380710967046,220.84096598637666,190.627605885515,185.03150080461697,201.6589624247001,235.99646123839167,229.5753037010976,236.20986226386051,219.18275150647696,212.5060501723426,212.32719333115543,225.18727824613782,204.40172115341096,,200.33360253160768,205.5804471184704,206.2813420840245,206.93046575861214,214.79722962230693,207.61009037890224,,,167.3235514476554,175.19060904065594,,179.0688468568656,188.34124385072144,186.84717154280438,200.92354397925178,215.64079981678853,219.3907832300195,215.30783954297317,199.4829134426983,189.5678921262288,187.42049625526732,175.94850619128192,177.40299710680958,193.2799694528412,212.87282006912147,202.92594913327937,205.3660003359644,193.20110862012518,191.31093346968746,190.43677839400428,184.63667846960954,174.50890218770772,175.30887074545743,184.57973613157824,181.83414348455167,187.10758149675596,175.9333734590725,187.93122058315586,189.9743819163273,170.23375839248922,167.00816239105657,170.26225296294552,174.67647721894548,204.61335197941798,200.8105126480642,182.53192986632692,176.8646972782496,181.51033701680964,193.07138484260778,210.97571865563103,187.67838170601843,171.32728811945816,
1,1986-01-12 14:03:06+00:00,164.67449572153535,179.95103840776576,192.3231625114293,185.93354020652873,185.17399713620287,173.28889740419584,195.4546441629738,231.04789879659737,204.20480046300557,200.90729173697653,221.93582492104488,212.18257325294434,187.76777705050634,204.31301511967615,219.03232280704745,138.11588726706015,187.9907928813767,197.7023603691604,195.80423692218886,213.2294033779854,223.17633222271942,201.66170905941985,205.15890363779522,208.26183340469154,224.51578897407515,219.90475134856104,216.94418331797826,216.75387912384696,205.55923560512105,187.0898723247914,180.28323721072658,198.49844615574543,215.78662176934253,235.16713211705746,225.42636119578688,204.24897807917844,159.84109402819834,136.31757133223545,149.17091231280256,178.42082633179112,,205.45062171326967,214.76006768345593,206.1370531254686,216.0476137251936,199.79427820259662,197.72961462275546,202.87514371100832,207.1069099789711,207.97171315161177,199.6158254557553,205.02467374755562,205.34215300903358,198.88254003689724,191.1087452496262,193.44393533798572,194.59326957006616,190.79090366672915,191.98768429773196,197.8735833286712,197.10385933298502,195.11070137292174,184.9303319555424,182.19318355719807,190.32098622047252,183.79476765419676,172.56213777142455,207.80040386415854,215.69926558950027,176.97072788181814,166.39091863690246,202.58949011235433,188.67350072566072,182.2058053441323,180.93839104566277,190.9680215186468,188.05113770232663,176.94708924740405,170.51332598210058,182.3270668724848,185.27888369701887,192.42650729343703,
2,1986-08-15 14:03:29+00:00,185.03422172587952,180.50702498045624,180.3373523872384,189.9524566435279,208.1056038034846,209.21368631749425,203.09677264021732,203.13288624995084,223.30391025267073,215.18426008627034,207.24341169223604,204.32153350364672,206.3970792659034,200.35241158110261,185.82231575063216,170.72959851068063,186.68703159442197,191.2379148485018,189.1971445430094,189.44797886025918,180.85568556165475,177.46569444084759,171.89664047865205,180.90142667535733,199.84609886666527,204.71943607071555,202.23959436634092,200.91447796208183,216.72723580525778,201.4527007233065,198.46394896491034,178.79863844109855,168.58843988573187,,177.40311685810462,205.14018538545935,198.33060992296126,158.36748495335087,,,,181.45095382049067,,200.47738531637643,,192.9061523235523,197.90783576819837,206.8959928475869,,,226.01036860694572,,204.30879222427666,214.25004807687867,181.8405390759352,191.1993028803741,193.9785259242289,190.87868351977315,176.6395769328505,193.7582834687048,200.9694078938468,195.3645974527963,197.1233567780296,200.4364282518353,201.48936044787814,197.64681646190311,196.28890196426113,210.73603000494708,201.224350749083,185.750967770609,183.24229640919108,173.01248399390482,162.30859923088659,149.21760504925888,182.50968924854678,189.66350496224334,174.2765527019751,187.18985236282657,198.00581280558742,194.9451364703806,178.17219217944762,157.01438957932845,112.98931818302133
3,1986-09-16 14:02:21+00:00,176.02010413121562,179.8463066967,186.99640069784192,208.750368841172,232.20598085640736,224.56725596785958,208.95825765335792,208.23381137981673,235.21517352286156,223.23481892339495,230.20039077431966,231.3845695087683,209.45796699839164,192.80687887725438,198.19805923109874,212.79686556699377,213.36498647155443,200.1891829520955,184.05727666059585,181.01920438321756,180.52470705093754,185.38474604367642,198.4035580441962,202.07947498076405,190.02398463482376,203.89090805885613,215.86819490572006,215.09590666163155,227.72650825323942,,168.81024961162262,190.75074740303418,209.69398698195621,186.36015196641367,177.3443345952646,188.92879739438678,195.64005016385852,175.2915162124588,182.26198691498308,190.49886533315123,192.3031652720725,175.19085538329637,,210.72416064188226,219.63849966691467,218.25228674702433,207.55910623785456,195.4179914434296,202.46027121834018,205.62459956961035,213.69445700878484,205.2423387850277,197.3575261600947,190.85583559597518,186.3287679969834,182.37484956016547,190.05172153374951,190.6494117068018,183.87657754379512,200.98594759982623,207.31653419697705,191.9469642131887,180.22411295661442,182.10184855703486,201.66546796788342,198.9970886623958,201.78672461039687,204.4452102599217,203.38677861840807,184.9030798840214,178.38964771086023,202.14216815095506,201.59666381712532,172.57543516534957,166.92722260229485,177.85469877702826,191.77359191740086,187.3470664039008,189.9273836542064,201.23749082579116,177.94990643862297,161.7667056203441,158.81470966501888
4,1986-09-25 13:55:54+00:00,177.7716646134384,192.51813858021438,205.33107687413676,229.3875832097074,242.68702741573088,220.22473363762637,203.07331241086442,222.72565484141123,240.39664324898317,249.45000524122008,252.72713602470674,236.37655377026397,216.9591091165174,205.2142831377447,212.24036843624665,225.24606998212244,212.59586884836136,196.16182809282253,186.52378939908866,182.08674895929929,189.11794152982478,193.3294267425954,196.4999897682786,205.47890257997838,209.75922441789405,217.14666906104515,234.09244639185047,238.99301525480155,221.42826172255582,186.0357081043155,183.6108292301715,218.46109906269731,216.00343891484425,201.7411801654869,178.06165382183133,185.430336434698,199.74489082067805,184.67650378921329,196.1393718009497,208.7195487463513,191.7554222491923,181.01178533791486,208.53439590128937,222.01516613655363,225.64066054471314,223.4962134777766,226.50037198641473,228.44686780677463,217.2821261101337,210.12620402524723,204.45570917938602,214.7219251612276,216.57227805875075,216.88896075726254,201.08051378058067,204.09744772389172,203.57722973849454,199.09218037140184,198.42017333078437,220.59071681775856,213.5321242392228,191.91772404643424,185.1705252342587,207.7305624231,211.51484305412976,211.0444415904896,223.05018570323654,227.12466203976453,203.9505932036433,182.95734326424733,202.58296419151492,224.4226557206404,201.04867959680487,173.06296731585866,158.36729857002672,166.8476742176976,185.64330887572774,190.21522202297965,207.38674625264363,200.08077470317178,166.67297648720645,185.927341135527,179.08264739018213
5,1986-10-18 14:01:19+00:00,164.3153893870372,185.50736497673634,204.0897220852785,223.75529132797618,236.61191848587822,230.71018366692027,210.53223928575952,218.50026728459073,240.7216567167182,245.08908569487903,238.26085656824284,225.69366665592275,213.49327815389958,204.08470550684612,208.81697334832876,217.54201125936805,195.22032178170923,189.59497170606105,194.47841969558573,186.33372091091715,189.2769321589661,193.87722444309875,192.89828365576997,188.17110162881482,196.9440737285726,212.78080452016513,222.96621160522562,216.2171761675066,201.68726442799766,184.5560545709459,203.74103669761786,202.53700378829618,207.8582543707729,198.89222971959418,193.6613124119496,176.65957342665124,184.81034846176266,187.30243017297565,187.2302057260512,189.11101424892718,176.5624656221635,191.63400170301537,199.60609251134156,210.10067832763121,214.72587700079353,211.08837942535487,211.06881191989356,225.04269527657644,200.50981722519774,184.61255884020503,208.9106624334764,206.608254503733,195.39070039226087,204.50951068472713,193.82654282792433,185.08935847530813,178.42481023867188,177.46376695940435,176.2149135913444,202.42187605841076,193.81837444852908,192.37624256122845,199.35579319844192,178.7419752565041,182.2266873117504,193.1206612880655,237.7484852423836,206.6515207958263,189.20507618480195,195.94410760561712,205.22337664483425,201.38123445372338,181.33519566395805,160.05293878753096,156.32549586235373,155.06542150579284,185.7567546864289,202.002724173507,186.41423256333104,179.76668798557927,187.55884239494034,172.76889349947007,166.86565117099383
6,1986-12-21 14:00:49+00:00,213.3825659350783,183.3044464798662,163.45369472680434,171.80317166616481,218.52468127952147,,,,253.1407397000492,255.7517093739708,255.2910678284556,228.67725175541696,228.42572626028402,218.30202016899,219.22862041042535,221.27449896606421,211.36245233833222,204.41696499430864,197.1431056594432,186.57028809875575,183.73041467621604,183.56369499155912,209.21521882601473,202.60664430878197,230.33659494941912,232.5537356958001,241.9223271405453,241.78824732228952,,,192.39825389646072,185.82728022391905,198.5572146453359,203.932026209225,201.31060003801946,216.5941358719949,216.11614186414513,209.67531336961378,,,,,178.10888500483168,164.64989886135405,191.1359796834809,224.55169628027903,239.9436081191896,233.15522401983424,,,224.37165150701287,215.89940467518122,217.77235009514197,209.05300931720853,196.88770323830613,202.86419242041558,211.21094654286284,211.31513677458364,202.2348296957643,205.75732702879992,207.98298151694038,217.90843373048313,208.14672813971143,208.12130851920088,206.39946361613153,217.5635740028099,236.42312100815036,229.0342361558967,212.33367882867276,192.91560052374948,171.56893802996552,180.19838190178652,175.52862619459634,168.0581654508209,164.9326929395661,178.68051641175182,,223.1472865335916,215.49945906238997,220.34832752966304,195.74654849024765,188.15976589271494,184.00541883274215
7,1998-04-03 14:12:30+00:00,194.81075286083987,216.6661227873761,,215.7803105001946,198.19881334405898,191.35778380428712,209.826125106184,224.4380978987698,234.84978136638574,251.60272407185204,234.46942087931103,197.08439600973287,192.9146475870293,217.4612401691448,221.2130219706656,173.58516794849646,160.27513718589705,177.4134611091244,215.22866377561778,,190.88890460719634,153.01974330195677,,187.90760736311978,224.7089882765036,221.34611371356885,233.35315556967586,193.01518861867953,155.05255564720318,151.99038718512966,164.5007167156723,204.13954394996506,230.26358514882315,215.5016362296577,201.1702531983791,193.95437162023174,180.82286040364104,173.00153228116687,201.9781678991591,212.12403967734315,196.51806848841073,186.11082622707463,,209.11922846022492,194.16476441922163,208.07067966448173,216.34188313327297,231.5876164892174,,,233.60334747313254,,236.13007100850845,209.69927320333682,208.50474248201232,197.06850165370938,189.34970810171183,189.95318461476168,195.0236742778507,187.32845897840417,183.990634116923,212.87028920953912,234.08481961189466,217.56130025127342,189.47055622235595,192.13016073669803,206.55726036215532,246.9184640946851,251.41829811724958,226.04692296147076,204.59405434832624,203.6530802036705,174.49404227241627,175.060373994228,198.29451339834512,,,196.27698630056278,195.0052750290399,226.2514078820436,,,
8,1998-08-25 14:14:16+00:00,186.4564696568562,178.9308310641319,180.28615081664952,190.88898441730456,210.58048994478705,218.29820472308893,209.3448895707487,,186.82855965386946,194.38570473745176,193.43244419827025,198.67473009425285,202.3537861626331,207.79723617774906,196.49797445515762,169.97312298805537,158.98839748469734,164.22240197899458,178.9663928988163,184.24286911279054,190.13408262967252,197.08171007758952,200.7402805999131,209.14958572161984,199.53702713973055,,,170.02789155492792,176.8365163526082,176.84843654391605,162.5057592399418,184.49711897447975,189.70130422748124,206.32434875602038,190.44025897720837,181.23052073162273,168.27482543619837,157.52662306227674,,148.28072352405374,160.89624352337873,178.55642331260714,198.1533512620777,217.53233456958105,238.25510918967228,236.76369701871593,231.35944605352088,201.76147756666208,174.69188643349557,172.21255413122879,,,216.86438373007962,191.62326313131922,174.9412833845104,187.9908999703001,197.60921398377454,205.00030811276972,208.84942078583111,185.7487776946186,184.62435555484228,,,193.742300069486,196.3405407004076,176.9128246508584,177.22181052402775,,,209.4212314661702,202.0929486194933,,160.8406093814812,190.66976035544417,199.45228694780363,192.73730155341664,188.31861314188222,173.1653875898762,189.62997501435012,199.1623844858854,205.84168687754988,203.9195479764991,181.87463138693838
9,1998-09-17 14:20:38+00:00,200.92677315530872,216.13332207469662,222.30226119287104,231.19253368532253,237.90231704227602,244.1203908292958,235.88903674701885,214.39852572426582,210.73917200732564,211.52915885573708,206.9327363302394,216.59846169350527,214.56835885584596,211.5980681876418,207.17843357016662,216.68218336174462,208.28654206292254,198.6225306407348,181.34215741463754,177.92446163734704,198.64946063752353,221.3296865550293,218.78357526050624,210.91254537334657,231.62868936319003,224.66046032482507,211.0018496943992,180.86294687375113,194.9503384402144,195.7891720569916,187.39048111078236,190.09218212402314,216.99219280131686,217.92246486795207,231.47669704409995,217.28288961467942,191.65489580995228,163.73488133221537,,165.65486671152354,183.6253552968332,185.03532613810472,216.97506447508113,231.43093672806936,258.0246051896801,253.44530589905858,248.00104361699798,227.78513753039212,198.8806763853663,192.62249637771748,,214.7291697051638,219.6628111142705,228.39125762064947,215.03390822565646,211.83449121900722,202.93089510064576,207.71293219874372,206.292597482597,211.88722994719694,205.97871141231002,205.38823066646975,208.56339307196146,202.00043836311846,199.95078347120025,201.75168189282604,202.0640955494931,,,201.95712243051537,222.12408271615237,185.4161833245395,172.44799260539637,181.91147214994135,203.44028469157692,222.20488447856016,214.64543344072044,185.1422490033811,191.53250113810634,212.256423733314,213.55816760953164,223.21986468228772,206.65508976468678
