,dates,per0221-0000,per0221-0001,per0221-0002,per0221-0003,per0221-0004,per0221-0005,per0221-0006,per0221-0007,per0221-0008,per0221-0009,per0221-0010,per0221-0011,per0221-0012,per0221-0013
0,1985-03-26 14:23:59+00:00,147.98748713345344,120.13156423395105,114.81308822793974,112.8754279227075,118.92127655836214,136.48238505137988,136.870583619997,155.87304220286092,178.08502091221163,178.2321243172241,169.21763103271184,166.49394856850714,176.66122307140375,180.75563877972718
1,1987-01-11 14:13:12+00:00,155.0283218618194,137.77638601937556,131.21728197449264,135.94633050834926,145.001618882691,163.96375896248708,171.77997945187838,185.2878994836699,195.8751498031615,211.79508301244738,199.40117358080852,193.69980408740446,194.52621507306253,192.89824332331725
2,1987-02-28 14:14:55+00:00,,137.94499767007454,135.585615381733,136.46494799680437,153.9530490203523,156.7061999075871,173.54188420396167,181.31042206802394,197.29468323215684,205.2129015089412,203.1955225744218,195.73416001494886,201.5726237601423,188.92126422852652
3,1988-03-18 14:23:33+00:00,147.1192742966913,123.8858431856592,129.2893903065649,132.84278696850654,151.37787914134944,155.8101403358858,162.17713579645687,166.57947814913643,179.32351558880015,184.2508940598339,176.77244321179813,162.80544484901068,171.14633053978548,172.91846413484166
4,1988-04-19 14:23:44+00:00,157.4102459257074,131.58997216975706,134.21715948111247,138.46701906306663,147.66875157168687,150.33702417592622,153.32186086961795,157.0383358804141,166.81897640039784,173.28841261341682,164.44506948736353,161.3572109584861,162.4827406721644,161.06103592342714
5,1988-05-05 14:23:53+00:00,148.72402111064548,122.5384704279996,114.42709747236432,126.83988109164194,136.1629650086336,150.09211304020187,147.67556992140666,155.31723533942278,157.24503670087915,168.18493627338432,155.96139409257387,148.8102356658514,156.19739556957398,159.17400968388716
6,1988-05-21 14:24:02+00:00,166.81467675076314,131.1934711614699,108.64724121064161,110.81005706573522,126.4666099031345,145.86806604730455,150.46668519829956,155.15734972207164,162.88541857897178,171.23588240718462,159.5800796995988,156.75842859713714,166.12456398547727,171.98652269673815
7,1988-06-22 14:24:13+00:00,161.37337740659484,134.27787988193933,127.39582464324255,135.88726213786393,153.06643046549004,152.10825096917478,154.04080080189033,154.88039731606113,161.66908727113344,162.30107533385126,160.6709949808495,150.04271406004756,159.13727937416107,163.81147638813158
8,1988-07-24 14:24:19+00:00,161.0785497933138,135.85845524225948,134.9934055291406,138.32181583448101,142.09388476821164,141.99545281326473,137.73512419051403,157.06591178204715,162.33280897005477,160.87866887859977,156.16080099628277,157.77484234836993,157.2872623699322,172.9778358440771
9,1988-11-13 14:24:11+00:00,171.00368862929457,143.3575490194555,137.32050065853676,142.93910317129223,154.5437776669767,161.74067138011597,179.9329485154725,185.4752905309215,198.703246556612,198.58155701762738,191.06335451697353,181.69816140554963,188.39007177403136,184.5373279149702
