dates,nzd0596-0000,nzd0596-0001,nzd0596-0002,nzd0596-0003,nzd0596-0004,nzd0596-0005,nzd0596-0006,nzd0596-0007,nzd0596-0008,nzd0596-0009,nzd0596-0010,nzd0596-0011,nzd0596-0012,nzd0596-0013,nzd0596-0014,nzd0596-0015,nzd0596-0016,nzd0596-0017,nzd0596-0018,nzd0596-0019,nzd0596-0020,nzd0596-0021,nzd0596-0022,nzd0596-0023,nzd0596-0024,nzd0596-0025,nzd0596-0026,nzd0596-0027,nzd0596-0028,nzd0596-0029,nzd0596-0030,nzd0596-0031,nzd0596-0032,nzd0596-0033,nzd0596-0034,nzd0596-0035,nzd0596-0036,nzd0596-0037,nzd0596-0038,nzd0596-0039,nzd0596-0040,nzd0596-0041,nzd0596-0042,nzd0596-0043,nzd0596-0044,nzd0596-0045,nzd0596-0046,nzd0596-0047,nzd0596-0048,nzd0596-0049,nzd0596-0050,nzd0596-0051,nzd0596-0052,nzd0596-0053,nzd0596-0054,nzd0596-0055,nzd0596-0056,nzd0596-0057,nzd0596-0058,nzd0596-0059,nzd0596-0060,nzd0596-0061,nzd0596-0062,nzd0596-0063,nzd0596-0064,satname
1999-08-08 22:19:52+00:00,,,186.99,,,,,,,,,,,,,,,,163.02,166.26,192.86,180.65,,,,,176.28,169.62,,,159.79,,161.72,163.60,,181.52,,,165.51,168.56,172.13,,,,,193.86,198.00,201.54,,,,222.86,216.32,207.95,210.35,202.97,188.78,192.51,190.97,189.23,200.72,188.61,189.26,204.54,200.44,L7
1999-12-30 22:19:45+00:00,204.94,208.21,200.61,211.28,211.11,,206.40,203.14,203.16,,,,,,,197.71,,,182.54,185.19,197.04,190.13,199.73,,,,191.06,188.06,206.70,,179.16,,180.00,180.80,203.42,191.29,200.43,202.41,184.47,185.06,187.84,200.43,208.12,204.53,210.42,198.92,200.69,203.56,213.86,214.26,210.44,220.19,216.10,208.50,207.21,202.70,195.08,193.58,195.13,195.89,201.79,199.25,206.21,215.27,212.46,L7
2000-04-04 22:19:24+00:00,189.88,192.48,195.11,194.95,195.51,165.80,188.03,188.10,184.66,139.59,138.55,149.06,149.09,152.84,136.37,178.83,153.86,158.33,180.44,185.78,185.38,193.96,181.16,144.40,154.85,155.05,184.24,186.10,187.11,155.72,177.63,156.13,172.00,178.04,186.18,194.84,190.68,193.75,198.15,196.73,199.35,198.90,200.06,191.76,196.75,194.81,191.08,196.06,203.10,205.95,213.13,217.52,210.90,202.55,202.30,205.88,200.45,190.66,194.67,197.89,198.56,204.02,211.09,213.66,213.94,L7
2000-04-20 22:19:15+00:00,189.88,192.48,195.71,194.95,195.51,149.36,168.60,188.10,160.56,136.63,139.26,145.72,148.97,148.86,141.30,168.60,155.76,152.06,174.57,179.76,189.39,194.91,166.02,146.68,156.70,157.82,180.28,180.22,176.88,150.63,167.21,150.48,165.01,172.54,173.32,190.77,174.09,174.68,181.04,182.39,184.61,185.67,187.20,180.85,183.64,183.74,181.56,187.30,194.29,205.95,213.20,218.31,209.28,200.21,202.30,205.06,201.92,191.59,191.55,192.80,191.47,194.59,202.29,205.24,207.29,L7
2000-05-22 22:18:57+00:00,189.88,192.48,195.71,194.95,195.51,136.23,153.88,188.10,146.51,130.24,132.94,139.30,142.33,142.77,136.83,161.07,151.51,147.77,169.36,174.95,187.43,194.91,154.94,143.53,152.94,155.06,174.72,172.58,169.16,145.04,158.91,144.27,158.66,163.76,162.39,190.77,161.59,161.35,167.64,170.37,171.32,173.25,177.98,172.81,174.30,175.38,174.26,180.26,185.84,205.95,208.38,215.16,205.12,195.66,202.30,197.58,191.01,186.26,185.00,187.84,184.80,186.55,194.58,198.13,200.78,L7
2000-06-07 22:18:48+00:00,189.88,192.48,195.71,194.95,195.51,130.70,145.35,188.10,137.09,127.15,131.47,137.66,141.81,140.73,135.18,156.40,150.07,147.01,165.99,172.12,187.48,194.91,149.19,142.82,151.30,155.43,173.81,168.15,165.62,142.54,155.24,141.31,155.73,159.60,157.19,190.77,156.47,154.47,160.27,163.19,163.81,166.66,172.92,168.61,169.82,171.54,170.12,175.61,180.90,205.95,206.03,213.86,205.04,196.81,202.30,199.49,183.32,185.58,181.99,184.71,181.29,182.07,189.96,194.43,197.78,L7
2000-09-27 22:17:24+00:00,187.75,188.48,190.83,189.41,188.86,130.70,130.09,185.20,135.21,127.15,136.76,141.29,145.03,145.61,135.18,151.22,153.44,153.61,159.45,168.63,187.05,195.89,148.85,150.04,155.67,160.84,167.88,165.43,155.35,142.54,144.41,150.45,145.09,158.37,155.11,188.63,154.54,152.44,158.02,160.82,162.20,165.46,169.90,166.27,166.94,169.57,165.95,170.89,175.36,196.97,203.48,211.94,202.81,193.01,200.52,191.13,180.53,184.55,179.25,180.64,177.44,178.54,184.03,189.34,193.43,L7
2000-10-29 22:17:19+00:00,200.33,200.94,203.54,199.61,199.81,112.05,110.47,201.14,150.59,117.66,149.94,150.64,154.71,156.89,150.09,158.50,161.62,163.78,167.10,175.87,191.75,202.61,161.17,164.63,167.07,173.88,177.56,173.93,164.77,134.45,137.27,161.35,141.81,166.53,163.34,195.34,160.88,159.69,162.21,165.13,166.37,169.36,174.31,174.49,175.34,176.96,172.91,176.67,178.79,204.54,200.06,210.59,203.97,194.78,197.11,182.38,169.79,182.76,177.78,178.80,177.60,180.15,184.95,193.18,196.18,L7
2001-03-22 22:17:09+00:00,201.53,202.09,204.41,199.10,201.35,,,200.51,199.51,147.28,176.22,165.97,169.89,174.25,176.69,174.53,177.00,189.93,179.30,193.45,202.41,204.00,200.12,182.55,182.59,188.96,187.03,196.73,182.70,,,192.34,,193.24,193.49,195.49,191.11,192.94,194.19,194.14,199.92,200.54,196.95,195.77,201.90,202.69,197.22,195.53,197.20,205.78,209.56,216.02,211.28,197.59,175.59,182.53,189.88,191.26,189.76,187.29,187.84,195.29,195.56,206.11,207.31,L7
2001-04-07 22:17:01+00:00,194.14,200.41,202.85,192.70,203.12,141.66,142.24,194.74,190.72,143.26,194.49,164.28,169.08,169.73,169.76,169.11,176.39,182.67,178.53,190.17,203.26,204.75,201.16,175.10,181.48,183.78,187.15,190.98,176.26,151.97,154.29,181.83,154.99,186.80,180.65,192.81,186.15,193.29,187.61,185.45,195.06,196.38,189.78,188.86,193.61,194.95,196.55,195.25,197.46,205.48,212.01,217.50,211.29,198.16,169.19,193.47,187.00,190.57,189.74,189.62,188.48,192.53,194.11,204.99,206.95,L7
