dates,nzd0596-0000,nzd0596-0001,nzd0596-0002,nzd0596-0003,nzd0596-0004,nzd0596-0005,nzd0596-0006,nzd0596-0007,nzd0596-0008,nzd0596-0009,nzd0596-0010,nzd0596-0011,nzd0596-0012,nzd0596-0013,nzd0596-0014,nzd0596-0015,nzd0596-0016,nzd0596-0017,nzd0596-0018,nzd0596-0019,nzd0596-0020,nzd0596-0021,nzd0596-0022,nzd0596-0023,nzd0596-0024,nzd0596-0025,nzd0596-0026,nzd0596-0027,nzd0596-0028,nzd0596-0029,nzd0596-0030,nzd0596-0031,nzd0596-0032,nzd0596-0033,nzd0596-0034,nzd0596-0035,nzd0596-0036,nzd0596-0037,nzd0596-0038,nzd0596-0039,nzd0596-0040,nzd0596-0041,nzd0596-0042,nzd0596-0043,nzd0596-0044,nzd0596-0045,nzd0596-0046,nzd0596-0047,nzd0596-0048,nzd0596-0049,nzd0596-0050,nzd0596-0051,nzd0596-0052,nzd0596-0053,nzd0596-0054,nzd0596-0055,nzd0596-0056,nzd0596-0057,nzd0596-0058,nzd0596-0059,nzd0596-0060,nzd0596-0061,nzd0596-0062,nzd0596-0063,nzd0596-0064,satname
1999-08-08 22:19:52+00:00,,,186.99,,,,,,,,,,,,,,,,163.02,166.26,192.86,180.65,,,,,176.28,169.62,,,159.79,,161.72,163.60,,181.52,,,165.51,168.56,172.13,,,,,193.86,198.00,201.54,,,,222.86,216.32,207.95,210.35,202.97,188.78,192.51,190.97,189.23,200.72,188.61,189.26,204.54,200.44,L7
1999-12-30 22:19:45+00:00,204.94,208.21,214.22,211.28,211.11,,206.40,203.14,203.16,,,,,,,197.71,,,202.06,204.13,201.21,199.61,199.73,,,,205.83,206.50,206.70,,198.54,,198.28,197.99,203.42,201.05,200.43,202.41,203.43,201.55,203.55,200.43,208.12,204.53,210.42,203.97,203.39,205.57,213.86,214.26,210.44,217.51,215.89,209.05,204.07,202.43,201.38,194.66,199.30,202.56,202.86,209.89,223.16,226.01,224.48,L7
2000-04-04 22:19:24+00:00,174.82,176.74,176.00,178.63,179.92,165.80,169.65,173.06,166.17,139.59,138.55,149.06,149.09,152.84,136.37,159.95,153.86,158.33,158.82,167.44,169.54,188.31,162.58,144.40,154.85,155.05,162.65,165.70,167.52,155.72,156.72,156.13,145.71,158.09,168.93,188.64,180.93,185.09,192.86,191.91,195.15,197.36,192.00,179.00,183.07,185.66,178.78,186.54,192.34,197.64,215.82,217.53,205.91,196.04,200.52,209.32,199.52,186.66,190.03,193.22,194.26,198.16,199.02,201.32,203.40,L7
2000-04-20 22:19:15+00:00,,,196.92,,,132.91,129.74,,112.36,133.68,139.97,142.39,148.85,144.87,146.22,148.15,157.66,145.79,162.84,167.72,197.43,196.82,135.74,148.96,158.56,160.59,172.37,168.47,156.42,145.54,146.37,144.83,151.03,161.53,147.61,182.63,140.91,136.54,146.84,153.70,155.14,159.22,161.48,159.03,157.43,161.60,162.51,169.80,176.66,,213.34,219.89,206.05,195.54,,203.42,204.86,193.44,185.32,182.61,177.29,175.71,184.70,188.40,193.98,L7
2000-05-22 22:18:57+00:00,,,,,,109.99,109.71,,104.34,117.45,120.31,126.44,129.06,130.61,127.89,138.49,143.01,139.18,153.73,160.52,181.52,,121.70,137.23,145.40,149.53,158.03,149.66,145.99,133.87,134.01,131.86,139.62,137.45,129.60,,124.11,121.36,127.42,134.31,131.46,136.00,150.33,148.67,146.29,150.30,152.35,159.12,160.52,,193.90,205.73,192.63,182.01,,175.15,158.27,170.29,165.36,172.97,164.77,162.43,171.45,176.79,181.26,L7
2000-06-07 22:18:48+00:00,,,,,,114.11,111.24,,99.43,117.86,127.03,132.74,140.22,134.59,130.25,137.69,145.77,144.76,152.52,160.79,187.69,,126.18,140.70,146.38,156.53,170.18,150.42,151.46,135.03,140.54,132.40,143.99,142.96,136.37,,135.95,126.95,130.80,134.47,133.75,140.30,152.67,151.83,151.87,156.18,153.56,157.01,161.12,,196.66,208.64,204.71,201.43,,207.12,152.56,182.85,169.95,172.17,167.25,164.18,171.45,179.62,185.76,L7
2000-09-27 22:17:24+00:00,200.69,200.22,199.58,200.20,197.80,,,197.34,193.77,,157.95,155.82,157.92,165.16,,171.84,166.92,180.01,169.35,186.67,199.06,202.53,198.05,178.92,173.15,182.50,176.18,192.91,,,,187.02,,191.82,193.05,194.62,190.78,192.24,192.19,189.73,195.52,194.43,193.03,192.84,196.02,194.09,182.56,181.96,186.14,196.31,197.66,207.91,204.73,190.04,,160.66,187.44,189.50,185.57,182.25,183.63,192.21,193.53,200.57,202.76,L7
2000-10-29 22:17:19+00:00,199.97,201.67,207.49,199.02,201.83,,,204.95,204.83,,194.49,187.55,191.63,197.20,192.13,185.98,190.78,191.18,192.82,195.50,198.73,202.69,198.75,201.69,203.34,206.98,205.86,202.73,196.85,,,194.11,,193.88,194.35,196.06,192.66,198.22,198.44,202.03,204.73,206.71,201.22,204.63,207.18,207.26,203.16,208.60,207.37,212.77,212.04,220.09,213.83,205.63,197.11,186.58,180.88,188.42,190.23,187.79,194.75,201.76,203.38,215.74,214.93,L7
2001-03-22 22:17:09+00:00,203.93,204.38,206.15,198.08,204.42,,,199.23,199.92,147.28,,154.53,160.12,160.38,161.26,165.78,173.31,198.60,175.73,198.18,209.43,206.78,203.56,167.04,171.27,177.40,179.05,194.55,168.56,,,195.90,,194.03,193.07,195.79,189.89,188.37,191.93,190.65,199.52,200.48,196.59,189.84,202.49,206.73,205.93,196.04,198.09,208.25,218.98,220.05,215.28,197.10,154.06,200.35,201.33,195.86,193.47,191.84,185.15,191.91,189.76,202.03,204.24,L7
2001-04-07 22:17:01+00:00,178.52,195.19,194.90,181.00,,141.66,142.24,180.05,167.42,139.24,,150.76,155.50,151.62,155.89,155.56,165.08,158.24,167.05,176.83,201.61,204.77,,156.57,169.84,166.97,176.55,175.67,163.36,151.97,154.29,155.47,154.99,172.48,154.54,186.58,175.91,,172.45,163.67,180.94,181.96,171.52,172.11,171.15,170.86,180.57,181.12,186.91,195.42,205.00,212.36,204.77,191.74,156.40,,178.78,187.43,185.51,189.24,185.53,183.92,189.19,197.21,201.68,L7
