dates,satname,nzd0596-0000,nzd0596-0001,nzd0596-0002,nzd0596-0003,nzd0596-0004,nzd0596-0005,nzd0596-0006,nzd0596-0007,nzd0596-0008,nzd0596-0009,nzd0596-0010,nzd0596-0011,nzd0596-0012,nzd0596-0013,nzd0596-0014,nzd0596-0015,nzd0596-0016,nzd0596-0017,nzd0596-0018,nzd0596-0019,nzd0596-0020,nzd0596-0021,nzd0596-0022,nzd0596-0023,nzd0596-0024,nzd0596-0025,nzd0596-0026,nzd0596-0027,nzd0596-0028,nzd0596-0029,nzd0596-0030,nzd0596-0031,nzd0596-0032,nzd0596-0033,nzd0596-0034,nzd0596-0035,nzd0596-0036,nzd0596-0037,nzd0596-0038,nzd0596-0039,nzd0596-0040,nzd0596-0041,nzd0596-0042,nzd0596-0043,nzd0596-0044,nzd0596-0045,nzd0596-0046,nzd0596-0047,nzd0596-0048,nzd0596-0049,nzd0596-0050,nzd0596-0051,nzd0596-0052,nzd0596-0053,nzd0596-0054,nzd0596-0055,nzd0596-0056,nzd0596-0057,nzd0596-0058,nzd0596-0059,nzd0596-0060,nzd0596-0061,nzd0596-0062,nzd0596-0063,nzd0596-0064
1999-08-08 22:19:52+00:00,L7,,,181.59,91.34,92.56,124.31,118.11,98.87,105.22,123.40,130.16,137.92,137.04,141.98,140.25,143.24,150.50,146.95,157.62,160.86,183.04,173.45,132.99,144.54,152.53,159.97,170.88,164.22,154.68,145.52,154.39,143.68,156.32,158.20,151.81,176.12,154.21,153.23,160.11,163.16,166.73,,,,,188.46,192.60,196.14,,,344.18,215.15,209.97,202.55,201.71,188.57,174.38,181.71,182.66,181.78,194.88,181.86,182.29,197.34,193.24
1999-12-30 22:19:45+00:00,L7,205.01,208.26,214.27,211.35,211.18,211.93,206.45,203.19,203.21,204.53,201.03,205.40,204.99,203.08,199.14,197.76,202.42,203.98,202.11,204.18,201.30,199.68,199.78,207.90,210.21,210.38,205.88,206.55,206.75,199.66,198.59,199.43,198.33,198.04,203.47,201.10,200.48,202.46,203.48,201.60,203.60,200.48,208.17,204.58,210.47,204.02,203.44,205.62,213.91,214.31,210.57,217.58,215.95,209.10,204.15,202.56,201.51,194.76,199.38,202.63,202.91,209.95,223.22,226.08,224.55
2000-04-04 22:19:24+00:00,L7,171.09,173.94,173.20,174.48,176.19,162.30,166.70,170.26,163.37,136.79,135.75,146.26,146.29,150.04,133.57,157.15,150.99,155.53,156.02,164.64,164.45,184.58,159.78,141.60,152.05,152.25,159.85,162.90,164.72,152.92,153.92,153.33,142.91,155.29,166.13,185.84,178.13,182.29,190.06,189.11,192.35,194.56,189.20,176.20,180.27,182.86,175.98,183.74,189.54,194.84,208.82,213.53,202.62,193.24,196.04,201.85,192.05,181.06,185.72,189.36,191.23,194.66,195.41,197.59,199.67
2000-04-20 22:19:15+00:00,L7,,,198.07,96.75,106.25,134.35,130.95,104.55,113.51,134.83,141.12,143.54,150.00,146.02,147.37,149.30,158.84,146.94,163.99,168.87,199.52,198.35,136.89,150.11,159.71,161.74,173.52,169.62,157.57,146.69,147.52,145.98,152.18,162.68,148.76,183.78,142.06,137.69,147.99,154.85,156.29,160.37,162.63,160.18,158.58,162.75,163.66,170.95,177.81,,216.21,221.53,207.40,196.69,,206.49,207.93,195.74,187.09,184.20,178.53,177.15,186.18,189.93,195.51
2000-05-22 22:18:57+00:00,L7,109.00,75.89,62.27,90.47,89.08,114.05,113.13,92.72,107.59,120.70,123.56,129.69,132.31,133.86,131.14,141.74,146.34,142.43,156.98,163.77,187.43,153.36,124.95,140.48,148.65,152.78,161.28,152.91,149.24,137.12,137.26,135.11,142.87,140.70,132.85,145.68,127.36,124.61,130.67,137.56,134.71,139.25,153.58,151.92,149.54,153.55,155.60,162.37,163.77,,202.02,210.37,196.45,185.26,,183.82,166.94,176.79,170.36,177.45,168.28,166.49,175.64,181.12,185.59
2000-06-07 22:18:48+00:00,L7,107.56,87.23,78.25,92.48,105.09,120.05,116.24,100.54,104.18,122.61,131.78,137.49,144.97,139.34,135.00,142.44,150.64,149.51,157.27,165.54,196.33,104.32,130.93,145.45,151.13,161.28,174.93,155.17,156.21,139.78,145.29,137.15,148.74,147.71,141.12,145.12,140.70,131.70,135.55,139.22,138.50,145.05,157.42,156.58,156.62,160.93,158.31,161.76,165.87,,208.54,215.43,210.30,206.18,,219.79,165.23,192.35,177.26,178.72,172.39,170.12,177.58,185.95,192.09
2000-09-27 22:17:24+00:00,L7,195.82,196.57,195.93,194.79,192.93,195.41,194.59,193.69,190.12,175.10,154.30,152.17,154.27,161.51,,168.19,163.18,176.36,165.70,183.02,192.42,197.66,194.40,175.27,169.50,178.85,172.53,189.26,,182.61,179.69,183.37,184.70,188.17,189.40,190.97,187.13,188.59,188.54,186.08,191.87,190.78,189.38,189.19,192.37,190.44,178.91,178.31,182.49,192.66,188.53,202.70,200.44,186.39,148.31,150.93,177.71,182.20,179.95,177.22,179.68,187.65,188.82,195.70,197.89
2000-10-29 22:17:19+00:00,L7,201.64,202.92,208.74,200.87,203.50,206.71,211.35,206.20,206.08,201.65,195.74,188.80,192.88,198.45,193.38,187.23,192.06,192.43,194.07,196.75,201.00,204.36,200.00,202.94,204.59,208.23,207.11,203.98,198.10,198.64,196.66,195.36,196.29,195.13,195.60,197.31,193.91,199.47,199.69,203.28,205.98,207.96,202.47,205.88,208.43,208.51,204.41,209.85,208.62,214.02,215.17,221.88,215.30,206.88,199.11,189.91,184.21,190.92,192.15,189.51,196.10,203.32,204.99,217.41,216.60
2001-03-22 22:17:09+00:00,L7,199.00,200.68,202.45,192.60,199.49,207.26,202.51,195.53,196.22,143.58,147.89,150.83,156.42,156.68,157.56,162.08,169.52,194.90,172.03,194.48,202.70,201.85,199.86,163.34,167.57,173.70,175.35,190.85,164.86,,,192.20,,190.33,189.37,192.09,186.19,184.67,188.23,186.95,195.82,196.78,192.89,186.14,198.79,203.03,202.23,192.34,194.39,204.55,209.73,214.76,210.93,193.40,148.14,190.48,191.46,188.46,187.78,186.74,181.15,187.29,184.99,197.10,199.31
2001-04-07 22:17:01+00:00,L7,173.45,191.39,191.10,175.37,111.78,136.91,138.24,176.25,163.62,135.44,140.79,146.96,151.70,147.82,152.09,151.76,161.18,154.44,163.25,173.03,194.70,199.70,143.16,152.77,166.04,163.17,172.75,171.87,159.56,148.17,150.49,151.67,151.19,168.68,150.74,182.78,172.11,143.85,168.65,159.87,177.14,178.16,167.72,168.31,167.35,167.06,176.77,177.32,183.11,191.62,195.50,206.93,200.30,187.94,150.32,139.44,168.65,179.83,179.66,184.00,181.42,179.17,184.29,192.14,196.61
