dates,nzd0228-0000,nzd0228-0001,nzd0228-0002,nzd0228-0003,nzd0228-0004,nzd0228-0005,nzd0228-0006,nzd0228-0007,nzd0228-0008,nzd0228-0009,nzd0228-0010,nzd0228-0011,nzd0228-0012,nzd0228-0013,nzd0228-0014,nzd0228-0015,nzd0228-0016,nzd0228-0017,nzd0228-0018,nzd0228-0019,nzd0228-0020,nzd0228-0021,nzd0228-0022,nzd0228-0023,nzd0228-0024,nzd0228-0025,nzd0228-0026,nzd0228-0027,nzd0228-0028,nzd0228-0029,nzd0228-0030,satname
1999-10-06 21:59:04+00:00,386.88,384.58,400.74,403.78,400.15,394.88,406.72,414.11,408.06,414.90,420.52,412.68,410.26,406.31,403.59,408.37,413.59,417.08,414.36,418.81,403.90,421.11,426.93,408.58,393.01,374.13,365.29,370.62,385.54,398.05,414.83,L7
1999-12-25 21:58:52+00:00,397.38,399.41,411.72,415.64,413.29,407.51,414.90,423.19,415.38,417.79,423.06,416.11,413.94,409.81,407.17,413.34,415.37,415.55,414.20,418.86,409.34,423.26,420.69,405.46,389.58,375.43,371.46,381.85,389.35,400.94,411.36,L7
2000-01-10 21:58:52+00:00,403.98,405.99,416.94,425.16,420.51,414.71,422.58,427.42,419.97,419.61,425.35,419.46,417.27,415.05,414.30,418.27,419.05,415.90,415.22,418.62,412.39,424.56,418.94,407.33,390.15,372.90,368.22,385.98,401.19,412.68,415.58,L7
2000-02-27 21:58:40+00:00,407.16,408.59,418.67,427.41,423.31,422.45,429.33,428.01,422.50,419.37,427.75,422.18,422.06,419.01,420.21,424.04,427.11,424.47,422.49,418.62,424.10,431.51,426.13,414.16,390.15,372.90,359.12,374.44,401.19,414.78,425.01,L7
2000-03-14 21:58:35+00:00,409.23,411.56,418.93,427.84,428.78,427.76,435.48,433.95,428.93,426.48,435.08,429.68,429.04,419.01,414.27,424.04,427.11,424.47,433.21,418.62,434.23,436.88,426.13,414.16,390.15,372.90,359.12,374.44,401.19,414.78,425.01,L7
2000-03-30 21:58:33+00:00,409.10,411.30,419.17,429.63,430.29,429.47,436.43,434.48,428.72,427.36,434.92,430.12,428.23,419.97,415.34,423.65,425.34,423.69,432.56,423.80,434.96,436.51,424.61,410.91,390.96,374.43,360.06,372.85,401.19,411.32,425.01,L7
2000-07-04 21:57:38+00:00,414.95,417.24,422.90,436.62,438.78,440.45,447.20,440.12,435.40,432.14,440.85,437.13,435.38,426.75,419.43,430.52,431.99,429.12,441.74,428.73,447.78,438.44,424.15,412.45,394.84,377.80,360.47,374.76,424.88,418.24,438.67,L7
2000-08-21 21:57:02+00:00,414.21,416.61,421.40,434.10,440.06,444.23,450.29,441.54,427.75,434.95,444.88,443.12,445.34,432.94,423.63,435.70,437.44,435.47,446.09,433.99,451.19,441.26,427.06,412.91,395.13,382.77,360.04,368.26,438.90,425.20,453.33,L7
2001-03-01 21:56:21+00:00,,,,,417.65,426.70,440.07,454.19,,444.66,434.60,421.24,427.94,439.44,452.20,455.26,455.97,415.72,448.99,421.87,439.18,450.33,455.22,438.85,428.05,396.33,378.87,381.55,423.05,459.76,484.63,L7
2001-03-17 21:56:16+00:00,414.73,410.28,404.41,406.10,411.41,423.95,444.97,454.71,,447.31,423.90,406.22,420.45,436.61,453.94,454.62,443.06,416.11,459.82,421.87,444.06,446.39,444.71,434.05,426.16,399.47,390.16,390.91,417.94,459.76,483.64,L7
