,dates,jap0046-0000,jap0046-0001,jap0046-0002,jap0046-0003,jap0046-0004,jap0046-0005,jap0046-0006,jap0046-0007,jap0046-0008,jap0046-0009,jap0046-0010,jap0046-0011,jap0046-0012,jap0046-0013,jap0046-0014,jap0046-0015,jap0046-0016,jap0046-0017,jap0046-0018,jap0046-0019,jap0046-0020,jap0046-0021,jap0046-0022,jap0046-0023,jap0046-0024,jap0046-0025,jap0046-0026,jap0046-0027,jap0046-0028,jap0046-0029,jap0046-0030,jap0046-0031,jap0046-0032,jap0046-0033
0,1984-07-31 00:43:06+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1984-12-22 00:43:59+00:00,137.48785412954913,,,,,118.86361017777003,122.27198721140793,132.25765339224543,136.47935891912164,143.1700239934291,145.39927169703162,146.08750817638324,142.29754240813327,138.56830769933427,135.0485065331254,138.19504260226918,140.2977517404125,142.35439685890682,138.6197632426435,141.86441783136374,148.1104776260155,150.02800093494463,149.08722461627232,154.2398559439326,153.3080965219494,157.69235366972455,157.43271123786175,155.07283459351495,154.28717175954236,153.92521816129127,151.2917986832414,149.2694355324108,145.9005935169715,141.41693814311083
2,1985-01-07 00:44:31+00:00,100.61469544581418,,,,,82.28386259757927,108.43789320884422,,,,145.47597934543336,146.22980581122667,146.16672885842587,140.98729402472017,157.60284441231516,151.6293373602034,155.25227845564942,156.2799640374666,157.35793324295875,156.12399957769026,154.764303063072,159.3163536971826,161.88368998533073,164.54771146564372,162.70048661516978,164.93711576474263,170.93836025109937,165.36940488575596,164.32272601711614,158.74029671525352,160.11188570644086,157.37507977595538,152.66603610875526,142.80005997219212
3,1985-05-31 00:44:21+00:00,123.1332527385086,112.82119919746825,119.06253422704503,125.50918443512663,126.42839524196346,108.30670628286138,102.30506748144988,117.53957655882273,124.10870821920747,123.5005738938533,135.6725853658151,135.31391338173478,132.0281350252591,133.0054042435511,130.15152163189816,125.95515085928061,,131.14261658267375,129.396498472748,133.33637589635342,138.07162480334065,137.26279914099354,133.9545310495594,130.44818831954407,128.2943565714329,135.05191332408322,132.05317022270785,134.06642900152892,133.94220432140608,138.06644166764883,143.05732879555538,147.633394835064,143.2819205297365,137.40205865493925
4,1985-08-19 00:43:51+00:00,117.37423475219715,109.04460854598474,114.90785163575968,123.77670042417974,129.53625946863866,118.92557153088075,113.14056498885859,100.49189979673045,125.53807037042236,138.32397919406458,141.11852826888574,137.96892347401504,134.1532486118415,130.55476783362843,127.08549583438268,128.56974997691464,122.55757106712788,127.21426688297036,125.92953319071081,131.96409253648443,133.57443862997565,139.34255522371166,136.0159087019022,133.76423060482827,139.94858211485078,144.32725122636836,142.86845864712961,144.84040912376477,143.80253125051806,144.4589226927647,145.02795685680962,144.2565370905569,143.06064373978236,141.75241924927641
5,1985-09-11 00:49:21+00:00,116.30650635452666,94.71481215768546,121.02571714991858,127.98955047096352,132.76586591426786,117.55133795017908,107.9587988669385,103.42686241256273,92.42148431798839,129.11273338557788,135.9207656335323,127.19746412067558,120.51212965695757,118.9988594125788,120.34705254586304,120.07766700765765,,123.47124079458857,125.97154661826585,126.88304685756043,134.8089473225878,138.1392648373585,132.79141912689582,130.73332213865402,,,,,,,,,,
6,1985-09-27 00:49:10+00:00,129.59317912155007,117.18986487612388,132.8481457157297,136.4822627944988,133.09124672599273,127.94350300753311,122.57600371320605,138.14952341213046,,141.6120897887994,143.8421181154763,141.8293137172763,138.54473878602641,136.18720486736422,138.2762699585241,142.41789656124655,140.04234072267704,142.53186567161507,139.13924200225844,140.0602731417542,145.7559058867958,151.12106623040043,152.7687670491076,152.9429002805589,144.10889527205833,150.32774236744706,151.22022855704267,148.9320700635551,148.1391661967012,146.268227822056,151.45517213687475,155.81845807765617,154.32236159883718,154.64802312170124
7,1985-10-29 00:48:48+00:00,146.69066295753822,137.27735140419279,132.5359562210431,140.1268689152744,145.46754659293904,140.45099378207595,138.9728818518515,151.7971871406958,,154.97923781169163,152.10717620574295,144.54659470193963,144.86021518409677,148.9648272117767,146.838195205444,145.86422010595626,149.53294969117943,150.1777588352914,150.62795007483092,153.46830423677804,154.03485285099748,156.6844255986919,157.0901873175358,156.2927435330376,157.9978864984706,160.24222200592925,163.73574642549735,162.94158749785956,163.93327742662984,162.9481631662667,159.63181904434836,155.03599080083023,151.74449066079558,148.36989090685577
8,1986-06-10 00:43:56+00:00,,,,,,,,,,,,,,124.8151850441818,115.08497689669738,133.65875199468135,140.2176502480022,146.2817816137623,139.09546211882045,137.34991094422148,139.66270210618447,141.196048441171,141.4612297512518,143.2016215056592,151.73629015665333,171.45484106356614,147.8225837053424,147.27533617614063,148.01599756161627,149.2220746503023,144.02026891616387,139.51821586084174,126.7636438271809,123.92600743201993
9,1986-06-26 00:43:25+00:00,103.30462429043885,,,,,72.54571299521923,75.65648044166284,74.6431361737294,74.94975388655233,107.51689915534129,113.25457578962974,113.38863841830425,113.07619974365248,116.58061881407805,115.66912618606449,,,,,,130.26594585372558,138.16734091283976,133.0832983040481,126.97348219212446,119.94842981573383,128.0512284168552,132.6990750581294,134.4241140511059,133.38639836855208,132.24255903695752,132.72196407894208,132.31675721609298,123.47451800857291,120.94441070543188
10,1986-07-28 00:42:19+00:00,113.9755948129113,126.19424808080879,150.50438532310892,131.38952812853498,122.6054714996556,104.88751811568213,85.70959638314774,99.18720417988789,118.53003027522489,128.25736102800147,137.41880309638682,129.3418786527416,126.44914294548063,120.83432036539624,123.10886817925147,123.40364835479733,123.09026394104991,125.20822153182696,123.9314327286631,124.03053870875361,129.19158458414324,131.34192471082997,131.2915670890926,129.67899958741293,132.51451033158878,139.25758663416386,135.77258893115248,136.0016136714034,137.7462231051326,138.87083518807708,138.72336711747695,139.91511798826718,137.05094585008544,131.5501552987022
11,1986-09-23 00:34:09+00:00,114.55034245649084,,100.29408251478924,111.35656923349724,118.57788655303894,99.89964264942856,102.34307201952782,102.37733971494784,115.1326110320417,122.28906983930501,127.21802629203296,120.89268047281278,122.98647435544858,128.94877330631707,126.56420092361574,123.22507879509764,,123.72026422149419,122.81038009086295,129.31390916923587,132.24263278407508,136.86459696586502,137.5823068643714,129.85267667189825,125.547274200914,,,,,,,,,
12,1986-12-28 00:33:01+00:00,140.09122112453784,139.34689218141858,134.8149004144267,134.96927845359573,142.62379350664662,124.43279878779073,134.9070759319081,144.73162364115584,151.82822880803462,147.617079250254,148.6702425843562,147.6145284355007,152.06027317491987,146.2524851902868,151.74396244722033,146.19880040082148,151.06370701538734,150.85571157680033,149.54756288706034,152.8166715567105,155.76079662181368,159.49666422236407,157.21797607735846,158.39270648391891,157.85098051539333,162.61412687248307,165.16318940842916,164.23163327077128,162.8895364032191,155.06674219399034,154.01271405562463,154.6765843025372,153.00811212253976,147.9015540203565
