dates,satname,nzd0093-0000,nzd0093-0001,nzd0093-0002,nzd0093-0003,nzd0093-0004,nzd0093-0005,nzd0093-0006,nzd0093-0007
2007-05-28 22:02:04+00:00,L7,475.18,389.05,,,,,,380.26
2007-08-16 22:01:50+00:00,L7,343.60,325.18,353.08,342.19,336.82,334.73,347.86,347.55
2007-09-09 22:04:57+00:00,L5,452.14,372.31,370.55,360.70,349.77,351.68,353.87,359.56
2007-11-20 22:01:58+00:00,L7,,,380.13,375.23,365.29,362.32,372.32,
2008-02-24 22:02:02+00:00,L7,339.48,332.13,351.58,342.29,337.07,333.99,347.82,351.74
2008-04-28 22:01:53+00:00,L7,460.86,379.22,371.43,,,,364.09,375.71
2008-05-14 22:01:48+00:00,L7,477.27,387.56,380.22,372.92,366.08,373.79,379.67,388.22
2008-08-02 22:01:03+00:00,L7,,336.19,353.41,342.64,335.51,348.45,354.66,
2008-08-18 22:00:56+00:00,L7,366.48,358.89,366.76,359.12,353.54,358.29,365.57,372.80
2008-09-19 22:00:40+00:00,L7,354.84,,,,,,,
2008-10-21 22:00:36+00:00,L7,,,370.36,359.22,361.63,358.45,361.05,370.34
2008-11-06 22:00:51+00:00,L7,409.16,369.07,371.15,360.40,360.15,355.71,353.79,364.39
2009-01-25 22:01:34+00:00,L7,375.14,371.85,370.75,355.67,358.68,356.42,356.92,363.42
2009-02-02 21:57:22+00:00,L5,392.35,376.09,372.04,370.48,366.72,363.09,367.30,368.81
2009-06-02 22:02:15+00:00,L7,478.04,,,,,,,
2009-06-18 22:02:13+00:00,L7,478.81,,,,,188.65,,
2009-07-04 22:02:11+00:00,L7,,,376.68,363.01,358.74,,,
2009-07-20 22:02:06+00:00,L7,475.46,382.81,378.46,374.67,364.31,363.47,376.75,372.49
2009-08-05 22:02:01+00:00,L7,459.38,373.22,370.25,369.03,,366.24,378.42,371.30
2009-09-06 22:01:59+00:00,L7,359.06,347.88,344.40,,323.59,326.66,341.03,339.15
2009-11-25 22:02:33+00:00,L7,,,375.15,375.18,366.80,362.78,372.35,
2009-12-27 22:03:02+00:00,L7,467.15,379.93,380.18,371.59,365.65,366.45,373.96,370.84
2010-02-21 22:02:44+00:00,L5,455.73,382.72,375.58,370.88,366.18,362.98,369.84,373.11
2010-03-17 22:03:57+00:00,L7,368.09,368.38,362.46,351.22,348.01,338.41,351.32,348.17
2010-06-21 22:03:58+00:00,L7,475.89,381.80,382.89,,,,378.05,382.73
2010-07-23 22:04:02+00:00,L7,474.07,380.77,381.74,372.46,363.32,363.39,376.40,379.80
2010-09-25 22:04:05+00:00,L7,377.37,371.67,374.60,363.30,364.72,362.52,362.68,375.67
2010-11-12 22:04:30+00:00,L7,373.88,364.12,362.98,349.87,341.51,337.46,351.74,357.99
2010-12-30 22:04:58+00:00,L7,479.05,398.76,384.73,381.26,386.17,382.82,382.43,382.74
2011-01-07 22:01:44+00:00,L5,360.12,337.56,358.60,353.67,347.04,350.98,359.20,363.14
2011-02-16 22:05:15+00:00,L7,474.46,386.45,385.09,374.28,362.85,356.76,360.79,365.88
2011-03-12 22:01:43+00:00,L5,417.27,370.81,368.92,364.35,360.82,360.38,373.24,374.59
2011-04-05 22:05:26+00:00,L7,361.68,349.32,359.79,351.53,357.80,353.67,359.81,364.05
2011-05-23 22:05:23+00:00,L7,460.01,364.20,368.55,353.83,355.16,357.79,371.06,371.13
2011-06-24 22:05:21+00:00,L7,463.95,,,,,,,
2011-07-26 22:05:18+00:00,L7,479.11,397.35,,,,,,391.72
2011-08-11 22:05:13+00:00,L7,465.61,,,372.72,363.47,360.51,,
2011-08-27 22:05:11+00:00,L7,475.84,380.41,,,,,372.93,380.08
2011-09-04 22:00:27+00:00,L5,452.61,383.38,380.24,368.67,364.55,363.30,375.18,379.57
2011-09-12 22:05:05+00:00,L7,,,,342.45,345.69,351.19,357.34,
2012-01-18 22:05:49+00:00,L7,475.86,384.93,,,,,,
2012-04-07 22:05:52+00:00,L7,345.67,321.12,342.69,334.29,328.35,329.07,341.48,339.72
2012-05-18 22:00:20+00:00,L7,,,,,,,,
2012-06-26 22:06:18+00:00,L7,,,372.86,357.74,358.84,358.82,367.65,369.83
2012-07-12 22:06:34+00:00,L7,469.27,379.47,380.35,371.62,362.22,366.17,378.20,377.11
2013-01-04 22:07:58+00:00,L7,375.00,,,,,,,
2013-02-05 22:08:01+00:00,L7,459.35,375.24,371.55,363.16,357.61,354.96,358.38,366.24
2013-03-09 22:07:57+00:00,L7,455.29,372.80,368.82,353.96,352.54,351.02,360.95,366.52
2013-04-26 22:07:43+00:00,L7,782.72,,,353.96,355.11,,,368.95
2013-05-12 22:07:41+00:00,L7,384.86,365.77,366.19,354.48,342.97,349.99,354.99,364.49
2013-05-20 22:13:50+00:00,L8,477.38,383.54,383.81,375.92,366.92,366.62,378.05,390.04
2013-05-28 22:07:35+00:00,L7,363.00,354.51,359.42,348.58,339.32,354.47,352.44,361.60
2013-06-05 22:13:51+00:00,L8,471.16,373.06,370.71,362.31,352.56,351.29,364.33,367.97
2013-06-21 22:13:43+00:00,L8,479.88,385.02,382.86,375.19,360.28,364.86,378.83,382.81
2013-06-29 22:07:21+00:00,L7,380.19,372.87,,359.05,357.41,,,367.85
2013-07-07 22:13:48+00:00,L8,465.45,377.51,374.04,366.06,358.22,359.64,373.79,371.33
2013-07-15 22:07:11+00:00,L7,458.20,370.83,363.41,352.21,348.92,351.12,368.04,362.59
2013-08-16 22:07:07+00:00,L7,478.60,,,,,,,
2013-09-09 22:13:49+00:00,L8,357.84,367.12,362.44,349.25,344.55,353.69,,
2013-09-17 22:07:29+00:00,L7,470.55,381.20,378.03,367.44,362.32,356.77,364.49,367.59
2013-10-11 22:13:41+00:00,L8,386.34,370.99,364.24,362.60,360.81,356.79,359.72,366.14
2013-10-19 22:07:51+00:00,L7,457.92,371.77,,,,,,363.19
2013-10-27 22:13:31+00:00,L8,475.68,379.41,379.45,375.98,367.70,363.36,377.42,374.76
2013-11-12 22:13:32+00:00,L8,479.86,385.88,381.27,375.67,365.60,363.29,374.63,372.05
2013-12-14 22:13:21+00:00,L8,472.48,381.87,379.71,370.68,366.96,362.57,369.09,374.53
