dates,nzd0149-0000,nzd0149-0001,nzd0149-0002,nzd0149-0003,nzd0149-0004,nzd0149-0005,satname
1999-08-26 22:04:44+00:00,362.70,361.27,363.98,365.82,369.42,373.69,L7
1999-09-27 22:04:48+00:00,368.42,369.35,373.08,370.66,373.34,376.43,L7
1999-11-14 22:04:42+00:00,366.72,369.41,371.64,370.70,371.55,373.89,L7
1999-12-09 21:58:57+00:00,370.04,371.44,373.15,371.90,371.36,373.05,L7
1999-12-25 21:58:28+00:00,371.32,372.15,372.87,371.82,369.52,371.91,L7
2000-02-11 21:58:45+00:00,370.74,372.14,372.78,371.25,369.98,372.39,L7
2000-05-24 22:03:46+00:00,371.25,370.74,372.34,370.59,368.42,370.89,L7
2000-07-11 22:03:17+00:00,368.26,370.46,371.56,369.11,370.16,372.75,L7
2000-07-20 21:56:59+00:00,365.97,367.33,368.74,367.58,365.40,371.64,L7
2000-09-06 21:56:46+00:00,365.71,362.94,366.10,368.07,361.95,370.06,L7
2000-10-15 22:01:56+00:00,366.82,365.34,367.90,368.67,365.43,370.45,L7
2000-12-11 21:56:24+00:00,368.57,367.87,368.06,368.02,366.45,369.60,L7
2001-01-03 22:02:12+00:00,367.42,366.85,366.82,366.61,365.69,368.65,L7
2001-01-12 21:56:30+00:00,367.49,366.61,368.63,368.02,367.66,370.04,L7
2001-01-28 21:56:08+00:00,370.46,369.77,371.22,369.64,371.08,371.27,L7
2001-02-13 21:56:03+00:00,370.85,370.32,371.56,369.69,371.46,371.68,L7
2001-03-17 21:55:52+00:00,371.51,372.23,372.01,368.26,370.68,371.39,L7
2001-03-24 22:01:59+00:00,370.69,371.75,371.67,368.31,371.06,371.65,L7
2001-06-05 21:55:40+00:00,368.42,368.29,369.93,365.81,369.81,370.98,L7
2001-06-12 22:01:24+00:00,366.74,366.27,369.61,365.46,369.73,371.62,L7
2001-06-21 21:55:05+00:00,365.92,365.23,368.88,363.76,368.97,371.46,L7
2001-06-28 22:01:09+00:00,366.01,366.02,368.21,363.19,368.09,370.08,L7
2001-08-08 21:55:01+00:00,363.84,363.88,366.15,360.83,367.33,369.62,L7
2001-08-15 22:00:38+00:00,365.22,364.98,366.90,361.26,366.63,369.84,L7
2001-09-09 21:54:12+00:00,365.27,365.37,367.10,361.82,367.14,370.09,L7
2001-10-11 21:54:09+00:00,366.19,366.36,368.10,362.43,366.17,370.25,L7
2001-10-18 22:00:06+00:00,366.26,367.37,368.85,362.55,365.47,369.35,L7
2001-12-05 22:00:18+00:00,366.92,368.63,368.58,362.96,364.73,368.44,L7
2002-01-06 22:00:31+00:00,368.72,370.81,369.53,365.62,365.02,369.20,L7
2002-01-22 22:00:40+00:00,368.73,370.91,369.36,366.32,365.67,369.66,L7
2002-02-16 21:54:54+00:00,366.32,368.07,366.87,364.71,363.86,366.93,L7
2002-04-28 22:00:38+00:00,363.74,363.95,364.25,364.10,363.54,366.18,L7
2002-05-30 22:00:25+00:00,364.05,363.59,366.33,365.37,365.69,368.40,L7
2002-07-01 22:00:15+00:00,364.90,363.67,367.12,366.85,367.74,370.53,L7
2002-07-17 22:00:08+00:00,365.47,365.58,369.12,369.03,369.89,371.73,L7
