dates,nzd0039-0000,nzd0039-0001,nzd0039-0002,nzd0039-0003,nzd0039-0004,nzd0039-0005,satname
1999-07-25 22:04:15+00:00,444.43,374.97,386.97,377.73,382.32,381.80,L7
1999-08-26 22:04:21+00:00,457.60,373.03,382.11,380.95,380.31,381.35,L7
1999-09-27 22:04:25+00:00,445.44,372.85,379.75,380.30,380.50,380.79,L7
1999-10-04 22:10:38+00:00,440.94,369.85,376.75,378.91,379.53,379.80,L7
1999-11-14 22:04:18+00:00,440.94,368.43,374.68,378.08,378.26,379.12,L7
1999-11-21 22:10:24+00:00,442.38,367.55,374.68,378.57,378.23,378.49,L7
2000-02-09 22:10:19+00:00,450.49,366.83,373.56,379.62,378.87,379.93,L7
2000-03-28 22:10:07+00:00,453.52,363.59,370.54,376.99,378.16,379.57,L7
2000-04-13 22:09:54+00:00,454.93,366.31,375.45,379.53,380.19,380.94,L7
2000-04-29 22:09:53+00:00,449.59,366.74,374.64,379.74,379.94,381.89,L7
2000-05-08 22:03:33+00:00,449.59,366.74,374.64,378.55,378.03,379.74,L7
2000-05-24 22:03:22+00:00,450.07,369.57,380.78,381.52,381.41,384.11,L7
2000-06-09 22:03:16+00:00,446.45,371.07,380.72,381.98,382.74,384.37,L7
2000-06-16 22:09:26+00:00,436.77,371.34,382.93,383.09,381.87,382.92,L7
2000-08-03 22:08:44+00:00,433.89,371.83,383.45,383.96,382.53,383.43,L7
2001-01-03 22:01:48+00:00,422.09,366.62,376.22,385.51,382.09,385.54,L7
2001-03-24 22:01:35+00:00,413.66,364.74,375.84,380.26,380.48,385.21,L7
2001-06-03 22:07:16+00:00,425.03,367.36,382.56,382.61,382.78,386.55,L7
2001-06-19 22:07:05+00:00,431.06,371.48,385.73,384.32,385.09,388.14,L7
2001-08-15 22:00:14+00:00,435.54,374.92,391.75,387.43,388.16,390.97,L7
2001-08-31 22:00:05+00:00,435.82,374.24,389.13,385.81,387.93,386.16,L7
2001-09-07 22:06:11+00:00,429.01,373.04,388.14,386.58,387.62,386.37,L7
2001-10-02 21:59:40+00:00,425.95,371.44,385.38,386.21,387.38,386.13,L7
2001-11-03 21:59:47+00:00,424.21,371.49,383.77,385.03,385.51,385.21,L7
2001-11-19 21:59:56+00:00,422.12,371.03,382.62,384.56,385.20,385.29,L7
2001-12-28 22:06:14+00:00,413.34,368.09,377.65,383.45,383.37,380.97,L7
2002-01-22 22:00:16+00:00,413.34,367.74,378.14,382.82,383.89,382.25,L7
2002-02-14 22:06:29+00:00,407.44,366.74,376.95,380.33,383.48,380.52,L7
2002-03-27 22:00:13+00:00,398.63,366.47,375.55,378.90,382.16,381.71,L7
2002-04-12 22:00:13+00:00,401.01,367.41,376.08,379.07,381.49,382.54,L7
2002-06-15 21:59:55+00:00,394.31,368.47,378.67,379.72,384.53,384.54,L7
2002-06-22 22:06:03+00:00,402.04,369.92,380.77,380.86,385.12,385.70,L7
2002-07-24 22:05:50+00:00,401.21,372.28,382.17,381.69,385.23,387.99,L7
2002-08-18 21:59:33+00:00,400.00,374.28,383.77,383.41,385.25,389.33,L7
2002-10-21 21:59:12+00:00,404.76,375.29,387.62,384.33,387.27,389.32,L7
2002-10-28 22:05:22+00:00,404.76,374.64,387.34,384.65,387.68,389.59,L7
2002-12-31 22:05:56+00:00,396.34,368.72,380.20,381.28,383.50,385.22,L7
2003-01-09 21:59:45+00:00,391.42,368.95,378.94,381.24,382.80,384.86,L7
2003-01-16 22:06:02+00:00,391.42,368.49,378.21,381.64,382.20,384.56,L7
2003-01-25 21:59:54+00:00,388.60,367.74,376.59,380.67,382.47,385.43,L7
2003-04-06 22:06:21+00:00,392.20,366.52,376.27,382.17,382.46,384.24,L7
2003-04-22 22:06:19+00:00,417.98,367.19,376.92,383.18,382.83,385.25,L7
2003-05-08 22:06:20+00:00,424.48,367.76,377.01,383.95,383.15,385.61,L7
2003-05-24 22:06:17+00:00,427.17,369.92,379.35,384.87,384.01,386.30,L7
2003-07-28 21:48:04+00:00,428.85,375.23,386.83,389.49,386.75,387.24,L5
2003-08-13 21:48:21+00:00,425.64,375.04,385.43,387.84,385.30,385.89,L5
2003-08-29 21:48:38+00:00,424.49,374.78,385.38,387.63,384.84,385.75,L5
2003-09-30 21:49:06+00:00,424.49,374.63,385.11,386.55,383.56,384.90,L5
2003-10-24 21:59:46+00:00,419.82,375.55,383.45,385.44,382.97,384.92,L7
2003-10-31 22:06:00+00:00,419.82,374.26,382.23,384.74,382.83,384.29,L7
2003-11-16 22:06:11+00:00,413.77,371.81,378.06,382.34,379.42,381.50,L7
2003-11-25 22:00:05+00:00,408.45,368.81,374.19,379.97,377.03,379.23,L7
2003-12-10 21:56:06+00:00,408.79,367.82,374.19,379.27,377.16,378.46,L5
2003-12-19 21:50:03+00:00,415.32,368.84,375.85,380.59,378.79,380.27,L5
2004-01-04 21:50:10+00:00,419.33,368.58,375.83,380.93,379.62,381.36,L5
2004-01-19 22:06:35+00:00,424.13,368.58,375.83,380.93,379.62,381.36,L7
2004-02-05 21:50:17+00:00,435.05,368.56,376.75,381.60,380.13,382.72,L5
2004-04-08 22:06:49+00:00,442.20,367.10,375.44,380.61,381.40,383.11,L7
2004-04-17 22:00:33+00:00,442.20,366.53,374.47,379.85,380.57,382.65,L7
2004-05-03 22:00:35+00:00,445.21,366.80,373.99,379.76,380.14,383.41,L7
2004-05-26 22:06:45+00:00,452.22,370.04,381.36,383.12,384.02,387.90,L7
2004-06-12 21:52:47+00:00,457.41,373.28,384.16,385.91,386.05,390.95,L5
2004-07-14 21:53:43+00:00,446.07,373.38,384.82,388.00,386.66,391.38,L5
2004-07-21 22:00:04+00:00,437.18,372.97,385.91,388.41,387.05,391.42,L5
2004-07-29 22:06:27+00:00,435.88,372.84,385.97,388.23,386.95,391.39,L7
2004-07-30 21:54:04+00:00,430.14,372.48,385.83,388.57,386.74,390.68,L5
2004-08-06 22:00:22+00:00,418.62,371.97,386.33,388.32,387.07,390.65,L5
2004-08-07 22:00:13+00:00,418.62,372.35,386.53,388.73,387.47,391.20,L7
2004-08-15 21:54:25+00:00,415.45,372.29,385.49,388.00,386.57,390.60,L5
2004-11-19 21:56:31+00:00,415.45,373.03,387.66,391.18,388.13,391.94,L5
2004-12-13 22:00:36+00:00,403.84,370.84,385.86,389.54,386.67,390.75,L7
2005-01-13 22:03:41+00:00,412.75,370.98,384.93,387.28,384.51,388.89,L5
2005-01-14 22:00:49+00:00,412.33,370.53,384.15,386.44,384.07,388.72,L7
2005-01-21 22:06:59+00:00,415.01,369.56,381.91,385.18,383.03,388.28,L7
2005-02-15 22:01:01+00:00,431.71,367.48,378.81,382.37,380.43,388.21,L7
2005-02-22 22:07:14+00:00,421.83,366.52,378.23,382.05,380.68,387.70,L7
2005-02-23 21:58:07+00:00,416.94,366.78,378.93,382.35,381.50,388.07,L5
2005-03-03 22:01:06+00:00,410.76,366.60,377.56,381.95,381.03,387.58,L7
2005-03-18 22:04:34+00:00,410.76,366.60,377.56,381.84,381.03,387.58,L5
2005-03-19 22:01:06+00:00,403.82,366.17,376.14,380.73,380.11,386.39,L7
2005-03-27 21:58:27+00:00,403.82,367.47,377.81,381.72,380.95,386.24,L5
2005-04-03 22:04:40+00:00,403.82,368.91,379.24,383.05,382.14,387.68,L5
2005-04-04 22:01:03+00:00,404.23,368.65,378.66,382.30,381.12,386.48,L7
2005-04-19 22:04:43+00:00,406.71,369.47,379.65,382.82,381.94,387.03,L5
2005-05-06 22:01:01+00:00,410.69,369.99,379.98,382.91,382.06,387.25,L7
2005-05-22 22:01:00+00:00,405.43,369.19,378.08,381.77,382.00,387.59,L7
2005-05-29 22:07:09+00:00,403.12,369.43,378.58,381.86,382.04,387.16,L7
2005-05-30 21:58:51+00:00,399.69,369.39,379.09,382.40,381.77,386.47,L5
2005-06-06 22:05:05+00:00,398.31,369.57,379.87,382.78,382.24,386.75,L5
2005-06-07 22:00:55+00:00,398.45,370.05,379.87,382.78,382.49,386.99,L7
2005-06-14 22:07:02+00:00,398.45,370.22,379.36,383.29,384.11,386.99,L7
2005-07-08 22:05:15+00:00,398.57,370.23,379.27,383.40,384.19,387.06,L5
2005-07-09 22:00:50+00:00,398.57,370.50,379.11,383.35,384.20,386.84,L7
2005-08-10 22:00:46+00:00,393.24,371.30,380.37,384.03,385.09,387.08,L7
2005-08-25 22:05:41+00:00,394.78,372.10,380.91,384.38,385.26,386.32,L5
2005-09-02 22:06:46+00:00,395.31,372.58,381.50,384.73,385.74,386.88,L7
2005-09-03 21:59:32+00:00,395.31,372.72,381.47,384.77,386.04,387.45,L5
2005-09-18 22:06:39+00:00,398.13,372.78,382.14,385.70,386.56,387.67,L7
2005-09-19 21:59:32+00:00,399.36,372.71,381.99,385.35,386.20,387.19,L5
2005-09-26 22:05:42+00:00,399.36,372.59,381.34,385.02,386.12,387.74,L5
2005-11-21 22:07:07+00:00,390.67,372.40,381.66,385.49,386.49,387.11,L7
2005-11-22 21:59:59+00:00,398.04,372.36,381.69,385.25,386.40,387.44,L5
2005-11-30 22:01:00+00:00,407.04,371.84,380.06,384.04,386.03,387.49,L7
2005-12-16 22:01:02+00:00,410.67,371.19,379.41,382.83,383.33,386.76,L7
2006-01-08 22:07:25+00:00,413.49,370.45,379.17,382.48,382.76,386.91,L7
2006-02-09 22:07:38+00:00,415.31,368.55,376.67,380.74,380.88,385.10,L7
2006-02-10 22:01:51+00:00,415.31,369.08,377.66,381.27,381.63,385.87,L5
2006-02-17 22:08:11+00:00,414.07,368.78,377.14,381.06,381.39,385.99,L5
2006-03-14 22:02:31+00:00,418.28,368.11,376.48,380.34,380.00,384.10,L5
2006-04-06 22:09:08+00:00,423.04,367.23,375.67,379.95,379.72,383.73,L5
2006-04-30 22:07:38+00:00,422.23,368.22,376.35,380.73,380.46,384.60,L7
2006-05-09 22:01:28+00:00,423.82,369.23,377.63,381.22,381.61,385.73,L7
2006-05-17 22:03:33+00:00,423.82,370.02,379.27,382.64,382.59,386.95,L5
2006-06-10 22:01:26+00:00,422.14,371.83,381.92,384.54,384.75,388.60,L7
2006-06-17 22:07:34+00:00,423.96,372.39,382.16,385.23,385.71,389.15,L7
2006-06-25 22:10:20+00:00,432.60,372.83,383.27,385.58,385.77,388.80,L5
2006-06-26 22:01:20+00:00,432.60,373.16,383.74,385.34,386.39,388.93,L7
2006-07-03 22:07:28+00:00,432.60,373.05,383.33,385.43,386.26,389.31,L7
2006-07-04 22:04:17+00:00,434.72,373.72,383.64,386.08,386.68,389.66,L5
2006-07-27 22:10:47+00:00,441.10,374.84,385.66,386.94,387.58,389.98,L5
2006-08-21 22:04:55+00:00,446.56,377.80,389.07,389.06,389.98,391.50,L5
2006-08-28 22:11:11+00:00,450.32,377.81,389.04,389.25,390.16,391.34,L5
2006-09-05 22:07:11+00:00,450.32,377.58,388.41,389.23,390.16,391.34,L7
2006-09-29 22:11:34+00:00,457.61,377.28,387.68,388.77,389.88,391.44,L5
2006-10-16 22:00:55+00:00,457.04,376.72,387.63,389.19,389.90,392.36,L7
2006-11-01 22:01:10+00:00,459.98,376.10,388.00,389.24,389.27,391.55,L7
2006-11-24 22:07:37+00:00,457.01,375.20,386.49,388.31,388.23,389.91,L7
2006-11-25 22:06:19+00:00,446.62,373.44,385.91,388.98,390.06,389.91,L5
2006-12-02 22:12:34+00:00,434.59,371.99,385.26,388.56,390.55,389.91,L5
2006-12-11 22:06:28+00:00,421.80,371.40,384.53,388.41,390.20,389.54,L5
2007-01-03 22:12:49+00:00,403.06,367.47,383.30,390.72,395.26,388.34,L5
2007-02-13 22:06:23+00:00,394.56,366.50,381.16,389.46,394.36,387.01,L5
2007-02-21 22:01:52+00:00,394.56,365.53,380.34,389.72,394.83,385.99,L7
2007-02-28 22:08:05+00:00,382.13,363.29,378.52,388.17,393.39,384.84,L7
2007-05-03 22:08:02+00:00,354.64,360.57,379.21,389.30,397.79,385.91,L7
2007-05-28 22:01:40+00:00,360.31,364.13,380.97,388.73,396.79,389.11,L7
2007-06-13 22:01:40+00:00,394.65,368.88,383.53,390.10,395.70,389.66,L7
2007-07-22 22:07:45+00:00,421.23,373.45,386.22,386.44,387.30,389.91,L7
2007-09-25 22:04:24+00:00,440.69,377.75,392.79,388.61,388.64,392.56,L5
2007-10-02 22:10:31+00:00,447.06,376.32,390.52,386.87,385.81,388.83,L5
2007-12-22 22:01:44+00:00,466.24,375.00,385.79,382.69,381.78,382.82,L7
2007-12-29 22:07:56+00:00,466.24,373.16,384.63,383.28,382.02,384.07,L7
2008-04-28 22:01:29+00:00,435.71,372.44,379.73,384.15,387.11,390.75,L7
2008-06-06 22:07:24+00:00,425.97,372.96,380.59,385.47,387.48,391.22,L7
2008-08-02 22:00:39+00:00,420.22,374.97,381.79,385.29,387.67,388.29,L7
2008-09-26 22:06:23+00:00,421.04,371.92,378.53,383.60,385.47,387.83,L7
2008-10-21 22:00:12+00:00,421.04,371.92,378.53,383.60,385.47,390.17,L7
2008-11-13 22:06:43+00:00,410.88,369.06,376.50,383.11,383.50,389.01,L7
2008-11-21 22:01:05+00:00,403.65,366.81,373.91,380.57,382.16,387.96,L5
2008-11-29 22:06:55+00:00,403.65,367.04,374.38,380.15,380.55,386.03,L7
2008-12-31 22:07:13+00:00,400.51,365.55,372.63,378.30,379.86,384.39,L7
2009-01-24 22:02:55+00:00,396.61,365.26,372.81,379.20,380.58,385.25,L5
2009-02-02 21:56:58+00:00,392.32,365.38,373.94,381.18,381.31,386.82,L5
2009-02-17 22:07:31+00:00,399.36,364.90,374.56,381.56,381.34,386.94,L7
2009-03-21 22:07:47+00:00,405.51,366.13,375.21,382.46,381.83,387.45,L7
2009-03-30 22:01:40+00:00,404.85,366.61,376.13,383.03,382.20,386.48,L7
2009-05-01 22:01:49+00:00,404.85,367.61,375.74,385.78,382.20,385.02,L7
2009-05-08 22:08:01+00:00,404.85,366.89,376.13,385.69,382.38,384.20,L7
2009-06-02 22:01:51+00:00,418.21,370.86,380.35,391.04,385.66,386.79,L7
2009-06-09 22:08:01+00:00,417.03,371.50,380.27,390.83,385.43,385.83,L7
2009-06-25 22:07:59+00:00,415.92,370.05,378.18,387.88,382.63,383.83,L7
2009-07-04 22:01:47+00:00,415.92,370.86,378.22,387.15,382.84,384.70,L7
2009-08-05 22:01:37+00:00,429.41,372.08,378.67,386.51,382.32,382.78,L7
2009-09-06 22:01:35+00:00,425.84,373.00,378.73,386.04,382.68,382.57,L7
2009-11-25 22:02:09+00:00,428.16,372.83,378.72,381.57,380.86,382.76,L7
2010-02-20 22:09:33+00:00,429.48,368.46,378.06,380.15,380.84,386.91,L7
2010-03-17 22:03:33+00:00,434.16,367.56,377.66,380.40,379.05,387.33,L7
2010-04-09 22:09:48+00:00,438.46,367.30,377.66,382.31,380.68,389.12,L7
2010-05-04 22:03:35+00:00,445.90,368.43,382.24,383.48,382.51,390.77,L7
2010-06-12 22:09:43+00:00,434.16,370.13,381.50,383.61,382.21,386.87,L7
2010-06-28 22:09:46+00:00,430.18,370.67,380.81,384.62,382.73,387.57,L7
2010-07-07 22:03:37+00:00,430.18,370.49,381.43,384.75,381.98,387.57,L7
2010-07-14 22:09:48+00:00,428.40,371.40,381.23,384.53,382.46,386.36,L7
2010-07-30 22:09:48+00:00,426.38,372.06,383.41,385.21,382.92,386.09,L7
2010-08-08 22:03:37+00:00,428.19,373.02,384.00,385.11,383.80,386.18,L7
