dates,satname,nzd0013-0000,nzd0013-0001
1999-08-17 22:10:26+00:00,L7,370.82,376.44
1999-10-04 22:10:38+00:00,L7,448.98,395.33
2000-03-28 22:10:07+00:00,L7,422.72,382.73
2000-05-15 22:09:42+00:00,L7,362.99,
2000-08-03 22:08:44+00:00,L7,370.57,373.54
2000-08-19 22:08:38+00:00,L7,422.94,378.31
2000-09-20 22:08:03+00:00,L7,392.07,386.03
2000-10-06 22:07:59+00:00,L7,422.74,389.35
2000-10-22 22:07:50+00:00,L7,,
2001-01-26 22:08:07+00:00,L7,374.75,370.42
2001-02-27 22:07:54+00:00,L7,364.19,363.45
2001-05-18 22:07:26+00:00,L7,394.69,394.94
2001-06-03 22:07:16+00:00,L7,,
2001-06-19 22:07:05+00:00,L7,,
2001-09-07 22:06:11+00:00,L7,362.96,365.94
2001-09-23 22:06:03+00:00,L7,374.83,386.48
2001-11-26 22:06:09+00:00,L7,395.56,387.23
2001-12-12 22:06:14+00:00,L7,450.30,382.81
2001-12-28 22:06:14+00:00,L7,391.86,375.70
2002-02-14 22:06:29+00:00,L7,359.88,360.42
2002-07-08 22:06:00+00:00,L7,535.19,
2002-07-24 22:05:50+00:00,L7,376.11,383.76
2002-11-13 22:05:30+00:00,L7,,
2002-12-31 22:05:56+00:00,L7,394.34,377.32
2003-05-24 22:06:17+00:00,L7,,
2003-08-28 22:05:57+00:00,L7,379.24,364.03
2003-10-31 22:06:00+00:00,L7,391.76,
2004-02-04 22:06:41+00:00,L7,421.10,383.29
2004-03-07 22:06:48+00:00,L7,362.25,372.80
2004-03-23 22:06:52+00:00,L7,365.09,373.41
2004-04-08 22:06:49+00:00,L7,368.73,368.54
2004-05-18 21:58:14+00:00,L5,417.11,375.27
2004-05-26 22:06:45+00:00,L7,,
2004-06-03 21:58:42+00:00,L5,433.45,
2004-06-11 22:06:38+00:00,L7,,
2004-07-13 22:06:34+00:00,L7,381.98,
2004-07-29 22:06:27+00:00,L7,366.50,384.58
2004-08-22 22:00:48+00:00,L5,,
2004-08-30 22:06:20+00:00,L7,374.36,386.40
2004-11-02 22:06:28+00:00,L7,,366.97
2004-11-18 22:06:34+00:00,L7,347.91,362.63
2004-12-04 22:06:44+00:00,L7,446.92,381.71
2005-01-13 22:03:41+00:00,L5,430.68,378.52
2005-01-21 22:06:59+00:00,L7,422.24,380.55
2005-02-06 22:07:07+00:00,L7,407.26,384.92
2005-02-14 22:04:09+00:00,L5,432.90,390.48
2005-02-22 22:07:14+00:00,L7,407.29,372.95
2005-04-03 22:04:40+00:00,L5,,
2005-04-19 22:04:43+00:00,L5,444.28,389.84
2005-05-29 22:07:09+00:00,L7,580.98,
2005-06-06 22:05:05+00:00,L5,430.31,378.51
2005-06-14 22:07:02+00:00,L7,,
2005-06-30 22:06:59+00:00,L7,380.82,406.20
2005-07-24 22:05:27+00:00,L5,,
2005-08-01 22:06:59+00:00,L7,446.32,394.00
2005-09-02 22:06:46+00:00,L7,368.74,
2005-09-18 22:06:39+00:00,L7,,379.18
2005-09-26 22:05:42+00:00,L5,431.49,386.07
2006-01-08 22:07:25+00:00,L7,,393.49
2006-02-01 22:07:49+00:00,L5,344.96,346.14
2006-02-09 22:07:38+00:00,L7,445.84,391.67
2006-02-17 22:08:11+00:00,L5,415.09,375.79
2006-03-13 22:07:41+00:00,L7,135.84,
2006-04-14 22:07:36+00:00,L7,371.30,375.95
2006-05-08 22:09:38+00:00,L5,430.50,391.99
2006-05-16 22:07:40+00:00,L7,,
2006-06-17 22:07:34+00:00,L7,447.60,393.30
2006-06-25 22:10:20+00:00,L5,374.76,380.17
2006-07-03 22:07:28+00:00,L7,,
2006-07-19 22:07:20+00:00,L7,370.92,
2006-07-27 22:10:47+00:00,L5,433.27,386.81
2006-08-12 22:10:59+00:00,L5,369.44,377.12
2006-11-24 22:07:37+00:00,L7,141.08,
2006-12-10 22:07:44+00:00,L7,368.41,378.78
2007-02-12 22:08:00+00:00,L7,391.83,387.06
2007-02-28 22:08:05+00:00,L7,407.35,
2007-04-01 22:08:07+00:00,L7,,
2007-05-03 22:08:02+00:00,L7,365.34,374.72
2007-07-22 22:07:45+00:00,L7,,
2007-10-02 22:10:31+00:00,L5,446.02,378.52
2007-10-10 22:07:19+00:00,L7,368.66,375.86
2007-11-27 22:07:48+00:00,L7,,
2007-12-29 22:07:56+00:00,L7,391.79,378.92
2008-04-03 22:07:44+00:00,L7,,
2008-06-06 22:07:24+00:00,L7,,
2008-06-22 22:07:15+00:00,L7,559.36,
2008-08-09 22:06:47+00:00,L7,,
2008-08-25 22:06:40+00:00,L7,,
2008-09-26 22:06:23+00:00,L7,394.25,386.65
2008-10-12 22:06:13+00:00,L7,407.16,375.30
2008-11-13 22:06:43+00:00,L7,,
2008-11-21 22:01:05+00:00,L5,415.19,380.70
2008-11-29 22:06:55+00:00,L7,,
2008-12-15 22:07:05+00:00,L7,359.35,351.24
2008-12-31 22:07:13+00:00,L7,,
2009-01-24 22:02:55+00:00,L5,430.30,388.07
2009-03-21 22:07:47+00:00,L7,385.39,393.13
2009-05-08 22:08:01+00:00,L7,368.20,377.07
2009-06-09 22:08:01+00:00,L7,,
2009-09-29 22:07:43+00:00,L7,367.55,377.50
2009-10-15 22:07:44+00:00,L7,391.81,387.91
2010-01-27 22:08:26+00:00,L5,431.63,384.53
2010-02-04 22:09:23+00:00,L7,354.12,357.04
2010-02-12 22:08:30+00:00,L5,430.65,379.48
2010-02-20 22:09:33+00:00,L7,,
2010-03-24 22:09:46+00:00,L7,,
2010-05-27 22:09:43+00:00,L7,,
2010-06-12 22:09:43+00:00,L7,376.04,
2010-06-28 22:09:46+00:00,L7,,
2010-07-14 22:09:48+00:00,L7,,
2010-10-02 22:09:49+00:00,L7,484.26,396.92
2010-11-03 22:10:09+00:00,L7,391.85,
2010-12-05 22:10:32+00:00,L7,422.21,369.49
2011-01-14 22:07:31+00:00,L5,417.00,386.65
2011-02-07 22:11:00+00:00,L7,407.11,381.94
2011-02-15 22:07:34+00:00,L5,433.44,388.01
2011-02-23 22:11:05+00:00,L7,,
2011-03-11 22:11:09+00:00,L7,366.72,377.75
2011-05-30 22:11:11+00:00,L7,373.77,386.97
2011-07-17 22:11:06+00:00,L7,438.40,393.01
2011-08-18 22:10:59+00:00,L7,,
2011-09-11 22:06:09+00:00,L5,418.56,376.55
2011-09-19 22:10:52+00:00,L7,447.05,389.35
2011-10-21 22:10:56+00:00,L7,438.42,393.15
2012-02-10 22:11:42+00:00,L7,391.80,368.69
2012-03-13 22:11:42+00:00,L7,372.93,365.86
2012-06-01 22:11:59+00:00,L7,,
2012-10-23 22:13:24+00:00,L7,381.60,391.85
2012-12-10 22:13:38+00:00,L7,393.08,380.41
2013-01-11 22:13:44+00:00,L7,363.37,366.23
2013-01-27 22:13:47+00:00,L7,355.78,366.79
2013-04-25 22:19:21+00:00,L8,,
2013-05-03 22:13:30+00:00,L7,371.69,381.55
2013-05-11 22:19:31+00:00,L8,,
2013-05-19 22:13:27+00:00,L7,,
2013-06-20 22:13:13+00:00,L7,449.54,397.89
2013-06-28 22:19:33+00:00,L8,380.26,391.84
2013-07-06 22:13:02+00:00,L7,374.38,
2013-07-14 22:19:34+00:00,L8,377.26,393.38
2013-08-23 22:12:58+00:00,L7,,
2013-08-31 22:19:38+00:00,L8,386.08,390.02
2013-09-08 22:13:10+00:00,L7,,
2014-02-23 22:18:20+00:00,L8,438.43,393.62
2014-05-14 22:17:08+00:00,L8,366.49,377.47
2014-05-30 22:17:11+00:00,L8,364.46,376.00
2014-07-01 22:17:22+00:00,L8,361.68,
2014-07-17 22:17:28+00:00,L8,367.02,380.24
2014-09-19 22:17:42+00:00,L8,392.91,396.44
2015-01-25 22:17:32+00:00,L8,,
2015-02-26 22:17:23+00:00,L8,447.61,398.17
2015-06-02 22:16:44+00:00,L8,350.59,380.20
2015-07-20 22:17:10+00:00,L8,385.45,393.35
2015-08-05 22:17:13+00:00,L8,,
2015-10-24 22:17:40+00:00,L8,447.61,397.10
2015-12-11 22:17:42+00:00,L8,422.47,381.52
2015-12-27 22:17:43+00:00,L8,393.67,362.28
2016-01-12 22:17:40+00:00,L8,356.31,357.72
2016-04-01 22:17:14+00:00,L8,448.29,402.45
2016-04-17 22:17:09+00:00,L8,384.24,394.74
2016-09-08 22:17:48+00:00,L8,446.24,394.36
2016-09-24 22:17:49+00:00,L8,438.22,394.28
2016-10-10 22:17:54+00:00,L8,422.41,384.01
2016-10-26 22:17:56+00:00,L8,457.86,396.78
2016-11-27 22:17:56+00:00,L8,407.38,374.58
2016-12-29 22:17:49+00:00,L8,,
2017-01-30 22:17:38+00:00,L8,,
2017-03-03 22:17:25+00:00,L8,,
2017-04-20 22:16:59+00:00,L8,384.30,394.60
2017-06-07 22:17:15+00:00,L8,368.99,393.22
2017-07-09 22:17:23+00:00,L8,371.44,
2017-10-29 22:17:53+00:00,L8,386.00,390.81
2018-01-01 22:17:44+00:00,L8,407.23,364.93
2018-02-02 22:17:27+00:00,L8,349.41,356.76
2018-04-07 22:16:59+00:00,L8,365.93,389.73
2018-04-23 22:16:49+00:00,L8,384.38,392.83
2018-05-09 22:16:40+00:00,L8,,
2018-05-25 22:16:28+00:00,L8,359.84,388.18
2018-06-26 22:16:36+00:00,L8,438.37,394.90
2018-07-12 22:16:44+00:00,L8,380.67,393.50
2018-07-28 22:16:51+00:00,L8,,
2018-11-17 22:17:31+00:00,L8,422.91,387.56
2018-12-19 22:17:28+00:00,L8,422.50,392.81
2019-01-04 22:17:27+00:00,L8,422.35,390.30
2019-02-05 22:17:21+00:00,L8,355.38,374.52
2019-03-09 22:17:13+00:00,L8,,
2019-03-25 22:17:09+00:00,L8,362.14,375.07
2019-04-26 22:16:59+00:00,L8,376.22,391.54
2019-05-28 22:17:17+00:00,L8,380.79,394.96
2019-06-29 22:17:29+00:00,L8,350.62,381.07
2019-07-31 22:17:38+00:00,L8,367.23,397.42
2019-12-06 22:17:54+00:00,L8,422.10,401.30
2019-12-22 22:17:51+00:00,L8,407.19,391.59
2020-02-08 22:17:38+00:00,L8,407.28,378.14
2020-02-24 22:17:35+00:00,L8,358.89,372.53
2020-03-11 22:17:28+00:00,L8,353.95,367.67
2020-03-27 22:17:20+00:00,L8,362.55,380.23
2020-07-01 22:17:22+00:00,L8,378.86,
