,dates,chi0451-0000,chi0451-0001,chi0451-0002,chi0451-0003,chi0451-0004,chi0451-0005,chi0451-0006,chi0451-0007,chi0451-0008,chi0451-0009,chi0451-0010,chi0451-0011,chi0451-0012,chi0451-0013,chi0451-0014,chi0451-0015,chi0451-0016,chi0451-0017,chi0451-0018,chi0451-0019,chi0451-0020,chi0451-0021,chi0451-0022,chi0451-0023,chi0451-0024,chi0451-0025,chi0451-0026,chi0451-0027,chi0451-0028,chi0451-0029,chi0451-0030,chi0451-0031,chi0451-0032,chi0451-0033,chi0451-0034,chi0451-0035,chi0451-0036,chi0451-0037,chi0451-0038,chi0451-0039,chi0451-0040,chi0451-0041,chi0451-0042,chi0451-0043,chi0451-0044,chi0451-0045,chi0451-0046,chi0451-0047,chi0451-0048,chi0451-0049,chi0451-0050,chi0451-0051,chi0451-0052,chi0451-0053
0,1986-02-04 14:07:59+00:00,150.81593348400733,147.50668303405848,,172.89474283082154,175.03129595743363,182.5751736806201,174.25236154386678,185.9859601139626,197.23578101728484,,193.04398301055375,191.65540212073995,178.94021399027588,,172.4325613069373,,168.44210761966625,,,163.15961821995955,,,,,,,,164.35325988227902,,,164.29921797416947,178.7857032621116,,,,,,185.05773299510327,196.70903152332113,183.4891563313833,,,174.98150000888288,179.7881931731446,186.36796523749308,,,191.78301745212576,188.54886206259837,,,180.56379105106566,179.39729541860265,169.26890111059276
1,1986-08-15 14:02:41+00:00,120.68168795155388,109.57176659581376,,,,,,167.9694499734338,158.2504795148444,153.79206492982286,160.89256523007325,155.35016625625522,140.27749408174645,133.20265729905964,,,,128.0604948327277,122.93847763431904,125.22433361225208,106.24293795367821,,,121.56201233462356,117.7455122399182,124.20139112796745,129.3411437027596,129.8144695999424,132.07263081278887,120.89556116088549,,,126.32106604712935,,,,,154.20237632493416,162.3127076910037,165.3149970563972,145.69219180546378,143.00452065253515,149.6953835987232,147.68592441410527,172.68841420930622,156.15355587203388,151.86779767052045,163.0335866547079,154.85759778801642,,,144.71507538098737,162.6985547724163,149.9329880901283
2,1986-10-18 14:00:32+00:00,,,,,143.23151339583464,162.06386552974084,153.1340997832807,167.64038474076597,157.95829199452464,150.85504857948052,169.96874268650672,169.93747682290532,158.1365881730879,151.2755443431744,150.16001771287415,,142.33239581613992,150.59345724042083,138.80851626885882,143.4969291928741,124.95565727395565,131.96341274641065,133.90652815736473,139.81796408255698,138.95903792122627,148.38275054257107,149.06994872111096,136.25912879350105,142.5754684020745,151.03617224271608,135.56829277748662,149.6581034052197,152.39239329072515,,,,,,150.39015733378,165.3174266377056,165.46283425421103,154.44695741721165,163.46297074596382,164.76672623421774,162.0866311146864,157.91639090469917,,,,,,,,
3,1986-12-21 14:00:01+00:00,149.97089366351102,144.68893639027777,,180.61015173747842,188.48276789170785,197.84337931636617,196.74029889699463,197.5308246467904,184.0976567707485,177.8382048179782,187.63686224228735,183.9057959061989,181.7517445531318,182.626131305708,185.9777167651309,176.39146323877233,181.00472295107758,179.84042552752885,173.44520392888853,163.57272085285393,169.18935467488632,168.92158325224273,173.70797283995648,173.13769007151564,159.05056044906246,169.07673927825036,172.5096065573441,173.94571647237308,184.03529939506967,190.83374517992073,182.3758796825751,186.64346036701795,177.97430308655868,173.07187263039728,169.6770998436385,193.14743427909406,200.45876105060105,205.90268508741977,201.94931480017573,186.52060394673708,178.76661564950143,188.6477868432681,173.6273163506448,179.14507396912737,191.39578040397464,180.59178227731772,189.4589183780436,184.71297809170957,187.82239898769268,175.415842159756,187.3689159374412,188.86693546285147,186.32068842265687,189.02156727563587
4,1987-01-06 14:00:30+00:00,135.6211957955063,145.8766287068306,,,163.66803286345288,178.170526512981,198.3523049795419,199.1926296815625,183.51858770297326,180.2583140130879,179.36450572549455,174.71652370145972,165.97813104954298,168.1712458912225,160.8605601145339,168.92336057168424,166.01487255531706,171.27967415992674,176.17140734926724,163.82899979134928,162.39130090534982,167.09443587249018,159.17090776587364,166.96752438106336,150.2986973683917,170.25428008465374,167.77029469640894,159.5941662513453,174.21533850088548,191.50605480750258,173.90914942147305,171.35521832055508,171.94139531788562,167.17481572329638,151.74935068451657,181.01346829184965,185.00832722158253,186.86496483433552,186.8680409571195,178.8792378561202,168.45984560630052,174.1791463945078,172.16222398333773,165.84458003631488,182.24191050679917,175.6547260388365,188.9017313916086,178.54296941389373,170.94846633764237,176.2206304859341,167.50241120530373,166.95887023560056,168.70101880403672,169.49405288987026
5,1987-01-22 14:00:58+00:00,151.78569752031495,166.38810272815456,,,182.45788902266804,184.73354867506825,192.21894397324337,186.61705962211238,173.5161757246471,177.57812782789853,179.5950802204901,181.64967802656372,186.27101647214997,175.2435786200862,177.29697409802665,175.93957913376295,182.19550476652748,177.72510872594376,170.11764357738656,172.12690991798496,161.73689992042603,178.6508173250885,170.2095196065349,174.68863302637433,171.31997784904297,168.13789516344298,171.82286202552353,172.21887424187338,180.0355206616428,183.25321174497356,177.7430440401595,167.21377488883286,177.93768773334577,183.8471298933067,185.94021737477482,188.70533369533774,187.99362781674034,192.5965946863761,193.91404540036277,191.86700528764374,188.0606657199703,185.37949339269326,191.69455359924234,176.5586520351152,185.18742473448282,191.6305034196083,186.66898621396126,173.68506106560955,184.087730953562,179.32407021021362,187.5354594256886,188.25729087647565,178.12142217010302,179.36731703169986
6,1987-02-07 14:01:33+00:00,172.06911654238326,183.65041522124952,179.91869418684723,195.96116950535725,203.24524393750988,191.2260220637337,214.77285617702685,,194.7926078654044,170.2952439904643,168.44174095596037,179.95085850098724,192.42070788888208,210.83433154500105,206.24848421733782,209.55154515471725,194.23752286356898,181.5940370613028,189.7905452442617,174.04980257999256,170.95085733977916,179.987285800772,191.88127992029615,186.26085177259304,180.27857429280465,178.41636694595496,176.9061682196833,183.59161135501415,189.5576256931273,175.51335767113525,182.12578438524858,196.43196686939774,208.59777408595252,198.28905455671455,204.81511929738653,209.18248060305822,198.37508808269553,195.7645978281111,196.04334527642828,202.99784984144733,195.91041089623013,188.95132685349023,200.88278737657143,200.31507617267255,208.1245545200547,201.3906404929014,193.7488464810619,193.6114893764183,199.70555727823236,206.10471100211532,191.77552533800664,197.3468824255048,188.4965320216882,197.1494680652265
7,1987-03-27 14:03:21+00:00,,,,,,,,,,,135.3561741691296,136.12785731233708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1998-03-09 14:17:33+00:00,151.91562770014338,154.55966757511356,141.71527315098072,184.98219070742562,200.41115219898452,197.40583672374697,183.00262909709517,193.55201566355186,180.52489446780564,180.72705507942078,177.217600656483,171.47602837855112,172.39544120249298,169.337899448472,162.96686408645343,180.8449573408136,179.91599398275292,167.1850188320165,154.4168108546366,157.402340929415,153.6877516017483,163.0215166853155,169.0944893608047,168.76555388240018,174.1177063247639,164.99039937113514,144.6247748721284,,157.17994979970098,,,,187.87093720325083,176.9624424761919,176.77651842270748,195.1254423210665,198.86242169392585,205.72039890443517,194.31196887428763,174.81605600880994,171.0991459643794,185.12777661916138,209.91450732462107,,,,184.73113444704427,197.794204371665,203.09271250338915,201.1142043331145,165.52452051660356,177.95633743987685,187.61914120673364,187.15010547200035
9,1998-03-25 14:17:47+00:00,169.56280797727976,173.1059516016071,167.37668624056647,184.59783772990932,201.21098330152637,201.2615308542122,194.14210252967715,192.9976695576871,200.46812675102024,190.04492929927432,178.9654758232444,182.4571931260498,177.1261149884993,172.49773137029604,177.92169299223934,183.17314159054337,194.5371053298273,190.40315369692897,183.35583378920612,168.37049882126524,161.5725773666157,161.91926524935022,169.7906852932449,174.8178540643368,173.3628177129719,167.82685207346975,165.6100590418624,183.1363547406111,193.73030839118022,188.1610508293925,,,190.60264687902446,194.57521434975556,195.92235690847832,199.6050147876532,198.83135695916255,212.42213154536205,206.19055927445737,193.7721885772499,191.95162509972528,203.95271475372328,210.03651934675008,206.29148999683395,212.32889713443015,214.45869985166829,166.27436806950726,219.84383382982057,219.12407928454257,213.4389874856409,203.25857973913162,196.4889600765561,196.2940239943452,184.24980112700237
10,1998-06-13 14:18:54+00:00,132.90184486724308,145.67372959357422,158.75024067205788,158.09083452885795,161.1339631767807,183.6926515779962,175.27646999853266,182.85183860344318,165.56398762581415,157.73848027626082,173.98529872343613,159.16738346512327,158.50611833022816,180.67517750151524,157.43190586586422,141.81746171863153,169.02338169674684,141.24073564716173,142.42000404842435,136.97882389835996,,,153.26474996639104,174.8153174331935,,,,,147.32003977389408,,,,186.62763748088267,175.3142722036418,187.2708226407027,186.44082683692034,169.99990674150146,173.79002453964748,185.70116266742536,176.99605548620065,172.48766402133447,162.2822895221004,,180.72468524973974,200.45848784695494,177.4756268247754,184.2367894548383,187.82055689172068,205.09973165438464,192.52274761942482,185.69427185149644,196.97862672677854,196.2754183325444,184.62137715638858
