,dates,chi0451-0000,chi0451-0001,chi0451-0002,chi0451-0003,chi0451-0004,chi0451-0005,chi0451-0006,chi0451-0007,chi0451-0008,chi0451-0009,chi0451-0010,chi0451-0011,chi0451-0012,chi0451-0013,chi0451-0014,chi0451-0015,chi0451-0016,chi0451-0017,chi0451-0018,chi0451-0019,chi0451-0020,chi0451-0021,chi0451-0022,chi0451-0023,chi0451-0024,chi0451-0025,chi0451-0026,chi0451-0027,chi0451-0028,chi0451-0029,chi0451-0030,chi0451-0031,chi0451-0032,chi0451-0033,chi0451-0034,chi0451-0035,chi0451-0036,chi0451-0037,chi0451-0038,chi0451-0039,chi0451-0040,chi0451-0041,chi0451-0042,chi0451-0043,chi0451-0044,chi0451-0045,chi0451-0046,chi0451-0047,chi0451-0048,chi0451-0049,chi0451-0050,chi0451-0051,chi0451-0052,chi0451-0053
0,1986-02-04 14:07:59+00:00,148.69941737004928,144.9668636973088,,171.08058616171462,172.49147662068395,180.88196078945364,172.29865436175163,184.39857302849404,195.42162434817791,,191.35077011938728,190.318655101398,177.35282690480733,,170.47885412482213,,166.3255915057082,,,161.74860747732083,,,,,,,,162.23674376832096,,,162.71183088870092,177.09249037094514,,,,,,182.9412168811452,194.75532434120598,181.53544914926815,,,173.16734333977595,178.09498028197814,185.03121821815114,,,189.96886078301884,186.8556491714319,,,179.22704403172372,177.70408252743619,167.45474444148584
1,1986-08-15 14:02:41+00:00,123.37945135742798,112.80908268286267,,,,,,169.99277252783938,160.56284814845074,155.81538748422844,163.05077595477252,157.05401682838624,142.30081663615204,134.82131534258409,,,,130.08381738713328,125.42872077820282,127.02284254950148,108.40114867837748,,,124.05225547850733,120.4432756457923,126.51375976157382,132.28415832734953,132.5122330058165,134.77039421866297,123.20792979449186,,,128.63343468073572,,,,,156.90013973080826,164.8029508348875,167.805240200281,148.38995521133788,145.49476379641894,152.00775223232955,149.84413513880455,174.39226478143723,157.95206480928329,153.4864557140449,165.34595528831426,157.0158085127157,,,146.4189259531184,164.85676549711556,152.24535672373466
2,1986-10-18 14:00:32+00:00,,,,,151.9753155097872,167.89306693904254,159.86010140939806,173.1052610619863,164.2038649330622,156.31992490070087,175.79794409580842,174.53947793551194,163.60146449430823,155.64744540015067,156.8860193389915,,149.61889757776706,156.05833356164118,145.53451789497618,148.35459703395884,130.78485868325737,137.79261415571236,139.37140447858508,146.54396570867434,146.2455396828534,154.62832348110862,157.01885973379513,143.54563055512818,149.86197016370164,157.28174518125363,141.03316909870696,155.4873048145214,158.6379662292627,,,,,,157.11615895989735,172.04342826382296,172.74933601583817,161.172959043329,169.70854368450136,170.59592764351945,166.68863222729303,162.77405874578392,,,,,,,,
3,1986-12-21 14:00:01+00:00,143.94130121391927,137.4534254507677,,175.44192963782837,181.24725695219777,193.01970535669278,191.17452125121764,193.00863030959658,178.92943467109845,173.3160104807844,182.81318828261396,180.09763225382517,177.229550215938,179.00837583595293,180.41193911935392,170.82568559299534,174.97513050148584,175.31823119033504,167.87942628311154,159.5529925531261,164.36568071521293,164.09790929256934,169.18577850276267,167.57191242573865,153.0209679994707,163.9085171786003,165.93186933960766,167.91612402278133,178.00570694547793,185.66552308027067,177.85368534538128,181.81978640734457,172.80608098690863,167.5060949846203,163.64750739404676,189.33927062672032,194.89298340482407,199.87309263782802,196.38353715439874,180.9548263009601,172.7370231999097,183.08200919749112,168.45909425099475,174.32140000945398,187.5876167516009,176.5720539775899,185.84116290828854,179.54475599205952,182.9987250280193,169.38624971016426,181.8031382916642,185.05877181047774,181.4970144629835,183.85334517598582
4,1987-01-06 14:00:30+00:00,127.3218908405204,135.91746276084749,,,153.70886691746978,171.5310825489923,190.69140809801647,192.96815096532308,176.40489774155677,174.03383529684848,172.72506176150583,169.4748574141002,159.75365233330356,163.19166291823095,153.19966323300847,161.2624636901588,157.71556760033116,165.05519544368732,168.5105104677418,158.29612982135868,155.7518569413611,160.45499190850146,152.94642904963422,159.3066274995379,141.9993924134058,163.14059012323725,158.71650747278795,151.29486129635941,165.91603354589958,184.39236484608608,167.68467070523363,164.71577435656636,164.82770535646912,159.51391884177093,143.45004572953067,175.77180200449013,177.3474303400571,178.56565987934962,179.20714407559404,171.21834097459475,160.16054065131462,166.51824951298235,165.04853402192123,159.20513607232616,177.00024421943965,170.1218560688459,183.92214841861704,171.42927945247723,164.30902237365365,167.9213255309482,159.84151432377828,161.71720394824104,162.061574840048,162.38036292845376
5,1987-01-22 14:00:58+00:00,145.18536893132278,158.46770842136397,,,174.53749471587744,179.4532858038745,186.12633296801982,181.66681318036825,167.85875121979666,172.6278813861544,174.31481734929636,177.48104944404236,181.32077003040584,171.28338146669088,171.2043630928031,169.8469681285394,175.5951761775353,172.77486228419963,164.025032572163,167.72669085865684,156.45663704923228,173.37055445389475,165.25927316479078,168.5960220211508,164.7196492600508,162.48047065859254,164.6225035648048,165.6185456528812,173.43519207265064,177.59578724012312,172.79279759841538,161.93351201763912,172.28026322849533,177.75451888808314,179.33988878578265,184.53670511281638,181.9010168115168,185.99626609738394,187.82143439513922,185.7743942824202,181.46033713097813,179.28688238746972,186.0371290943919,171.27838916392145,181.01879615196145,187.23028436028017,182.70878906056595,168.0276365607591,178.80746808236825,172.72374162122145,181.44284842046505,184.0886622939543,172.84115929890928,173.70989252684942
6,1987-02-07 14:01:33+00:00,170.0876315534376,181.27263323451473,178.43258044513797,194.26275380054668,200.8674619507751,189.64083407257715,212.94379311030778,,193.09419216059382,168.80913024875503,166.85655296480383,178.6993942974426,190.93459414717282,209.64544055163364,204.41942115061875,207.72248208799817,192.25603787462333,180.10792331959354,187.96148217754262,172.7288125873621,169.36566934862262,178.40209780961547,190.3951661785869,184.43178870587397,178.297089303859,176.7179512411444,174.74454823174258,181.6101263660685,187.57614070418165,173.81494196632468,180.63967064353932,194.8467788782412,206.89935838114195,196.45999148999547,202.83363430844088,207.9310163995136,196.54602501597645,193.78311283916545,194.2142822097092,201.16878677472826,193.92892590728448,187.12226378677116,199.18437167176086,198.729888181516,206.87309031651006,200.06965050027097,192.55995548769448,191.91307367160772,198.12036928707582,204.12322601316967,189.94646227128757,196.09541822196016,186.91134403053167,195.45105236041593
7,1987-03-27 14:03:21+00:00,,,,,,,,,,,140.88234705319016,140.49062537870068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1998-03-09 14:17:33+00:00,155.95011120434498,159.4010477801555,144.74113577913192,188.4403194253127,205.25253240402645,200.63342352710825,186.72676771635818,196.57787829170306,183.98302318569273,183.75291770757198,180.44518745984428,174.02412322331003,175.42130383064418,171.75858955099298,166.69100270571644,184.56909596007662,183.95047748695453,170.2108814601677,158.1409494738996,160.09199659888276,156.91533840510957,166.24910348867678,172.1203519889559,172.4896925016632,178.1521898289655,168.44852808902223,149.0260296039847,,161.21443330390258,,,,191.32906592113792,180.68658109545493,180.81100192690909,197.6735371658254,202.58656031318887,209.75488240863677,198.03610749355065,178.54019462807295,175.133629468581,188.8519152384244,213.37263604250816,,,,187.15182454956525,201.25233308955208,206.32029930675043,205.1486878373161,169.24865913586657,180.50443228463575,190.84672801009492,190.60823418988744
9,1998-03-25 14:17:47+00:00,174.24794086995925,178.7281110728225,170.89053591007607,188.61366592363458,206.83314277274175,205.00963716835577,198.4668405844582,196.5115192271967,204.4839549447455,193.5587789687839,182.71358213738796,185.41622442668947,180.6399646580089,175.30881110590371,182.2464310470204,187.49787964532442,199.2222382225068,193.91700336643856,187.68057184398717,171.49392074971823,165.32068368075926,165.6673715634938,173.3045349627545,179.14259211911786,178.04795060565138,171.84268026719502,170.72111310660364,187.8214876332906,198.4154412838597,192.17687902311778,,,194.61847507274973,198.8999524045366,200.6074898011578,202.56404608829288,203.1560950139436,217.10726443804154,210.51529732923842,198.09692663203094,196.63675799240477,208.27745280850434,214.05234754047535,210.03959631097752,215.28792843506983,217.58212178012127,169.08544780511494,223.85966202354584,222.87218559868614,218.12412037832038,207.58331779391267,199.4479913771958,200.04213030848877,188.26562932072764
