dates,nzd0248-0000,nzd0248-0001,nzd0248-0002,nzd0248-0003,nzd0248-0004,nzd0248-0005,nzd0248-0006,nzd0248-0007,nzd0248-0008,nzd0248-0009,nzd0248-0010,nzd0248-0011,nzd0248-0012,nzd0248-0013,nzd0248-0014,nzd0248-0015,nzd0248-0016,nzd0248-0017,nzd0248-0018,nzd0248-0019,nzd0248-0020,nzd0248-0021,nzd0248-0022,nzd0248-0023,nzd0248-0024,nzd0248-0025,nzd0248-0026,nzd0248-0027,nzd0248-0028,nzd0248-0029,nzd0248-0030,nzd0248-0031,nzd0248-0032,nzd0248-0033,nzd0248-0034,nzd0248-0035,nzd0248-0036,nzd0248-0037,nzd0248-0038,nzd0248-0039,nzd0248-0040,nzd0248-0041,nzd0248-0042,nzd0248-0043,nzd0248-0044,nzd0248-0045,nzd0248-0046,nzd0248-0047,nzd0248-0048,nzd0248-0049,nzd0248-0050,nzd0248-0051,nzd0248-0052,nzd0248-0053,nzd0248-0054,nzd0248-0055,nzd0248-0056,nzd0248-0057,nzd0248-0058,nzd0248-0059,nzd0248-0060,nzd0248-0061,nzd0248-0062,nzd0248-0063,nzd0248-0064,nzd0248-0065,nzd0248-0066,nzd0248-0067,nzd0248-0068,nzd0248-0069,nzd0248-0070,nzd0248-0071,nzd0248-0072,nzd0248-0073,nzd0248-0074,nzd0248-0075,nzd0248-0076,nzd0248-0077,nzd0248-0078,nzd0248-0079,nzd0248-0080,nzd0248-0081,nzd0248-0082,nzd0248-0083,nzd0248-0084,nzd0248-0085,nzd0248-0086,nzd0248-0087,nzd0248-0088,nzd0248-0089,nzd0248-0090,nzd0248-0091,nzd0248-0092
1999-07-18 21:58:49+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.97691070821432,137.93936426815347,156.78073807337248,156.8806089687658,130.2371425087507,135.1240548616418,,,129.78984306758667,133.34499643989705,124.45975784629773,95.55950392850684,99.13260084717274,,136.1405006170121,128.17570239411089,148.8122783860844,164.08911260548663,152.68541195456535,131.89885803299995,,137.46139424353248,126.76144052205294,133.03595377751427,142.8153595813428,163.3866278094729,145.63983245323746,151.99113465315526,182.62315259207475,177.63794876827725,169.92818631676332,167.38625727793604,161.02672734493495
1999-12-25 21:58:52+00:00,126.46726785851868,,,133.9168076373025,,128.5809573795677,,124.98907470530725,124.18437023982672,126.64221664051514,136.5856173061035,135.25160974022631,136.6229892549876,134.74658222569664,132.03955666657845,,122.78539561164655,,133.630948449276,124.188237368815,120.24091829038328,139.01355920917158,143.42660684712104,144.6121476930407,140.8881640491091,145.069391238194,136.43893786061633,146.33155211682288,154.10914188687246,158.34328030308998,160.52063233247105,165.16613685592253,163.30457299505576,170.21472381373525,167.4502930414535,164.42382034019582,165.89512643424683,153.20737488227556,150.9333309820181,150.6095176270593,164.0859431004539,146.25329145023352,149.8047040814668,147.17229160154926,148.0937326362631,161.05135015469577,156.16710273038348,157.2327150817286,154.5575830578226,153.3853990337493,163.3662326984144,166.80283036643615,167.68461927400722,166.83048506446076,162.61562815846884,156.91076648128188,167.3780046741872,171.25961927862457,170.09073880960634,169.59873731823023,158.91787820194725,155.0844611484291,158.43514467680382,156.28094338776984,157.49545554273223,156.43612555068043,142.5397127080434,156.01192469283217,158.47485331378886,160.24196641275591,156.15348010603824,157.42594172049755,155.12318002699263,142.78717718781178,144.7476406453189,148.3506578765849,152.31109913541874,150.803620765842,147.38238011983384,147.95636015857778,147.77556189344727,158.4796801482277,159.6814296030186,154.0302526957466,156.68394291295263,160.4940446572733,168.60069207124852,166.0256938059461,165.1225180447873,161.46388006991492,156.14939234307488,156.26686023566833,155.531389757541
2000-01-10 21:58:52+00:00,134.82626013256527,,,141.57835118288125,,135.2894392638922,,130.23510995914694,124.0772388917492,128.3030278556418,137.15421053281443,137.43473741660048,132.7410364661634,130.22935923402343,131.69749570203174,,120.74828338226187,,132.01199194128128,134.49913290576396,139.9931525379036,141.55052884420826,137.83226353183724,142.38182602654393,142.32050629292317,154.54530383683547,145.60314672705422,146.8305412549877,147.50615657441577,153.7744528044228,162.50211828935895,169.15631155491585,172.755950011512,181.78899032151946,182.3024397639345,169.7111363390232,170.70993513531712,164.5651049932401,150.74625315017624,147.532967706984,156.87433728547924,143.09836883914835,146.27573837913235,143.87168454199218,145.15306207674442,167.2026673383384,162.72366392153708,161.12107599000154,159.32940015053958,162.6802194372913,168.01711033698288,167.5032406100025,170.8372632493858,168.7832970055079,155.6028896340386,145.0821931533466,158.993161839206,165.0760551557782,161.82401422996801,165.11047449931317,157.9258963715048,153.7697664354939,145.84242578598057,144.9121192340357,147.6055484442264,156.858288597195,144.6104296424801,156.98049979521255,159.11050026625446,159.2990901249582,160.51732766041454,162.3600039206005,160.13993559783617,158.04741232333336,152.4234124206736,146.60506250577103,144.93686502768904,145.07843887607638,148.03727505408466,150.9444124866367,145.49954370263998,154.39850125777886,154.5795749895901,153.00664296531204,150.8150996183933,154.08352822150587,157.29376319789,166.82744184121802,171.86861138966017,174.75887236857665,171.2654346094206,173.32101730998866,169.6236647713837
2000-02-27 21:59:04+00:00,143.02455775661076,,,146.14317465086373,,156.5540829463364,,152.69457043609398,151.01043539533427,150.29071291607212,143.01940800831392,153.04039117430412,150.66322651169153,151.0064085973082,141.6790039165322,,166.6961427472373,,166.60382869963487,162.0446666082543,170.32294257138793,168.85115569611764,171.5580323184124,159.7531690623653,159.1976919134577,169.12338095729416,183.2321887225127,177.56950491865808,176.45204631821727,178.67979244482092,144.0710221100036,151.08930412948888,,180.99119778725424,,123.19300350262765,102.0716930444815,,112.67549979358644,125.8249326776101,157.48936319963323,159.4799151066424,164.8202764203486,160.97443417806704,163.37915072084343,,174.5686780196172,183.168435396684,190.24419547005604,164.99625346154534,169.61599472988107,179.50740032758577,182.47115194123305,186.53691499570496,173.65299117419084,170.25127675098884,167.23795933072745,171.8326396998697,176.74541553361692,169.6278966142557,173.3142921692899,194.2161253552296,172.60092435857374,163.29211421846472,157.24166640973056,165.86477406121566,165.7845273519013,160.99195210775292,165.26574431321632,167.7901951851128,168.4211096017314,175.69609955805228,181.39411330915567,181.80444331887276,167.27297882507426,158.62459452842538,153.39947028159122,144.9892127464912,161.9848840383593,170.05143205820556,161.4173422646778,161.55055560411748,165.18892947530423,169.0909816258865,160.9312590180234,,232.42705078461583,,,197.24426580377053,208.48762676878783,173.91533039552024,167.12080717079792
2000-03-14 21:58:59+00:00,135.3862480182396,,,,,167.42178940187057,,172.27590519752755,169.23611817355803,164.5395775523966,156.17058470713107,158.72419337205042,156.4257554029108,151.86351814436904,154.15671100231663,,171.21639109455927,,195.0865684894199,160.7514649127706,191.8895888860509,182.98657272398262,165.00673452240505,153.48205544531157,151.41298918678126,158.90783616430105,166.82520618662036,176.3424010430841,182.79207138683407,185.74563488318637,179.30246913400575,178.57007689384628,177.6773455310482,185.88704741007572,179.93924129757548,201.38799014135867,198.42022465982035,185.42339411550287,170.90800687665435,200.40400796229176,195.53228056051842,152.50518824975626,176.89954444922407,185.7480714411297,127.79409576857029,188.90697109167297,168.5813484991125,178.71731343146135,191.13380485311367,184.9498891236783,161.58423482846766,,,,,,,,,,,,,,,,,,167.99381095715995,168.12995398396433,171.69426838001647,176.3435987228427,188.67342458995472,179.2840649692281,173.06336813391195,163.58880253725866,159.90891193441053,158.01462858277733,160.46957663947495,160.0493155787739,149.87450175568222,144.01567860116123,145.66971436644448,159.43686684004197,148.40122498928466,166.28359214329924,183.687791474848,187.09670611957836,195.1674727824565,199.68825481486112,197.53175007541978,186.92688083086165,169.6195017351684
2000-03-30 21:58:33+00:00,134.0289002296674,,,142.01817201986455,,141.5652582530242,,140.5916678314007,143.38438451226696,149.73310349649478,150.6131374675496,151.443038011063,149.87322690111927,147.92632217545327,137.05532016102217,,139.60150253235656,,143.58343980271687,148.71002440474655,155.2856447807829,154.5421443924116,157.60151083405052,154.45223869899405,155.60316421291037,157.13960146909037,159.59399546690244,166.4433348157703,172.28199059107052,178.97888518545372,173.36845978386023,172.0628344524627,174.2628349117867,176.22264397638313,180.90791680083882,180.01553644103254,182.87622984356221,171.8751213439997,168.5871838166362,166.32090739271075,176.43997584793902,171.99375322030957,167.18594865078384,168.92922375843955,151.63169005506418,176.50833341925355,179.05327141706937,181.36691995371646,180.1795063869278,177.35307689070947,173.131069600353,166.74582831416052,167.74597160195594,171.87786496455027,179.1992665895716,175.2814989238149,167.1437412487198,164.93134007510434,166.49538913641481,173.36882840537245,170.19900378611115,168.1494591811627,168.28277086612306,170.50161934949546,166.09149882923646,155.58634808156623,150.31244082188772,152.49003704752394,164.37722187876832,171.71359416722515,171.61150980363288,166.2050459180788,164.3004002284849,164.56351842471628,162.62724468639703,160.093997318386,160.7962560858231,157.91078873788427,156.591003525988,157.9736836437423,143.4996256359348,147.23459309959046,152.5774896179807,153.19623687797468,145.92152209895713,155.63688829335018,171.4700648277887,177.1311120040874,179.42897691621226,180.58852545903122,177.15757835809245,173.23593220104866,170.25349551605143
2000-04-15 21:58:19+00:00,130.62842847226884,,,155.73780065806497,,150.38834838655896,,146.538255236499,149.35451222521655,150.12170720360353,148.19837938215232,147.9428098003456,147.03922699572738,146.13113186339606,143.78040335258132,,126.52382367548152,,136.4055779051374,136.3156962394061,143.63363509828682,146.0088178855115,151.65076652702132,150.1910142330939,154.23957682158402,155.76170407785793,153.97886272184346,165.26559443795696,172.57765940631776,174.8115440445279,175.70269296051578,176.48023754333607,176.9201127547135,171.53160330667103,171.86656987361965,172.18532685337559,176.42312248571645,175.07133361166285,175.6256741413371,175.02762804782347,189.13238142640003,176.80112808871846,181.57912247396575,184.12218389157164,181.14889931663097,159.65670763991312,184.61810424607697,189.14739983139015,189.52448618793358,180.59210789734777,176.29749878304204,171.03077974436465,171.7048031160395,175.7235314417909,180.80305953801584,172.41162705492022,167.47595069117827,172.06366856553174,164.02085952552517,160.15862012066358,161.9399980197796,160.58145200576456,158.0152644103824,155.71213090288614,165.87199500833003,166.31682422821117,166.75176950512312,164.63512483765763,164.84059087010596,172.69820794620125,169.7522519201445,174.06714356812014,171.09833739863254,171.27916087253422,164.00787796483527,162.41479234728266,162.72660105062437,160.0216533459727,162.2496732625627,155.54869238780876,152.57024802545723,163.64976326883524,164.65501456510503,159.64641191252062,154.13786030673404,156.80513277818974,166.75061885091947,174.70766750770886,172.5973863113494,181.59126011147745,174.27550690072064,176.44776769856082,174.06122416813966
2000-05-17 21:58:31+00:00,,,,,,123.05430298191507,,127.48731071753528,126.5317045690476,126.89748818742106,129.30785343740519,125.47883274276555,127.25579083780286,122.1594555770134,128.91087296069816,,106.66928564772624,,89.63688687166088,111.2721628609035,119.08385919778732,131.00955064633348,131.52475520587473,138.1440247277413,136.52096791299772,134.14553110042527,129.02796445161735,142.12243346828842,151.6651226584935,149.27501002571827,151.4421665657658,154.6081149253563,153.7746180681035,154.51484622101512,157.8825503124563,154.1750868487536,163.3033153521028,144.87004272004836,151.91230292803695,139.16930025102113,147.01717461499604,140.21570828600355,150.2670743817412,133.53330429937637,,,161.1393855171481,,143.93344901613355,149.64866924179205,178.3248670397047,183.6486870295426,174.72626963899899,164.8352944311613,169.8319427750089,167.04169358155775,175.5067996963797,170.9577756779435,161.0494113847251,150.15627279744749,147.1254099798265,142.68025792910075,138.18246423973824,132.66505853106702,144.82415428633425,144.68138524271166,132.2583846128943,142.97914108353316,152.53165020345352,151.96482609621862,157.11656670686395,155.7003752008031,147.3016840690452,139.66011642265067,138.18079784173804,145.34937458516012,147.64745886972864,151.41882531251287,162.02891483717076,152.41162253509634,143.98540560291005,160.59191885445847,168.15485347837867,159.32152249878496,157.05015454745708,,,,,,,,
2000-07-04 21:57:38+00:00,,,,,,,,129.88498833836513,128.84219281574417,125.50102935006348,132.13221037081544,,,,,,,,,,,,,,,135.63984012559766,147.51139649628055,155.52097514305248,156.75930873725952,152.42696227333082,154.77578731975797,154.9455839635682,156.0348588767418,149.9350267422803,153.91256887722926,153.70939564959016,149.16055537041893,154.41378128933678,164.5905307950901,166.51849777278022,180.02100836430094,156.34729158532738,156.57904692996456,146.74973900325335,139.85331048508283,151.74793451886424,161.6140768245561,168.37218635328273,169.39136692941264,165.82310260494395,164.28892909383717,168.35391999271545,174.4159579576932,176.9829326961752,177.16678179827034,170.93966119754245,160.42431077403924,165.7532249824091,162.90348714502167,168.76473311714602,170.8710634769869,170.55721548784754,160.98281929858467,163.9454932017393,165.31249387629418,160.07385783721884,142.40371974820454,146.78920462664183,153.71361183228464,152.72463023043593,148.124793204134,145.66970652326307,149.38615959801209,161.37681975723476,161.95011408320764,150.44754709577322,152.51915956521725,164.60746154512464,167.201244973769,158.52695594735005,160.9463513250813,154.3036161982584,160.68327722264664,169.35258184278126,162.64860377161375,166.68637396841297,169.18122401155796,164.7499789709084,151.91947140612996,,,,
2000-08-05 21:57:08+00:00,,,,,,,,,117.58929462111163,124.09913775734805,120.87414833134852,120.09705001340814,130.50265278619523,145.17796654744114,113.23211060431098,,94.72842531194881,,137.1293547542925,124.83589106140464,,149.9990929670003,150.56775847367166,152.11680813948269,152.06798649078613,134.89778151073295,133.47130897359466,137.19118461568794,151.52085978850485,162.5561971909544,155.38798208059214,152.95608421838818,143.37149496026805,155.9664368622859,160.3584681109589,156.79652011349376,150.03714005201536,155.02577292881548,157.3672971405499,167.22798866144768,164.09345841971933,152.12907227127246,144.98176662939005,135.97837308626788,106.53384306045909,143.9936980603187,150.23150713726088,154.27578104508785,159.2669008150302,171.6810114253076,169.25393486608945,160.16676776897057,158.07314002192643,156.12077442310826,146.68646000728518,150.30234769541693,145.70284005482583,148.03516395295654,152.38901100809196,165.34580653856304,168.52277883147954,175.40867808463577,173.22219344917406,149.77862700098325,142.13876540947757,145.90118745580816,135.14883897675668,146.18325743150817,134.21469577196598,132.87319993509732,132.2504598104928,141.6822154188452,150.22998378972417,148.9055845066473,148.4483885242804,149.52061516802695,148.34915998283793,139.15491044154047,145.06078171225843,150.23766083867253,138.68639135748134,148.8893390180752,143.49651027143454,151.4321657251251,148.91010510001155,159.23179156517398,141.8772297340896,139.68424850097483,147.40412660394756,159.6216453893639,162.9282427187961,157.65558793478303,150.91762243714894
