dates,nzd0248-0000,nzd0248-0001,nzd0248-0002,nzd0248-0003,nzd0248-0004,nzd0248-0005,nzd0248-0006,nzd0248-0007,nzd0248-0008,nzd0248-0009,nzd0248-0010,nzd0248-0011,nzd0248-0012,nzd0248-0013,nzd0248-0014,nzd0248-0015,nzd0248-0016,nzd0248-0017,nzd0248-0018,nzd0248-0019,nzd0248-0020,nzd0248-0021,nzd0248-0022,nzd0248-0023,nzd0248-0024,nzd0248-0025,nzd0248-0026,nzd0248-0027,nzd0248-0028,nzd0248-0029,nzd0248-0030,nzd0248-0031,nzd0248-0032,nzd0248-0033,nzd0248-0034,nzd0248-0035,nzd0248-0036,nzd0248-0037,nzd0248-0038,nzd0248-0039,nzd0248-0040,nzd0248-0041,nzd0248-0042,nzd0248-0043,nzd0248-0044,nzd0248-0045,nzd0248-0046,nzd0248-0047,nzd0248-0048,nzd0248-0049,nzd0248-0050,nzd0248-0051,nzd0248-0052,nzd0248-0053,nzd0248-0054,nzd0248-0055,nzd0248-0056,nzd0248-0057,nzd0248-0058,nzd0248-0059,nzd0248-0060,nzd0248-0061,nzd0248-0062,nzd0248-0063,nzd0248-0064,nzd0248-0065,nzd0248-0066,nzd0248-0067,nzd0248-0068,nzd0248-0069,nzd0248-0070,nzd0248-0071,nzd0248-0072,nzd0248-0073,nzd0248-0074,nzd0248-0075,nzd0248-0076,nzd0248-0077,nzd0248-0078,nzd0248-0079,nzd0248-0080,nzd0248-0081,nzd0248-0082,nzd0248-0083,nzd0248-0084,nzd0248-0085,nzd0248-0086,nzd0248-0087,nzd0248-0088,nzd0248-0089,nzd0248-0090,nzd0248-0091,nzd0248-0092,satname
1999-07-18 21:58:49+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,330.05,350.83,340.52,333.20,328.43,,,330.24,329.86,,,,300.63,315.45,,,,,,333.92,338.62,331.48,326.54,342.50,364.09,345.78,358.40,375.06,368.43,365.67,355.33,353.13,L7
1999-12-25 21:59:16+00:00,319.98,318.80,316.45,334.20,337.06,332.68,328.17,320.10,315.46,323.41,336.05,334.61,331.08,332.85,328.09,300.71,319.55,295.52,326.52,320.59,324.76,334.79,339.65,345.33,341.64,338.33,335.71,342.41,346.71,350.15,358.15,359.72,361.25,363.16,361.29,360.93,354.78,346.38,341.47,344.55,356.31,351.58,354.64,342.80,341.38,358.61,349.06,349.47,347.06,348.16,358.82,362.21,359.84,361.15,351.73,350.00,354.53,364.01,363.79,362.97,352.49,341.55,352.19,344.88,341.73,338.98,337.45,350.25,338.63,340.87,351.15,349.03,350.75,320.06,326.70,341.76,346.02,346.20,341.47,343.79,335.47,342.18,338.80,338.10,345.31,358.10,352.61,356.05,366.22,361.49,358.00,354.24,354.69,L7
2000-01-10 21:59:16+00:00,327.39,327.38,326.63,339.84,340.99,337.69,332.11,326.05,319.66,326.67,339.56,337.86,333.75,333.41,331.12,312.88,321.50,312.52,330.24,328.11,335.72,339.93,340.08,345.74,345.02,347.62,341.55,345.71,347.00,351.73,361.07,365.48,368.19,373.69,371.41,366.25,362.87,356.15,346.72,346.41,357.36,350.77,354.20,345.00,344.87,365.45,356.02,355.49,353.78,356.63,364.31,365.66,365.28,365.65,353.37,347.81,353.91,365.19,362.75,364.22,355.69,346.41,351.23,345.57,343.59,345.66,341.62,354.57,345.05,347.73,356.20,355.58,356.50,333.51,335.33,344.36,346.02,346.34,345.38,349.42,338.62,345.40,342.65,343.59,347.02,356.41,353.77,358.99,368.05,366.08,362.87,361.45,361.03,L7
2000-02-27 21:58:40+00:00,330.64,332.26,324.49,338.07,344.27,338.96,337.11,333.30,329.57,333.36,338.30,340.50,337.70,336.50,331.61,326.80,332.14,326.43,340.75,336.41,342.74,347.79,348.00,347.26,347.27,352.09,351.27,354.39,355.78,359.43,353.06,356.48,368.19,374.76,371.41,366.25,362.87,356.15,346.72,335.56,355.17,346.12,352.97,348.45,348.44,365.97,360.46,363.66,360.21,357.77,364.24,368.97,370.28,370.90,359.45,354.10,359.62,366.96,366.45,366.14,360.88,364.47,357.19,351.30,350.59,355.77,348.75,355.18,356.61,360.02,359.54,361.36,361.76,359.19,352.48,348.16,346.42,345.31,350.37,355.27,340.97,348.80,348.24,352.12,349.28,352.57,357.76,359.29,364.55,364.90,361.47,364.50,364.98,L7
2000-03-14 21:58:59+00:00,331.60,340.06,336.62,342.99,350.29,343.20,343.32,342.63,339.32,340.44,340.96,343.93,341.56,338.91,334.86,339.21,340.23,342.56,353.47,341.66,352.08,355.74,351.12,346.85,346.61,353.07,354.32,359.36,362.77,366.02,359.03,361.48,370.42,377.00,374.59,376.67,374.88,366.81,355.17,351.54,365.56,345.00,355.36,355.26,342.33,370.84,362.04,367.37,367.97,364.07,363.01,368.97,370.28,370.90,359.45,354.10,359.62,366.96,366.45,366.14,360.88,364.47,357.19,351.30,350.59,355.77,348.75,355.18,356.61,362.43,362.51,365.46,367.54,363.90,358.14,352.05,350.06,348.55,352.93,355.95,344.52,349.12,349.79,354.16,349.71,357.99,367.65,370.54,375.31,376.62,373.16,370.89,363.79,L7
2000-03-30 21:58:33+00:00,331.66,339.92,337.84,342.19,348.43,342.08,342.66,341.70,339.84,341.61,342.12,344.85,342.45,340.10,334.40,339.21,340.23,342.56,350.36,342.74,351.82,354.99,351.75,347.44,347.77,353.16,354.90,359.81,364.08,367.61,361.33,363.02,370.63,376.37,375.55,376.86,376.26,367.31,357.81,353.91,367.28,349.57,356.94,357.05,343.19,371.39,364.89,369.58,369.83,366.65,364.60,367.80,369.51,370.67,363.96,358.92,361.39,366.01,365.90,367.47,362.88,364.67,359.47,355.46,354.10,354.81,348.74,353.81,358.05,363.73,363.70,364.88,366.47,363.40,358.87,353.15,351.88,349.96,353.30,355.93,342.75,348.42,350.40,353.41,348.30,357.03,368.21,371.86,375.86,377.16,373.67,370.92,364.38,L7
2000-04-15 21:58:43+00:00,330.90,339.06,338.52,344.90,349.88,344.68,343.50,342.15,340.51,342.86,343.85,345.25,343.00,341.16,335.88,339.21,337.69,338.77,347.70,341.49,351.98,353.47,351.82,348.61,349.13,352.90,354.67,360.78,364.70,368.03,363.13,365.05,371.37,375.43,373.92,375.85,375.65,367.83,359.72,356.72,370.00,354.98,362.20,361.60,348.97,369.19,367.36,372.10,372.29,368.75,365.76,367.82,368.89,371.17,366.17,360.77,360.76,366.38,364.27,365.03,361.77,363.21,358.48,355.25,355.52,356.46,351.79,355.59,358.01,364.31,364.11,365.61,367.05,364.47,358.93,353.90,352.74,351.04,353.78,355.65,343.93,349.37,351.01,353.80,348.20,355.70,366.47,370.56,374.25,377.41,373.25,372.05,366.86,L7
2000-05-17 21:58:07+00:00,327.35,334.79,338.52,338.16,347.36,344.12,340.30,339.31,337.27,340.32,343.85,345.25,343.00,338.69,335.88,339.21,337.69,338.77,340.62,337.12,349.54,350.05,349.62,347.71,348.20,350.17,351.12,358.06,361.92,364.63,361.62,363.33,368.14,372.29,369.38,371.82,373.17,363.18,356.58,356.72,365.27,355.23,363.30,356.70,348.97,369.19,367.36,372.10,372.29,368.75,365.76,367.82,368.89,371.17,366.17,360.77,360.76,366.38,364.27,365.03,361.77,363.21,358.48,355.25,352.72,353.74,348.64,353.32,355.08,361.35,362.54,362.19,364.07,364.47,358.93,352.31,350.69,349.95,354.01,354.54,342.00,348.24,349.66,353.89,348.20,355.70,366.47,370.56,374.25,377.41,373.25,372.05,366.86,L7
2000-07-04 21:57:38+00:00,328.57,337.46,342.93,338.82,349.08,346.02,342.32,340.69,338.81,340.81,344.12,347.37,345.39,339.67,337.44,352.04,342.22,349.59,342.97,339.88,353.67,352.60,351.28,348.11,349.29,350.03,353.10,360.09,363.14,364.83,361.29,362.81,367.57,370.62,367.81,370.97,372.24,364.36,359.94,360.14,368.20,357.12,364.98,357.70,349.21,368.29,369.18,375.00,375.75,371.82,366.84,369.19,371.35,374.31,370.72,364.46,360.55,366.37,363.88,365.93,365.19,367.01,359.71,356.75,355.00,355.78,349.45,352.73,355.45,361.07,361.97,361.39,364.22,369.47,363.12,353.41,351.38,352.41,357.50,356.75,345.68,348.74,351.54,357.01,350.44,357.86,367.50,371.50,373.04,378.96,377.19,375.54,368.16,L7
2000-08-05 21:57:08+00:00,327.33,337.75,344.46,337.49,349.91,346.68,343.58,342.13,337.04,338.89,344.33,348.94,347.63,338.74,338.26,365.53,348.48,334.81,340.47,336.03,353.50,351.00,351.41,346.36,348.04,345.95,350.02,355.55,363.18,365.81,359.00,359.01,361.23,365.62,363.79,367.34,368.03,361.90,360.46,362.21,368.91,354.97,361.58,355.09,349.39,362.43,366.22,373.07,374.43,369.90,365.81,365.90,368.17,369.94,368.80,364.34,359.89,362.04,361.39,365.08,366.53,368.98,363.40,355.99,353.82,352.22,344.80,350.14,351.19,357.11,356.83,358.31,361.45,366.21,361.57,352.87,351.14,353.40,358.87,354.98,342.48,348.13,351.06,355.98,349.72,358.29,364.87,368.14,368.19,376.02,374.67,370.43,362.19,L7
