dates,satname,nzd0248-0000,nzd0248-0001,nzd0248-0002,nzd0248-0003,nzd0248-0004,nzd0248-0005,nzd0248-0006,nzd0248-0007,nzd0248-0008,nzd0248-0009,nzd0248-0010,nzd0248-0011,nzd0248-0012,nzd0248-0013,nzd0248-0014,nzd0248-0015,nzd0248-0016,nzd0248-0017,nzd0248-0018,nzd0248-0019,nzd0248-0020,nzd0248-0021,nzd0248-0022,nzd0248-0023,nzd0248-0024,nzd0248-0025,nzd0248-0026,nzd0248-0027,nzd0248-0028,nzd0248-0029,nzd0248-0030,nzd0248-0031,nzd0248-0032,nzd0248-0033,nzd0248-0034,nzd0248-0035,nzd0248-0036,nzd0248-0037,nzd0248-0038,nzd0248-0039,nzd0248-0040,nzd0248-0041,nzd0248-0042,nzd0248-0043,nzd0248-0044,nzd0248-0045,nzd0248-0046,nzd0248-0047,nzd0248-0048,nzd0248-0049,nzd0248-0050,nzd0248-0051,nzd0248-0052,nzd0248-0053,nzd0248-0054,nzd0248-0055,nzd0248-0056,nzd0248-0057,nzd0248-0058,nzd0248-0059,nzd0248-0060,nzd0248-0061,nzd0248-0062,nzd0248-0063,nzd0248-0064,nzd0248-0065,nzd0248-0066,nzd0248-0067,nzd0248-0068,nzd0248-0069,nzd0248-0070,nzd0248-0071,nzd0248-0072,nzd0248-0073,nzd0248-0074,nzd0248-0075,nzd0248-0076,nzd0248-0077,nzd0248-0078,nzd0248-0079,nzd0248-0080,nzd0248-0081,nzd0248-0082,nzd0248-0083,nzd0248-0084,nzd0248-0085,nzd0248-0086,nzd0248-0087,nzd0248-0088,nzd0248-0089,nzd0248-0090,nzd0248-0091,nzd0248-0092
1999-07-18 21:58:49+00:00,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.89,,203.67,174.35,233.50,259.83,,344.05,363.43,351.97,345.80,344.18,,322.22,341.69,341.31,,303.18,299.72,312.08,324.45,,,,,,345.37,346.50,339.88,339.14,352.19,374.59,355.47,366.28,384.06,379.88,376.17,365.83,364.58
1999-12-25 21:59:16+00:00,L7,302.48,298.80,293.12,306.20,309.06,304.68,304.84,306.10,303.79,307.85,316.05,317.11,317.08,317.29,310.59,290.71,309.55,288.52,319.52,313.59,307.26,322.06,325.65,329.77,327.64,325.60,324.04,329.68,332.71,338.48,344.15,345.72,348.52,351.49,350.52,346.93,342.05,334.71,330.70,330.55,336.31,328.25,326.64,319.47,318.05,338.61,336.33,335.47,334.33,335.43,346.09,350.54,348.17,347.15,339.00,337.27,344.53,348.45,352.12,350.24,339.76,337.48,339.55,336.50,336.26,332.02,317.45,336.25,334.29,339.15,339.48,337.36,338.02,326.77,327.96,330.99,336.02,334.53,328.74,331.06,324.29,336.99,336.78,335.66,337.35,340.43,348.67,344.95,347.38,341.81,338.65,341.48,343.51
2000-01-10 21:59:16+00:00,L7,324.81,324.54,323.49,329.47,328.91,326.71,322.71,324.00,317.20,321.04,331.65,331.10,328.43,325.08,324.14,319.35,317.75,325.52,329.95,331.63,336.67,337.80,332.52,337.26,340.41,349.64,340.72,341.73,339.30,346.63,356.00,363.24,367.85,377.55,375.38,363.56,363.69,359.26,345.82,340.28,346.98,336.64,337.76,333.86,335.02,360.86,355.72,353.50,353.24,357.83,362.53,362.45,364.05,362.15,347.73,338.34,347.59,357.49,355.05,358.20,351.62,347.24,341.31,339.70,339.30,349.04,334.37,350.89,350.62,354.17,354.59,355.47,354.99,353.13,346.88,340.80,340.32,339.80,342.03,347.77,337.65,346.85,345.04,346.57,344.30,346.37,349.93,359.87,366.00,368.00,365.95,369.19,366.46
2000-02-27 21:58:40+00:00,L7,352.89,360.00,341.21,359.75,376.04,366.70,368.11,360.40,359.89,360.75,353.77,361.53,358.20,356.67,348.34,363.63,362.40,360.56,368.09,359.30,372.55,374.95,376.42,364.30,364.35,372.49,381.20,383.20,385.92,385.34,349.63,351.07,,387.40,,335.01,309.06,314.51,306.27,326.44,368.78,357.82,375.71,376.37,376.60,385.00,380.79,392.60,384.52,371.49,375.55,386.07,390.79,394.00,383.08,378.13,380.02,384.50,384.34,381.44,382.71,398.23,381.31,369.15,366.82,374.49,381.00,369.01,376.36,378.20,376.70,383.42,383.72,389.13,375.88,365.45,356.22,353.77,371.79,378.42,,,,,,,,,,,,,
2000-03-14 21:58:59+00:00,L7,351.98,383.48,396.32,385.75,396.34,383.93,385.30,384.62,380.23,377.21,368.93,371.74,367.11,361.70,362.10,386.44,374.51,397.96,398.60,364.41,397.59,392.34,374.48,361.18,358.65,368.73,375.14,387.01,397.74,397.47,390.93,390.49,387.61,395.40,391.73,411.51,411.64,399.80,382.85,413.51,416.74,364.94,390.52,399.00,347.30,405.44,379.49,392.52,403.95,395.72,372.07,,,,,,,,,,,,,,,,,,,382.36,383.09,389.41,397.62,390.74,385.14,374.51,370.98,369.93,373.32,370.74,364.34,358.51,362.22,372.26,361.34,380.51,398.21,401.79,406.83,412.79,408.20,395.33,374.14
2000-03-30 21:58:33+00:00,L7,335.15,343.07,347.08,344.17,346.19,342.79,344.36,340.56,344.09,349.21,350.49,351.79,348.62,347.75,335.85,,,,339.24,348.39,354.03,354.35,356.86,352.68,354.99,355.89,359.42,363.99,371.95,376.14,373.14,371.80,373.65,376.02,380.41,380.03,382.77,370.96,367.73,365.98,377.85,372.21,368.49,368.56,350.97,377.30,378.68,381.03,379.67,379.32,373.28,366.48,369.36,372.60,379.83,375.76,368.59,366.04,366.42,373.81,371.22,368.16,368.92,370.31,367.21,355.17,352.40,352.29,364.75,371.33,370.64,364.73,364.56,363.78,363.66,359.56,361.01,357.79,357.16,358.19,339.83,347.93,353.98,353.76,346.04,356.31,371.89,377.46,379.37,381.15,377.39,373.18,368.52
2000-04-15 21:58:43+00:00,L7,310.32,315.59,319.57,331.64,330.32,330.84,325.32,331.01,332.72,334.22,333.36,330.45,332.38,331.57,326.50,310.05,317.96,316.91,327.70,328.55,336.06,333.66,338.78,339.57,342.54,339.43,342.34,353.40,354.41,358.95,358.76,361.79,362.11,359.54,357.11,358.43,361.01,358.76,357.05,357.36,364.47,359.69,361.67,361.99,355.53,339.07,367.51,371.28,372.39,367.09,359.41,356.73,355.22,359.77,362.83,356.00,348.63,352.97,346.56,343.10,345.15,342.51,341.11,342.21,347.80,346.34,344.85,349.32,345.66,355.03,355.00,358.08,357.73,357.65,349.62,347.30,347.45,345.26,343.98,342.08,336.44,344.84,344.49,341.93,337.49,339.23,349.21,356.99,358.26,366.19,360.38,365.38,364.60
2000-05-17 21:58:07+00:00,L7,273.05,271.49,,244.92,279.45,287.96,277.12,295.87,295.77,295.71,,,,294.57,,,,,284.92,297.70,301.86,305.56,310.04,313.02,316.19,309.80,307.84,317.80,318.81,322.24,326.10,326.61,328.04,331.48,326.34,325.25,336.76,317.93,320.58,297.06,299.16,312.70,317.08,283.31,242.83,,,,,,,,,,,,,,,,,,,,312.33,307.12,295.22,315.55,316.43,319.55,331.12,319.66,322.20,,,322.46,319.54,321.37,331.42,323.89,308.33,326.07,325.33,327.99,,,,,,,,,
2000-07-04 21:57:38+00:00,L7,,,,,,,,316.74,315.42,312.43,319.12,,,,,,,,,,,,,,,325.52,338.72,344.75,342.28,340.71,342.85,343.10,345.96,340.60,341.87,342.86,337.38,342.61,351.64,352.09,358.29,343.16,340.40,328.12,321.20,334.66,348.15,353.89,356.00,354.76,353.46,358.24,361.33,363.83,362.69,356.62,344.22,349.51,351.01,355.62,357.81,357.60,,,350.93,345.50,323.72,333.71,337.43,338.14,336.31,332.63,339.98,,,339.46,341.59,352.65,354.06,347.43,347.28,340.60,348.70,355.35,349.36,352.04,354.57,350.25,342.04,350.49,359.22,359.79,350.90
2000-08-05 21:57:08+00:00,L7,,,,,,,,,323.48,332.51,,,,344.41,,,,277.60,326.16,319.71,363.69,348.60,355.69,351.62,355.29,341.42,337.83,330.36,361.96,372.18,362.36,359.01,350.16,361.27,368.48,364.15,358.77,363.16,366.15,375.09,383.91,358.96,358.77,352.92,326.82,357.69,358.35,364.31,365.69,366.65,376.70,364.66,366.81,362.72,358.45,358.07,360.30,360.76,361.31,374.31,378.68,381.96,378.48,357.01,354.61,355.72,338.47,357.76,345.41,346.80,337.28,352.61,355.97,357.20,355.11,354.28,354.64,,,355.71,338.85,357.18,357.11,362.77,357.90,367.21,353.99,357.06,357.72,373.66,372.02,362.31,356.99
