dates,nzd0276-0000,nzd0276-0001,nzd0276-0002,nzd0276-0003,nzd0276-0004,nzd0276-0005,nzd0276-0006,nzd0276-0007,nzd0276-0008,nzd0276-0009,nzd0276-0010,nzd0276-0011,nzd0276-0012,nzd0276-0013,nzd0276-0014,nzd0276-0015,nzd0276-0016,nzd0276-0017,nzd0276-0018,nzd0276-0019,nzd0276-0020,nzd0276-0021,nzd0276-0022,nzd0276-0023,nzd0276-0024,nzd0276-0025,nzd0276-0026,nzd0276-0027,nzd0276-0028,nzd0276-0029,nzd0276-0030,nzd0276-0031,nzd0276-0032,nzd0276-0033,nzd0276-0034,nzd0276-0035,nzd0276-0036,nzd0276-0037,nzd0276-0038,nzd0276-0039,nzd0276-0040,nzd0276-0041,nzd0276-0042,nzd0276-0043,nzd0276-0044,nzd0276-0045,nzd0276-0046,nzd0276-0047,nzd0276-0048,nzd0276-0049,nzd0276-0050,nzd0276-0051,nzd0276-0052,nzd0276-0053,nzd0276-0054,nzd0276-0055,nzd0276-0056,nzd0276-0057,nzd0276-0058,satname
1999-12-09 21:59:21+00:00,321.51483870967746,310.95483870967746,305.2484615384615,315.6046511627907,319.77000000000004,341.69881355932205,337.37206896551726,337.4120689655173,334.53202797202795,328.2251063829787,326.29143884892085,321.3111678832117,322.07444444444445,320.71000000000004,316.73,318.3917647058824,320.6284615384615,328.85,331.57727272727277,330.56333333333333,333.98,327.84,326.51,331.5072727272727,344.33,325.41727272727275,318.51,331.32,327.6617647058824,303.34588235294115,321.71714285714285,333.59,340.15000000000003,353.64,353.71846153846155,356.72999999999996,356.6766666666667,365.79,367.1533333333333,361.17727272727274,348.39,341.98,350.99571428571426,348.65000000000003,,,,,,,,,,,,,,,,L7
2000-01-10 21:59:16+00:00,321.85709677419356,314.76709677419353,310.3123076923077,315.5018604651163,327.15666666666664,343.56847457627117,346.05172413793105,344.05172413793105,338.67741258741256,336.2341134751773,332.6118705035971,330.16072992700725,332.24074074074076,335.28666666666663,323.9033333333333,333.9329411764706,331.14230769230767,326.4166666666667,323.47727272727275,324.02222222222224,324.385,322.965,327.73333333333335,328.53727272727275,333.32,326.97727272727275,320.36333333333334,335.435,327.7929411764706,300.1364705882353,316.82380952380953,335.7733333333333,348.71999999999997,347.79,346.4923076923077,353.93333333333334,356.57111111111107,367.0566666666667,369.9222222222222,365.51727272727277,349.75333333333333,347.885,363.1957142857143,342.82,326.48999999999995,325.8722222222222,332.38,345.4822222222222,361.8633333333333,316.4322222222222,328.61727272727273,338.9029411764706,381.6033333333333,343.71230769230766,334.045,338.23333333333335,338.20473684210526,348.23615384615385,346.06,L7
2000-01-26 21:59:14+00:00,318.64741935483875,317.1674193548387,302.9823076923077,315.4474418604651,329.96333333333337,346.107627118644,350.19931034482755,348.37931034482756,333.50468531468533,332.7482269503546,329.0598561151079,324.9094890510949,329.25703703703704,337.34333333333336,320.3366666666667,344.40764705882356,341.1123076923077,342.2633333333333,340.1381818181818,339.38111111111107,341.805,337.495,339.26666666666665,343.8081818181818,331.18,328.4081818181818,331.12666666666667,346.305,324.86764705882354,310.2288235294118,339.5090476190476,351.77666666666664,362.21000000000004,362.7,350.72230769230765,362.4266666666667,363.44555555555553,364.9433333333333,383.1811111111111,360.1381818181818,352.96666666666664,340.845,356.6985714285714,352.84000000000003,343.05,343.4711111111111,345.94,344.44111111111107,350.8866666666667,338.8311111111111,352.47818181818184,377.04764705882354,389.2066666666667,369.8823076923077,322.195,327.70666666666665,335.70736842105265,336.5661538461539,334.89837837837837,L7
2000-03-30 21:58:57+00:00,317.4793548387097,312.81935483870967,293.58538461538467,305.65279069767445,316.91999999999996,331.52983050847456,340.18931034482756,343.13931034482755,337.46062937062936,334.38170212765954,326.2925179856115,325.54306569343066,327.93333333333334,329.17999999999995,322.22,332.0111764705882,332.04538461538465,338.09,338.63363636363636,346.59,343.865,336.445,326.94,324.1136363636364,322.58,312.9036363636364,317.65000000000003,331.335,328.5111764705882,303.60058823529414,319.27285714285716,330.19,338.01,334.24,340.86538461538464,350.65000000000003,351.21,359.31,362.11,352.3636363636364,341.51,338.055,350.4142857142857,337.55,325.56,322.22,326.24,333.54,345.53,316.86,329.45363636363635,323.88117647058823,375.35,337.7553846153846,323.055,326.45,329.3926315789473,338.0176923076923,338.2035135135135,L7
2000-05-01 21:58:42+00:00,332.72387096774196,325.643870967742,303.9669230769231,316.17697674418605,323.8466666666667,335.47271186440673,344.26206896551724,342.5920689655173,342.81405594405595,342.1183687943262,330.63510791366906,330.3443795620438,330.4462962962963,337.25666666666666,330.0833333333333,335.22,334.8269230769231,333.5766666666667,333.99454545454546,338.4488888888889,336.725,332.125,331.8333333333333,336.7245454545454,338.4,326.18454545454546,330.1033333333333,335.215,338.29,312.87,324.80523809523805,334.9833333333333,342.89,351.33,351.10692307692307,351.87333333333333,352.62444444444446,362.93666666666667,373.9188888888889,359.8545454545454,350.6633333333333,346.915,356.60285714285715,351.11,337.54,335.35888888888894,339.67,348.4688888888889,373.25333333333333,333.36888888888893,336.5445454545454,328.59,375.5233333333333,344.41692307692307,334.595,334.8433333333333,308.6773684210527,342.33846153846156,343.8145945945946,L7
2000-06-18 21:58:15+00:00,334.74967741935484,320.1996774193548,,317.7144186046512,315.6433333333333,331.1208474576271,337.77241379310345,340.28241379310344,339.6127272727272,342.0058865248227,329.8220143884892,331.46124087591244,323.8037037037037,331.87333333333333,320.6166666666667,328.69529411764705,317.9,333.3533333333333,329.44909090909096,331.6011111111111,330.21,329.58,330.89666666666665,335.78909090909093,341.09,326.88909090909095,338.2866666666667,339.66,341.7852941176471,320.73764705882354,327.6747619047619,335.7866666666667,335.28000000000003,,348.09,349.9166666666667,350.7655555555555,354.6133333333333,368.80111111111114,357.84909090909093,339.32666666666665,340.45,348.8171428571428,352.12,334.69,334.26111111111106,336.44,337.6011111111111,372.0866666666667,337.6211111111111,339.71909090909094,325.06529411764706,371.68666666666667,342.86,330.59,323.50666666666666,302.6073684210527,328.61,335.7416216216216,L7
2000-07-04 21:58:02+00:00,349.82548387096773,329.07548387096773,303.32461538461536,321.32441860465116,331.6166666666667,340.41559322033896,348.68689655172415,347.5268965517241,346.17573426573426,343.5062411347518,336.4984892086331,343.73255474452554,338.99851851851855,,,342.9264705882353,337.21461538461534,336.8966666666667,339.0609090909091,335.85555555555555,337.775,331.935,339.7233333333333,343.5809090909091,342.18,335.67090909090905,339.36333333333334,341.785,346.4964705882353,326.51823529411763,338.0795238095238,342.5833333333333,339.86,370.22,369.1746153846154,367.8333333333333,356.4577777777778,363.1366666666667,375.27555555555557,366.55090909090904,,,,,,,,,,,,,,,,,341.36105263157896,354.78230769230765,342.00729729729727,L7
2000-08-05 21:57:32+00:00,332.9977419354838,330.1177419354838,296.36,311.84418604651165,324.63,333.1818644067797,341.99068965517245,342.9006896551724,335.68545454545455,334.218085106383,325.3084892086331,322.89656934306566,319.88222222222225,324.06,320.82,326.7135294117647,329.97,326.31,321.1981818181818,328.4066666666667,332.02,333.64,334.16,329.8381818181818,325.65,327.9281818181818,332.82000000000005,345.38,334.5135294117647,327.7217647058824,341.09142857142854,356.51000000000005,342.03999999999996,355.01,355.87,358.8,353.3333333333333,361.36,375.3566666666667,363.2081818181818,359.94,343.53,355.16714285714284,353.71999999999997,352.26,345.2166666666667,344.53,340.9666666666667,344.92,341.0866666666667,355.9981818181818,,387.23,390.94,337.63,329.11,334.5994736842105,343.15,344.5237837837838,L7
2000-08-21 21:57:26+00:00,322.5558064516129,322.39580645161294,298.33538461538467,309.40627906976744,328.20666666666665,336.4830508474576,344.7165517241379,337.9465517241379,335.98517482517485,333.8917730496454,331.37625899280573,322.6785401459854,322.6685185185185,327.9766666666667,316.00333333333333,329.26411764705887,312.34538461538466,322.4866666666667,309.04545454545456,308.46555555555557,323.53,320.14,321.1433333333333,317.10545454545456,313.79,315.73545454545456,324.56333333333333,327.66,325.8141176470588,319.8770588235294,328.90238095238095,342.25333333333333,344.46999999999997,358.62,358.92538461538464,352.81333333333333,347.4577777777778,347.4266666666667,363.59555555555556,350.24545454545455,345.0933333333333,337.24,344.48857142857145,340.95,334.18,330.8355555555555,341.02,329.3255555555555,335.7133333333333,328.10555555555555,343.8454545454546,341.01411764705887,374.2233333333333,384.81538461538463,326.82,326.1933333333333,328.60052631578947,338.04769230769233,342.88,L7
2000-09-22 21:56:53+00:00,324.19709677419354,313.17709677419356,286.0053846153846,304.28697674418606,318.89,333.24169491525424,337.98,334.79,332.8360839160839,326.84978723404254,320.2610071942446,319.04963503649634,319.84555555555556,316.76,311.73,319.69470588235293,314.17538461538464,317.09,316.4418181818182,324.3966666666667,328.755,320.685,325.44,320.14181818181817,317.36,317.1118181818182,321.10999999999996,329.515,328.0347058823529,319.7923529411765,329.9242857142857,335.32,324.44,324.91,348.93538461538463,341.28,342.6933333333333,346.07,361.37666666666667,347.3118181818182,347.39,341.315,347.9214285714286,343.87,335.77000000000004,329.6066666666667,337.83000000000004,331.8466666666667,335.97,327.8866666666667,337.77181818181816,373.67470588235295,370.53,366.5753846153846,330.815,318.59,330.19210526315794,338.3676923076923,334.4972972972973,L7
