dates,nzd0276-0000,nzd0276-0001,nzd0276-0002,nzd0276-0003,nzd0276-0004,nzd0276-0005,nzd0276-0006,nzd0276-0007,nzd0276-0008,nzd0276-0009,nzd0276-0010,nzd0276-0011,nzd0276-0012,nzd0276-0013,nzd0276-0014,nzd0276-0015,nzd0276-0016,nzd0276-0017,nzd0276-0018,nzd0276-0019,nzd0276-0020,nzd0276-0021,nzd0276-0022,nzd0276-0023,nzd0276-0024,nzd0276-0025,nzd0276-0026,nzd0276-0027,nzd0276-0028,nzd0276-0029,nzd0276-0030,nzd0276-0031,nzd0276-0032,nzd0276-0033,nzd0276-0034,nzd0276-0035,nzd0276-0036,nzd0276-0037,nzd0276-0038,nzd0276-0039,nzd0276-0040,nzd0276-0041,nzd0276-0042,nzd0276-0043,nzd0276-0044,nzd0276-0045,nzd0276-0046,nzd0276-0047,nzd0276-0048,nzd0276-0049,nzd0276-0050,nzd0276-0051,nzd0276-0052,nzd0276-0053,nzd0276-0054,nzd0276-0055,nzd0276-0056,nzd0276-0057,nzd0276-0058,satname
1999-12-09 21:59:21+00:00,319.86,311.46,304.00,310.70,320.61,341.32,338.28,337.41,333.69,327.26,324.42,319.50,319.33,319.44,314.14,315.84,319.38,327.39,336.18,330.56,330.59,323.95,320.81,320.28,336.56,323.69,328.64,339.87,324.61,305.41,319.63,331.80,338.08,347.94,353.72,355.78,354.37,361.99,362.55,363.25,350.73,338.09,352.25,348.65,,,,,,,,,,,,,,,,L7
2000-01-10 21:59:16+00:00,320.59,313.19,306.96,312.31,324.02,342.38,342.31,340.73,336.04,331.59,328.22,324.53,325.34,327.16,318.60,324.47,325.06,326.66,330.58,327.29,326.93,322.82,323.35,322.58,333.68,325.06,326.14,339.04,325.71,303.11,317.89,333.50,343.06,346.94,350.11,354.70,355.10,363.90,365.49,364.72,350.62,342.36,357.93,345.74,325.26,323.34,334.23,345.48,361.86,314.94,329.29,345.12,381.60,346.24,334.05,337.19,338.20,348.24,346.12,L7
2000-01-26 21:59:14+00:00,320.27,314.42,305.88,314.31,325.84,343.70,344.77,343.28,335.36,332.16,328.86,325.01,327.18,330.80,319.69,331.62,330.66,332.15,332.86,331.32,332.56,328.48,329.77,331.86,334.37,326.51,325.82,339.79,326.02,305.08,325.51,339.94,349.85,353.31,350.31,357.46,358.33,365.00,372.29,362.79,350.94,342.61,357.27,348.10,335.27,335.69,338.41,344.96,356.38,328.24,340.27,355.46,385.40,355.77,328.12,333.39,336.95,342.40,340.46,L7
2000-03-30 21:58:57+00:00,319.60,314.01,302.83,312.25,323.59,340.66,343.61,343.25,335.90,332.74,328.26,325.18,327.43,330.42,320.37,331.76,331.03,333.66,334.21,335.14,335.45,330.54,329.18,330.14,331.57,323.14,323.58,337.50,326.71,304.67,323.99,337.54,346.93,348.65,347.95,355.78,356.60,363.65,369.84,360.14,348.54,341.55,355.53,345.46,332.13,331.41,334.20,341.15,352.76,324.57,336.61,344.43,382.05,349.56,326.43,331.16,334.43,340.94,339.70,L7
2000-05-01 21:58:42+00:00,321.98,316.41,302.87,312.30,323.77,339.57,343.87,343.11,337.16,334.47,328.45,325.95,327.62,331.60,321.93,332.08,331.60,333.43,334.86,335.80,335.20,330.28,328.86,329.79,331.78,323.49,326.39,338.32,328.57,306.62,323.84,336.76,345.81,348.34,348.58,354.86,355.46,362.94,369.96,360.39,349.31,342.04,355.93,346.59,332.78,330.94,336.63,342.98,357.88,325.91,336.98,344.04,380.42,349.73,328.48,331.49,328.00,341.29,340.76,L7
2000-06-18 21:58:15+00:00,324.66,318.25,302.59,312.81,322.93,337.46,343.94,343.69,338.19,337.24,329.19,328.01,328.01,333.86,322.75,334.18,331.08,334.36,334.35,336.01,334.50,330.70,329.83,330.84,331.27,323.82,330.17,339.84,331.45,310.06,325.07,337.23,344.88,348.44,347.46,353.51,354.32,360.77,370.37,359.69,347.46,341.81,355.48,347.29,332.47,330.19,337.63,341.91,360.72,327.41,337.91,343.74,378.67,349.78,328.90,329.31,322.92,338.76,339.79,L7
2000-07-04 21:58:02+00:00,328.70,320.10,302.60,313.79,324.45,337.92,344.81,344.33,339.44,338.20,330.25,330.47,329.60,333.86,322.75,335.41,331.99,334.65,335.55,335.98,334.75,330.56,330.97,331.96,332.39,325.64,332.61,340.93,333.68,312.99,327.05,337.96,343.86,352.19,351.07,355.81,354.47,360.83,370.78,361.02,347.46,341.81,355.48,347.29,332.47,330.19,337.63,341.91,360.72,327.41,337.91,343.74,378.67,349.78,328.90,329.31,325.99,341.43,340.18,L7
2000-08-05 21:57:32+00:00,333.08,323.72,299.14,313.14,322.77,334.24,342.84,343.29,340.11,338.97,329.18,330.28,327.43,330.31,322.85,332.38,330.03,333.23,333.79,336.18,335.15,331.63,331.08,330.80,331.76,325.42,334.54,341.12,337.05,318.88,329.59,339.50,339.02,351.96,353.02,355.54,352.22,359.18,369.77,360.56,348.38,341.37,353.03,348.62,336.66,332.52,338.00,340.14,358.95,331.20,340.89,344.76,377.45,355.74,331.47,327.76,323.33,341.38,340.91,L7
2000-08-21 21:57:26+00:00,331.51,323.44,299.15,313.05,323.59,334.65,343.06,342.40,339.51,338.23,329.75,329.21,326.93,330.01,321.82,332.14,327.22,331.60,329.17,331.56,333.58,330.14,330.04,329.73,329.60,324.00,331.79,337.95,335.50,318.82,329.70,340.15,340.16,354.03,354.01,355.19,351.68,357.63,369.24,358.62,347.42,341.05,351.16,347.09,336.66,333.20,337.86,337.98,354.30,331.18,341.21,341.53,376.80,360.54,330.54,327.86,324.21,340.82,341.22,L7
2000-09-22 21:56:53+00:00,330.64,321.92,297.11,312.33,322.82,334.49,342.23,341.31,338.65,336.71,328.60,327.95,326.22,327.96,320.47,330.64,325.49,329.68,326.85,330.54,333.26,329.21,330.00,329.58,328.70,323.20,329.16,335.81,334.77,318.74,329.96,339.66,338.14,349.90,353.28,353.31,350.64,356.40,368.62,356.77,347.12,341.59,350.46,346.55,337.00,333.59,337.13,336.96,351.24,331.22,340.38,344.45,375.76,360.56,330.58,326.72,325.06,340.47,340.24,L7
