dates,sar0002-0000,sar0002-0001,sar0002-0002,sar0002-0003,sar0002-0004,satname
1984-06-07 09:34:42+00:00,157.53,137.93,131.24,145.25,153.25,L5
1984-08-26 09:36:33+00:00,160.23,139.63,112.85,144.35,147.08,L5
1984-09-04 09:30:25+00:00,189.25,157.69,146.65,168.75,176.42,L5
1984-09-11 09:36:38+00:00,,139.11,,149.16,,L5
1984-09-27 09:36:39+00:00,174.29,154.74,,183.97,163.27,L5
1984-10-29 09:36:32+00:00,200.87,169.2,,,167.35,L5
1985-06-26 09:36:35+00:00,183.71,154.29,149.11,173.78,164.27,L5
1985-07-28 09:36:22+00:00,182.96,166.6,165.33,186.47,177.04,L5
1985-08-29 09:36:02+00:00,178.66,160.74,162.22,191.64,163.88,L5
1985-12-03 09:34:43+00:00,192.91,158.21,58.31,,,L5
1986-01-04 09:34:08+00:00,182.61,133.67,62.52,,,L5
1986-03-25 09:32:25+00:00,143.85,114.27,93.36,,99.98,L5
1986-04-10 09:32:04+00:00,155.03,144.28,76.52,,131.45,L5
1986-05-05 09:25:17+00:00,158.14,144.43,142.87,192.75,163.09,L5
1986-05-12 09:31:17+00:00,195.76,166.6,172.04,195.45,179.89,L5
1986-06-29 09:29:50+00:00,165.54,145.83,149.68,169.58,162.9,L5
1986-07-08 09:23:21+00:00,137.15,132.33,114.25,140.85,120.58,L5
1986-07-15 09:29:17+00:00,163.46,145.07,127.17,152.44,132.68,L5
1986-09-01 09:27:32+00:00,179.41,164.23,153.97,193.1,166.06,L5
1986-09-17 09:27:01+00:00,181.86,154.92,,189.33,163.65,L5
1987-03-28 09:28:52+00:00,177.23,151.6,,182.96,162.6,L5
1987-07-02 09:31:27+00:00,179.67,164.01,164.07,184.51,177.62,L5
1987-07-18 09:31:44+00:00,176.41,162.66,168.5,186.28,178.96,L5
1987-08-19 09:32:41+00:00,157.36,143.21,,,139.24,L5
1987-09-04 09:33:07+00:00,191.63,166.19,149.51,206.65,178.49,L5
1987-09-20 09:33:30+00:00,184.48,166.74,,193.39,163.36,L5
1987-10-06 09:33:50+00:00,163.48,152.08,90.46,139.78,131.07,L5
1987-11-07 09:34:26+00:00,174.6,154.14,62.21,57.54,,L5
1987-12-09 09:34:58+00:00,230.57,168.1,72.09,65.3,,L5
1987-12-25 09:35:13+00:00,205.49,165.52,66.4,58.07,,L5
1988-01-10 09:35:29+00:00,203.03,150.63,66.7,65.15,,L5
1988-02-11 09:36:05+00:00,189.7,139.46,77.8,78.76,,L5
1988-04-15 09:36:38+00:00,178.21,152.91,141.89,185.78,176.54,L5
1988-05-01 09:36:45+00:00,176.88,154.46,146.91,173.6,163.03,L5
1988-05-17 09:36:55+00:00,201.23,171.61,164.8,185.33,179.89,L5
1988-07-04 09:37:12+00:00,178.1,146.83,139.75,171.96,165.5,L5
1988-08-05 09:37:16+00:00,154.96,139.25,122.37,136.41,131.68,L5
1988-08-21 09:37:17+00:00,185.64,157.76,153.09,172.03,167.96,L5
1988-09-06 09:37:19+00:00,175.93,158.44,86.35,148.15,155.38,L5
1988-10-08 09:37:09+00:00,164.58,150.1,65.63,154.14,,L5
1988-10-24 09:37:05+00:00,197.52,171.3,77.37,57.85,,L5
1988-12-11 09:36:57+00:00,165.23,132.89,64.54,55.22,,L5
1988-12-27 09:36:51+00:00,,165.83,70.16,70.94,,L5
1989-01-12 09:36:44+00:00,169.47,141.57,62.11,43.57,,L5
1989-03-01 09:36:18+00:00,152.48,130.33,75.71,79.91,,L5
1989-04-02 09:35:35+00:00,175.53,152.01,,185.94,167.75,L5
1989-04-18 09:35:31+00:00,154.47,,,,,L5
1989-05-20 09:34:56+00:00,175.51,152.27,,168.39,166.41,L5
1989-08-24 09:33:03+00:00,193.21,165.41,,181.08,177.75,L5
1989-09-09 09:32:39+00:00,,,62.64,,,L5
1989-09-25 09:32:16+00:00,200.97,170.23,,209.36,176.64,L5
1989-10-04 09:26:00+00:00,192.73,151.92,83.98,154.57,157.72,L5
1989-10-11 09:31:53+00:00,178.36,166.9,92.97,95.53,,L5
1989-11-12 09:30:54+00:00,211.21,172.48,63.69,71.48,,L5
1989-11-28 09:30:28+00:00,170.54,168.48,76.45,70.37,,L5
1990-01-15 09:28:57+00:00,204.47,154.68,72.53,66.8,,L5
1990-01-31 09:28:30+00:00,169.76,125.5,78.55,76.92,,L5
1990-02-09 09:22:02+00:00,,136.3,106.53,103.89,,L5
1990-04-21 09:26:46+00:00,158.8,151.09,,167.66,166.06,L5
1990-05-07 09:26:43+00:00,205.37,180.8,182.41,205.59,192.28,L5
1990-05-23 09:26:44+00:00,179.49,151.82,154.62,187.45,166.46,L5
1990-06-08 09:26:43+00:00,158.83,147.99,140.19,170.49,147.1,L5
1990-06-24 09:26:42+00:00,178.15,146.37,136.43,187.53,154.34,L5
1990-07-10 09:26:40+00:00,180.64,164.35,164.36,187.34,163.88,L5
1990-08-11 09:26:31+00:00,198.96,168.56,169.31,198.69,177.24,L5
1990-08-27 09:26:25+00:00,156.67,139.61,82.51,134.79,130.63,L5
1990-09-28 09:26:14+00:00,164.23,150.0,,159.46,147.96,L5
1990-10-14 09:26:08+00:00,164.68,151.71,80.47,156.07,154.86,L5
1990-11-15 09:26:01+00:00,158.94,,67.15,66.4,,L5
1990-11-24 09:19:43+00:00,,,,95.43,,L5
1991-01-02 09:26:25+00:00,190.14,140.48,63.14,72.72,,L5
1991-01-18 09:26:53+00:00,186.53,,46.69,51.04,,L5
1991-03-23 09:28:07+00:00,162.39,149.6,,156.52,154.17,L5
1991-04-08 09:28:18+00:00,143.89,137.66,69.89,133.7,130.96,L5
1991-05-26 09:29:10+00:00,178.68,160.84,167.42,177.49,177.94,L5
1991-06-27 09:29:37+00:00,187.65,159.58,156.09,180.04,164.72,L5
