dates,nzd0101-0000,nzd0101-0001,nzd0101-0002,nzd0101-0003,nzd0101-0004,nzd0101-0005,nzd0101-0006,nzd0101-0007,nzd0101-0008,nzd0101-0009,nzd0101-0010,nzd0101-0011,nzd0101-0012,nzd0101-0013,nzd0101-0014,nzd0101-0015,nzd0101-0016,nzd0101-0017,nzd0101-0018,nzd0101-0019,nzd0101-0020,nzd0101-0021,nzd0101-0022,nzd0101-0023,nzd0101-0024,nzd0101-0025,nzd0101-0026,nzd0101-0027,nzd0101-0028,nzd0101-0029,nzd0101-0030,nzd0101-0031,nzd0101-0032,nzd0101-0033,nzd0101-0034,nzd0101-0035,nzd0101-0036,nzd0101-0037,nzd0101-0038,nzd0101-0039,nzd0101-0040,nzd0101-0041,nzd0101-0042,nzd0101-0043,nzd0101-0044,nzd0101-0045,nzd0101-0046,nzd0101-0047,nzd0101-0048,nzd0101-0049,nzd0101-0050,nzd0101-0051,nzd0101-0052,nzd0101-0053,nzd0101-0054,nzd0101-0055,nzd0101-0056,nzd0101-0057,nzd0101-0058,nzd0101-0059,nzd0101-0060,nzd0101-0061,nzd0101-0062,nzd0101-0063,nzd0101-0064,nzd0101-0065,nzd0101-0066,nzd0101-0067,nzd0101-0068,nzd0101-0069,nzd0101-0070,nzd0101-0071,nzd0101-0072,nzd0101-0073,nzd0101-0074,nzd0101-0075,nzd0101-0076,nzd0101-0077,nzd0101-0078,nzd0101-0079,nzd0101-0080,nzd0101-0081,nzd0101-0082,nzd0101-0083,nzd0101-0084,nzd0101-0085,nzd0101-0086,nzd0101-0087,nzd0101-0088,nzd0101-0089,nzd0101-0090,nzd0101-0091,nzd0101-0092,nzd0101-0093,nzd0101-0094,nzd0101-0095,nzd0101-0096,nzd0101-0097,nzd0101-0098,nzd0101-0099,nzd0101-0100,nzd0101-0101,nzd0101-0102,nzd0101-0103,nzd0101-0104,nzd0101-0105,nzd0101-0106,nzd0101-0107,nzd0101-0108,nzd0101-0109,nzd0101-0110,nzd0101-0111,nzd0101-0112,nzd0101-0113,nzd0101-0114,nzd0101-0115,nzd0101-0116,nzd0101-0117,nzd0101-0118,nzd0101-0119,nzd0101-0120,nzd0101-0121,nzd0101-0122,nzd0101-0123,nzd0101-0124,nzd0101-0125,nzd0101-0126,nzd0101-0127,nzd0101-0128,nzd0101-0129,nzd0101-0130,nzd0101-0131,nzd0101-0132,nzd0101-0133,nzd0101-0134,nzd0101-0135,nzd0101-0136,nzd0101-0137,nzd0101-0138,nzd0101-0139,nzd0101-0140,nzd0101-0141,nzd0101-0142,nzd0101-0143,nzd0101-0144,nzd0101-0145,nzd0101-0146,nzd0101-0147,nzd0101-0148,nzd0101-0149,nzd0101-0150,nzd0101-0151,nzd0101-0152,nzd0101-0153,nzd0101-0154,nzd0101-0155,nzd0101-0156,nzd0101-0157,nzd0101-0158,nzd0101-0159,nzd0101-0160,nzd0101-0161,nzd0101-0162,nzd0101-0163,nzd0101-0164,nzd0101-0165,nzd0101-0166,nzd0101-0167,nzd0101-0168,nzd0101-0169,nzd0101-0170,nzd0101-0171,nzd0101-0172,nzd0101-0173,nzd0101-0174,nzd0101-0175,nzd0101-0176,nzd0101-0177,nzd0101-0178,nzd0101-0179,satname
2001-01-26 22:08:30+00:00,,,,,,365.25,,,,375.37,370.54,368.81,371.65,377.71,380.15,379.29,376.23,374.21,367.75,382.48,393.00,399.76,396.29,398.49,404.65,404.92,401.33,409.22,407.45,,,390.25,390.57,,402.27,404.10,397.40,399.97,402.28,406.09,398.41,405.68,396.04,385.38,,,386.07,393.66,400.80,389.96,395.49,,,,389.10,395.15,401.85,,,,,,,,369.27,368.36,363.81,,,,378.95,375.44,,368.59,363.85,,,,361.02,361.41,,,355.96,362.19,365.03,,368.96,355.69,366.66,,376.45,381.00,376.86,369.04,373.30,372.13,372.70,378.10,392.04,376.80,373.79,369.40,364.83,363.03,367.59,374.40,,,,,357.21,,,,,368.64,,,,,349.97,347.68,331.71,,,355.36,348.20,346.72,,,,347.84,,,364.21,349.13,353.56,360.26,,,360.32,364.72,350.91,355.72,363.37,359.53,352.13,352.33,369.57,352.94,357.15,354.19,349.12,340.69,344.43,361.43,350.20,359.28,362.00,357.38,362.52,352.04,312.76,,,356.28,359.56,350.25,352.85,365.93,381.40,380.34,380.48,379.87,381.00,377.63,378.97,375.74,365.43,367.69,L7
2001-03-08 22:02:09+00:00,249.15,,278.56,287.44,319.99,330.02,307.38,318.59,301.33,326.71,333.03,337.30,346.21,354.95,353.89,353.85,358.91,357.22,348.19,365.41,369.57,378.00,379.82,371.17,379.92,383.80,376.19,389.26,389.42,,,357.92,359.47,,367.91,380.15,382.89,377.22,384.26,390.61,368.78,384.46,360.92,354.01,,,356.54,366.56,374.53,,365.13,,,,383.98,388.93,400.75,,298.67,,,,,,334.50,335.47,341.26,297.43,304.13,,355.92,337.89,314.46,348.96,324.95,,307.85,318.21,330.82,321.10,319.68,307.99,334.43,340.65,346.12,,347.66,321.41,337.65,307.95,363.21,361.82,359.27,355.67,,349.18,,353.81,370.60,366.29,362.29,352.75,337.88,339.00,352.02,352.84,324.50,301.52,335.75,336.57,338.91,347.46,343.20,343.96,343.47,355.10,346.93,,,331.51,327.50,321.50,305.13,315.14,331.01,338.11,335.56,,,,,,,,,,,,,,345.64,351.55,332.30,335.51,345.85,335.44,330.34,328.85,348.04,333.82,327.71,331.25,330.95,325.51,331.45,349.00,331.14,328.83,332.58,335.83,334.30,315.90,289.56,277.24,316.37,340.91,342.54,341.85,342.09,342.71,356.42,358.53,367.22,362.94,355.14,355.31,358.14,355.18,345.12,348.71,L7
2001-03-24 22:01:59+00:00,,,,,,353.33,,352.11,332.27,361.66,364.35,367.92,367.29,368.58,368.84,365.27,373.69,366.30,362.49,380.66,389.28,393.27,393.63,397.32,401.69,397.16,396.61,411.45,406.20,,,375.28,373.85,,394.77,404.52,399.37,400.12,401.63,410.17,394.28,404.40,392.68,382.04,,,381.07,387.34,396.98,,386.54,,,,391.35,395.02,404.82,,273.11,,,,,,364.90,358.92,368.11,292.02,296.13,,374.61,368.36,349.38,371.84,362.86,298.25,299.90,352.52,364.86,342.16,354.92,,352.86,353.26,360.05,,361.14,352.65,370.72,,376.34,374.62,375.04,371.32,375.60,367.34,366.81,375.75,377.31,371.41,378.93,370.36,357.60,363.47,367.88,361.05,,,,,,,,,,,,,,,,,,,,,351.81,338.83,328.05,,339.33,340.46,,347.77,366.41,351.99,351.41,355.50,,351.67,337.30,337.39,,348.95,357.63,349.07,338.11,346.83,363.36,347.78,351.91,353.52,349.25,346.67,353.10,369.09,349.35,345.37,343.36,343.07,352.70,,302.33,,348.84,354.25,,,,,,,,,376.85,376.16,376.78,377.22,371.18,374.09,L7
2001-06-03 22:07:40+00:00,,,,,,,,,332.82,346.33,,,334.53,334.11,334.64,333.80,343.08,353.79,,354.92,,,,,,,,,,231.38,244.70,,,276.86,,,,,,,,,,,288.31,280.67,,,,,,225.34,230.89,226.11,,,,220.09,,217.99,229.96,215.03,229.58,232.95,,,,257.23,257.02,,338.97,335.66,341.44,,,265.30,265.32,,324.09,,,,,,,245.88,269.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263.25,260.73,,,,289.18,,,,,,,,,,,,,,,,,,,,,320.10,346.02,337.74,,,,,,,,,,,,,,,,335.38,307.10,311.56,339.77,335.79,345.05,349.10,349.84,346.52,350.48,343.81,,,,,,,,,L7
2002-01-06 22:00:31+00:00,,,,,,,333.29,334.11,323.93,,,309.83,311.79,326.98,346.59,362.58,365.39,390.37,390.12,363.02,,348.70,,359.55,,360.37,365.88,,,,,361.04,385.71,,380.99,368.32,375.06,361.79,,,,380.88,372.72,390.39,,,367.82,360.83,366.00,357.05,351.21,,,,360.60,365.62,,,,,,,,,383.24,371.62,366.10,,,331.25,346.69,351.09,311.14,,341.72,,366.23,356.09,325.46,330.61,320.04,312.40,,324.10,320.90,,299.20,323.25,359.49,334.04,345.42,352.21,349.34,351.09,345.75,350.92,347.89,339.39,,333.19,341.17,351.25,363.07,358.69,337.27,335.88,332.83,317.95,333.69,318.80,323.23,318.45,,,318.44,325.13,315.18,319.79,313.78,313.08,314.96,314.83,313.73,301.54,311.63,314.69,305.85,,,295.57,341.85,344.66,351.85,,,,,,,,,,,,,,,,,,,,330.82,346.64,341.26,329.39,344.48,337.85,337.59,337.86,333.84,298.94,320.73,327.22,333.64,336.72,345.44,345.16,341.23,342.46,340.02,342.83,338.78,342.68,351.01,,,,,,L7
2002-01-22 22:00:40+00:00,,360.64,,,,365.79,362.19,361.76,351.01,345.82,,337.92,361.80,360.79,372.10,382.44,381.89,394.13,394.23,378.21,369.43,372.42,377.28,379.71,378.81,378.18,383.12,375.12,372.60,,,385.33,397.45,,400.05,387.30,393.85,378.22,369.16,,368.59,395.36,396.46,407.48,,,390.16,387.97,392.78,381.08,374.29,,,,386.77,389.75,373.32,,,,,,,,394.40,388.88,386.96,,,355.95,374.58,361.84,336.02,348.36,373.42,,374.34,359.96,338.59,364.31,346.84,331.43,328.37,343.33,345.15,,338.56,361.01,362.09,355.18,356.67,363.36,365.03,368.73,364.19,371.68,366.21,356.93,349.31,356.81,362.19,364.96,371.97,368.39,354.05,352.82,348.50,345.41,361.02,351.60,348.35,340.07,338.42,333.50,340.87,343.40,335.92,351.29,349.08,338.23,335.67,335.18,323.45,323.18,342.11,340.46,337.97,321.61,303.07,328.57,351.85,361.10,358.53,356.37,339.76,344.85,351.12,357.84,361.76,357.64,334.25,350.23,364.70,358.23,353.26,346.77,348.24,343.32,329.07,335.28,337.83,345.64,358.68,357.12,359.46,350.20,358.19,358.01,358.03,355.80,364.32,353.26,354.77,354.58,364.12,366.17,365.70,365.22,361.02,364.74,357.56,352.11,358.94,363.21,373.97,385.52,383.25,379.75,365.05,356.60,L7
2002-02-14 22:06:53+00:00,,,,,,386.42,384.85,382.45,375.91,378.44,370.99,,,395.54,390.89,401.73,406.35,413.41,405.11,414.15,,410.18,,,424.54,425.31,,,,,,414.93,420.87,,418.98,423.80,414.95,417.94,,427.46,,,,409.13,,,420.18,421.24,422.82,,,,,,425.31,421.79,,,,,,,,,407.84,412.74,412.70,,,,406.06,405.17,403.28,,391.30,,382.30,395.41,,396.79,385.12,,,,375.11,,,383.17,,,,397.04,403.22,400.23,,406.62,401.27,,,,,,,397.27,,388.32,,,,,,,,,,,,385.97,386.72,383.04,380.33,,,,381.22,371.46,375.00,,,,375.02,375.71,397.39,386.72,,385.64,389.89,386.48,378.97,377.89,382.31,382.51,381.87,379.49,389.26,,,369.35,,,,384.18,380.36,379.03,384.56,,,,,,,388.68,375.55,,403.22,396.14,,,397.11,394.21,395.13,390.09,,389.67,398.14,401.68,,,,390.11,L7
2002-04-12 22:00:37+00:00,,384.44,268.93,280.54,351.69,352.09,362.16,359.62,352.35,346.82,336.11,354.00,364.45,369.57,372.78,378.17,380.04,381.48,380.95,386.31,391.34,394.12,392.87,388.23,390.50,392.59,387.99,405.08,408.47,,,396.50,389.50,,384.28,,388.97,398.56,395.76,404.04,392.38,,371.52,370.56,308.35,,389.86,394.31,392.12,,,,,262.32,385.93,393.97,403.52,,260.11,249.79,,,,,,,,293.61,286.20,394.80,378.99,370.63,370.10,354.85,361.33,298.13,344.74,364.94,366.78,359.51,352.88,,352.93,348.43,357.64,,363.82,356.50,372.39,,370.18,376.16,373.86,368.99,373.73,369.56,,,382.48,375.39,375.53,349.22,,365.46,,,366.72,352.34,361.22,366.52,363.44,347.86,,339.12,348.16,364.95,368.09,354.80,353.24,354.92,348.01,346.06,343.17,336.70,,340.29,340.29,348.22,339.46,355.42,344.74,353.15,373.71,356.17,373.83,354.06,351.11,346.40,346.70,353.13,357.19,365.17,352.61,352.49,358.40,342.71,339.90,344.44,365.13,352.98,356.81,358.21,349.61,343.74,,363.28,346.98,349.17,350.71,356.55,364.41,364.05,327.55,371.65,,362.44,360.81,364.74,370.86,367.10,366.76,365.95,351.38,,368.74,369.88,377.77,379.46,374.02,371.25,L7
2002-05-21 22:06:41+00:00,,,,,,,,,,,,,,,,,346.26,365.01,358.41,353.43,346.58,,,,352.23,366.19,361.32,,,191.49,209.03,,,241.08,,,,,,,,,,,272.95,267.09,,,,,,195.42,191.00,,,,,,,,192.72,190.28,199.81,204.93,,,,,,,347.05,352.75,336.24,,,,,,,,,,,,,219.67,,306.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,308.19,,,,,,,309.53,,,310.76,315.29,,,,320.03,324.26,315.78,316.07,319.21,322.50,319.75,311.97,320.61,317.73,306.95,,,,,,,,,,,,,317.13,325.77,319.21,310.69,309.43,326.72,,323.13,322.83,322.94,320.87,340.74,341.30,344.09,343.29,,345.79,345.46,341.77,,,339.43,L7
2002-07-08 22:06:24+00:00,,,249.60,272.85,,308.18,329.97,339.53,330.19,302.94,321.62,340.55,337.95,354.74,342.25,356.23,355.04,351.75,358.72,364.70,339.19,,,,324.81,372.98,346.29,,,,236.58,,,,,376.33,378.78,,,,,,369.53,338.90,314.57,321.94,313.53,339.02,,306.63,314.19,,,,,,,332.83,,,,,,,,365.61,408.96,,,,311.18,313.37,291.48,,,287.62,291.57,290.75,312.15,,,273.32,324.09,332.47,,,328.64,329.56,344.15,382.87,406.38,,,,,,,,309.41,304.71,,,,,,,404.52,,,,,,,,,,,,,,,,,,,327.96,326.16,314.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,295.69,258.54,260.88,319.05,259.15,286.81,,322.31,337.83,344.75,348.69,359.46,361.71,359.95,352.08,350.32,353.87,355.69,365.61,,,,L7
