,dates,nzd0532-0000,nzd0532-0001,nzd0532-0002,nzd0532-0003,nzd0532-0004,nzd0532-0005,nzd0532-0006,nzd0532-0007,nzd0532-0008,nzd0532-0009,nzd0532-0010,nzd0532-0011,nzd0532-0012,nzd0532-0013,nzd0532-0014,nzd0532-0015,nzd0532-0016,nzd0532-0017,nzd0532-0018,nzd0532-0019,nzd0532-0020,nzd0532-0021,nzd0532-0022,nzd0532-0023,nzd0532-0024,nzd0532-0025,nzd0532-0026,nzd0532-0027,nzd0532-0028,nzd0532-0029,nzd0532-0030,nzd0532-0031,nzd0532-0032,nzd0532-0033,nzd0532-0034,nzd0532-0035,nzd0532-0036,nzd0532-0037,nzd0532-0038,nzd0532-0039,nzd0532-0040,nzd0532-0041,nzd0532-0042,nzd0532-0043,nzd0532-0044,nzd0532-0045,nzd0532-0046,nzd0532-0047,nzd0532-0048,nzd0532-0049,nzd0532-0050,nzd0532-0051,nzd0532-0052,nzd0532-0053,nzd0532-0054,nzd0532-0055,nzd0532-0056,nzd0532-0057,nzd0532-0058,nzd0532-0059,nzd0532-0060,nzd0532-0061,nzd0532-0062,nzd0532-0063,nzd0532-0064,nzd0532-0065,nzd0532-0066,nzd0532-0067,nzd0532-0068,nzd0532-0069,nzd0532-0070,nzd0532-0071,nzd0532-0072,nzd0532-0073,nzd0532-0074,nzd0532-0075,nzd0532-0076,nzd0532-0077,nzd0532-0078,nzd0532-0079,nzd0532-0080,nzd0532-0081,nzd0532-0082,nzd0532-0083,nzd0532-0084,nzd0532-0085,nzd0532-0086,nzd0532-0087,nzd0532-0088
0,1999-07-16 22:13:35+00:00,236.39931479435157,,,,,,,205.9872931453231,203.81364153699425,219.54311651593054,243.81537457233273,224.04990261848636,221.70750682209126,,221.80369276652513,,214.73811917666197,252.05096940255805,216.44419033698588,234.27141013673057,211.67385665527044,,197.8944839425971,221.32671497035807,,,241.22801255580006,,181.37376095906998,,208.35341564054727,201.25744193879748,198.07133005368695,,170.61278282760583,192.54966493742273,178.79688346220888,202.98185717308615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1999-11-05 22:13:40+00:00,233.52256451700603,184.65534934034847,,188.0412022036204,193.12505368909197,191.0214366194899,,,,,,,,217.54088502842015,,,,,,,,,,,,,,265.78779495722813,,,,,,,,,,,,,,,,,,,,220.091965281449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1999-11-12 22:19:51+00:00,,168.1225891970944,,160.55060721254966,182.81499813327952,,161.97146234367418,174.82809004802488,186.23487920688717,209.07495930101163,226.14904659263465,,220.32466448994717,226.32868921704727,,,232.7071691242885,221.73596007429978,217.2165538051595,,,,210.83817639474879,213.39276815245012,224.88764058903382,213.72856137255968,,,,189.0078224690197,,,188.05191154100646,,179.7392437612836,,,197.24846965681536,,,208.4030911449246,,211.50747205656157,,218.10611351054516,,214.92967414128083,203.0017107783188,,198.0089349341988,,178.12067467905837,175.71449229912483,167.04228408725118,159.26693863321572,146.2680051672248,,129.79374140252347,125.7172867053768,118.51587481359472,114.59071046167502,116.5743993289109,116.36641264153292,112.6937565809004,114.4786416246602,,113.2917354650167,116.09944298658846,119.71854876874424,119.61030470486382,121.48872724057033,120.40793023511726,119.6182569952713,119.60831577603868,116.30184760318919,119.22415436272833,118.63635850505695,116.43009078106398,113.10743431393286,109.80137231267325,99.38511262836562,91.614348650672,,106.46451715824223,131.91321059614674,132.63942330694024,136.6280517425949,,
3,1999-11-21 22:13:35+00:00,,,,,,,,,,,,252.38759559755675,239.61751427448294,226.87484593938743,,241.42524037247603,241.0651777105349,,237.29712237268024,229.735609941088,,,,233.3845520553872,,254.22838608877754,,254.98957543872365,,,240.1514090317341,,221.96304386332415,,,215.13639953416202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1999-12-07 22:13:41+00:00,216.63907378747706,188.3654043178666,192.57049961959524,194.62505029674057,,,190.75862184219716,182.55856538447367,203.11176975233056,215.1647271520641,222.27253335545683,210.4645738831168,,220.9228849934393,223.3791776122941,223.56511245427254,231.07694146013816,,,,214.7414475722477,,,217.80118144857568,,234.9994814525333,,236.3962389979863,,,213.04636615020166,,197.25248803546805,,,189.51266448084553,,205.3919532271211,210.9737208032534,,215.4575813158635,,220.08846390376183,,,,,211.07910046557686,201.09080388445446,197.12791185138965,188.0573335325824,188.3026594893679,,179.3719084124317,182.23924974830803,162.87305050094824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1999-12-30 22:19:45+00:00,217.34112930996432,189.96725115339405,197.25300611741062,,,198.96161174384568,,188.0591713486235,202.29528499377417,222.77039352318855,221.52228518804907,218.38252422909426,,223.57518447630568,229.34475128931336,234.60181582068205,237.52300763672147,,229.28228178169812,226.0665796248383,226.9793456960585,,,,234.753568595028,,,,,224.84416806059357,,213.11634060994382,201.35830853864704,199.66772558372526,,196.44263469085982,,207.5317720088271,,,223.6977156245959,223.5628531675343,218.3117202676124,,217.26355953958242,224.33758961885118,,,199.97945033811297,192.6844987337764,192.6462484805035,185.5335564450824,186.5417124061945,,,156.57913017207426,148.19679718818912,138.31636589305305,127.90940338419949,127.4754358761231,126.8722866610929,125.130129052618,124.41685122705434,,126.45113029547991,127.52046896939197,131.24438461240013,132.1125431032566,134.28960172298534,130.87162211659106,134.1328949642906,139.13707560864654,137.5964603951012,131.63035533278364,,134.10144683250067,133.07487386163638,130.40524828079464,125.26859724610792,122.30989917090031,109.28327991078338,104.0649014332531,106.48776347275506,120.29591852087732,130.77219992627,148.7431440356306,146.62686099873494,135.59779047512487,132.97392875914596
6,2000-02-25 22:13:25+00:00,199.6912889011325,165.1908347606775,168.66279390496496,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2000-04-20 22:19:15+00:00,220.4072919000594,172.7830527265151,190.81997182988403,195.03691755498568,,189.13100347162808,,184.5308428181264,205.76648192633053,,221.68685264727952,216.31511140609,211.1088424241344,,215.81224935543543,226.91794790259522,226.4236951633592,225.24415265772967,219.95205427843658,,,,,214.67678297392783,236.06814912777548,236.92506266544757,233.88226190056363,,,,,,197.1089279917812,,,185.55261220087277,,201.40958694838423,,,,,210.92264271102573,,214.5036841761424,,216.25978903626014,,194.98635315173033,194.49769222936843,,179.36508269180706,175.0240534878884,167.4321179743521,170.03655085381894,156.37388520843808,,136.69092778209878,,130.13728480030395,,126.76564150769956,124.96951143683656,121.9071293004523,124.30151745257434,125.67075099039154,127.79878373853528,133.70276031835112,129.59964866243817,130.28985568517754,133.55482064201078,133.11807527352948,132.83844738477453,127.37122644047737,124.74003116423789,123.65010242768916,125.20787968318156,128.6311932717358,,120.63839034984876,115.73914914880068,106.19336132050059,116.28336490407459,123.9713867306268,137.92754064066878,146.46189136987982,139.71116899712487,141.43992650127672,143.15173255492869
8,2000-04-29 22:13:05+00:00,210.16534898178338,164.51847163240433,,186.97465825235787,,183.16816509262787,177.37725703191728,172.68965655112757,189.66659129156312,,,,204.7925526615687,211.25892897224287,,207.46679767313486,206.52871237836686,209.6683984993453,213.31590816557926,,203.1540408129582,,,209.72682711166019,,228.90107604491544,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2000-05-15 22:12:54+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
