,dates,jap0317-0000,jap0317-0001,jap0317-0002,jap0317-0003,jap0317-0004,jap0317-0005,jap0317-0006,jap0317-0007,jap0317-0008,jap0317-0009,jap0317-0010,jap0317-0011,jap0317-0012,jap0317-0013,jap0317-0014,jap0317-0015,jap0317-0016,jap0317-0017
0,1984-06-09 01:09:32+00:00,,121.71910324352775,125.22619009306617,,143.87215110102173,,,,,144.1752542572611,136.92254173949547,,,,,,,
1,1984-09-22 01:05:16+00:00,169.1246084579149,153.5543338114975,162.793900378484,169.45409972662057,179.88962630832705,178.08028519872673,187.09021518053794,184.67996135382532,186.70959898702068,179.12650640256916,176.7866768922121,182.6616069988254,191.02537923239586,204.090569506804,204.51834057409317,199.51505107719478,198.69076105914294,188.87466609409165
2,1984-10-08 01:05:16+00:00,154.06048919108537,147.78633368511294,149.06233497934187,164.4697429749345,167.5855415107561,173.78409974975017,172.72196908617195,177.57005678532437,176.12525415932336,164.0521673219036,167.74063863722265,166.08934131021584,175.428840120209,178.98862287529712,188.87172964706016,180.8573808079616,179.31366388056344,175.50678985137156
3,1984-10-31 01:11:19+00:00,149.77531600893727,145.01383913129547,148.70337406133342,159.53691868049032,172.0229029191533,164.04672673243502,165.91713910304503,175.38296682216867,170.5353996681314,165.09237476953712,167.90523689120397,166.32359567239178,173.19325018101597,184.65144514856664,195.0520312797188,183.16849165707106,185.77624181612327,178.92650768652533
4,1984-11-09 01:05:04+00:00,143.13766283011813,145.2095457796104,148.5698219137974,160.34846097380182,165.35761981603133,161.74489681799605,165.48860833763803,170.33918567276095,169.34071786918867,161.75843048747083,160.6691669769678,162.52421200698012,165.80604927596448,181.53247443483468,183.7715588721723,180.14120067842703,177.73282937723593,172.00337552918307
5,1985-01-28 01:05:33+00:00,138.4467535684128,139.74336596664875,143.2435608467316,150.20334911467495,153.3531643252301,150.79216041001033,157.7914616991306,162.19986410283474,157.2072270532659,161.88768614412376,149.05724960419394,156.04378419315265,156.83954491296316,179.14281532454532,179.32628418786555,182.3300836399757,177.30755144190493,169.38627478551516
6,1985-04-25 01:11:34+00:00,110.75582765457989,123.39745184025814,127.18790569539922,134.03238267769197,139.57035497130892,129.16094417344556,139.20264172824776,148.94818921777355,147.93938649180754,149.08455959920764,145.2603445933428,129.94926663455522,138.98207773072937,,,,157.06790462568836,151.90850741140304
7,1985-06-05 01:05:16+00:00,126.55967236798685,136.22516804990386,138.4241708892848,148.34313987379403,150.26944392966703,149.1203273445091,153.8799640296493,165.96263510187316,154.18213274250945,155.78719662788555,151.22623046649383,149.20518306568508,160.35411661117058,177.4385156607695,,179.02667903540345,178.94507481467434,177.9594883781817
8,1985-07-23 01:05:02+00:00,125.41340985269315,134.26315305024798,136.58647105060294,138.8274023068596,145.14559060557247,146.6123188609,156.5555198713272,159.70175313665735,160.30813200794654,158.07552081100786,154.55030075129156,151.2382658032099,160.81766269182506,161.61995633281833,,168.9327552852075,168.99910251428312,156.85953489771128
9,1985-07-30 01:11:09+00:00,134.8708384523016,141.24907319757205,143.41239784872914,146.34984456737658,153.29973674598062,151.56020899364253,158.5073378335964,162.24975604296753,160.82324825772753,152.55822593090033,146.5957800395612,145.6513534695286,157.577312813285,157.65265922564276,,165.44639537199427,166.9966932747648,154.19977994404604
10,1985-09-09 01:04:31+00:00,152.23726862182136,146.53260157648094,149.52912964225047,158.59309623131577,163.13677524759817,163.9944096946415,168.52902362840305,177.31471121407287,169.75952675773894,166.25019446430886,160.47787582844563,166.74451957479658,180.46914490431908,185.00690500309173,192.96600172359274,189.840604212024,183.07026617389434,173.22543779586556
11,1985-11-12 01:03:44+00:00,138.7079506312181,136.90238591434488,144.12545729802298,145.78377200590353,154.79954642269163,156.09759460589197,166.74827315335256,169.69582084214267,165.27778885530608,168.27334037811843,155.47687372226716,155.96429866776884,173.9457194797633,190.3993110199649,189.2810937016094,187.37240792926485,173.77142060827418,170.21557389944093
