dates,nzd0550-0000,nzd0550-0001,nzd0550-0002,nzd0550-0003,nzd0550-0004,nzd0550-0005,nzd0550-0006,nzd0550-0007,nzd0550-0008,nzd0550-0009,nzd0550-0010,nzd0550-0011,nzd0550-0012,nzd0550-0013,nzd0550-0014,nzd0550-0015,satname
1999-07-16 22:13:35+00:00,271.5547368421053,248.46,285.5547368421053,282.0571428571428,292.59538461538466,289.31,289.40999999999997,,276.15999999999997,274.5521739130435,267.9273684210527,269.8121739130435,270.58272727272725,276.07714285714286,275.14,301.23,L7
1999-08-08 22:19:52+00:00,,,301.08736842105264,309.8452380952381,311.01846153846157,314.83,314.69,,301.0933333333333,300.1913043478261,291.4336842105263,286.04130434782604,281.80727272727273,283.9552380952381,301.50333333333333,312.5766666666667,L7
1999-08-24 22:19:53+00:00,,274.32000000000005,279.01947368421054,272.6985714285714,285.0692307692308,302.91,255.75,248.26857142857142,237.93,233.92043478260868,250.00473684210527,246.76043478260868,247.37272727272727,234.97857142857143,257.49,267.34,L7
1999-10-04 22:13:49+00:00,284.11789473684206,266.21000000000004,263.5578947368421,267.8852380952381,276.5338461538461,283.5,284.34000000000003,275.9652380952381,275.6533333333333,262.3273913043478,256.56894736842105,259.2773913043478,256.68636363636364,260.9052380952381,274.6433333333333,287.7266666666667,L7
1999-11-05 22:13:40+00:00,301.50315789473683,296.76000000000005,295.6931578947368,296.98238095238094,297.1146153846154,301.06,305.54,299.20238095238096,286.1433333333333,284.4256521739131,287.3415789473684,276.28565217391304,270.3381818181818,266.71238095238095,280.4733333333333,292.7666666666667,L7
1999-12-07 22:13:41+00:00,313.4563157894737,305.11,298.5263157894737,298.59761904761905,296.17,300.65000000000003,299.27000000000004,294.507619047619,285.1666666666667,281.4582608695652,275.0431578947368,265.9582608695652,262.66272727272724,261.53761904761905,277.31666666666666,281.3833333333333,L7
1999-12-30 22:19:45+00:00,302.8794736842105,295.63,295.38947368421054,296.40761904761905,297.70230769230767,300.97999999999996,295.14,292.827619047619,275.38666666666666,274.7147826086956,275.8647368421053,270.3947826086956,266.53727272727275,268.92761904761903,285.4266666666667,302.25333333333333,L7
2000-01-15 22:19:46+00:00,281.9947368421053,269.88,275.52473684210526,271.3628571428572,274.8092307692308,279.5,279.07,277.1128571428572,272.57,265.9817391304348,258.4873684210526,253.03173913043477,249.0081818181818,259.5728571428572,273.65,280.77,L7
2000-04-20 22:19:15+00:00,281.0731578947368,304.44,312.56315789473683,309.5257142857143,311.87384615384616,309.35,309.1,304.8257142857143,286.38,291.5604347826087,293.5315789473684,280.53043478260867,276.98727272727274,283.5157142857143,293.56,298.09,L7
2000-05-31 22:12:42+00:00,271.81842105263155,,,294.02761904761905,299.38153846153847,304.64,305.62,,,,267.4942105263158,268.3226086956522,261.9290909090909,259.48761904761903,,277.06333333333333,L7
2000-06-07 22:18:48+00:00,269.7194736842105,,,314.11,306.90461538461534,308.12,307.10999999999996,,,,295.2547368421053,285.62391304347824,289.2009090909091,286.49,295.3,300.25,L7
2000-08-10 22:18:02+00:00,309.58421052631576,307.7,315.2942105263158,308.062380952381,293.03538461538466,309.31,296.99,291.492380952381,298.80333333333334,290.0078260869565,273.7821052631579,265.2578260869565,282.7663636363636,268.71238095238095,273.23333333333335,295.49666666666667,L7
2000-09-04 22:11:34+00:00,285.23842105263157,279.15000000000003,303.5284210526316,301.21809523809526,305.19,305.44,307.39,299.11809523809524,286.06333333333333,284.65043478260867,285.0942105263158,280.6104347826087,278.27181818181816,285.70809523809527,297.52333333333337,299.68666666666667,L7
2000-09-20 22:11:14+00:00,286.3926315789473,283.88,289.6426315789473,288.9319047619048,282.9807692307692,289.28,297.03999999999996,294.26190476190476,286.7266666666667,278.4417391304348,265.7163157894737,260.3917391304348,260.6363636363636,266.46190476190475,276.1566666666667,281.74333333333334,L7
2000-09-27 22:17:24+00:00,288.3926315789473,291.73,292.84263157894736,289.7338095238095,293.71461538461534,293.17,295.7,287.12380952380954,276.65333333333336,271.4730434782609,266.1763157894737,264.05304347826086,261.84727272727275,266.0238095238095,277.30333333333334,284.5866666666667,L7
2000-10-29 22:17:19+00:00,,,,,,,,,,,,,,,284.12666666666667,289.0333333333333,L7
2001-02-11 22:11:12+00:00,312.091052631579,305.63,298.12105263157895,302.2738095238095,301.07846153846157,294.13,294.7,282.3638095238095,274.7033333333333,268.7547826086956,256.2805263157895,248.35478260869567,242.66,253.1738095238095,268.5933333333333,279.19666666666666,L7
2001-02-27 22:11:06+00:00,336.11052631578946,324.87,323.16052631578947,321.492380952381,316.2076923076923,314.75,306.89000000000004,298.79238095238094,282.7733333333333,279.20521739130436,281.08526315789476,271.94521739130437,273.14272727272726,270.112380952381,286.4433333333333,293.9266666666667,L7
2001-03-22 22:17:09+00:00,312.9405263157895,314.84999999999997,312.6805263157895,305.2904761904762,302.95384615384614,307.06,302.31,292.1704761904762,286.50666666666666,279.81391304347824,279.0652631578947,271.47391304347826,266.3818181818182,267.1904761904762,283.65666666666664,286.4833333333333,L7
2001-04-16 22:10:54+00:00,298.17578947368423,,308.0857894736842,305.75428571428574,306.0053846153846,303.01,303.65,293.64428571428573,278.2,270.1173913043478,261.6378947368421,253.26739130434783,253.14454545454547,254.71428571428572,272.41,279.39,L7
2001-05-02 22:10:51+00:00,294.711052631579,278.65,292.18105263157895,306.86857142857144,307.05538461538464,313.52,310.44,,,,268.0905263157895,258.7586956521739,258.72,264.8885714285714,278.39,285.55,L7
