,dates,chi0339-0000,chi0339-0001,chi0339-0002,chi0339-0003,chi0339-0004,chi0339-0005,chi0339-0006,chi0339-0007,chi0339-0008,chi0339-0009,chi0339-0010,chi0339-0011,chi0339-0012,chi0339-0013,chi0339-0014,chi0339-0015,chi0339-0016,chi0339-0017
0,1985-01-25 14:04:03+00:00,259.44540720676866,225.19139151773047,214.58518131656083,217.48787529325216,225.24027983236985,220.8870953851488,227.4404495651317,257.3172400889931,,,,,,,,,,
1,1986-02-13 14:00:24+00:00,268.7946344320479,254.0230852353676,234.14425992517687,221.93847033796493,219.17536395581106,209.35697353150036,218.20971810232524,217.96559867897906,216.6037772479932,219.90424440454626,227.30740016057848,212.81855132026695,216.51856287364728,212.99069629868242,189.1600492788467,161.5728055112711,154.42646453373,159.3281129369726
2,1986-03-01 14:00:01+00:00,287.4875866044673,272.2115038373894,252.75918164201858,239.4717216116497,228.92044295055416,217.42197589408477,217.9263034533351,224.97221966264556,234.50934406356663,239.87620559510452,236.48859477557772,232.11787844664667,229.8735412883637,212.2782736687008,196.91075772992883,184.74215608601168,178.04652635541265,171.56382740176076
3,1986-03-17 13:59:42+00:00,,,,,,,,,253.46951004914695,261.2285133361901,251.48049220634465,238.6874797693228,233.2972960666001,196.1113485681882,,,,
4,1986-05-04 13:58:38+00:00,273.8838503663951,250.19850040738214,231.0908837223585,216.26951447826013,202.95778178362343,200.9960734688339,205.96465558226612,214.02787852640694,215.17523477736864,221.80646754309635,219.28877879009798,205.43667577454232,207.55824257068457,190.64532638835266,163.99351680158713,150.32370194874017,144.7514025464002,152.2517611490736
5,1986-05-20 13:58:12+00:00,230.55701445207578,212.19833179826324,185.02418812627084,177.81657185076415,168.28102247081497,157.53968626769586,172.35618328239383,168.3314703575115,,175.31986048325433,175.09998684394188,178.91684479841712,170.27550112695045,153.82161628477456,149.43426790248841,126.01551131889335,130.2106643382662,138.29041967545314
6,1986-06-05 13:57:43+00:00,242.34764270070417,229.11319114525526,213.1300850159825,195.8252004999606,181.1642534367149,177.29907320054866,175.17014334371999,185.10666211113224,,198.1233957011199,183.33971948646342,,,,160.15926334330408,155.90026945667483,147.85440989892527,145.63139814797648
7,1986-08-15 14:01:29+00:00,213.9299218453114,184.65613807321543,197.78389154838567,178.25987323331165,167.13020382769133,126.44632375196862,155.34339320118121,,,164.1740740147478,144.78128014496681,,,,152.06061243150515,136.1883238850806,123.95289512470991,140.71180345008125
8,1986-08-31 14:00:53+00:00,220.17437397939943,205.31912327506305,196.57455986430855,187.96524953482026,175.62753877595037,142.69110567987465,161.7399742886927,,,170.23355759836141,170.61871948930792,,,,158.06929999081058,148.0727006202374,129.52036002346617,136.26800764420287
9,1986-10-11 13:53:23+00:00,237.31929439015607,223.92943983262424,213.86433495842152,192.15574416706164,185.62445820373054,178.78160369479068,178.19770802356493,191.12731326044172,206.49745825130395,212.55171764548925,202.45053599033326,204.53333518816834,209.261503973316,189.32862755195063,172.93774853646167,167.72177754128177,166.16954352646178,168.3287209532308
10,1986-11-03 13:58:46+00:00,246.5712866137161,236.0852685079004,221.6134670979764,214.56877775832123,214.03613494506192,212.41166067445545,215.77078790408484,225.014955425165,228.03027421782247,222.37908027117663,224.47794951920596,216.71744123427828,207.71551487997272,212.77563458802217,194.15546807144293,185.42054530791813,186.50889044093003,194.36500073464043
11,1986-11-12 13:52:14+00:00,239.2617287942203,230.8966841228707,225.76634256864412,211.01470953677864,215.54111118717785,222.3574435190476,223.470273415542,224.69432368179156,226.5573219370354,227.27657249190494,219.05105971838412,227.01262194775694,228.4543224661698,210.05593357035593,187.9959932277946,182.8028938471409,195.8225849329612,202.1133160871349
12,1987-01-31 13:53:53+00:00,,,,,,,,,,,,,,,,,,
13,1987-02-07 14:00:21+00:00,,,,,,,,,,,,,,,,,,
14,1987-03-27 14:02:09+00:00,231.590356790594,221.9873637795993,219.585043673511,213.52158101718658,216.78503904943062,220.42731569338304,221.37726643828827,230.2498592044717,242.29667316657708,244.9050630448182,254.75819670745852,255.06773428936626,251.29730303111748,244.81536780798507,,217.82799469292476,211.45808720889954,186.53486106444115
15,1987-10-21 14:07:25+00:00,229.14338412972504,219.39487206126157,192.9411298442378,178.25577252707814,179.1212241537621,177.68327801020524,182.4778931215742,187.31818614513872,,213.65122119068045,202.5229315706327,,,182.51710520136194,163.02098574281837,,158.37588715716603,166.68521379743868
16,1987-11-06 14:07:44+00:00,232.05862851853567,228.3198577122029,219.56704759902064,215.3011757597962,197.0403873755643,185.00288587879155,197.78419355302748,211.58527932060886,211.12348429999028,220.81315691841488,221.01131192618072,224.1499766567399,226.0486508238763,211.21065536259613,187.54449653595975,,171.0644589359723,188.5506689190927
17,1987-11-15 14:01:45+00:00,221.71552694954013,232.78978438497384,233.203031743595,202.752392795354,196.85378905926717,183.0156448304866,189.99752490177048,210.13242823380835,194.5544699389074,211.84621268793404,201.32548893345415,209.80620411651012,215.34308165154462,205.11545197337458,192.34445582626026,,145.43092819940364,163.47744179350792
18,1988-01-18 14:02:48+00:00,,,,,,,,,,,,,,,,,,
19,1988-02-26 14:09:36+00:00,327.4181262845454,305.2792214462163,252.0079680088162,230.22858511156133,228.7325160737121,218.53328407357236,207.2936297219789,205.51265571889206,223.02522481601926,232.76730597485283,259.54369820464655,252.85388724645318,245.82563880044978,245.63889919577446,,242.57913907051545,225.60961811638543,215.26242384671662
20,1988-04-07 14:03:45+00:00,328.8012854704385,305.8698571870004,277.053380138,246.94330324886573,232.31628381313493,218.81059925187037,208.45707856603642,223.3531412376462,236.26923434367927,237.06048261931693,236.59261880570978,229.85160735758203,234.37274408312487,223.67898622240577,210.23343096159755,205.79774779099114,203.07829064871453,212.3663588887101
21,1988-04-30 14:10:04+00:00,304.57482268288635,284.98230532418586,263.0769175978028,237.80206337954465,219.11767113409343,210.5327621618111,198.59499042512357,218.49753712127813,223.57028125487105,226.18395029483273,215.61050686329276,206.45156045550533,215.97434578935253,210.88091785566647,200.5773087510468,186.97932770101986,187.65059438686495,182.11662638618026
22,1988-05-16 14:10:15+00:00,267.64179382412834,259.43711469895555,246.7899662090862,225.56796725324466,204.94229352098674,183.28812919596004,188.52994030553458,191.7272645658408,178.12489962776587,209.92789942692826,195.63926279616146,195.00573204626923,191.4757620993168,170.44848597669665,163.30732933980175,162.62310278226713,155.89335095500832,157.73962188074978
23,1988-05-25 14:04:07+00:00,310.9756845996169,292.6806997241571,264.95417673829354,249.14345597454496,228.09513313972244,197.1186300351618,206.137553107604,203.19928758493802,,223.31360224921758,199.92872958809969,198.92212751286178,,173.76292871463698,160.67592608410257,158.57140785849262,,146.70410661926593
24,1988-06-01 14:10:21+00:00,289.99363826495835,270.87571731104,250.25855001964865,214.98005347149834,199.45619170869878,176.27203071926522,167.6645049384412,,,,,,,,140.07344529093965,,,
25,1988-06-10 14:04:12+00:00,250.19984284480952,257.1686180842911,234.07312736545936,207.92034526526464,,,169.2105026944608,,,186.10314808588905,179.3172557139314,,155.70031893796408,147.4819426295297,150.50684855895304,136.4847808610824,120.08793090321409,125.75786148468873
26,1988-07-19 14:10:33+00:00,281.9509810726306,273.3059533826783,263.7668412847135,246.53229304844163,245.08886543266965,232.43614713225074,214.53355643590214,218.76544578956785,216.91989351033467,218.76540627031468,211.08171989488463,203.7143852209971,204.13957677468903,203.03877738410543,195.30696598412766,181.86609738249462,164.68471095580952,167.84543966642147
