dates,nzd0048-0000,nzd0048-0001,nzd0048-0002,nzd0048-0003,nzd0048-0004,satname
1999-08-17 22:10:26+00:00,382.31,377.25,395.48,394.90,405.28,L7
1999-08-26 22:04:21+00:00,381.48,382.41,396.30,396.79,401.68,L7
1999-09-27 22:04:25+00:00,386.00,386.39,397.24,399.92,407.18,L7
1999-10-04 22:10:38+00:00,382.86,384.48,395.62,399.41,416.91,L7
1999-10-13 22:04:24+00:00,382.72,384.74,395.33,399.73,416.06,L7
1999-11-14 22:04:18+00:00,383.12,385.50,396.52,400.73,413.32,L7
1999-11-21 22:10:24+00:00,382.30,384.59,396.17,400.15,418.21,L7
2000-02-09 22:10:19+00:00,382.96,384.42,396.54,400.18,418.80,L7
2000-04-13 22:09:54+00:00,381.52,385.96,397.96,400.69,431.63,L7
2000-04-29 22:09:53+00:00,381.51,387.10,397.66,400.77,433.99,L7
2000-05-15 22:09:42+00:00,380.61,382.10,393.53,394.52,429.08,L7
2000-05-24 22:03:22+00:00,381.70,385.36,395.12,395.51,418.57,L7
2000-08-03 22:08:44+00:00,383.98,385.02,395.12,395.70,416.64,L7
2000-08-12 22:02:30+00:00,383.38,386.72,394.96,395.06,420.22,L7
2000-08-19 22:08:38+00:00,383.08,385.84,394.19,394.75,420.22,L7
2000-09-04 22:08:22+00:00,381.70,386.14,394.26,396.30,420.22,L7
2000-11-07 22:07:53+00:00,383.18,384.21,393.94,395.51,411.04,L7
2001-01-03 22:01:48+00:00,383.57,387.39,395.24,399.06,435.62,L7
2001-01-26 22:08:07+00:00,382.92,387.18,394.17,400.01,430.74,L7
2001-02-11 22:08:01+00:00,380.35,381.75,387.62,396.59,423.02,L7
2001-03-08 22:01:45+00:00,382.26,379.52,386.09,393.86,416.49,L7
2001-03-24 22:01:35+00:00,380.40,381.43,386.59,395.02,414.90,L7
2001-06-03 22:07:16+00:00,379.82,381.80,386.14,395.13,409.17,L7
2001-06-19 22:07:05+00:00,380.13,382.73,387.81,395.80,407.97,L7
2001-08-15 22:00:14+00:00,380.09,385.25,392.51,396.15,397.73,L7
2001-08-31 22:00:05+00:00,380.21,384.91,392.33,395.97,396.13,L7
2001-11-19 21:59:56+00:00,380.90,384.67,394.37,397.53,397.66,L7
2001-12-05 21:59:55+00:00,379.95,382.82,393.27,397.33,398.51,L7
2001-12-21 22:00:05+00:00,378.61,381.08,391.72,397.07,398.72,L7
2002-01-22 22:00:16+00:00,380.48,382.55,392.83,398.28,398.72,L7
2002-02-23 22:00:19+00:00,379.74,382.70,393.13,399.85,408.82,L7
2002-03-18 22:06:22+00:00,379.22,381.03,391.19,399.38,411.44,L7
2002-03-27 22:00:13+00:00,378.21,380.26,390.83,398.59,408.74,L7
2002-06-15 21:59:55+00:00,380.14,381.68,392.05,397.94,407.68,L7
2002-07-01 21:59:51+00:00,380.91,382.29,392.60,397.29,404.43,L7
2002-07-17 21:59:44+00:00,380.84,383.29,392.99,396.93,404.19,L7
2002-09-19 21:59:11+00:00,377.90,380.72,393.57,394.25,394.07,L7
2002-10-12 22:05:14+00:00,379.29,384.40,395.69,397.13,396.42,L7
2002-10-28 22:05:22+00:00,380.06,385.45,396.75,398.43,397.94,L7
2003-01-09 21:59:45+00:00,378.35,384.98,396.63,399.07,399.93,L7
2003-02-01 22:06:10+00:00,375.36,381.55,393.55,396.65,398.09,L7
2003-03-30 22:00:07+00:00,376.62,382.31,392.97,397.60,398.34,L7
2003-04-22 22:06:19+00:00,377.59,381.76,391.77,396.08,396.07,L7
2003-05-08 22:06:20+00:00,375.28,379.01,388.55,394.14,395.09,L7
2003-05-24 22:06:17+00:00,375.60,379.46,389.44,393.61,395.73,L7
2003-07-28 21:48:04+00:00,374.88,378.56,384.95,391.68,391.74,L5
2003-08-28 22:05:57+00:00,376.76,379.05,383.82,392.00,390.19,L7
2003-08-29 21:48:38+00:00,378.04,380.12,385.73,393.30,392.88,L5
2003-10-23 21:55:36+00:00,372.04,375.23,382.90,390.26,391.42,L5
2003-10-31 22:06:00+00:00,372.27,374.56,383.93,391.66,392.58,L7
2003-11-16 22:06:11+00:00,373.41,375.10,385.37,391.53,398.94,L7
2003-12-18 22:06:24+00:00,372.66,374.00,383.96,393.23,403.24,L7
