dates,nzd0442-0000,nzd0442-0001,nzd0442-0002,nzd0442-0003,nzd0442-0004,nzd0442-0005,nzd0442-0006,nzd0442-0007,nzd0442-0008,nzd0442-0009,nzd0442-0010,nzd0442-0011,nzd0442-0012,nzd0442-0013,nzd0442-0014,nzd0442-0015,nzd0442-0016,nzd0442-0017,nzd0442-0018,nzd0442-0019,nzd0442-0020,nzd0442-0021,nzd0442-0022,nzd0442-0023,nzd0442-0024,nzd0442-0025,nzd0442-0026,nzd0442-0027,nzd0442-0028,nzd0442-0029,nzd0442-0030,nzd0442-0031,nzd0442-0032,nzd0442-0033,nzd0442-0034,nzd0442-0035,nzd0442-0036,nzd0442-0037,nzd0442-0038,nzd0442-0039,nzd0442-0040,nzd0442-0041,nzd0442-0042,nzd0442-0043,nzd0442-0044,nzd0442-0045,nzd0442-0046,nzd0442-0047,nzd0442-0048,nzd0442-0049,nzd0442-0050,nzd0442-0051,nzd0442-0052,nzd0442-0053,nzd0442-0054,nzd0442-0055,nzd0442-0056,nzd0442-0057,nzd0442-0058,nzd0442-0059,nzd0442-0060,nzd0442-0061,nzd0442-0062,nzd0442-0063,nzd0442-0064,nzd0442-0065,nzd0442-0066,nzd0442-0067,nzd0442-0068,nzd0442-0069,nzd0442-0070,nzd0442-0071,nzd0442-0072,nzd0442-0073,nzd0442-0074,nzd0442-0075,nzd0442-0076,nzd0442-0077,nzd0442-0078,nzd0442-0079,nzd0442-0080,nzd0442-0081,nzd0442-0082,nzd0442-0083,nzd0442-0084,nzd0442-0085,satname
1999-10-27 22:19:03+00:00,361.71,348.51,320.21,,406.64,398.30,392.38,401.19,409.74,,412.30,409.86,407.42,402.95,407.58,403.33,389.42,384.62,381.17,370.66,361.65,363.91,357.33,354.96,350.88,349.89,345.62,341.12,342.43,343.92,336.91,332.88,325.92,328.28,323.53,326.12,326.53,333.61,336.77,345.14,346.54,352.32,351.38,353.15,349.29,349.37,352.60,348.25,344.56,342.57,342.51,345.12,350.86,352.34,347.81,341.34,342.71,339.81,344.58,350.45,351.44,348.41,344.41,347.28,353.70,351.53,341.81,336.69,332.33,329.04,324.29,326.54,329.56,317.38,319.09,315.20,311.41,304.68,296.72,287.72,289.14,290.69,287.96,284.26,298.50,290.01,L7
1999-11-05 22:12:52+00:00,361.71,348.51,320.21,,406.64,398.30,392.38,401.19,409.74,,412.30,409.86,407.42,402.95,407.58,403.33,389.42,383.20,375.78,369.35,360.83,360.60,352.62,351.75,348.78,347.17,342.06,340.55,341.89,338.27,330.97,328.13,325.28,325.65,321.91,321.94,320.98,328.17,336.77,345.14,344.37,347.76,346.56,347.99,342.47,349.37,352.60,348.25,342.84,339.10,340.26,343.44,344.19,346.64,344.58,335.58,337.85,336.07,344.58,350.45,351.44,348.41,344.41,347.28,353.70,351.53,341.81,336.69,332.33,324.85,320.72,319.81,320.95,317.28,315.56,310.31,303.58,301.65,295.38,288.93,288.89,290.75,291.83,284.79,295.47,293.74,L7
1999-11-21 22:12:47+00:00,377.53,353.05,320.21,,407.70,404.00,410.18,418.77,427.93,,427.52,427.63,423.24,419.45,423.44,417.52,403.73,392.41,384.27,375.58,367.60,366.66,359.20,356.61,354.33,353.10,349.47,348.18,347.41,343.44,337.39,335.02,331.23,331.58,328.38,328.42,329.29,335.07,343.70,351.87,348.29,351.72,351.05,352.57,348.51,354.43,356.18,352.19,347.32,345.49,346.33,348.04,349.89,353.94,350.80,343.24,344.66,342.40,349.30,354.67,352.12,352.40,351.04,347.80,356.20,357.81,343.85,339.77,333.51,326.76,322.20,320.80,319.77,315.90,315.70,308.45,301.01,297.01,292.09,284.92,284.87,283.69,288.83,281.24,290.86,293.22,L7
1999-11-28 22:18:56+00:00,368.49,349.29,338.98,367.17,396.65,397.02,404.46,413.49,423.65,415.75,425.42,422.94,420.74,418.94,422.88,415.05,401.79,390.73,382.29,375.51,368.21,365.59,358.36,354.63,352.24,351.55,349.37,348.65,347.50,342.86,337.60,335.08,332.25,332.15,327.51,326.84,327.72,332.45,342.13,349.14,348.32,351.59,349.79,350.59,347.99,352.32,354.23,351.24,348.60,347.54,348.29,349.03,350.63,352.48,349.44,343.12,344.14,341.56,345.83,349.54,349.65,349.90,349.17,346.31,352.30,352.64,342.86,338.51,332.89,326.61,321.70,319.23,317.14,313.84,312.74,305.76,298.44,293.74,287.86,281.63,281.28,280.27,282.44,278.59,288.06,288.54,L7
1999-12-07 22:12:53+00:00,373.64,357.52,353.78,377.00,397.95,397.71,406.71,416.81,424.37,426.08,425.22,422.65,421.68,420.33,422.31,415.67,402.50,391.91,384.41,376.61,369.55,366.11,359.69,355.93,353.52,353.15,349.97,349.02,347.13,342.85,337.65,335.41,332.73,331.27,326.25,326.89,329.13,332.94,341.59,348.55,349.02,352.01,349.59,351.51,348.80,352.01,354.32,350.15,348.29,347.93,349.27,349.49,350.54,352.10,350.00,344.69,344.88,341.78,344.87,347.24,347.18,347.56,347.34,345.35,349.75,352.32,341.33,338.27,332.54,326.27,321.97,319.10,316.65,314.02,312.26,305.38,298.43,292.19,286.64,280.89,281.15,279.75,283.13,281.23,290.85,293.22,L7
1999-12-14 22:19:07+00:00,369.89,356.24,355.26,378.09,394.78,396.23,403.20,411.93,423.05,422.26,421.82,419.91,420.94,420.25,423.10,415.38,402.64,391.60,384.60,377.42,370.20,366.57,360.59,356.48,355.09,354.31,350.77,349.57,348.32,343.56,339.48,336.39,334.14,333.20,328.05,328.91,330.19,333.09,342.21,348.03,349.18,352.63,351.01,351.49,349.42,351.69,353.97,351.24,349.38,349.51,350.71,350.72,351.23,352.94,350.54,346.04,345.50,342.87,345.59,348.08,348.70,349.23,349.11,346.87,349.20,350.70,340.46,337.38,332.33,325.86,322.50,319.77,316.61,314.76,311.99,305.62,298.46,293.09,287.12,282.52,283.42,281.87,283.45,283.24,294.06,297.49,L7
2000-02-09 22:12:43+00:00,366.69,355.18,353.65,382.98,396.34,395.80,402.05,410.21,422.72,420.31,420.61,418.79,419.98,419.87,422.39,414.70,402.60,391.94,384.67,377.47,370.23,366.36,361.12,356.79,355.47,353.96,350.75,350.25,348.70,343.56,339.54,336.71,334.00,332.17,327.62,328.25,330.14,333.25,341.33,347.45,349.25,352.21,350.41,350.83,349.57,350.95,353.57,351.35,349.69,349.96,350.74,350.17,350.75,351.76,349.82,345.03,344.26,340.80,343.78,345.39,345.77,346.78,346.65,344.50,346.94,348.38,338.94,336.33,330.72,324.61,322.29,319.25,316.30,314.78,312.60,305.92,299.64,293.39,287.13,282.84,283.22,281.85,283.90,285.30,296.05,298.56,L7
2000-04-13 22:12:18+00:00,366.42,356.97,355.79,385.17,398.32,396.68,403.05,410.00,422.48,421.55,420.74,419.23,419.81,419.72,422.03,414.20,402.68,392.83,385.78,377.71,370.93,367.09,361.70,357.25,356.30,355.14,351.82,351.37,349.47,344.15,340.49,337.43,334.32,332.26,328.42,329.09,330.41,333.77,341.82,347.14,349.51,352.38,350.92,351.52,350.50,352.40,354.54,353.30,351.98,351.31,352.34,351.23,351.68,352.26,350.07,345.45,344.09,340.79,342.47,343.90,345.41,345.66,345.06,343.23,345.76,347.46,337.89,335.10,329.94,323.97,321.42,319.26,316.45,315.25,313.49,307.69,301.54,295.94,290.78,286.64,287.37,286.68,289.20,291.40,301.30,303.83,L7
2000-04-20 22:18:27+00:00,366.29,358.54,358.88,384.55,399.58,396.97,404.31,410.48,422.52,422.24,421.13,419.76,420.18,420.03,422.05,414.59,403.11,393.73,386.60,378.51,371.51,368.06,362.90,358.36,357.35,356.11,352.40,352.03,349.78,344.61,341.24,338.39,335.69,333.08,329.64,330.28,331.31,334.41,342.58,347.60,349.77,352.67,351.33,352.09,351.00,352.58,354.32,353.83,352.30,351.61,353.05,351.24,351.89,352.71,349.87,345.49,344.31,340.54,341.97,342.53,343.79,343.93,343.57,342.57,344.70,347.19,337.66,334.62,329.94,323.97,321.40,319.43,316.95,315.93,314.67,308.59,302.79,297.48,293.15,290.11,290.97,290.64,293.33,295.52,304.95,293.93,L7
2000-05-15 22:12:06+00:00,369.28,362.30,365.32,383.06,399.22,397.41,406.62,411.79,423.47,423.30,422.46,421.29,422.07,421.63,423.33,415.77,405.00,396.89,389.49,380.93,374.90,370.25,365.61,360.83,359.76,357.68,354.93,354.82,351.49,345.38,343.87,340.47,337.38,333.62,331.10,331.72,334.45,336.14,343.36,348.37,352.16,354.16,352.94,353.99,353.83,353.63,354.95,354.49,354.49,354.66,355.41,352.58,353.09,353.69,350.97,347.30,345.06,340.72,340.28,339.82,340.56,341.15,342.29,341.54,342.83,346.34,335.34,332.85,327.56,322.26,319.82,318.05,315.16,314.14,314.00,308.62,302.91,295.74,294.11,292.38,293.95,293.60,297.40,302.92,308.88,288.40,L7
