dates,satname,nzd0442-0000,nzd0442-0001,nzd0442-0002,nzd0442-0003,nzd0442-0004,nzd0442-0005,nzd0442-0006,nzd0442-0007,nzd0442-0008,nzd0442-0009,nzd0442-0010,nzd0442-0011,nzd0442-0012,nzd0442-0013,nzd0442-0014,nzd0442-0015,nzd0442-0016,nzd0442-0017,nzd0442-0018,nzd0442-0019,nzd0442-0020,nzd0442-0021,nzd0442-0022,nzd0442-0023,nzd0442-0024,nzd0442-0025,nzd0442-0026,nzd0442-0027,nzd0442-0028,nzd0442-0029,nzd0442-0030,nzd0442-0031,nzd0442-0032,nzd0442-0033,nzd0442-0034,nzd0442-0035,nzd0442-0036,nzd0442-0037,nzd0442-0038,nzd0442-0039,nzd0442-0040,nzd0442-0041,nzd0442-0042,nzd0442-0043,nzd0442-0044,nzd0442-0045,nzd0442-0046,nzd0442-0047,nzd0442-0048,nzd0442-0049,nzd0442-0050,nzd0442-0051,nzd0442-0052,nzd0442-0053,nzd0442-0054,nzd0442-0055,nzd0442-0056,nzd0442-0057,nzd0442-0058,nzd0442-0059,nzd0442-0060,nzd0442-0061,nzd0442-0062,nzd0442-0063,nzd0442-0064,nzd0442-0065,nzd0442-0066,nzd0442-0067,nzd0442-0068,nzd0442-0069,nzd0442-0070,nzd0442-0071,nzd0442-0072,nzd0442-0073,nzd0442-0074,nzd0442-0075,nzd0442-0076,nzd0442-0077,nzd0442-0078,nzd0442-0079,nzd0442-0080,nzd0442-0081,nzd0442-0082,nzd0442-0083,nzd0442-0084,nzd0442-0085
1999-10-27 22:19:03+00:00,L7,360.85,347.51,319.46,,406.21,397.97,391.88,400.82,409.50,416.09,412.03,409.54,407.21,402.74,407.42,403.18,389.23,384.41,380.97,370.51,361.49,363.70,357.15,354.74,350.70,349.71,345.43,340.94,342.25,343.71,336.73,332.73,325.77,328.13,323.36,325.97,326.36,333.42,336.59,344.98,346.37,352.13,351.23,352.94,349.12,349.17,352.41,348.05,344.41,342.42,342.35,344.96,350.71,352.13,347.64,341.19,342.52,339.66,344.43,350.30,351.29,348.26,344.26,347.13,353.55,351.23,341.66,336.54,332.18,328.89,324.14,326.39,329.41,317.23,318.94,315.05,311.26,304.53,296.57,287.57,288.99,290.53,287.61,284.05,298.35,289.51
1999-11-05 22:12:52+00:00,L7,,,,,,,,,,,,,,,,,,375.02,363.87,363.14,354.85,350.52,342.15,341.28,340.74,338.52,332.17,334.04,335.59,325.87,319.26,318.49,319.75,318.13,314.85,312.72,309.98,316.40,,,336.59,337.08,336.83,335.82,330.20,,,,336.22,330.72,332.85,336.45,332.62,334.18,335.91,324.92,326.66,327.30,,,,,,,,,,,,315.75,312.25,308.19,307.44,312.28,307.14,300.52,290.85,293.73,289.13,285.24,283.75,285.64,284.17,278.56,287.53,281.14
1999-11-21 22:12:47+00:00,L7,357.64,315.92,,,390.90,395.80,407.14,420.72,436.11,444.01,431.38,432.24,430.12,427.34,432.72,425.47,410.23,402.20,392.92,381.80,374.56,370.18,365.02,357.08,357.85,357.36,356.25,355.86,351.11,345.14,342.89,342.54,336.86,337.18,334.37,334.98,338.98,340.82,343.05,351.83,349.01,351.82,353.79,352.81,353.67,351.16,351.95,347.81,350.02,352.04,351.88,350.48,355.04,359.93,356.29,352.32,350.23,348.65,347.62,352.65,346.56,350.15,351.41,342.07,352.45,351.60,339.63,336.60,328.44,324.33,318.90,316.52,311.17,306.89,309.71,298.47,289.61,281.48,279.28,270.66,270.58,263.01,268.11,265.52,275.40,271.34
1999-11-28 22:18:56+00:00,L7,376.40,372.11,380.50,379.30,387.56,393.17,408.19,414.31,422.39,427.88,429.50,423.14,422.25,424.20,426.56,414.66,403.59,391.96,382.40,379.86,374.83,368.63,361.18,355.43,351.47,352.43,354.92,355.60,353.09,347.40,343.59,339.82,339.86,338.43,329.97,326.76,328.08,330.45,344.51,348.61,353.59,356.91,350.55,351.16,351.49,354.18,356.02,355.40,357.01,358.22,358.99,356.94,357.39,354.35,350.43,347.28,348.47,343.72,343.54,343.81,349.25,349.44,350.00,347.89,349.06,351.38,345.44,340.55,336.19,330.72,324.78,319.08,313.80,312.21,308.40,302.24,295.28,288.46,279.72,276.32,275.07,274.80,273.98,276.91,284.23,289.69
1999-12-07 22:12:53+00:00,L7,365.10,354.20,362.39,375.64,389.86,390.47,399.48,416.27,419.79,425.21,416.96,412.95,418.51,418.72,416.17,413.33,399.39,390.86,387.31,376.77,370.50,362.44,360.09,354.90,353.56,354.48,346.98,345.38,340.72,337.01,332.88,332.53,330.46,323.54,316.52,322.78,330.07,329.48,334.89,342.24,347.04,348.42,344.59,349.19,347.34,345.47,349.36,341.30,342.84,345.28,348.75,346.78,346.00,344.79,347.55,346.77,342.41,338.36,337.68,336.14,335.57,336.32,337.63,338.27,337.87,342.98,332.54,333.33,327.29,320.72,318.84,314.35,310.49,310.53,306.14,299.65,294.20,281.81,277.54,273.72,276.39,273.25,276.00,285.99,297.77,297.94
1999-12-14 22:19:07+00:00,L7,374.62,374.12,376.93,389.45,391.93,397.97,400.63,401.04,423.30,423.82,414.52,416.20,422.90,424.67,429.90,417.68,407.53,394.82,390.14,384.92,377.06,373.64,369.15,364.34,367.13,364.30,359.18,356.52,358.34,351.86,352.69,344.76,344.64,346.28,340.88,342.55,339.35,338.29,348.85,349.70,353.90,360.07,361.57,356.32,356.35,355.03,356.85,360.17,358.31,360.86,361.53,360.63,358.14,361.94,357.08,356.28,353.04,351.81,352.04,354.88,358.25,359.39,359.65,356.41,350.45,351.12,340.42,337.29,334.97,327.23,328.60,326.57,319.84,321.93,314.09,310.29,302.05,301.04,292.97,294.10,298.25,296.10,293.21,298.08,313.60,330.30
2000-02-09 22:12:43+00:00,L7,364.70,366.18,359.45,404.19,411.16,399.08,404.48,407.71,424.97,420.98,418.97,418.33,418.69,421.37,421.44,413.73,405.45,397.36,388.39,380.24,373.01,368.45,367.13,362.30,360.70,354.82,353.79,357.30,353.85,346.95,342.83,341.04,335.63,328.44,327.80,326.82,332.52,337.35,339.90,347.19,352.50,352.71,349.23,350.38,353.19,350.50,354.65,355.16,353.94,355.10,353.52,349.48,350.31,348.01,348.20,341.38,339.99,330.95,337.20,334.39,333.52,336.96,336.82,335.07,338.08,341.67,333.81,333.50,325.10,319.60,323.46,318.61,316.89,317.33,318.71,310.16,309.19,297.63,289.68,287.25,284.45,284.28,292.31,301.00,310.45,313.20
2000-04-13 22:12:18+00:00,L7,358.75,360.71,361.28,391.15,407.18,399.62,405.56,406.11,419.37,423.72,419.63,419.65,417.25,417.36,418.76,410.16,401.86,397.60,392.13,378.31,374.68,370.74,364.52,358.93,360.87,362.10,357.96,357.96,353.65,346.88,345.84,341.39,335.51,331.89,332.81,333.89,331.16,336.10,343.48,344.15,350.11,352.30,353.43,354.82,355.83,359.67,359.05,363.65,366.97,359.78,362.40,357.54,357.14,354.33,350.69,347.36,341.55,339.64,333.52,333.95,342.21,337.89,334.48,334.60,337.65,339.81,330.50,326.70,324.22,318.43,314.28,318.31,316.48,317.47,318.67,319.01,313.77,312.71,315.27,312.13,315.35,319.39,323.90,332.68,336.97,337.21
2000-04-20 22:18:27+00:00,L7,354.27,356.56,367.63,376.22,402.84,394.70,406.59,409.01,419.71,420.51,420.30,419.36,419.98,419.47,420.14,415.37,403.62,398.20,390.57,383.03,374.11,373.16,370.24,364.27,363.42,361.55,354.58,354.91,349.92,345.61,345.00,344.19,344.65,337.61,337.24,337.76,336.37,337.02,345.59,348.65,349.66,352.50,352.74,353.86,352.83,351.29,350.37,354.92,352.96,351.98,356.74,349.21,351.60,353.63,346.13,343.88,343.54,336.48,336.53,330.94,330.50,329.86,331.13,335.99,335.37,341.47,334.15,329.34,,,319.27,318.83,318.98,319.49,322.15,313.91,310.85,307.86,310.15,315.98,317.87,320.31,321.75,325.76,332.22,208.25
2000-05-15 22:12:06+00:00,L7,357.08,345.30,284.90,360.79,389.49,390.74,394.25,399.16,409.34,416.33,413.88,411.61,415.40,408.91,412.57,407.80,398.34,391.10,381.39,374.48,371.99,363.73,358.11,357.51,353.41,344.67,345.47,345.38,341.82,331.14,335.86,329.49,323.46,317.57,320.33,320.04,330.14,329.33,336.90,345.94,352.31,348.53,349.66,351.96,351.03,351.08,351.36,346.88,345.90,346.04,341.08,340.95,341.11,341.50,342.52,335.13,330.91,327.94,325.88,323.78,320.60,321.21,329.21,334.01,333.74,334.66,318.24,317.48,310.68,308.76,302.47,304.16,305.60,299.31,306.09,307.21,300.33,286.95,300.29,300.92,305.63,309.20,311.09,326.42,312.39,232.63
