,dates,mex0023-0000,mex0023-0001,mex0023-0002,mex0023-0003,mex0023-0004,mex0023-0005,mex0023-0006,mex0023-0007,mex0023-0008,mex0023-0009,mex0023-0010,mex0023-0011,mex0023-0012,mex0023-0013,mex0023-0014
0,1985-09-30 16:17:33+00:00,174.92484658274162,184.40900726769254,187.79098499792534,191.4218463586372,185.3507826979983,187.7019017674943,187.1667122317025,188.44757686427465,184.6784383297679,178.7680071811826,169.30495609565136,169.48936120607112,187.2078636364157,188.8613207497121,192.8017330396975
1,1986-01-20 16:15:42+00:00,197.68701862793057,192.65343919838733,198.49468419681077,197.27977560955065,212.00456750446583,207.48352798910986,205.96327125377866,205.72600703532933,196.26575350105105,187.73562960667078,182.7883015187592,189.92254887887185,196.3886371989277,206.84198109672656,228.55487729630548
2,1986-03-25 16:14:19+00:00,190.6986959457428,192.54240601447825,184.59789986059428,184.27160829447442,194.58282883572247,194.5102194267867,193.59676942019047,199.8267783713692,184.06753219454436,186.97087486598804,190.14086118576137,192.83826075711227,198.94134574185864,203.65371297855984,218.44829178157156
3,1986-04-10 16:13:58+00:00,183.98431087044784,176.91350044791966,182.01058249415604,181.11743462433222,182.93257190282705,188.1370273638404,191.47729277939996,195.14329644867067,183.8848729278459,180.03702989560287,177.2672429272097,186.38476650298927,201.3555676401049,205.45065645460625,211.94510664993294
4,1986-04-26 16:13:36+00:00,185.94457352205757,193.9017820090973,180.95420378858188,184.8662936632108,189.88003965868535,195.1413599737407,197.9978232011606,193.7619319169133,193.0773830504567,181.42833517486443,183.13180452531438,185.11687553183802,199.7785955837209,202.38343973476134,210.76815277332275
5,1987-07-02 16:13:22+00:00,169.54216284214903,178.94603192327895,172.0648136748388,175.94416790541194,178.9741526720037,185.52447529195595,183.19796551228475,176.26868649473965,179.96526334076748,170.99353413590916,164.8723661505663,165.88562175359158,184.14459242155218,176.23236220785188,172.80942382736907
6,1987-07-18 16:13:40+00:00,163.02660455041104,174.31145068687835,171.15288039961882,167.5402295558987,181.10939575590277,180.90772178391012,178.27815117605584,184.77657451094785,172.36061077774383,156.73217450271727,155.15871341734808,171.86568575977128,176.81069843156288,176.1955627133607,173.8660400891921
7,1987-08-03 16:14:08+00:00,157.62725727631843,168.08902134095607,164.86052561180978,161.13829780571928,158.39357191861262,161.38721758778462,159.429805370266,163.2998489629209,161.30324058056294,150.7809887661833,149.38491274025517,160.80880901716588,178.56017046841018,185.90090484608015,184.7613063583579
8,1987-08-19 16:14:36+00:00,164.21425292358896,173.80111171906657,171.93313488917352,171.74095085319505,174.53669870795653,169.9699954033179,170.53428101080505,167.41301944178923,160.14796392553814,151.29352772797955,149.53397028148535,157.00453227858446,173.3429584843627,179.33143474596181,178.46945120603118
9,1987-09-20 16:15:25+00:00,179.82736237526686,183.66373332428583,183.87654490568082,189.21111566871943,187.89530967393486,189.16608349060388,179.05139589531436,188.12234824608686,178.14639077814763,178.16719905667503,165.77668268795463,183.14998761689168,189.7205561846879,189.64762482009468,197.81334469459725
