dates,satname,nzd0219-0000,nzd0219-0001,nzd0219-0002,nzd0219-0003,nzd0219-0004,nzd0219-0005,nzd0219-0006,nzd0219-0007,nzd0219-0008,nzd0219-0009,nzd0219-0010,nzd0219-0011,nzd0219-0012,nzd0219-0013,nzd0219-0014,nzd0219-0015
1999-07-20 21:46:27+00:00,L7,,,,407.89,396.32,390.71,393.11,396.94,394.05,375.90,367.93,360.81,350.47,349.24,347.29,325.41
1999-08-21 21:46:33+00:00,L7,389.85,383.38,383.40,395.86,386.31,388.30,388.92,380.11,383.02,368.54,361.47,356.68,350.52,349.98,345.83,331.33
1999-09-22 21:46:36+00:00,L7,412.56,399.54,404.52,411.90,407.40,405.05,403.23,400.80,398.01,391.57,378.09,376.03,361.45,363.94,355.10,365.69
1999-09-29 21:52:52+00:00,L7,393.24,386.53,389.37,396.61,393.84,392.10,392.94,387.94,385.00,374.98,366.40,362.66,342.87,342.84,345.63,343.21
1999-10-15 21:52:49+00:00,L7,397.88,388.20,390.15,402.67,399.20,393.34,395.59,391.57,382.04,376.62,368.54,361.71,350.67,347.51,343.00,343.82
1999-10-24 21:46:32+00:00,L7,408.67,397.06,397.67,409.16,406.68,403.41,402.89,401.40,399.07,387.90,374.96,369.17,363.67,359.77,348.32,344.67
2000-02-04 21:52:37+00:00,L7,389.49,386.39,384.33,392.74,388.54,384.12,386.93,386.53,379.59,362.23,361.41,352.76,343.08,344.85,345.91,352.95
2000-03-16 21:46:15+00:00,L7,408.45,399.50,398.05,405.74,405.24,405.10,401.19,398.88,393.32,391.25,374.63,372.01,362.62,358.44,357.59,365.09
2000-05-03 21:45:55+00:00,L7,403.89,393.75,399.71,404.39,397.11,396.24,396.08,394.43,388.32,372.74,364.35,362.41,350.69,352.06,355.95,343.08
2000-05-26 21:51:48+00:00,L7,415.75,407.33,402.79,408.64,406.83,404.23,399.28,400.82,393.28,383.61,376.97,372.76,360.16,356.06,348.64,335.59
2000-07-06 21:45:15+00:00,L7,414.73,386.77,398.61,396.35,398.95,396.99,388.89,379.79,370.38,350.01,341.28,344.85,334.58,335.34,327.85,315.97
2000-07-13 21:51:19+00:00,L7,408.40,399.79,406.06,412.47,408.09,404.04,404.55,402.07,398.61,388.65,372.31,374.64,361.27,362.23,359.03,351.64
2000-08-07 21:44:45+00:00,L7,406.63,401.83,403.78,411.03,408.81,407.64,406.16,405.25,400.54,390.17,370.74,369.33,355.98,359.84,351.65,343.42
2000-08-14 21:50:56+00:00,L7,404.66,393.91,400.00,411.44,403.28,403.42,404.93,406.38,402.55,394.40,382.31,379.49,367.52,366.43,357.52,351.84
2000-10-17 21:50:01+00:00,L7,376.35,366.55,368.08,381.42,377.57,384.38,384.69,386.08,387.13,377.63,369.03,368.41,362.29,363.54,363.25,365.63
2000-11-02 21:50:13+00:00,L7,377.82,372.69,376.27,384.09,380.41,380.71,374.64,378.95,370.71,361.38,354.73,357.68,343.01,350.15,351.97,359.72
2000-11-11 21:44:00+00:00,L7,388.21,384.48,385.22,392.03,391.37,389.34,385.20,381.34,384.13,379.12,352.15,353.43,356.15,365.16,355.40,365.43
2001-01-05 21:50:16+00:00,L7,380.00,377.99,380.39,391.79,384.87,383.78,384.42,386.61,387.69,381.05,365.11,366.88,365.91,365.41,365.22,368.88
2001-03-10 21:50:10+00:00,L7,390.25,381.92,386.07,391.40,388.77,389.89,391.39,396.69,386.66,373.87,372.81,370.36,360.85,361.62,366.07,365.45
2001-04-04 21:43:43+00:00,L7,396.30,387.06,391.37,398.47,399.72,396.37,398.94,395.55,393.19,388.55,377.66,378.72,369.44,370.57,372.12,372.01
2001-04-20 21:43:46+00:00,L7,403.03,386.41,387.48,397.78,393.58,392.35,392.66,390.12,380.86,370.14,369.20,361.81,351.56,357.69,359.12,356.46
2001-05-06 21:43:42+00:00,L7,400.99,394.59,397.62,409.01,408.90,406.43,405.48,396.99,389.29,379.93,369.35,333.01,326.78,,,
2001-06-07 21:43:18+00:00,L7,390.67,382.04,385.62,393.17,391.42,389.85,393.99,,,374.14,368.84,363.30,352.27,350.20,346.05,314.84
2001-06-30 21:49:12+00:00,L7,418.32,405.43,407.47,414.68,410.05,409.63,413.05,,408.91,392.91,386.54,380.16,372.51,362.94,355.62,
2001-07-25 21:42:54+00:00,L7,,,,,,,,,,,,,358.38,353.85,346.24,327.59
2001-08-26 21:42:25+00:00,L7,393.71,387.72,392.91,395.83,391.68,393.50,396.03,391.68,385.48,379.57,370.43,372.89,364.45,355.66,356.70,352.36
2001-09-02 21:48:29+00:00,L7,391.60,387.88,390.19,401.16,403.00,398.92,398.05,396.16,397.38,389.93,374.60,368.28,359.47,359.17,359.27,353.00
2001-09-11 21:42:14+00:00,L7,397.79,391.67,394.06,403.32,403.97,403.77,398.48,399.13,392.66,390.71,376.28,370.53,360.24,360.80,359.41,365.53
2001-09-18 21:48:17+00:00,L7,390.37,386.14,383.59,389.81,390.55,389.67,382.22,389.02,380.97,375.22,362.05,360.00,343.95,345.41,343.63,347.38
2001-09-27 21:42:05+00:00,L7,398.51,392.21,395.43,405.23,407.72,399.48,400.53,396.63,391.94,385.35,376.53,372.35,366.20,363.06,358.93,367.23
