dates,nzd0219-0000,nzd0219-0001,nzd0219-0002,nzd0219-0003,nzd0219-0004,nzd0219-0005,nzd0219-0006,nzd0219-0007,nzd0219-0008,nzd0219-0009,nzd0219-0010,nzd0219-0011,nzd0219-0012,nzd0219-0013,nzd0219-0014,nzd0219-0015,satname
1999-07-20 21:46:27+00:00,,,,407.15,395.49,389.76,392.46,395.83,392.72,374.85,367.02,360.01,349.56,348.50,346.60,324.23,L7
1999-08-21 21:46:33+00:00,385.93,378.93,379.48,399.69,388.86,386.69,389.11,385.25,384.61,369.12,362.02,356.38,347.81,347.43,344.52,324.90,L7
1999-09-22 21:46:36+00:00,396.88,386.56,389.64,402.30,393.40,390.94,392.55,388.25,386.45,374.53,365.59,361.36,350.57,351.47,346.69,336.18,L7
1999-09-29 21:52:52+00:00,398.15,389.36,392.03,402.60,395.45,393.44,394.14,390.75,389.19,377.09,367.90,363.55,350.76,351.04,348.03,340.68,L7
1999-10-15 21:52:49+00:00,399.06,390.19,392.54,403.34,397.01,394.36,395.07,392.00,389.06,378.03,368.92,363.96,351.63,351.06,347.70,342.46,L7
1999-10-24 21:46:32+00:00,400.74,391.29,393.33,404.13,398.42,395.63,396.21,393.29,390.40,379.41,369.70,364.63,353.41,352.32,347.63,342.53,L7
2000-02-04 21:52:37+00:00,398.92,390.53,391.88,401.78,397.31,394.75,395.33,391.82,388.30,377.38,368.83,363.47,352.39,351.77,347.56,347.40,L7
2000-03-16 21:46:15+00:00,401.78,392.94,394.08,403.20,400.22,397.27,397.18,394.61,389.62,380.85,370.75,365.79,354.13,352.95,349.32,352.67,L7
2000-05-03 21:45:55+00:00,398.42,390.73,391.84,398.93,394.69,392.55,392.97,390.24,383.43,372.53,364.31,360.21,349.64,349.76,351.27,350.49,L7
2000-05-26 21:51:48+00:00,402.56,394.65,394.38,401.18,397.51,395.23,394.38,392.61,385.56,375.04,367.25,363.14,352.04,351.15,350.44,346.47,L7
2000-07-06 21:45:15+00:00,406.00,394.22,396.23,401.14,398.85,396.78,394.10,391.45,384.21,371.36,363.20,360.49,349.70,348.92,346.79,341.85,L7
2000-07-13 21:51:19+00:00,405.61,394.25,397.08,402.30,399.57,397.06,395.20,392.12,385.30,373.20,363.82,362.06,350.73,350.41,348.15,342.33,L7
2000-08-07 21:44:45+00:00,408.13,396.45,399.99,405.04,402.60,400.58,398.14,394.78,388.23,377.42,365.00,364.49,352.50,352.60,348.82,340.25,L7
2000-08-14 21:50:56+00:00,407.49,395.92,399.85,405.82,402.55,400.81,398.99,396.23,390.03,379.65,367.31,366.49,354.48,354.44,349.93,341.69,L7
2000-10-17 21:50:01+00:00,404.68,393.22,397.34,403.98,400.44,399.96,398.06,396.86,392.10,380.04,368.52,367.74,356.45,356.81,352.27,344.37,L7
2000-11-02 21:50:13+00:00,401.69,391.06,394.73,401.77,398.82,398.62,395.60,395.68,390.82,379.39,367.99,367.81,356.19,357.22,352.34,347.84,L7
2000-11-11 21:44:00+00:00,400.00,390.23,393.53,400.55,397.88,397.45,394.29,393.88,389.97,379.34,366.00,366.00,356.18,358.21,352.71,350.02,L7
2001-01-05 21:50:16+00:00,391.64,385.23,388.46,397.68,393.40,393.23,392.02,392.27,390.06,381.66,366.54,367.04,358.79,361.75,357.65,357.96,L7
2001-03-10 21:50:10+00:00,384.75,379.25,381.43,390.21,386.91,388.27,385.86,389.02,386.97,377.53,365.29,365.58,360.17,363.24,362.30,368.29,L7
2001-04-04 21:43:43+00:00,385.73,379.48,382.14,390.71,388.06,388.49,387.28,388.80,386.43,378.12,366.28,366.82,360.64,363.58,363.12,367.52,L7
