,dates,usa_HI_0032-0000,usa_HI_0032-0001,usa_HI_0032-0002,usa_HI_0032-0003,usa_HI_0032-0004
0,1991-12-03 20:24:42+00:00,206.85503837043558,213.17597783424534,233.9852904790156,241.8606488647568,227.173822402933
1,1999-07-01 20:59:08+00:00,,,,,
2,1999-08-02 20:59:19+00:00,199.36067867297604,200.7992142839143,209.7997574121538,229.93498187030357,212.34181436061004
3,2000-02-26 20:59:03+00:00,206.9635709772665,211.13657994742573,215.36783150902852,226.4103309390585,
4,2000-05-16 20:58:31+00:00,211.13838166201583,216.01255045691582,224.4219774037768,232.1030748659657,218.67766999467605
5,2000-07-19 20:57:48+00:00,,,,,
6,2000-09-21 20:56:52+00:00,194.22897481484506,197.18931766873814,202.138210826455,222.53847344122838,205.67236882450246
7,2000-10-23 20:56:40+00:00,210.99055499982066,216.63295597950702,222.50199744659017,237.14083198955538,218.81803278131054
8,2000-11-08 20:56:43+00:00,195.9822808534606,203.65443524285615,208.74788300252922,222.16034364677478,212.2348655708252
9,2000-11-24 20:56:45+00:00,199.15304619638977,200.61055576953618,207.75581801725625,229.12340178981594,211.38732401899097
10,2000-12-10 20:56:47+00:00,201.7852832126526,208.01997799296345,222.63340592128077,230.60765090353738,214.72951229329
11,2000-12-26 20:56:52+00:00,202.39928054649366,210.85100244033703,216.97817816003567,231.9975347993601,216.69772412300708
12,2001-01-11 20:56:53+00:00,189.24726539693185,204.686467320877,210.68159503074213,222.46053431664984,208.9778253849007
13,2001-01-27 20:56:56+00:00,207.33295339798968,214.82047508217835,215.21973239550232,235.49238315610114,217.54343994387273
14,2001-02-12 20:56:50+00:00,193.42036917779564,200.20930483511827,208.19525958112342,228.09373255893172,205.56417535998332
15,2001-02-28 20:56:44+00:00,189.98232948032538,207.12197243827865,211.23456621839483,233.98707997834276,222.4172589060684
16,2001-04-17 20:56:32+00:00,,,,,
17,2001-05-03 20:56:29+00:00,,,,,
18,2001-06-20 20:55:54+00:00,207.74874309843707,212.6156906904054,220.477217889102,235.6231634009289,220.14615062488826
19,2001-09-08 20:55:00+00:00,,,,,
