dates,satname,nzd0474-0000,nzd0474-0001,nzd0474-0002,nzd0474-0003,nzd0474-0004,nzd0474-0005,nzd0474-0006,nzd0474-0007,nzd0474-0008,nzd0474-0009,nzd0474-0010,nzd0474-0011,nzd0474-0012,nzd0474-0013,nzd0474-0014,nzd0474-0015,nzd0474-0016,nzd0474-0017,nzd0474-0018,nzd0474-0019,nzd0474-0020,nzd0474-0021,nzd0474-0022,nzd0474-0023,nzd0474-0024,nzd0474-0025,nzd0474-0026,nzd0474-0027,nzd0474-0028,nzd0474-0029,nzd0474-0030,nzd0474-0031,nzd0474-0032,nzd0474-0033,nzd0474-0034,nzd0474-0035,nzd0474-0036,nzd0474-0037,nzd0474-0038,nzd0474-0039,nzd0474-0040,nzd0474-0041,nzd0474-0042,nzd0474-0043,nzd0474-0044,nzd0474-0045,nzd0474-0046,nzd0474-0047,nzd0474-0048,nzd0474-0049,nzd0474-0050,nzd0474-0051,nzd0474-0052,nzd0474-0053,nzd0474-0054,nzd0474-0055,nzd0474-0056,nzd0474-0057,nzd0474-0058,nzd0474-0059,nzd0474-0060,nzd0474-0061,nzd0474-0062,nzd0474-0063,nzd0474-0064,nzd0474-0065,nzd0474-0066,nzd0474-0067,nzd0474-0068,nzd0474-0069,nzd0474-0070,nzd0474-0071,nzd0474-0072
1999-08-26 22:07:08+00:00,L7,348.12,352.82,339.47,343.91,347.43,335.20,338.95,344.29,346.78,355.23,361.65,356.54,346.18,353.37,347.95,341.81,330.05,324.88,327.28,324.86,323.32,308.93,312.47,315.01,305.13,302.32,305.84,308.94,304.38,300.76,299.11,297.07,301.06,302.06,307.77,308.21,303.73,306.24,313.35,314.58,313.84,315.31,320.32,326.90,326.95,335.34,332.00,332.64,340.75,335.96,324.77,323.14,324.73,332.61,337.05,345.53,334.04,326.60,322.22,326.35,336.11,343.16,345.87,353.14,352.76,354.42,349.03,353.65,357.54,357.84,358.19,359.70,354.29
1999-11-30 22:06:59+00:00,L7,323.35,333.37,324.87,325.53,322.30,310.62,313.15,320.86,329.54,338.96,341.64,335.94,330.57,337.86,337.38,324.60,316.55,313.26,316.15,316.78,313.04,306.85,305.06,304.81,301.20,298.58,300.55,302.05,303.09,,,,,,,,,,,,,,,,,,,326.17,327.78,326.24,315.37,313.43,315.12,313.62,315.27,322.49,315.96,307.32,311.88,315.33,317.81,328.35,340.74,338.02,338.26,341.27,341.76,344.17,342.90,338.88,341.13,343.20,344.23
1999-12-16 22:07:09+00:00,L7,,,,,,,,,,,,,332.69,337.81,334.46,325.16,315.56,314.28,309.38,312.30,314.01,308.89,309.06,312.05,306.14,296.66,298.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-05-08 22:06:20+00:00,L7,345.46,352.17,341.62,343.31,339.85,328.91,326.23,331.81,337.76,345.32,348.04,340.62,337.30,345.51,341.66,332.93,324.03,321.80,318.19,325.06,321.96,317.98,320.87,320.33,314.62,306.01,306.53,304.40,307.69,305.33,300.57,301.38,300.74,301.38,303.28,303.46,299.27,306.65,312.98,314.69,317.28,316.16,320.36,326.92,323.47,335.43,334.06,335.33,339.83,335.31,316.90,317.16,315.74,319.71,325.69,326.05,318.83,317.24,315.61,318.88,325.39,337.99,339.59,343.01,345.97,344.46,343.41,347.50,346.71,346.07,341.91,333.81,332.40
2000-06-25 22:05:55+00:00,L7,,341.36,,340.97,341.94,328.93,,,,,352.42,345.01,340.57,,,338.72,327.99,322.67,325.91,321.07,319.50,310.46,316.73,320.10,309.53,306.78,308.69,,308.05,310.03,,300.16,304.89,303.80,301.58,305.15,301.19,302.53,312.13,317.25,313.04,313.49,318.11,323.06,326.04,335.31,332.79,336.09,336.07,331.89,323.72,317.99,314.43,315.55,320.55,323.19,318.70,309.81,312.90,316.26,329.69,339.76,339.03,342.94,341.39,340.53,350.29,346.39,346.56,342.05,342.10,338.97,336.41
2000-07-27 22:05:24+00:00,L7,269.41,340.96,334.49,337.89,337.55,328.23,326.34,335.53,340.24,349.05,353.08,345.79,338.74,345.94,338.02,330.84,321.94,323.30,329.43,330.28,331.05,326.22,325.08,324.52,311.50,309.58,311.98,313.97,311.40,310.81,309.12,308.74,313.67,312.50,317.21,322.31,316.22,317.49,322.59,320.13,323.67,318.84,323.58,325.66,324.38,331.75,334.54,339.44,342.27,334.72,325.29,322.58,323.55,323.06,324.75,329.78,323.07,317.83,316.87,323.91,327.02,334.02,341.04,343.29,346.35,344.08,350.09,349.03,349.17,344.45,341.44,337.02,356.93
2000-08-03 22:11:31+00:00,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-12 22:05:17+00:00,L7,318.49,338.86,327.75,331.07,328.54,320.57,319.88,327.26,332.89,340.30,347.81,343.52,339.06,343.10,337.57,325.84,314.54,314.08,313.14,315.26,313.27,309.37,313.37,309.68,304.55,298.73,300.06,297.63,298.58,301.99,294.27,292.02,296.47,294.39,296.42,298.36,297.48,299.22,304.56,307.35,312.13,311.28,310.76,313.77,314.98,328.34,326.21,327.65,329.43,322.54,312.67,309.45,311.12,313.58,319.64,321.24,311.64,305.78,307.91,310.06,317.50,328.33,332.71,332.61,333.60,336.39,333.79,338.30,340.50,342.04,334.11,335.37,336.72
2000-09-20 22:10:50+00:00,L7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,334.66,341.99,336.84,336.44,340.89,330.14,321.64,317.15,316.62,316.24,322.41,326.14,315.96,312.99,316.78,324.39,332.91,343.45,343.71,342.02,341.83,345.70,347.16,346.14,346.58,338.77,349.44,348.45,351.20
2000-12-18 22:04:37+00:00,L7,326.24,339.33,330.42,334.56,333.72,324.12,318.93,322.65,330.50,342.95,344.24,348.03,344.92,348.08,346.08,332.71,323.33,319.88,320.20,322.32,318.11,312.50,312.71,318.73,312.96,310.77,311.22,312.55,310.41,311.00,300.68,303.76,305.32,298.44,301.43,303.66,302.25,311.61,313.38,318.94,316.88,313.28,321.86,325.63,321.91,338.09,333.67,338.73,340.26,335.20,319.33,314.95,315.13,315.44,320.88,326.68,318.45,312.54,315.44,319.42,323.39,333.74,339.81,341.41,339.60,335.26,341.38,340.38,342.25,337.78,337.92,335.25,339.90
2001-01-03 22:04:36+00:00,L7,323.44,337.41,324.87,327.32,327.19,314.22,314.03,322.64,328.99,337.66,344.33,335.38,328.48,340.73,340.73,328.31,317.08,310.78,,,,,,,,,,,,,,,,,,,,,,,,,,312.02,315.61,326.22,323.17,323.64,332.40,325.25,314.15,313.97,311.84,308.02,311.37,,,,,,,,,,,,,,,,,,
2001-02-20 22:04:36+00:00,L7,350.08,358.41,345.49,346.12,344.49,335.12,331.06,337.40,343.77,354.27,358.98,352.51,346.11,353.37,346.42,337.72,328.49,325.16,324.84,324.32,323.80,317.28,319.41,323.20,316.80,310.74,308.46,309.43,308.25,312.98,308.04,309.94,307.75,306.10,308.34,312.03,306.60,311.61,315.65,321.26,325.06,319.01,320.34,323.81,327.55,333.94,332.78,336.34,338.75,331.43,321.46,319.77,317.74,319.46,321.13,328.17,318.49,312.95,315.11,319.05,327.41,336.28,339.00,342.38,344.32,343.22,346.80,346.09,347.55,347.55,343.91,340.28,335.02
