dates,satname,nzd0594-0000,nzd0594-0001,nzd0594-0002,nzd0594-0003,nzd0594-0004,nzd0594-0005,nzd0594-0006,nzd0594-0007,nzd0594-0008,nzd0594-0009,nzd0594-0010,nzd0594-0011,nzd0594-0012,nzd0594-0013,nzd0594-0014,nzd0594-0015,nzd0594-0016,nzd0594-0017,nzd0594-0018,nzd0594-0019,nzd0594-0020,nzd0594-0021,nzd0594-0022,nzd0594-0023,nzd0594-0024,nzd0594-0025,nzd0594-0026,nzd0594-0027,nzd0594-0028,nzd0594-0029,nzd0594-0030,nzd0594-0031,nzd0594-0032,nzd0594-0033,nzd0594-0034,nzd0594-0035,nzd0594-0036,nzd0594-0037,nzd0594-0038,nzd0594-0039,nzd0594-0040,nzd0594-0041,nzd0594-0042,nzd0594-0043,nzd0594-0044,nzd0594-0045,nzd0594-0046,nzd0594-0047,nzd0594-0048,nzd0594-0049,nzd0594-0050,nzd0594-0051,nzd0594-0052,nzd0594-0053,nzd0594-0054,nzd0594-0055,nzd0594-0056,nzd0594-0057,nzd0594-0058,nzd0594-0059,nzd0594-0060,nzd0594-0061,nzd0594-0062,nzd0594-0063,nzd0594-0064,nzd0594-0065,nzd0594-0066,nzd0594-0067,nzd0594-0068,nzd0594-0069,nzd0594-0070,nzd0594-0071,nzd0594-0072,nzd0594-0073,nzd0594-0074,nzd0594-0075,nzd0594-0076,nzd0594-0077,nzd0594-0078,nzd0594-0079,nzd0594-0080,nzd0594-0081,nzd0594-0082
1999-07-16 22:13:35+00:00,L7,242.27,247.08,244.86,,387.74,379.67,370.92,286.00,311.65,266.75,,349.92,306.37,,906.95,857.38,921.46,277.83,611.61,,552.35,401.57,488.34,398.65,401.82,419.05,493.53,395.56,419.70,442.85,473.51,301.05,415.62,,290.98,,237.54,,292.50,255.40,255.38,266.72,263.70,250.98,250.92,227.05,230.14,225.41,222.18,,,246.03,232.37,243.90,239.54,243.32,251.93,249.94,235.39,222.70,235.92,222.32,215.81,215.32,230.75,214.36,223.88,232.62,229.90,235.19,245.46,232.95,239.40,239.35,240.05,231.29,-23.97,30.61,71.80,100.82,95.88,,
1999-08-08 22:19:52+00:00,L7,218.05,199.97,220.13,191.77,222.97,246.82,217.57,206.63,212.89,211.00,219.45,272.41,233.34,225.71,223.50,224.56,219.79,,,,,,,,,,,,216.04,241.19,254.12,247.13,234.10,229.80,218.83,205.35,204.36,209.55,241.09,238.03,244.61,253.65,263.02,249.65,236.18,221.49,222.76,226.25,214.79,198.76,195.22,230.03,227.66,227.59,229.15,226.47,252.35,241.48,236.87,219.82,233.84,227.71,209.92,216.69,223.61,225.18,228.47,224.16,230.71,223.15,236.17,238.30,229.97,244.17,222.51,-68.32,-28.87,,,,,,
1999-08-24 22:19:53+00:00,L7,,211.55,231.95,205.21,233.98,270.00,223.72,214.48,200.22,209.92,223.80,298.34,,233.07,236.45,229.32,228.56,,,,,,,,,,,,,239.57,247.63,251.11,262.06,233.90,224.35,209.80,214.13,230.09,262.27,253.15,242.63,230.06,,,,,,194.87,188.79,173.77,180.51,216.31,211.36,201.42,,,,222.07,226.14,218.34,235.00,,,,,,,,,,,,,,,,,,,,,,
1999-10-04 22:13:49+00:00,L7,221.62,190.47,212.16,181.67,211.01,227.26,206.93,197.99,197.52,197.22,208.75,247.74,224.32,208.74,212.78,210.14,206.46,225.06,217.09,226.16,223.63,224.34,221.81,223.84,220.62,216.85,219.44,220.54,217.84,231.48,242.17,235.14,221.96,,,,,,,,,256.63,256.54,232.65,236.87,219.04,215.51,215.18,217.62,196.33,188.67,213.92,214.88,215.38,217.77,226.39,241.69,229.91,224.95,217.27,225.74,222.19,208.01,207.03,220.91,221.52,226.80,232.15,234.16,222.95,229.09,225.39,223.21,231.87,219.10,218.85,234.29,232.68,292.25,462.24,486.18,224.69,228.06
1999-10-27 22:19:51+00:00,L7,261.67,232.96,263.44,,376.17,369.28,371.66,362.56,301.64,282.42,,340.38,310.89,256.71,960.43,838.09,871.24,285.29,223.17,225.55,224.52,493.16,475.92,371.28,387.85,398.89,476.91,378.21,405.06,390.98,475.75,421.70,428.21,350.28,318.78,,284.92,289.78,281.87,265.30,,,265.61,249.13,259.81,,232.04,229.46,232.83,194.91,,,,,,,,,,,,,,,,,,,,238.49,250.44,242.62,236.24,244.65,224.06,223.06,233.83,237.41,274.98,464.45,491.01,246.81,243.67
1999-11-05 22:14:04+00:00,L7,222.28,197.19,222.81,187.09,220.96,240.20,209.74,211.72,206.69,216.41,220.00,284.61,240.15,228.58,221.25,222.66,230.51,255.72,224.92,221.83,216.36,221.69,220.62,220.60,218.99,227.97,222.87,230.91,226.04,235.02,248.29,256.69,246.95,220.01,217.03,188.61,204.72,210.24,244.15,241.20,241.96,256.60,262.97,245.95,236.14,217.92,218.09,231.52,221.76,,203.60,230.45,219.04,238.34,220.42,237.82,242.38,237.98,228.22,219.39,230.41,224.60,215.08,210.58,220.18,213.30,219.91,228.97,227.86,217.27,235.10,232.73,237.77,242.08,229.55,228.71,237.82,248.56,277.98,433.66,497.93,237.73,246.31
1999-12-07 22:14:05+00:00,L7,237.81,218.50,238.61,251.34,313.37,323.62,313.14,270.92,269.14,258.40,283.60,337.25,303.36,246.94,906.48,766.71,997.09,295.04,235.29,231.95,226.39,236.83,245.05,242.93,409.78,427.01,493.57,365.28,388.59,375.53,490.37,445.41,431.21,,244.54,219.23,239.95,258.97,270.47,257.77,259.07,264.41,264.67,257.63,242.41,224.19,224.52,230.71,242.91,200.28,208.96,244.86,234.78,245.16,253.15,247.99,256.22,250.75,241.82,222.70,229.29,230.46,216.37,224.69,223.93,233.28,233.91,238.22,245.96,241.94,245.39,246.23,241.85,255.63,246.28,229.18,245.22,248.38,321.24,493.49,493.56,245.97,251.26
2000-04-20 22:19:15+00:00,L7,270.10,247.77,261.07,299.19,385.63,371.22,370.60,345.20,314.11,311.31,,356.08,322.10,,880.58,760.16,,710.23,541.98,,710.48,,423.15,422.55,470.27,426.65,,365.86,387.85,367.06,487.38,446.78,443.34,,335.05,,299.87,307.14,310.83,298.67,274.69,274.00,272.81,254.01,,,253.64,228.71,233.06,221.12,228.21,260.49,255.60,258.19,249.54,257.69,269.45,260.79,248.27,237.07,239.99,234.65,221.08,222.60,237.10,236.93,234.93,243.43,246.73,239.77,257.51,250.27,248.01,256.95,,,,,,,,,
2000-05-22 22:18:57+00:00,L7,256.90,228.05,245.02,268.67,350.79,337.44,342.10,308.05,295.99,291.11,295.47,337.83,302.28,259.11,927.94,790.99,251.29,303.23,,,,489.14,475.57,474.07,,419.71,496.90,364.79,397.10,442.65,477.68,439.43,443.53,,271.84,226.90,243.13,278.60,279.20,261.39,267.03,271.49,276.58,255.17,250.87,227.65,233.25,233.07,236.43,211.85,,253.01,244.92,241.53,238.88,246.16,258.72,255.92,240.69,228.73,236.78,234.20,217.32,217.75,226.63,232.54,231.10,238.12,239.26,234.29,249.37,236.16,244.60,257.49,251.94,-75.03,-22.29,,,,,,
2000-05-31 22:13:06+00:00,L7,224.40,193.08,212.51,181.79,208.96,230.71,209.09,209.96,200.18,207.75,203.53,264.74,233.40,217.09,215.94,224.83,220.80,237.56,215.52,217.26,212.12,214.94,215.74,210.32,205.80,210.90,207.42,215.59,197.57,230.92,243.87,238.08,238.84,220.28,219.21,204.93,200.13,211.79,243.04,237.14,243.34,257.61,258.02,249.28,236.40,219.51,216.24,219.66,231.09,199.15,207.82,222.12,219.67,223.25,228.07,226.07,243.47,238.60,228.19,219.46,223.97,222.23,204.69,199.63,217.62,212.58,217.76,215.87,230.11,225.15,226.11,231.42,217.99,243.92,236.75,218.10,244.04,235.60,273.98,445.94,497.02,246.77,242.43
2000-08-19 22:12:13+00:00,L7,,,,,,,,,,,,,,,617.96,622.28,412.88,611.22,542.93,,622.13,436.14,494.39,489.10,188.01,149.28,189.35,177.02,0.07,-3.77,,,-86.14,,,,,,,,,360.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000-09-04 22:11:34+00:00,L7,235.87,209.75,228.36,216.23,232.58,262.16,226.80,218.83,211.76,219.53,237.85,308.98,,233.66,222.09,225.66,235.22,264.70,229.93,225.95,223.82,225.48,231.03,224.41,227.41,234.77,226.28,235.69,225.31,241.46,252.64,256.40,248.57,221.04,220.25,194.57,205.70,220.53,245.06,245.00,243.92,260.00,264.35,245.89,240.54,219.61,219.76,246.38,237.62,,221.78,231.74,232.34,243.15,235.93,216.74,242.90,237.91,224.31,219.00,230.49,222.61,212.56,206.44,219.66,228.82,221.76,234.74,226.98,229.80,234.84,230.59,224.31,239.34,236.94,221.36,237.34,244.15,291.20,492.08,490.74,235.10,238.66
2000-09-20 22:11:14+00:00,L7,233.14,201.35,225.26,204.41,228.28,257.41,218.24,214.78,213.28,214.45,232.56,302.33,248.69,230.76,221.28,223.52,233.23,262.54,228.31,227.64,220.18,225.62,224.28,220.80,220.31,222.64,223.37,224.19,222.30,232.71,247.32,248.44,245.92,221.92,218.36,198.01,204.35,220.91,240.67,239.35,241.18,255.35,261.45,240.23,233.03,219.14,218.52,225.66,217.79,193.96,202.17,225.58,217.03,220.13,217.37,229.13,248.33,227.07,221.46,216.00,225.79,221.23,204.52,213.21,218.39,226.23,222.48,232.19,230.06,220.92,227.48,229.47,222.16,238.77,228.37,220.39,227.17,234.97,261.74,,,,
2000-09-27 22:17:24+00:00,L7,248.25,225.03,238.60,257.55,318.97,332.27,320.92,297.38,286.50,287.70,310.57,341.40,310.50,254.67,911.44,790.70,986.47,310.70,232.31,230.60,236.75,487.27,490.15,496.61,415.42,421.51,496.99,363.04,388.66,369.32,490.30,447.22,428.48,,303.77,,265.00,286.96,290.37,264.81,263.84,268.27,269.35,249.46,,,238.41,228.60,232.97,203.07,211.64,243.93,230.84,248.69,240.75,247.47,262.36,259.44,245.78,235.33,242.91,235.15,214.46,219.12,230.26,234.13,232.79,240.10,240.35,239.72,250.03,241.72,245.07,257.14,241.48,233.66,241.32,246.01,319.94,479.95,491.90,248.58,247.53
2000-10-29 22:17:19+00:00,L7,258.68,228.14,241.19,257.59,351.11,339.46,342.72,305.17,297.21,283.56,308.85,342.83,315.30,254.74,959.33,823.53,981.51,303.37,229.82,230.91,225.71,492.80,476.86,371.07,401.02,402.88,480.15,375.91,400.43,390.37,487.26,460.15,414.64,340.97,290.13,225.58,254.20,254.72,275.88,264.12,255.61,265.65,263.19,246.45,249.92,,225.67,227.45,234.59,,207.83,235.94,225.74,239.01,233.89,243.94,254.55,254.44,237.90,233.08,234.56,230.40,213.18,215.78,218.35,226.30,229.12,240.52,239.54,237.54,250.43,244.34,245.69,251.16,238.94,226.90,240.57,241.35,289.94,452.89,241.90,241.73,246.13
2000-12-25 22:11:38+00:00,L7,234.61,201.48,224.92,232.74,238.74,272.79,211.38,215.55,219.52,216.82,243.11,312.47,288.54,233.12,965.49,841.83,235.83,274.28,219.71,220.61,207.57,221.35,224.27,220.61,232.74,400.48,476.16,379.89,398.51,447.83,476.71,291.06,287.44,240.97,219.99,201.39,203.78,227.37,247.83,251.24,244.04,257.01,258.85,248.53,229.35,217.03,215.86,217.75,230.30,196.32,207.10,226.94,219.00,228.91,227.96,226.30,241.92,240.26,224.75,217.05,224.36,218.75,201.24,211.12,216.06,222.53,218.66,229.44,223.68,215.61,228.39,230.84,227.18,239.20,234.86,220.15,230.90,239.95,282.53,451.78,446.31,236.76,244.93
2001-02-11 22:11:12+00:00,L7,267.48,239.04,261.70,,382.81,380.19,370.18,318.30,303.48,285.24,,342.36,310.22,256.42,982.43,985.42,823.31,296.68,225.16,232.91,233.82,491.42,361.11,362.18,383.83,397.46,458.97,401.47,442.82,437.29,486.47,310.28,444.28,343.08,288.78,231.25,236.10,267.93,275.41,261.12,257.60,269.81,262.66,250.03,245.64,229.18,226.29,232.63,229.73,198.25,205.93,242.03,229.68,242.20,236.88,235.45,252.83,248.01,233.58,221.52,229.25,228.31,213.24,216.96,226.57,228.26,227.66,233.19,227.51,230.83,239.50,236.71,228.86,249.59,243.43,224.82,235.96,239.51,291.21,419.21,237.06,237.57,243.39
