,dates,aus0215-0000,aus0215-0001
0,1987-05-22 23:08:08+00:00,317.84774198292575,221.39339487797787
1,1987-09-11 23:10:53+00:00,303.4801510992646,221.17282493932476
2,1987-09-27 23:11:15+00:00,293.6085233902012,223.06714831841072
3,1987-10-13 23:11:33+00:00,272.45107160313256,221.8179802212452
4,1987-10-29 23:11:49+00:00,335.3333834104559,227.12421108489434
5,1987-11-14 23:12:11+00:00,299.62721953989876,218.60603235232324
6,1987-12-16 23:12:41+00:00,320.567251653987,219.77356686959092
7,1988-02-18 23:13:47+00:00,342.2049049539604,231.87112411632373
8,1988-04-22 23:14:16+00:00,330.7466573959813,223.1232134773043
9,1988-06-09 23:14:39+00:00,332.54692024665417,219.40287012582576
10,1988-06-25 23:14:44+00:00,334.27364334487675,226.61978590145992
11,1988-07-27 23:14:50+00:00,339.36511942454536,228.81757426578932
12,1988-08-28 23:14:54+00:00,335.58390662778953,221.94292627731676
13,1988-09-29 23:14:45+00:00,306.4960988484458,224.41305640363177
14,1989-01-03 23:14:26+00:00,322.29471430541713,219.1887700133819
15,1989-02-20 23:14:03+00:00,300.2020162590925,215.00994774425894
16,1989-03-08 23:13:39+00:00,302.02019534461755,224.60621855069286
17,1989-06-12 23:12:05+00:00,,226.00279174019863
18,1989-06-28 23:11:49+00:00,,195.16117871176826
19,1989-07-14 23:11:29+00:00,319.3040469821073,219.54333198925295
20,1989-07-30 23:11:11+00:00,326.01689292034143,226.8455986785637
21,1989-08-15 23:10:47+00:00,306.5292734064187,221.81814864745925
22,1989-09-16 23:09:56+00:00,319.54093730629444,227.94825790489514
23,1989-10-02 23:09:47+00:00,,217.13613753806356
24,1989-10-18 23:09:03+00:00,314.44595067422176,232.7003640494208
25,1989-11-19 23:08:06+00:00,322.34958167673835,229.02343478706703
26,1990-03-27 23:04:16+00:00,354.6960636958774,229.3924400730552
27,1990-04-12 23:04:18+00:00,328.5201854829619,233.7057988324445
28,1990-06-15 23:04:16+00:00,318.2171697032755,215.39099338702292
29,1990-07-01 23:04:16+00:00,332.68767303787143,223.49527863027544
30,1990-08-18 23:04:04+00:00,289.3349379671376,218.98906737864976
31,1990-09-03 23:03:57+00:00,308.02927951353996,221.10677746670447
32,1990-09-19 23:03:53+00:00,298.3204162436809,229.72827215369603
33,1990-12-24 23:03:44+00:00,293.2691075869111,218.54584058557535
34,1991-01-09 23:04:10+00:00,269.2706211191012,219.76192620806805
35,1991-01-25 23:04:38+00:00,266.3672626212342,216.03436827820124
36,1991-03-14 23:05:28+00:00,312.97869585368056,229.22886277960183
37,1991-03-30 23:05:43+00:00,332.77846852185485,224.6928806917339
38,1991-05-17 23:06:34+00:00,321.5992882975105,229.58295081542514
39,1991-07-20 23:07:31+00:00,321.21064745085107,233.44930204250653
40,1991-08-05 23:07:37+00:00,334.2452603741296,220.8779675369598
41,1991-08-21 23:07:41+00:00,300.76229310646943,231.02463487629512
42,1991-09-06 23:07:56+00:00,308.5032616141988,226.40447028235332
43,1991-09-22 23:08:04+00:00,329.95998911819123,221.29917239991835
44,1991-10-24 23:08:13+00:00,303.10441475902525,228.69131282602567
45,1991-11-09 23:07:55+00:00,,222.97950337812614
46,1991-12-27 23:08:26+00:00,296.98993152490266,221.68608994949366
47,1992-01-12 23:08:22+00:00,293.4798908066407,217.44017840256967
48,1992-04-17 23:08:04+00:00,295.5517319936482,217.3008593761514
49,1992-05-03 23:07:54+00:00,329.47195263296516,221.90543917886708
50,1992-05-19 23:07:45+00:00,297.8377990131063,226.2374515437365
51,1992-06-04 23:07:37+00:00,340.1293260639931,219.83787744731785
52,1992-07-06 23:07:13+00:00,332.7968243962631,219.73154063184836
53,1992-07-22 23:07:00+00:00,318.5725430285509,228.9047598572109
54,1992-08-07 23:06:48+00:00,330.0817571726395,226.5113413253024
55,1992-08-23 23:06:32+00:00,278.0332601803752,216.70375245375442
56,1992-09-24 23:06:01+00:00,275.43110732190195,220.6345979057084
57,1992-10-10 23:05:38+00:00,310.9446520966908,222.71536999468768
58,1992-11-27 23:05:11+00:00,333.56419069170437,227.64628160654462
59,1992-12-13 23:05:23+00:00,306.40328754690626,224.4600096260188
60,1992-12-29 23:05:32+00:00,305.8417222479172,223.56614244261056
61,1993-01-14 23:05:45+00:00,316.0778769062736,220.81127470237195
62,1993-01-30 23:05:56+00:00,299.77276532595187,229.76131466933015
63,1993-03-03 23:06:12+00:00,268.58747269750495,217.2788906490315
64,1993-03-19 23:06:16+00:00,307.23174769816774,225.7602704889347
65,1993-04-20 23:06:30+00:00,328.20056920381273,228.79419712944616
66,1993-05-22 23:06:38+00:00,329.8792739280066,226.02613333615207
67,1993-06-07 23:06:40+00:00,342.95425190121665,218.6352370696198
68,1993-06-23 23:06:35+00:00,340.69087698129636,223.6848864174611
69,1993-07-25 23:06:29+00:00,320.03724921662814,234.0010962587774
70,1993-08-10 23:06:30+00:00,319.6249378604012,227.26668475008998
71,1993-09-27 23:06:25+00:00,305.42470719134195,233.5616327546751
72,1993-10-13 23:06:19+00:00,329.6729552653504,232.61983623773966
73,1993-10-29 23:06:13+00:00,,221.88745692651887
74,1993-11-30 23:06:00+00:00,339.69940556556884,233.47728308438752
75,1994-01-01 23:05:43+00:00,314.38589640424374,225.19243398930232
76,1994-04-07 23:04:19+00:00,275.7592361175676,222.64104531268293
77,1994-04-23 23:04:02+00:00,344.9125875935867,223.65172400718296
78,1994-05-09 23:03:44+00:00,330.23006396529894,226.34935449030394
79,1994-06-10 23:03:08+00:00,328.7652738449207,217.38338035495826
80,1994-07-12 23:02:19+00:00,342.7296557878807,227.00929806590952
81,1994-07-28 23:01:52+00:00,337.40630501962227,233.0753902249563
82,1994-08-13 23:01:28+00:00,334.050528263182,230.22703241139388
83,1994-09-14 23:00:41+00:00,335.4228736782951,227.80708715172696
84,1994-09-30 23:00:13+00:00,333.43215731856264,227.67899945985604
85,1994-11-01 22:59:09+00:00,309.96233209031743,223.88328002279437
86,1994-12-03 22:58:07+00:00,343.1950911859396,233.73860606913686
87,1994-12-19 22:57:37+00:00,319.47074058756203,225.0282959166151
88,1995-02-21 22:55:11+00:00,333.26564714197673,224.65865678123828
89,1995-04-10 22:53:15+00:00,299.0775702660546,216.8913716825044
90,1995-05-12 22:51:50+00:00,326.47840734381265,217.68132887497424
91,1995-06-29 22:49:38+00:00,345.63568621446626,224.96590609464994
92,1995-07-15 22:48:54+00:00,338.4990547991688,221.20779068949074
93,1995-07-31 22:48:12+00:00,343.0461605087185,223.67788485638337
94,1995-08-16 22:47:28+00:00,321.1854741426475,227.8518345677529
95,1995-10-19 22:44:13+00:00,335.1134291916011,230.55917061951092
96,1995-11-04 22:43:37+00:00,309.7948094840304,231.70293289058125
97,1995-12-06 22:44:32+00:00,286.3042185790157,224.31135701354148
98,1996-02-08 22:49:07+00:00,307.9243248821024,230.93074370498843
99,1996-03-27 22:52:17+00:00,320.96929479982435,226.3726256617191
100,1996-05-30 22:56:05+00:00,342.26944686331274,222.0808829458893
101,1996-07-01 22:57:48+00:00,349.89749560566713,224.48097090298327
102,1996-07-17 22:58:38+00:00,310.50781848980677,221.3209416103925
