,dates,per0085-0000,per0085-0001,per0085-0002,per0085-0003,per0085-0004,per0085-0005,per0085-0006,per0085-0007,per0085-0008,per0085-0009,per0085-0010,per0085-0011,per0085-0012,per0085-0013,per0085-0014,per0085-0015,per0085-0016,per0085-0017,per0085-0018,per0085-0019,per0085-0020,per0085-0021,per0085-0022,per0085-0023,per0085-0024,per0085-0025,per0085-0026,per0085-0027,per0085-0028,per0085-0029,per0085-0030,per0085-0031,per0085-0032,per0085-0033,per0085-0034,per0085-0035,per0085-0036,per0085-0037,per0085-0038,per0085-0039,per0085-0040,per0085-0041
0,1985-01-24 14:52:53+00:00,215.67424098134626,213.41412921949467,202.08246953844127,199.1333416867696,194.1076030870455,195.19927896910187,196.46012176089505,195.7619405807808,200.0333256649604,211.04127774977354,218.35442463868708,210.6650141941018,215.75842991359568,213.74644496454735,220.82426474108445,221.10328243500084,206.71551082873424,198.3673724202644,190.94137794618402,185.845268754161,185.58595300228518,193.76122105507974,193.61278855900474,201.05717445933354,201.41366168486746,207.24133883595053,208.03086575001873,218.4766852108291,222.15522825045377,224.034072974435,217.2965094917885,210.6142274850232,209.62188275840444,210.09131094053527,213.39524524540116,212.5879113241702,213.3629336964259,211.93539501959074,210.23200543737806,201.3282798391494,,
1,1986-03-16 14:48:34+00:00,242.622120775259,218.5535248063225,217.52484249593098,198.74400764799432,195.61187389022916,190.14694198735324,191.9271342823128,174.47684001930313,177.9560579772176,182.5470099667616,185.1730750933353,189.1181102909525,196.70579475438132,206.9760580156393,214.11820782565982,213.76433499582495,201.83148492784017,187.39961369976155,175.59954231732476,175.41188822789445,174.32620927879486,189.76021933623898,192.32780976618545,198.76005113415778,201.82324208703108,208.34280133234043,204.18423549579967,204.9477259148008,208.07677158460453,207.16255122338526,195.6772937976584,195.23848149570648,184.85193000649764,190.0698407600303,185.62622812281398,178.92322376001738,183.84098849105638,183.70797978534813,181.4955460698813,167.67419706828554,145.04445268624497,141.45242878340161
2,1986-04-01 14:48:15+00:00,228.92769179076308,,208.67070354504872,199.40693361913648,193.68696612394007,180.5171788351753,181.95468221338285,182.03497472337585,168.69677206262287,178.11287389032032,173.6462032685962,177.0639282514158,194.09852380801544,195.52899382702984,,,,,,,190.2639151087596,196.5933369385808,203.017100036486,207.85843951320294,211.33453505373356,209.9233247463883,207.3251725298722,206.19125673624131,210.99189404778394,215.174482100527,197.00385175403068,206.22529975701667,205.37858749629206,,190.43731931115667,184.76410471063434,195.88768476905022,,,,136.6426128006544,161.61778515546663
3,1986-05-03 14:47:30+00:00,186.87176818233422,,171.94966930544848,,,,149.82184805192333,157.51441727050369,171.40379612056864,168.97297875835145,184.85940743528982,175.13603071797164,167.99157552922003,182.38257785042188,175.81824491741105,187.65508560515758,176.57023102396153,164.08493297372343,148.85422813371179,158.78559307105724,170.76564548139763,173.49023570316126,172.902481793129,174.5493088606086,177.283671887827,182.76326282734817,191.598658777911,188.75826201204683,196.76597668470544,198.2204545140007,205.321486053095,197.74649283608235,197.06128250094184,196.64936093119127,195.29270598973036,194.70561697442912,196.62152318468713,196.5824838993833,192.96348344687544,166.5402068506359,149.08577662367915,141.13183466257325
4,1986-09-08 14:43:16+00:00,204.8285085313401,188.29200413061642,179.7597947217561,,,158.56561218934573,167.21588612901004,168.07830167668328,175.04445337471503,193.6499963449478,199.1627121175236,196.42800478610252,204.25948014437097,205.99599571059701,212.6135942887558,207.4971938113493,178.02431162817928,175.24075317445318,177.19169411131827,165.6253561251221,169.5851548289372,177.75889177709797,177.76387883659297,181.06909947136768,183.89989062527786,186.0450156849256,186.88402484815305,190.72139259504686,194.38939613610148,203.12372955109922,199.38489814217735,198.2379691108561,199.22220234199244,203.3614194983037,203.14558233691525,197.18638785890812,203.4635601996663,198.80059368585057,196.42468784431355,175.5674543196566,157.54250241766377,160.43944829975607
5,1987-04-04 14:45:05+00:00,219.92257272031674,208.12005542404967,194.35641600850147,187.42820830416122,181.5880280638673,127.16327133367889,177.67280755965734,189.71005844233264,192.4321344811309,203.2887970438993,208.79305228824427,205.67730404535143,206.51956363177513,208.80633872569317,215.06850949959102,212.49693134657267,203.37421892400943,186.69002223855696,180.03822698805772,168.05536647815939,191.8857638239349,191.67885226397985,190.8248379765905,197.58502354745758,195.96748773825897,195.8992421400233,195.0104648908462,197.83986269646192,197.76131630220823,200.25788880055092,185.38718770305914,177.49604384215985,176.00986456665333,176.25977597106726,173.5212910695453,168.6571333102416,176.87989056082523,177.17374429373274,171.1017085381356,138.25049186317432,139.33996349156322,140.67461684257677
6,1987-07-25 14:47:55+00:00,209.6201896075875,201.4112297630993,192.5132452837688,180.88845755474222,178.40227295561976,,156.3871825999364,172.83152178707707,193.0445889623394,230.6726368009882,229.24374422123427,222.33784192327832,224.98826623603833,221.07244612601556,238.16525027498585,233.87249683152564,221.76044009862048,207.93286308543026,199.8195886530552,196.93745690736296,192.07220642412454,193.06470879629097,194.42663404426852,195.6542719965076,199.59253813125233,208.8385560033791,228.72503343125226,,,217.88253503772765,210.65017048426392,207.8586214749111,206.21823143615808,208.26188655924832,206.63691525477307,209.30102325449366,217.83299963944108,222.60807358653614,206.23688759153174,197.0919425090875,186.60764009740288,187.45444706226465
7,1987-08-26 14:48:52+00:00,182.55454146117302,179.29537332519294,175.88078215120655,,,,122.6320409354723,137.2926877659661,166.3977045050322,177.11885514421513,196.3841088410685,193.13234044785224,206.8023019809367,205.99071735976167,217.79089178600586,210.56535393405812,188.82748933146667,178.86982197313193,166.84464351781065,159.67961775063432,160.88248717202336,164.04841049589703,172.19250416832224,179.172078650731,184.5720078955543,181.38198433696286,188.83375918305444,183.10954650753652,190.04145138708057,191.49131012184245,201.1902173826374,191.07967386217192,197.72629870701707,200.8462061846663,196.103467917688,193.6668428725739,193.67991150628,194.05572837242366,186.4650095050397,,,
8,1987-09-11 14:49:16+00:00,179.46610501847127,181.25446218488923,186.30309481114915,,,95.47582830275552,141.32213890351613,147.18116264077338,153.32809563308078,179.44471541106304,200.65739602294383,200.52911347160534,203.31792415313092,199.95392857102286,207.82743348666497,208.90940698822052,184.53028860640836,188.5278954954327,165.18238472627024,164.05775447587357,158.79893593638286,168.0357072088051,167.73144027995215,170.81435967069186,179.47073976241933,173.3277486233293,171.0341920271504,180.88611881391398,181.79400648030114,186.35330214907412,178.84239539080164,179.80488922393113,178.20989930974176,180.10717322771694,189.66622708039597,189.01704984192963,200.49014070273125,206.7985129020554,200.81261675287192,,176.62654266754072,175.6182338028503
9,1987-09-27 14:49:38+00:00,193.89570774378012,188.52252798749106,183.5400519389884,174.03460684234804,163.1685713469928,165.56412778039774,171.03400657209545,162.14474320973366,146.94982134022823,166.339963273649,217.11899149302548,213.7100730908012,217.9318332317131,216.17000442423245,223.60368280003843,214.36933235215747,195.8244351898237,191.98059653689415,179.85424927061635,175.62751812779,173.9768412879091,173.8867861163025,180.1054730482212,184.80094358703354,188.1980584492852,184.5401883828469,183.20276647361027,189.83338558800872,200.5623496377582,199.33420073095542,201.42806082239048,193.51084609630047,200.5539014822878,201.8109760503951,200.84400597787067,201.48403395795458,209.1345325549301,217.3644282435904,213.2008294322443,198.07105857526147,193.4759365143589,191.9730566485958
