dates,satname,nzd0591-0000,nzd0591-0001,nzd0591-0002,nzd0591-0003,nzd0591-0004,nzd0591-0005,nzd0591-0006,nzd0591-0007,nzd0591-0008,nzd0591-0009
1999-07-16 22:13:59+00:00,L7,129.09,170.72,161.55,154.67,156.58,157.27,138.77,252.96,187.96,
1999-08-17 22:14:01+00:00,L7,175.06,162.03,152.06,147.07,146.14,149.53,152.40,194.16,193.80,197.20
1999-12-07 22:14:05+00:00,L7,311.13,175.51,158.35,155.51,151.83,156.97,152.39,274.27,197.11,202.03
1999-12-30 22:19:45+00:00,L7,268.41,156.68,141.47,131.83,126.20,130.43,139.61,172.56,177.51,185.55
2000-04-13 22:13:30+00:00,L7,207.49,155.51,150.54,143.79,136.67,132.25,145.50,177.37,181.97,180.54
2000-04-20 22:19:15+00:00,L7,197.35,187.77,163.65,157.63,166.42,162.16,163.46,283.66,200.50,203.93
2000-05-31 22:13:06+00:00,L7,266.25,155.15,,,,,,174.87,,
2000-06-07 22:19:12+00:00,L7,142.73,,167.51,,140.54,,,284.38,,
2000-07-25 22:18:09+00:00,L7,151.84,158.43,138.61,131.14,134.86,131.17,145.82,172.95,179.11,197.20
2000-08-10 22:18:02+00:00,L7,142.45,159.03,168.89,,,,,285.44,,
2000-09-04 22:11:58+00:00,L7,211.44,159.71,151.79,141.43,145.26,142.79,144.35,185.39,188.75,189.01
2000-09-27 22:17:24+00:00,L7,223.34,166.46,155.34,151.35,143.58,148.31,153.47,276.58,196.52,200.91
2000-10-06 22:11:35+00:00,L7,198.07,154.99,147.85,138.99,145.01,142.91,147.76,178.28,189.17,192.96
2001-02-11 22:11:36+00:00,L7,311.12,201.04,178.13,169.18,174.66,172.19,169.59,284.13,201.12,201.55
2001-04-16 22:11:18+00:00,L7,176.34,164.20,155.38,150.60,145.47,142.98,157.03,193.49,189.69,194.55
2001-04-23 22:17:26+00:00,L7,193.13,181.32,158.86,156.24,156.15,161.40,163.28,282.56,202.05,202.85
2001-05-25 22:17:11+00:00,L7,,,,264.38,,160.21,143.04,262.64,184.72,188.12
2001-06-10 22:16:35+00:00,L7,269.46,190.26,164.99,155.57,158.09,155.61,169.07,277.23,192.71,
2001-06-19 22:10:41+00:00,L7,,,,,,,,,,
2001-07-05 22:10:33+00:00,L7,128.73,159.99,158.44,159.43,157.84,156.77,166.17,272.69,202.95,
2001-09-07 22:09:46+00:00,L7,206.87,186.37,169.68,163.77,159.76,156.48,156.60,277.15,195.74,207.12
2001-09-23 22:09:38+00:00,L7,220.91,170.30,152.15,144.11,136.41,140.89,149.17,183.61,187.42,192.31
