,dates,jap0026-0000,jap0026-0001,jap0026-0002,jap0026-0003,jap0026-0004,jap0026-0005,jap0026-0006,jap0026-0007,jap0026-0008,jap0026-0009,jap0026-0010,jap0026-0011,jap0026-0012,jap0026-0013,jap0026-0014,jap0026-0015,jap0026-0016,jap0026-0017,jap0026-0018,jap0026-0019,jap0026-0020,jap0026-0021,jap0026-0022
0,1984-07-10 00:23:53+00:00,265.3373654075256,247.61116922145754,234.2354102950401,233.53426447366388,237.3720889275801,221.87365626090502,213.91985348925527,,182.8978492743094,163.21114749300975,165.28797657003045,149.4065214145022,153.7034541497941,141.27358775693105,129.91865088586394,129.32124405867393,134.7409087663221,141.42062484930668,160.2660541839161,170.60625058638593,175.89374751326451,184.49398500758758,188.56241939829846
1,1984-08-18 00:31:19+00:00,267.5038744223463,240.36285707434826,232.22784315319961,,233.95552110174694,223.0966273712052,207.85674523368922,190.28065438592316,176.67032627988564,159.08673020737402,152.30436317983518,141.02636728066335,134.94764897650413,131.28269207411105,114.20908169349659,119.0844430831875,124.9868634750441,131.2270576426978,158.6934525992668,166.94381680666027,169.76060957063996,174.55331619725504,180.26256128763046
2,1984-09-03 00:31:32+00:00,,235.2560655825172,232.78896399258784,235.33706267586496,238.6824133899409,229.75606550480381,219.88658851672926,194.94028909383374,,,170.58423699910244,147.78187196971933,146.27449357720226,137.51150645413503,,,,,141.6297419013714,150.82399418661666,172.14986210620432,,185.0344872835535
3,1984-10-05 00:31:35+00:00,276.88310103630704,250.4507772359615,243.3592994592139,244.73069089399294,243.4269218077989,228.75782525943754,209.8011529026945,189.00643458012314,174.0675518661873,155.02833011020095,153.6676868964682,140.5074562217777,141.11521121346752,133.87612871440294,118.75266657482788,115.37015505382146,125.60887248267055,134.8075883407697,155.6766244120713,164.52730240898413,175.21307748887418,,184.15309050338155
4,1984-12-08 00:31:29+00:00,,238.75381493404163,233.07239316744503,238.1576750775834,233.99776766705094,227.01735176319826,207.42375894513444,191.04976484480633,174.0059340499865,148.90087547770335,152.9177594946956,146.90614958540868,141.17448487271187,142.05730778285206,128.04852557590695,125.00614194202973,135.95997704174334,147.85214835283557,,162.9613292731308,171.47931317825726,,176.049895276851
5,1985-01-09 00:31:46+00:00,,,,,,,,,,,,,,,,,,,,,,,
6,1985-05-17 00:31:35+00:00,255.1463587500126,223.92244692292445,217.61774613216045,229.19883714763546,226.6314968313573,217.50410693604806,199.84122525284818,184.6970516896889,172.65990778318746,149.11125308896638,149.3363232907093,141.7082260205299,142.55582919087573,140.48967108958715,127.14901031650385,115.63567860808836,124.14927250546577,114.90235204327331,155.76270206894804,152.4876477703999,,136.27913757268567,139.5192143749613
7,1985-06-18 00:31:33+00:00,261.0963207121116,242.7172180181373,228.71218756097454,232.62668037166887,231.78819508750684,214.32246832639004,202.22192164376372,185.04821189284698,174.8679601773627,161.78628823515723,158.90524110632023,147.18406300737,142.36796208807436,139.04072206455353,123.321277208024,114.99946505255726,119.17391345483877,127.12219064796119,156.5265063892366,167.20320444287918,175.54095215134487,168.63151813866858,188.69405870606525
8,1985-11-25 00:29:49+00:00,,,,,,,,,,,,,,,,,,,,,,,
9,1986-05-13 00:20:02+00:00,248.99464803324796,229.00351119457548,221.41895273709653,225.92483169774013,219.78738244563675,223.9452074416464,207.72099002727913,188.8260907518569,176.12121354765725,156.9715502686198,156.98992904460619,149.09993509685057,152.98907886545967,145.65291136017748,134.2900103389623,129.73618056760517,133.01947424750725,98.0349886758467,142.95636381524818,150.14902722026852,,,
