dates,satname,nzd0529-0000,nzd0529-0001,nzd0529-0002,nzd0529-0003,nzd0529-0004,nzd0529-0005,nzd0529-0006,nzd0529-0007,nzd0529-0008,nzd0529-0009,nzd0529-0010,nzd0529-0011,nzd0529-0012,nzd0529-0013,nzd0529-0014,nzd0529-0015,nzd0529-0016,nzd0529-0017,nzd0529-0018,nzd0529-0019,nzd0529-0020,nzd0529-0021,nzd0529-0022,nzd0529-0023,nzd0529-0024,nzd0529-0025,nzd0529-0026,nzd0529-0027,nzd0529-0028,nzd0529-0029,nzd0529-0030,nzd0529-0031,nzd0529-0032,nzd0529-0033,nzd0529-0034,nzd0529-0035,nzd0529-0036,nzd0529-0037
1999-08-17 22:13:37+00:00,L7,342.37,374.29,374.13,352.53,325.99,315.45,307.60,309.57,318.74,318.25,318.01,318.28,321.56,328.03,329.77,337.52,339.19,346.24,344.32,338.94,339.92,341.27,339.96,335.30,335.43,334.83,342.29,349.06,349.29,348.03,348.10,345.30,347.25,351.20,348.74,361.04,365.46,362.29
1999-10-04 22:13:49+00:00,L7,,330.01,371.12,359.99,315.62,299.23,284.22,301.60,301.61,294.03,289.64,,,,,,,,,,,,,,,,318.75,323.02,328.71,332.97,338.39,332.66,343.07,343.66,349.02,348.41,342.84,340.40
1999-12-07 22:13:41+00:00,L7,244.78,507.29,504.72,480.45,442.64,395.88,374.61,366.42,355.47,351.77,348.21,349.50,347.54,349.58,353.64,355.78,358.32,359.68,363.21,360.87,360.87,360.34,359.78,358.34,363.03,366.15,365.06,367.92,362.95,365.20,368.69,371.97,374.09,372.09,371.11,366.28,360.06,368.08
2000-02-02 22:07:23+00:00,L7,324.51,379.47,395.22,393.52,370.90,360.25,347.71,343.64,341.55,338.44,334.33,332.22,333.93,326.12,326.61,324.82,328.61,330.97,336.07,331.11,327.27,336.20,330.46,331.41,332.80,329.59,340.72,343.57,344.87,346.15,351.01,352.07,353.01,354.28,359.60,357.86,355.12,359.08
2000-03-21 22:07:12+00:00,L7,420.18,425.92,411.78,404.53,385.35,383.34,371.06,372.60,372.23,365.47,362.06,365.64,369.31,365.98,374.22,372.23,370.99,376.60,374.59,371.89,367.89,370.88,369.75,369.53,369.12,368.21,370.26,368.40,376.65,369.31,369.33,368.46,372.89,373.92,372.41,377.50,373.74,381.71
2000-05-08 22:06:44+00:00,L7,340.83,411.09,410.24,394.34,366.78,366.47,368.74,372.85,365.90,356.12,348.25,344.48,361.01,367.98,368.67,379.82,381.87,387.74,380.96,379.21,374.28,368.63,371.20,353.40,348.02,349.60,355.36,361.22,357.66,348.34,348.12,346.45,337.24,336.25,332.28,358.54,398.82,390.74
2000-05-31 22:12:42+00:00,L7,326.05,394.93,398.25,,,,,,,,,,,,,,,,359.34,349.28,352.21,336.16,339.28,331.61,337.40,330.42,334.73,341.55,346.45,349.85,341.39,343.33,350.86,375.81,398.80,411.56,438.17,436.89
2000-08-12 22:05:41+00:00,L7,404.11,415.47,411.67,404.13,390.12,377.04,356.35,355.33,357.92,355.00,351.32,343.57,337.48,335.99,337.24,337.78,341.97,341.63,344.09,339.38,341.57,334.12,331.11,333.53,,,,,,,,,,,,,,
2000-08-19 22:11:49+00:00,L7,502.35,395.85,338.56,341.58,360.78,,,358.17,633.62,605.25,636.95,524.62,534.39,398.91,,,,,339.63,326.26,331.98,332.64,328.57,,,,,,,,,,,,,,,
2000-09-20 22:11:14+00:00,L7,351.27,364.34,356.61,352.81,335.48,333.38,329.59,327.88,332.84,335.04,333.71,336.09,336.28,332.68,333.93,333.74,335.56,339.13,341.82,340.69,339.73,343.82,339.72,337.15,339.77,347.62,355.57,359.64,363.85,362.56,365.88,372.25,375.92,372.37,371.99,373.23,382.49,395.48
