,dates,per0157-0000,per0157-0001,per0157-0002,per0157-0003,per0157-0004,per0157-0005,per0157-0006,per0157-0007,per0157-0008,per0157-0009,per0157-0010,per0157-0011,per0157-0012,per0157-0013,per0157-0014,per0157-0015,per0157-0016,per0157-0017,per0157-0018,per0157-0019,per0157-0020,per0157-0021,per0157-0022,per0157-0023,per0157-0024,per0157-0025,per0157-0026,per0157-0027,per0157-0028,per0157-0029,per0157-0030,per0157-0031,per0157-0032,per0157-0033,per0157-0034,per0157-0035,per0157-0036,per0157-0037,per0157-0038,per0157-0039,per0157-0040,per0157-0041,per0157-0042,per0157-0043,per0157-0044,per0157-0045,per0157-0046,per0157-0047,per0157-0048,per0157-0049,per0157-0050,per0157-0051,per0157-0052,per0157-0053,per0157-0054,per0157-0055,per0157-0056,per0157-0057,per0157-0058,per0157-0059,per0157-0060,per0157-0061,per0157-0062,per0157-0063,per0157-0064,per0157-0065,per0157-0066,per0157-0067,per0157-0068,per0157-0069,per0157-0070,per0157-0071,per0157-0072,per0157-0073,per0157-0074,per0157-0075,per0157-0076,per0157-0077,per0157-0078,per0157-0079,per0157-0080,per0157-0081,per0157-0082,per0157-0083,per0157-0084,per0157-0085,per0157-0086,per0157-0087,per0157-0088,per0157-0089,per0157-0090,per0157-0091,per0157-0092,per0157-0093,per0157-0094,per0157-0095,per0157-0096,per0157-0097,per0157-0098,per0157-0099,per0157-0100,per0157-0101,per0157-0102,per0157-0103,per0157-0104,per0157-0105,per0157-0106,per0157-0107,per0157-0108,per0157-0109,per0157-0110,per0157-0111,per0157-0112,per0157-0113,per0157-0114,per0157-0115,per0157-0116,per0157-0117,per0157-0118,per0157-0119,per0157-0120,per0157-0121,per0157-0122
0,1984-12-25 14:41:08+00:00,237.8813594660163,243.34512681757255,,211.7181141009861,190.4273635820853,171.57818278801875,172.36270608874452,158.8985175376638,168.96262196644764,192.02813222311693,186.9175646711172,147.2672289845682,158.36338532987673,136.118119155984,115.01552355824887,136.45321207042988,152.1631198251245,144.84436533536427,144.45332994320518,98.57466264945324,108.22651941923442,115.4771382618283,106.52443301347367,120.65342406413413,134.38405364662225,130.9387155676955,97.01231374923499,124.16472894063742,121.35278000256682,,,,,119.98458357161161,,,,,,,,189.94482283789705,190.207609317681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1985-01-26 14:41:44+00:00,229.42499960132102,203.3805488498217,191.7676003786143,191.55747543804932,181.5044585504525,174.05071799995076,167.61767206340875,165.9155316935956,164.53088448053458,197.8054945672785,191.26859215297253,144.19993681636652,132.81606479664583,127.8856172969611,147.89576480716374,153.78817105286805,143.17838448320504,139.86705144161942,107.94101498014558,112.58470173431371,121.07076722099649,130.45931885264372,124.7018799352895,109.48645130911765,120.8089436627438,116.91321648774398,101.11138165362652,90.59279201720021,107.03245708341288,91.02789099336707,118.4280286191176,127.81463635221411,126.89698047207693,108.35891614949375,126.10520780364094,144.66510949074404,154.01024047929536,166.74754925031115,171.7281493172161,177.83468978140172,186.54671076238165,194.51969318587444,196.06840544663856,196.2128814411064,193.06833884169413,189.20322262267456,192.52623106922823,184.57781563374894,181.53462236730337,179.5021145487584,180.00515232506294,177.3420412117969,175.20868767095868,174.6045522103363,169.7816953823702,174.67573014029068,174.3020606426619,183.76950398022444,184.47027392743604,182.4405536520869,171.60502130018475,173.9519395559191,179.7773531033474,173.4014883297806,176.52979011353813,176.56543158858221,196.12650789827813,197.09123533208185,201.27624419369172,192.81649062262818,177.9198872189028,165.70532600554247,143.6868491543054,115.41141507511692,125.56431665055851,127.98442782063113,129.32278382353292,115.44202017958418,73.87208427665546,89.10524853440113,92.27509481019982,64.83992515114294,80.73651520133345,71.47404723524653,48.53105721954554,70.46545504708928,43.442751029765375,41.78503928559436,94.2693054411916,92.41908503924142,91.60789522378877,97.19562507909819,78.93353234227735,77.93132430379089,60.612043896010405,94.44789037435922,114.9884798686565,97.4534944936743,116.81763226254131,95.26871203251069,103.0086745527586,94.71185882963576,88.09858216608475,89.54319411967396,123.33069732322426,112.25602109087919,104.77008936147575,114.54357515996921,93.52977512323213,102.87078802023811,96.64562893150838,93.22701214280515,87.53458134135104,96.47042512396453,111.32717608731619,115.73107562416234,111.87012035081327,118.26138146207283,128.43169133037986,129.68760868862728,129.21254370620676,131.47020082161401,98.54058630160714
2,1986-04-03 14:36:38+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1986-04-19 14:36:16+00:00,,,,,,,,,,,,,,,,,125.18638563373506,128.29040256646806,112.57752477986574,117.04561428772163,112.43790683535974,119.06190871008367,74.60304512799317,84.22972885761963,119.21824855110228,119.18025882379573,101.75063559788856,112.22110009909743,119.3639367025783,113.27302545659879,104.49655567583056,96.41909395366007,116.80873528336285,135.7605571113123,,,,,,,,180.01479327742373,180.0002448023128,175.28133149325092,174.60561675057988,170.95290440621963,175.0662155333726,174.5622536259441,176.5205146083877,180.90787866105723,173.88871530427483,177.30893912827628,170.26837798500935,175.1141347577105,165.08749829776357,171.86774620638528,172.55184319509112,168.57753529620436,173.57636808742956,173.6338879612664,164.89034599278267,164.56667369127842,170.74032481398535,173.5657539066608,176.4002400894094,180.91941453787862,193.9132518891278,200.2307092756609,197.01806920441328,191.36672233502156,181.06522824938975,159.19671963518095,149.34582638284806,140.42060395172686,129.20615987317737,124.69564786225556,131.12013662567128,98.3707187274614,53.29027561763089,66.61880263257369,56.538009589039355,66.36251357504165,78.21667558429016,59.49089822790063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1986-05-05 14:36:17+00:00,228.73171485758036,195.02276409167345,188.06992109598454,180.45952861790826,170.19295981447087,166.19291033737852,166.7099911359562,159.7011290920536,166.84434044067672,192.94943708541012,194.1496908436304,143.19425778309454,129.85990706259773,143.95206253453625,143.84282636660268,138.1605607328486,124.70068730139104,118.19378645224637,113.43376643998629,107.89058168304011,112.97187836631932,106.68049279743566,84.2445279144148,102.3523574350747,111.7345467361143,110.0924903583778,110.1207583716234,113.64678720603365,114.43066616049498,113.71871389355954,111.98065037542264,108.36573648127424,110.25280364148938,121.16183957784122,132.7759672641252,134.9090776797206,146.00352057476255,149.7307270772131,159.42123557502183,162.63110020201134,176.6763749265059,185.7973828182727,186.97104729506964,190.20534982548764,186.50574710684734,188.21942484802156,183.4588467288573,180.88388569799753,169.18834531143028,165.5024235816208,161.33068471575115,160.22694078244893,161.68011151367594,161.3872100052149,161.62332166864456,157.70600423334724,161.26636042747793,151.67249019645766,168.07946394641982,162.84998049031788,152.3213742284507,164.4729588628962,169.84428820575783,168.74039343452088,170.1274604228206,174.01416363628604,180.6726574300576,178.79085530011872,180.00154146084384,172.58972185931657,148.41690981623657,135.38194294363717,120.00979212466098,114.09809883703119,104.19417920440651,106.92988333459344,111.14721418474078,93.04739665724864,61.34224931696164,75.69428671557986,69.42504190009014,64.31611915474035,72.53250160680817,75.0031584218147,68.09355925314881,53.859353889417406,57.286641092145786,76.40267855181465,81.43701792572121,73.07770520181631,84.41472039960364,86.52982863909392,84.34664999901506,83.98413065077199,88.29178336826597,99.83336055028582,95.72116553042899,100.79449331707937,98.4044881561646,100.72536357772009,120.45426176941976,113.94915895346108,106.20515777341784,105.09503479194359,103.7336316996138,107.21175543063526,99.22804448590375,103.8131281500603,100.47988764872687,98.19975510416768,99.82606892643435,97.7335256033628,92.47673982614792,90.89083877900453,97.33861999704001,101.16946767032402,104.07796547755984,105.55140490694747,108.3948651046972,116.41700648653635,118.06200885682702,123.74028189996943,113.47254384149261
5,1986-08-09 14:32:48+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1986-08-25 14:32:12+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1986-09-10 14:31:38+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1986-09-26 14:31:09+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1986-10-12 14:30:38+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
