dates,satname,nzd0115-0000,nzd0115-0001,nzd0115-0002,nzd0115-0003,nzd0115-0004,nzd0115-0005,nzd0115-0006,nzd0115-0007,nzd0115-0008,nzd0115-0009,nzd0115-0010,nzd0115-0011,nzd0115-0012,nzd0115-0013,nzd0115-0014,nzd0115-0015,nzd0115-0016,nzd0115-0017,nzd0115-0018,nzd0115-0019,nzd0115-0020,nzd0115-0021,nzd0115-0022,nzd0115-0023,nzd0115-0024,nzd0115-0025,nzd0115-0026,nzd0115-0027,nzd0115-0028,nzd0115-0029,nzd0115-0030,nzd0115-0031,nzd0115-0032,nzd0115-0033,nzd0115-0034,nzd0115-0035,nzd0115-0036,nzd0115-0037,nzd0115-0038,nzd0115-0039,nzd0115-0040,nzd0115-0041,nzd0115-0042,nzd0115-0043,nzd0115-0044,nzd0115-0045,nzd0115-0046,nzd0115-0047,nzd0115-0048,nzd0115-0049,nzd0115-0050,nzd0115-0051,nzd0115-0052,nzd0115-0053,nzd0115-0054,nzd0115-0055,nzd0115-0056,nzd0115-0057,nzd0115-0058,nzd0115-0059,nzd0115-0060,nzd0115-0061,nzd0115-0062,nzd0115-0063,nzd0115-0064,nzd0115-0065,nzd0115-0066,nzd0115-0067,nzd0115-0068,nzd0115-0069,nzd0115-0070,nzd0115-0071,nzd0115-0072,nzd0115-0073,nzd0115-0074,nzd0115-0075,nzd0115-0076,nzd0115-0077,nzd0115-0078,nzd0115-0079,nzd0115-0080,nzd0115-0081,nzd0115-0082,nzd0115-0083,nzd0115-0084,nzd0115-0085,nzd0115-0086,nzd0115-0087,nzd0115-0088,nzd0115-0089,nzd0115-0090,nzd0115-0091,nzd0115-0092,nzd0115-0093,nzd0115-0094,nzd0115-0095,nzd0115-0096,nzd0115-0097,nzd0115-0098,nzd0115-0099,nzd0115-0100,nzd0115-0101,nzd0115-0102,nzd0115-0103,nzd0115-0104,nzd0115-0105,nzd0115-0106,nzd0115-0107,nzd0115-0108,nzd0115-0109,nzd0115-0110,nzd0115-0111,nzd0115-0112,nzd0115-0113,nzd0115-0114,nzd0115-0115,nzd0115-0116,nzd0115-0117,nzd0115-0118,nzd0115-0119,nzd0115-0120,nzd0115-0121,nzd0115-0122,nzd0115-0123,nzd0115-0124,nzd0115-0125,nzd0115-0126,nzd0115-0127,nzd0115-0128,nzd0115-0129,nzd0115-0130,nzd0115-0131,nzd0115-0132,nzd0115-0133,nzd0115-0134,nzd0115-0135,nzd0115-0136,nzd0115-0137,nzd0115-0138,nzd0115-0139,nzd0115-0140,nzd0115-0141,nzd0115-0142,nzd0115-0143,nzd0115-0144,nzd0115-0145,nzd0115-0146,nzd0115-0147,nzd0115-0148,nzd0115-0149,nzd0115-0150,nzd0115-0151,nzd0115-0152,nzd0115-0153,nzd0115-0154,nzd0115-0155,nzd0115-0156,nzd0115-0157,nzd0115-0158,nzd0115-0159,nzd0115-0160,nzd0115-0161,nzd0115-0162,nzd0115-0163,nzd0115-0164,nzd0115-0165,nzd0115-0166,nzd0115-0167,nzd0115-0168,nzd0115-0169,nzd0115-0170,nzd0115-0171,nzd0115-0172,nzd0115-0173,nzd0115-0174,nzd0115-0175,nzd0115-0176,nzd0115-0177,nzd0115-0178,nzd0115-0179
1999-08-26 22:04:44+00:00,L7,240.64,242.21,245.44,234.06,208.71,236.09,247.40,250.20,254.97,254.41,258.82,262.76,273.31,284.33,289.08,281.92,290.14,296.29,293.22,299.89,306.18,315.01,318.47,324.79,322.50,325.51,330.27,334.49,339.41,342.20,341.68,343.69,348.83,357.01,362.57,367.05,368.90,373.24,377.26,381.94,386.67,393.43,394.50,394.43,396.07,404.15,409.92,416.01,422.06,429.66,433.51,435.43,443.04,446.27,453.37,457.36,459.06,461.11,465.64,471.22,472.49,472.58,477.35,468.47,457.76,451.23,480.84,497.30,503.30,516.90,516.24,514.22,509.04,507.73,506.09,503.23,497.45,496.11,491.03,486.67,489.15,492.15,487.44,483.19,483.92,482.97,486.25,485.66,481.51,483.04,474.45,468.72,468.25,464.71,464.91,465.27,467.60,468.64,462.45,452.01,451.72,456.59,455.41,461.54,459.72,454.75,449.69,450.54,438.91,437.40,439.90,443.18,441.33,439.19,427.23,403.72,388.33,406.25,419.41,420.43,424.18,418.70,419.87,423.18,420.84,417.69,411.59,407.25,407.50,405.02,402.35,399.18,403.44,404.81,406.06,406.56,401.10,403.32,404.20,401.90,400.92,397.15,389.90,382.75,386.20,384.18,371.32,376.47,379.27,377.19,371.19,364.74,361.30,353.60,338.80,328.53,349.22,353.88,366.15,367.44,367.14,368.61,367.74,367.56,367.15,368.15,368.48,364.43,362.19,360.67,361.28,361.21,365.98,366.48,365.10,366.42,362.00,355.68,354.64,349.80
1999-09-27 22:04:48+00:00,L7,226.15,221.81,226.31,230.65,230.40,229.62,233.91,233.22,235.35,241.11,247.98,251.70,258.45,259.00,264.83,265.53,266.69,276.77,276.41,279.63,286.01,291.04,294.58,299.41,303.89,309.36,311.54,318.26,323.69,325.20,330.55,331.59,333.00,336.70,340.26,341.68,348.40,353.71,359.04,361.52,363.96,367.79,374.51,375.24,379.93,388.22,390.66,397.52,403.47,403.07,410.68,413.85,424.70,432.33,436.19,436.44,438.72,438.88,443.02,445.27,446.24,456.59,454.87,451.89,440.81,421.65,460.06,477.53,489.61,501.80,498.52,493.47,488.54,487.05,483.06,482.64,478.59,478.68,472.94,467.67,472.16,470.70,461.90,458.87,463.73,463.65,462.43,461.48,459.00,453.48,450.89,449.09,449.18,445.17,448.15,449.47,449.96,451.48,447.29,438.65,436.88,438.68,440.67,437.68,433.97,429.45,425.08,422.01,419.35,419.27,420.85,423.61,425.06,416.98,405.47,382.02,375.46,397.37,407.04,410.31,413.44,415.29,413.98,410.87,403.05,404.52,405.41,404.14,400.56,396.89,391.59,388.75,385.93,383.87,388.07,386.68,387.89,386.06,382.46,378.59,375.79,374.58,367.91,363.47,364.85,364.89,361.50,361.93,361.80,360.12,353.46,346.08,346.99,340.52,325.15,292.97,331.21,342.54,346.76,349.10,348.88,350.70,350.42,352.46,351.83,354.02,352.04,348.35,344.42,344.35,343.40,344.33,345.73,343.50,337.60,324.72,321.01,315.29,327.01,330.48
2000-12-02 22:02:09+00:00,L7,277.84,286.80,293.26,296.28,292.77,290.75,294.17,292.41,292.56,298.15,307.12,318.20,319.92,322.77,321.32,324.20,326.29,329.32,336.24,338.58,343.01,351.31,358.70,361.46,362.60,362.49,364.38,371.69,376.48,382.43,389.66,394.94,399.23,398.06,399.35,407.88,410.17,420.01,415.11,410.58,412.26,418.81,431.30,437.28,446.42,447.24,455.50,464.99,467.94,471.98,472.95,471.30,473.73,477.69,480.48,480.17,490.49,502.00,506.18,516.49,523.38,534.91,527.13,524.18,521.58,509.75,531.16,533.53,537.10,552.44,554.23,553.82,554.79,545.28,538.28,536.09,535.14,534.15,530.60,527.82,527.19,526.24,530.70,530.36,527.29,521.66,524.52,523.91,517.05,502.32,503.27,505.74,506.47,507.22,505.31,506.79,506.77,504.61,499.75,496.03,490.07,484.84,476.52,475.93,474.85,474.36,478.98,481.49,483.37,481.80,473.09,465.15,458.74,458.96,460.34,453.39,427.36,453.46,465.37,469.34,472.13,466.93,458.21,456.89,455.24,456.58,456.81,451.95,443.08,444.31,448.88,447.52,444.39,441.68,436.81,431.43,423.59,420.28,419.30,422.32,418.59,415.61,421.84,420.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001-03-24 22:01:59+00:00,L7,241.02,244.02,245.50,253.67,256.87,260.46,264.08,264.92,265.00,268.61,273.84,275.05,280.22,284.41,287.09,290.77,292.34,297.58,298.14,305.73,315.05,324.07,330.59,332.15,335.60,334.84,334.39,338.52,340.84,344.54,348.10,355.50,361.40,363.04,363.89,372.76,374.99,375.45,382.90,382.87,382.57,387.89,389.07,394.80,398.54,409.01,416.01,418.53,425.81,435.67,439.94,441.49,450.22,454.28,453.07,458.11,458.91,463.09,471.51,473.47,477.25,480.66,485.42,484.92,474.23,461.94,492.78,506.23,512.27,519.46,520.34,514.79,511.60,507.76,506.32,505.31,501.15,500.69,497.50,499.94,498.19,495.68,492.91,497.46,495.36,492.37,486.57,489.09,485.55,480.81,478.09,475.93,473.79,470.32,470.09,468.19,466.95,463.95,459.43,455.42,464.31,462.33,460.60,457.30,455.17,455.52,453.74,450.94,448.16,449.34,450.07,447.73,442.41,436.69,431.99,412.62,391.48,420.51,428.60,431.22,436.67,434.42,430.40,431.39,430.85,429.71,432.07,427.75,422.89,421.28,418.02,412.66,405.96,403.83,403.02,405.85,406.80,403.65,395.63,388.82,392.24,393.70,395.55,397.59,394.78,389.47,383.36,381.95,380.58,380.68,380.97,377.13,374.58,369.28,358.79,334.04,358.83,369.94,371.75,369.22,369.73,368.94,367.60,365.29,366.89,371.21,373.44,372.81,368.16,366.09,365.26,359.12,359.50,360.86,364.78,361.91,356.98,355.91,355.20,353.82
2001-11-03 22:00:10+00:00,L7,231.67,235.39,236.70,236.72,242.46,243.00,246.03,246.83,250.46,252.46,256.51,262.50,266.14,274.56,277.68,277.39,279.94,280.25,281.20,291.72,295.44,297.49,298.68,301.47,309.86,308.78,313.87,327.04,341.58,343.99,340.05,335.43,337.44,341.73,345.16,356.50,364.74,367.91,374.27,372.80,372.00,381.44,390.21,393.14,402.07,402.61,403.44,410.55,413.50,421.76,430.33,431.69,434.96,433.74,438.73,446.20,,,446.44,447.22,453.89,460.80,462.98,456.03,436.75,402.52,,,,,,,,,,,,,,,,,,,,476.27,476.12,478.38,479.99,473.71,470.34,,,,,,,,,,,,,257.11,436.30,433.66,429.39,426.91,432.81,429.92,427.33,420.71,405.24,,,,,,,,,,,,,,,,395.35,395.04,393.50,396.96,398.39,398.05,393.61,392.71,386.96,383.80,388.36,390.72,387.78,382.81,377.81,373.33,375.09,375.71,375.00,371.40,368.11,363.08,,,,,,,,,,,,,,,,,,,,,,,,347.38,340.07,338.24,334.74,329.93,330.10,326.63
2002-01-22 22:00:40+00:00,L7,,,,,,,,,,,312.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,545.67,518.95,542.28,534.19,530.75,527.12,522.38,524.32,537.63,544.94,543.62,,530.78,,,498.03,487.49,498.85,511.15,490.67,,,,,,,,,,,,,,,,,,,,,,,467.06,462.15,442.46,454.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,405.19,406.66,395.11,411.20,407.16,404.80,404.58,400.74,393.82,387.70,401.66,411.47,412.97,415.04,404.26,398.42,403.16,401.69,397.19,391.80,385.77,385.87,398.90,401.96,396.94,387.93,380.01
2002-04-12 22:00:37+00:00,L7,247.83,256.12,257.44,259.29,260.99,264.43,264.46,265.07,267.57,271.54,276.44,281.91,289.97,288.68,292.69,295.31,299.89,305.69,311.95,310.30,309.76,311.73,318.49,319.63,321.91,327.92,332.74,341.13,350.06,350.82,348.42,359.68,363.52,360.92,362.59,366.10,372.34,377.62,381.89,389.50,395.26,397.89,406.25,409.93,408.86,415.77,419.92,421.76,426.47,436.48,,,,,460.47,458.19,420.94,418.06,420.89,439.75,471.79,476.82,483.59,483.88,472.29,446.11,480.25,501.31,507.38,521.02,527.17,527.22,525.09,523.34,521.51,513.19,505.70,494.45,496.04,501.93,504.18,504.31,505.06,502.23,499.18,496.59,493.74,488.53,474.96,470.52,475.27,477.90,479.08,478.52,477.87,475.90,476.15,468.58,467.08,467.04,459.93,457.75,457.87,456.02,453.41,452.33,452.82,451.20,452.84,451.65,446.69,444.46,442.59,438.69,429.20,407.35,399.75,420.88,434.51,438.31,436.95,433.65,434.48,430.22,429.56,431.47,429.47,427.56,425.13,416.75,416.10,413.92,409.86,411.31,410.64,409.54,410.55,409.13,407.95,407.05,403.31,399.05,397.57,392.36,381.83,380.38,381.09,380.08,379.50,381.07,375.96,373.87,372.70,372.67,364.32,355.77,372.53,374.23,373.45,372.80,368.90,365.65,366.76,369.02,373.86,373.19,366.16,364.83,370.66,370.45,364.25,363.64,361.18,360.30,362.61,362.54,362.85,356.04,356.03,352.67
2002-06-15 22:00:19+00:00,L7,258.06,247.75,249.38,,188.36,,,258.33,,289.01,310.04,318.49,322.21,311.68,316.14,311.56,314.43,325.93,332.70,334.18,340.44,343.75,351.11,356.01,359.20,363.76,360.67,359.39,365.48,363.81,369.59,376.54,388.84,392.96,390.47,396.70,394.75,400.09,407.44,411.62,418.09,423.40,421.34,427.38,439.49,446.46,449.14,,,,,,,,,,,492.98,502.36,508.31,504.47,507.30,506.57,505.85,514.32,505.27,530.13,,547.20,555.53,556.51,559.48,554.31,550.41,541.32,545.22,545.08,543.12,537.81,530.49,525.67,,522.34,520.59,515.35,519.32,520.87,517.34,515.24,506.42,508.71,509.19,508.25,509.79,510.95,502.39,498.92,493.89,493.69,495.51,494.60,499.87,492.73,484.66,478.38,480.25,480.92,473.32,475.02,,470.51,471.28,470.60,469.25,466.36,460.65,,448.50,460.04,458.74,453.41,456.50,456.11,447.34,452.78,458.32,455.03,450.41,446.60,448.06,445.64,447.58,436.59,435.46,436.98,437.46,438.46,437.92,432.56,430.71,423.24,422.94,423.80,421.34,413.70,415.04,404.95,409.62,405.68,400.21,399.65,402.96,406.80,411.15,424.80,403.49,400.43,398.65,400.04,,,401.91,397.25,396.74,401.81,401.54,394.55,393.06,395.07,398.19,,,,,,,,,,
2002-08-02 22:00:01+00:00,L7,288.09,293.19,299.76,312.53,321.17,315.58,305.99,309.14,321.30,334.78,342.76,343.28,337.27,334.69,340.46,354.65,357.67,360.70,360.07,358.70,368.63,366.83,374.02,371.92,375.76,377.87,381.98,385.84,393.90,399.05,398.98,400.43,401.97,408.16,427.46,431.88,427.39,420.51,419.61,425.11,435.91,437.39,453.23,463.42,470.18,469.75,470.77,471.10,479.60,489.42,490.40,491.30,495.76,509.60,518.05,513.82,513.35,519.48,528.76,535.63,538.03,541.10,553.23,554.87,557.99,532.08,553.65,557.21,571.85,585.97,586.04,590.32,590.30,574.56,573.96,561.35,553.59,555.29,556.16,559.38,556.11,558.73,555.60,556.22,547.96,546.40,548.65,543.53,538.60,522.34,532.78,530.01,537.13,534.39,533.34,533.45,534.37,540.74,538.96,514.46,503.92,504.39,507.88,506.49,517.86,520.37,511.20,511.22,508.37,507.75,499.59,495.01,483.90,484.67,484.44,479.96,476.63,479.20,481.11,480.43,477.66,480.87,479.83,467.80,471.33,470.67,469.81,464.17,473.64,478.85,478.57,477.58,487.58,459.33,459.41,448.76,456.19,450.85,445.01,463.77,453.27,451.69,457.98,451.68,434.71,445.92,428.20,444.31,452.17,449.59,435.21,453.97,448.02,439.55,442.69,422.39,426.99,419.15,424.39,417.36,414.95,412.43,428.81,430.48,432.30,427.44,423.76,414.11,411.80,412.60,414.29,427.44,427.53,421.45,416.35,413.05,415.48,419.60,420.97,406.97
2002-08-18 21:59:57+00:00,L7,,,,,,,,,,,,,,,,,,,,307.71,309.00,304.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,485.40,489.94,493.76,495.60,499.63,492.52,486.07,469.06,491.11,504.97,522.02,534.36,530.33,531.26,529.27,531.26,532.16,525.67,519.92,517.89,512.73,513.52,507.68,510.75,508.93,509.13,509.45,504.04,500.24,490.86,484.21,481.55,488.69,491.61,493.17,489.91,489.96,488.09,490.53,480.31,477.12,474.57,474.13,470.73,467.73,468.04,471.49,467.66,461.00,457.26,454.90,454.98,451.07,449.53,447.92,445.63,442.22,439.18,,437.56,436.90,438.00,441.55,438.87,435.59,436.55,434.00,438.47,436.73,435.46,431.15,429.75,428.33,422.21,422.93,424.12,416.32,415.79,416.01,411.69,417.23,410.66,409.44,406.35,407.42,404.61,389.08,382.53,385.94,391.88,391.50,393.68,394.62,390.57,387.82,380.32,367.30,356.37,374.03,380.79,381.62,387.45,389.61,382.09,385.89,395.03,388.12,383.01,361.01,318.85,291.69,,,,356.68,367.17,376.20,371.93,374.93,370.75,369.44,365.38
