dates,nzd0367-0000,nzd0367-0001,nzd0367-0002,nzd0367-0003,nzd0367-0004,nzd0367-0005,nzd0367-0006,nzd0367-0007,nzd0367-0008,nzd0367-0009,nzd0367-0010,nzd0367-0011,nzd0367-0012,nzd0367-0013,nzd0367-0014,nzd0367-0015,nzd0367-0016,nzd0367-0017,nzd0367-0018,nzd0367-0019,nzd0367-0020,nzd0367-0021,nzd0367-0022,nzd0367-0023,nzd0367-0024,nzd0367-0025,nzd0367-0026,nzd0367-0027,nzd0367-0028,nzd0367-0029,nzd0367-0030,nzd0367-0031,nzd0367-0032,nzd0367-0033,nzd0367-0034,nzd0367-0035,nzd0367-0036,nzd0367-0037,nzd0367-0038,nzd0367-0039,nzd0367-0040,nzd0367-0041,nzd0367-0042,nzd0367-0043,nzd0367-0044,nzd0367-0045,nzd0367-0046,nzd0367-0047,nzd0367-0048,nzd0367-0049,nzd0367-0050,nzd0367-0051,nzd0367-0052,nzd0367-0053,nzd0367-0054,nzd0367-0055,nzd0367-0056,nzd0367-0057,nzd0367-0058,nzd0367-0059,nzd0367-0060,nzd0367-0061,nzd0367-0062,nzd0367-0063,nzd0367-0064,nzd0367-0065,nzd0367-0066,nzd0367-0067,nzd0367-0068,nzd0367-0069,nzd0367-0070,nzd0367-0071,nzd0367-0072,nzd0367-0073,nzd0367-0074,nzd0367-0075,nzd0367-0076,nzd0367-0077,nzd0367-0078,nzd0367-0079,nzd0367-0080,nzd0367-0081,satname
1999-08-17 22:12:26+00:00,,,,,,,,,,,,,435.40,,,,,,254.88,261.14,252.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,205.76,220.30,233.53,236.02,,246.52,,222.89,261.90,,,,,,,,,,,,L7
1999-08-26 22:06:20+00:00,431.63,446.17,,,465.31,,,,,,418.80,413.13,416.23,384.53,363.90,,309.91,300.22,271.45,275.43,268.81,,,,,290.78,292.77,,,,,311.68,306.90,299.83,270.23,241.23,220.54,189.66,,143.72,121.28,,,,,,,,,,,,,,,,,,115.83,145.87,161.90,176.38,193.96,205.76,217.81,223.75,223.98,238.43,241.69,237.87,263.75,279.21,,309.40,,342.87,366.40,387.82,416.59,453.87,493.54,527.73,L7
1999-09-18 22:12:27+00:00,432.46,441.15,427.73,428.71,448.99,425.96,401.29,391.52,385.13,385.85,399.07,400.75,413.33,393.73,380.27,393.45,329.46,300.22,271.45,275.43,268.81,230.18,232.35,234.35,235.07,277.05,275.05,251.59,253.09,252.23,263.68,295.44,306.99,303.47,274.18,245.81,206.92,176.50,124.85,124.78,109.84,95.54,80.02,83.98,80.83,51.39,,,,69.39,88.14,83.54,64.05,,60.91,57.45,74.78,73.71,102.75,130.94,148.41,157.12,181.15,194.30,203.55,214.50,212.84,234.37,234.94,237.27,256.53,266.73,249.72,290.33,289.53,328.62,348.75,369.03,406.91,436.94,480.97,510.94,L7
1999-10-13 22:06:24+00:00,433.45,440.88,434.45,435.15,445.19,430.83,405.37,389.99,375.63,381.09,389.11,387.79,400.81,387.08,381.91,391.42,340.24,315.39,281.36,279.84,271.01,244.04,234.16,237.19,240.13,270.25,269.45,255.39,260.48,264.55,270.44,289.68,296.54,295.13,276.77,257.04,206.92,191.32,141.39,119.93,102.17,85.72,81.31,77.31,74.51,60.80,67.48,,,63.88,76.58,78.68,77.03,95.49,73.66,62.95,81.99,87.19,105.76,129.65,149.78,157.99,183.99,190.28,200.43,215.28,213.08,228.30,234.60,236.34,251.38,259.90,257.40,291.66,304.39,338.71,351.67,368.52,402.29,433.44,474.25,508.74,L7
1999-11-21 22:12:24+00:00,426.45,435.99,439.26,440.26,444.77,433.92,409.27,392.41,378.43,376.79,380.90,381.09,393.21,382.26,373.85,374.17,340.01,314.66,283.38,277.23,271.15,255.26,249.68,250.81,249.50,265.60,266.86,261.69,269.09,274.98,273.70,284.88,288.21,287.23,276.77,257.04,207.72,190.05,151.83,121.13,102.17,85.72,81.31,77.31,74.51,60.80,67.48,,,63.88,76.58,78.68,77.03,95.49,73.66,62.95,81.99,87.19,105.76,130.07,147.46,156.01,179.31,188.01,196.57,210.15,208.03,223.74,230.74,234.95,250.35,258.77,265.32,291.00,313.77,339.26,356.53,374.36,406.74,435.60,474.03,508.07,L7
1999-12-07 22:12:29+00:00,420.49,431.03,438.95,437.24,442.34,431.30,409.02,390.13,376.99,372.15,373.98,372.33,385.19,375.09,369.87,366.30,338.56,313.90,285.11,274.41,268.41,256.80,252.53,255.26,251.77,262.31,262.76,260.40,269.56,278.25,274.15,282.26,281.25,280.06,276.77,257.04,204.56,187.82,154.13,122.50,102.17,85.72,81.31,77.31,74.51,60.80,67.48,,,63.88,76.58,78.68,77.03,95.49,73.66,62.95,81.99,87.19,105.76,130.07,143.60,152.19,173.83,181.19,192.44,204.73,204.28,218.74,227.86,231.51,245.55,256.06,262.41,289.11,312.57,335.11,355.30,376.53,406.71,436.68,470.45,503.10,L7
2000-02-09 22:12:19+00:00,420.49,431.03,442.17,436.69,439.19,431.31,414.67,397.74,380.90,368.04,369.23,365.81,378.23,368.73,363.16,359.53,337.19,319.99,296.97,290.34,284.37,275.53,266.72,267.93,264.48,262.31,262.76,260.40,276.48,278.38,277.18,286.27,286.78,285.16,282.43,257.56,204.56,187.82,162.34,122.50,102.17,85.72,98.08,92.24,91.72,82.19,71.69,105.99,104.88,76.66,86.58,88.15,88.18,103.04,80.89,76.47,93.25,103.14,120.12,139.17,149.04,154.73,173.83,181.19,194.25,207.45,208.63,221.14,229.31,236.64,251.06,262.46,272.37,296.33,316.68,333.79,353.33,375.31,406.45,436.95,472.16,507.10,L7
2000-03-12 22:12:09+00:00,417.70,427.25,446.00,439.58,435.08,431.49,417.09,403.10,387.23,368.70,353.60,348.99,353.22,357.44,357.61,356.05,341.37,329.18,319.09,312.22,306.24,289.87,278.80,277.11,274.83,255.19,255.26,260.40,280.24,280.46,279.01,282.14,283.55,284.88,290.43,263.01,199.23,187.36,174.11,117.19,92.62,85.72,107.49,96.38,94.58,84.48,73.59,89.02,85.82,75.50,83.67,83.68,89.85,106.75,91.65,86.80,100.45,108.06,129.73,143.82,152.14,153.26,160.36,167.87,184.62,201.78,208.47,217.10,229.50,239.23,248.91,262.25,277.09,299.83,317.25,331.74,356.62,376.00,405.38,432.88,465.84,501.89,L7
2000-03-21 22:06:01+00:00,414.91,425.62,449.70,441.57,435.72,432.91,420.88,406.36,389.83,367.27,347.29,337.46,338.32,344.13,346.71,346.59,339.32,329.52,320.27,315.46,310.58,307.02,292.33,288.07,283.46,261.28,261.25,269.21,285.11,285.81,281.24,282.72,279.37,280.84,287.57,263.78,212.95,198.97,185.80,130.25,86.83,92.81,116.64,100.52,99.17,95.51,73.59,89.02,85.82,77.54,82.18,83.73,98.45,106.75,101.90,96.40,104.75,114.90,136.72,149.36,156.02,159.08,164.76,171.73,189.30,205.63,211.33,216.92,229.20,239.99,250.31,264.05,281.58,303.50,322.71,336.29,364.31,383.25,409.73,437.51,469.80,506.03,L7
2000-05-24 22:05:22+00:00,434.70,442.91,454.59,441.80,435.75,431.07,420.32,409.80,394.09,366.61,342.18,328.72,326.08,327.11,328.57,329.20,326.49,323.62,321.54,327.46,326.34,328.21,319.22,316.23,296.83,268.41,263.83,280.85,287.77,286.53,283.22,286.76,284.24,283.18,280.79,248.10,217.55,200.51,196.68,160.34,,109.71,139.77,112.35,106.85,96.48,70.37,81.70,73.83,74.18,77.88,73.61,95.09,106.80,116.92,105.71,112.20,119.73,145.89,163.05,161.78,169.32,156.90,181.71,194.80,206.63,215.39,221.48,230.53,244.24,254.93,270.67,285.81,309.42,321.12,329.47,364.31,385.03,408.67,440.68,472.34,504.43,L7
2000-08-03 22:10:43+00:00,460.08,463.08,458.34,444.32,434.63,431.14,421.56,411.62,393.04,364.71,342.84,330.80,329.07,329.22,325.17,326.11,324.79,323.85,325.87,340.28,343.56,342.97,331.08,334.08,309.58,287.68,281.29,293.00,291.97,294.92,285.15,297.13,293.64,287.03,273.54,242.52,220.78,200.47,201.34,176.53,,109.71,139.77,112.35,106.85,96.48,70.37,81.70,73.83,74.18,77.88,73.61,95.09,106.80,116.92,105.71,112.20,119.04,146.33,162.12,169.10,174.63,167.41,190.91,200.56,216.31,224.09,230.73,235.27,254.22,266.05,279.15,296.53,318.70,325.18,333.13,368.95,384.96,409.19,440.59,476.39,509.74,L7
2000-08-19 22:10:38+00:00,457.88,461.31,456.63,441.32,430.32,421.70,409.56,399.78,382.93,360.11,338.06,329.30,327.57,327.28,325.00,325.46,320.84,314.44,312.33,323.47,329.01,333.12,328.02,334.48,312.64,307.81,281.29,302.04,296.39,307.48,293.67,294.84,280.13,272.85,258.08,227.75,208.22,189.16,189.92,159.58,121.59,116.90,133.68,102.62,94.90,87.11,67.59,69.55,58.31,60.16,61.92,56.87,77.04,88.61,127.70,94.18,106.25,113.03,137.04,152.62,161.17,172.06,173.07,188.90,193.49,204.05,213.29,221.85,229.11,245.06,251.56,264.96,278.43,302.84,313.72,330.99,367.69,383.41,406.70,439.90,475.38,504.32,L7
2000-09-13 22:04:02+00:00,457.88,452.65,451.02,435.49,423.87,414.39,397.80,384.25,367.88,352.31,337.49,331.96,331.17,329.94,323.39,321.28,313.60,303.08,296.56,304.78,307.27,319.02,322.59,332.29,304.41,302.73,279.99,295.95,292.09,307.82,290.31,292.03,272.44,260.14,239.17,218.05,198.61,179.93,169.26,148.64,121.59,116.90,132.66,99.52,90.76,84.98,57.82,67.05,49.84,48.28,55.42,43.46,68.13,75.83,131.47,82.38,100.98,110.58,132.73,148.50,151.79,167.49,176.15,191.56,194.67,197.98,203.98,209.09,218.19,234.56,240.09,252.54,265.41,284.12,308.58,328.47,352.50,371.87,400.71,439.72,477.00,505.68,L7
2000-09-20 22:10:03+00:00,470.49,458.40,450.34,434.83,423.04,407.17,386.98,371.52,356.27,342.88,333.12,327.74,324.92,323.97,318.80,316.73,310.25,298.51,290.77,295.75,295.23,306.58,312.94,326.54,301.34,299.96,282.01,297.59,296.98,313.70,285.85,285.91,269.40,256.57,231.27,203.30,176.64,159.96,148.13,130.96,94.36,94.06,132.66,80.79,75.33,72.38,47.74,59.74,67.78,71.35,66.52,61.12,59.23,75.83,143.45,59.83,105.47,113.75,136.57,143.31,146.87,161.87,172.32,188.31,190.64,191.92,204.95,212.23,218.89,220.93,227.20,237.49,250.82,272.38,291.14,309.66,329.53,350.62,384.90,428.83,464.02,493.91,L7
