dates,satname,nzd0367-0000,nzd0367-0001,nzd0367-0002,nzd0367-0003,nzd0367-0004,nzd0367-0005,nzd0367-0006,nzd0367-0007,nzd0367-0008,nzd0367-0009,nzd0367-0010,nzd0367-0011,nzd0367-0012,nzd0367-0013,nzd0367-0014,nzd0367-0015,nzd0367-0016,nzd0367-0017,nzd0367-0018,nzd0367-0019,nzd0367-0020,nzd0367-0021,nzd0367-0022,nzd0367-0023,nzd0367-0024,nzd0367-0025,nzd0367-0026,nzd0367-0027,nzd0367-0028,nzd0367-0029,nzd0367-0030,nzd0367-0031,nzd0367-0032,nzd0367-0033,nzd0367-0034,nzd0367-0035,nzd0367-0036,nzd0367-0037,nzd0367-0038,nzd0367-0039,nzd0367-0040,nzd0367-0041,nzd0367-0042,nzd0367-0043,nzd0367-0044,nzd0367-0045,nzd0367-0046,nzd0367-0047,nzd0367-0048,nzd0367-0049,nzd0367-0050,nzd0367-0051,nzd0367-0052,nzd0367-0053,nzd0367-0054,nzd0367-0055,nzd0367-0056,nzd0367-0057,nzd0367-0058,nzd0367-0059,nzd0367-0060,nzd0367-0061,nzd0367-0062,nzd0367-0063,nzd0367-0064,nzd0367-0065,nzd0367-0066,nzd0367-0067,nzd0367-0068,nzd0367-0069,nzd0367-0070,nzd0367-0071,nzd0367-0072,nzd0367-0073,nzd0367-0074,nzd0367-0075,nzd0367-0076,nzd0367-0077,nzd0367-0078,nzd0367-0079,nzd0367-0080,nzd0367-0081
1999-08-17 22:12:26+00:00,L7,,,,,,,,,,,,,464.40,463.64,442.14,,,279.85,283.88,290.14,281.03,257.97,254.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.56,255.10,268.33,270.82,,281.32,,257.69,296.70,,,,,,,,,,,
1999-08-26 22:06:20+00:00,L7,403.43,414.84,421.33,427.01,418.31,427.13,421.88,406.09,394.79,387.91,371.80,366.13,350.05,337.53,316.90,293.04,262.91,253.22,241.03,242.72,238.59,238.14,234.23,233.75,241.98,243.78,245.77,254.74,260.78,263.70,264.93,271.39,266.61,252.83,223.23,194.23,173.54,142.66,120.52,96.72,74.28,,,,,,,,,,,,,,,,,,68.83,89.47,105.50,119.98,125.76,134.83,145.68,155.08,167.58,173.94,185.29,196.44,209.20,222.81,239.16,253.00,273.25,286.47,310.00,331.42,360.19,397.47,437.14,471.33
1999-09-18 22:12:27+00:00,L7,444.49,448.57,450.13,447.38,451.33,444.63,419.96,410.19,403.80,404.52,398.01,407.04,426.20,421.60,415.31,412.12,367.67,,265.29,251.20,252.99,252.58,254.75,256.75,257.47,281.99,276.00,270.26,271.76,270.90,279.68,295.20,323.08,325.78,296.80,269.07,211.97,182.02,147.25,124.52,117.08,111.54,96.02,102.65,99.50,70.06,,,,91.79,110.54,105.94,82.72,75.19,79.58,76.12,90.78,92.38,108.34,138.40,157.31,160.27,177.93,193.76,197.43,218.39,224.11,248.66,250.60,258.49,264.50,276.65,272.12,293.67,317.53,336.76,353.51,372.64,419.64,442.41,490.79,516.55
1999-10-13 22:06:24+00:00,L7,438.23,443.44,446.77,446.27,442.28,440.38,414.12,393.13,370.80,380.99,373.86,366.54,367.94,378.46,389.87,394.06,366.48,335.23,305.85,293.34,280.07,263.50,241.57,245.63,250.80,261.32,262.92,263.87,272.53,281.54,281.19,282.16,279.65,283.11,286.61,284.16,264.72,225.63,163.54,114.88,91.50,79.91,86.59,75.32,72.86,74.87,73.08,,,63.97,70.61,79.42,94.67,101.09,91.08,73.12,93.20,105.35,116.46,132.69,158.14,165.31,198.11,183.85,196.67,223.24,219.15,215.66,239.50,239.16,241.53,251.83,270.68,299.91,326.26,364.50,363.10,373.09,398.65,432.05,466.42,509.95
1999-11-21 22:12:24+00:00,L7,376.84,389.55,391.67,402.79,395.83,392.41,369.41,349.59,336.37,320.54,308.62,313.32,315.11,320.13,301.98,292.00,291.67,265.53,241.75,221.70,223.92,220.50,223.51,220.84,211.04,204.00,211.40,226.61,238.66,248.18,239.38,229.63,222.34,215.87,190.55,172.17,161.64,138.57,115.49,77.09,,,,,,,,,,,,,,,,,,,,74.12,83.28,92.88,103.40,121.71,123.96,132.44,135.70,148.33,161.98,172.19,189.00,198.18,223.97,231.82,261.03,283.72,313.91,334.68,362.89,384.86,416.17,448.87
1999-12-07 22:12:29+00:00,L7,373.65,385.65,392.02,389.85,394.27,385.13,369.94,344.95,334.31,319.88,307.97,298.95,306.76,308.05,315.62,304.37,294.40,273.28,253.73,224.83,219.10,215.43,215.10,222.63,212.59,210.81,208.05,218.22,232.61,249.71,242.65,238.93,220.55,213.04,198.39,178.56,156.74,140.54,115.04,89.62,,,,,,,,,,,,,,,,,,,,,82.18,90.93,100.40,101.08,125.76,131.59,143.26,147.70,170.33,168.29,175.55,199.23,207.67,235.57,251.45,272.51,304.38,339.24,360.58,395.02,410.15,437.22
2000-02-09 22:12:19+00:00,L7,484.80,479.46,468.66,445.83,434.80,442.69,448.57,439.52,407.87,362.93,356.77,344.54,347.85,348.29,340.94,343.77,341.70,355.71,367.58,381.32,375.52,364.06,337.07,332.19,328.89,345.43,378.17,336.19,315.51,290.22,298.98,315.98,324.12,321.99,310.74,270.46,284.11,,208.80,198.43,178.56,158.52,141.33,133.41,137.46,136.30,89.51,119.59,118.48,115.82,120.20,120.69,121.82,124.19,106.69,114.84,125.48,146.36,174.54,189.18,189.82,180.99,208.86,217.90,218.75,237.42,243.99,249.16,250.15,281.03,297.71,308.04,325.81,346.01,350.11,340.77,357.06,382.76,418.78,451.88,494.29,540.70
2000-03-12 22:12:09+00:00,L7,525.74,529.78,507.12,489.02,475.66,467.36,464.23,464.90,453.88,407.01,360.06,347.22,339.12,351.78,365.64,373.62,369.98,381.16,391.52,404.91,397.58,403.54,381.20,365.01,368.62,373.65,364.71,362.26,334.01,325.89,318.16,316.92,317.57,333.14,337.25,339.11,322.37,301.73,274.95,245.14,211.16,192.39,165.71,143.82,138.18,126.37,119.37,114.05,108.77,114.04,116.92,112.28,129.85,156.16,158.93,152.77,152.06,157.83,189.26,211.09,222.49,209.57,188.75,205.76,225.57,247.99,264.99,273.49,284.87,296.61,305.58,320.00,342.69,372.40,372.62,372.60,428.18,433.96,452.17,471.47,497.61,538.47
2000-03-21 22:06:01+00:00,L7,404.11,409.63,413.95,410.66,406.48,404.52,394.02,381.04,370.77,347.29,311.44,289.18,288.14,293.06,301.24,306.72,306.67,301.20,296.17,301.66,302.28,297.10,277.51,264.11,250.84,257.68,251.29,256.81,252.34,254.33,251.36,256.98,256.29,252.88,236.68,222.73,204.46,179.81,158.96,128.10,104.64,84.00,,,,,,,,,,,,,,65.85,66.28,71.07,87.62,107.72,122.22,136.82,141.55,154.65,167.12,183.11,182.90,189.15,190.38,204.63,214.46,229.02,240.68,257.30,277.31,305.61,341.22,357.75,387.33,411.77,456.14,482.95
2000-05-24 22:05:22+00:00,L7,498.73,502.79,491.58,473.98,467.85,455.98,425.15,418.90,403.97,396.27,375.00,364.04,348.84,334.70,319.72,317.83,320.01,307.09,299.03,324.93,337.53,361.33,385.64,397.62,397.43,383.83,345.98,321.51,304.69,312.82,305.24,305.27,302.94,295.18,277.16,254.77,245.44,235.17,226.03,217.29,207.94,186.19,171.11,128.47,113.57,95.42,84.62,93.85,76.64,75.08,78.93,70.26,102.27,122.46,153.80,160.79,138.11,142.31,170.82,190.61,192.58,228.69,,252.16,237.21,,,,,,,,,,,,,,424.89,473.65,503.93,523.22
