dates,satname,nzd0055-0000,nzd0055-0001,nzd0055-0002,nzd0055-0003,nzd0055-0004,nzd0055-0005,nzd0055-0006,nzd0055-0007,nzd0055-0008,nzd0055-0009,nzd0055-0010,nzd0055-0011,nzd0055-0012,nzd0055-0013,nzd0055-0014,nzd0055-0015,nzd0055-0016,nzd0055-0017,nzd0055-0018,nzd0055-0019,nzd0055-0020,nzd0055-0021,nzd0055-0022,nzd0055-0023,nzd0055-0024,nzd0055-0025
1999-08-26 22:04:21+00:00,L7,363.88,377.67,369.96,376.80,373.63,375.74,378.99,386.35,395.89,392.93,381.56,373.05,357.83,357.70,353.38,356.23,361.56,354.21,367.48,361.31,371.15,394.88,407.36,388.52,366.44,363.75
1999-09-27 22:04:25+00:00,L7,,,,,99.34,291.81,,,387.49,386.33,375.00,358.39,357.41,349.19,349.82,346.03,337.97,278.94,,336.22,368.75,383.26,390.21,380.68,361.87,358.59
1999-11-14 22:04:18+00:00,L7,364.13,370.41,363.28,367.25,364.99,366.39,377.68,386.16,389.03,389.22,384.43,380.19,362.73,364.95,371.39,364.54,343.11,324.22,314.60,372.58,391.92,397.44,405.76,390.75,372.80,368.16
2000-01-01 22:04:13+00:00,L7,,,,,,,,,,,,,386.47,387.35,387.63,385.69,384.65,407.35,420.55,412.86,418.55,424.37,419.40,410.39,390.07,373.17
2000-04-13 22:09:54+00:00,L7,357.67,349.61,,348.09,352.03,357.11,,365.76,370.19,372.29,374.80,353.68,,,155.15,,,,,,,,,,,
2000-05-24 22:03:22+00:00,L7,369.19,372.90,369.94,373.12,368.17,380.65,385.44,386.81,392.69,389.29,380.14,372.96,361.16,356.72,360.08,374.74,377.22,363.44,316.66,390.01,403.40,401.09,406.10,398.49,386.81,380.02
2000-08-03 22:08:44+00:00,L7,,291.48,,,,,,,,,,,,,,,,,,,,,,,,
2000-08-12 22:02:30+00:00,L7,365.48,376.32,365.77,378.21,,,,,,,,,,,,,,,,142.55,374.25,384.90,394.80,397.98,395.05,361.63
2000-09-20 22:08:03+00:00,L7,368.61,366.50,369.56,371.98,371.94,378.68,378.62,372.95,381.18,384.03,375.58,368.77,346.34,347.65,380.02,370.93,355.05,338.28,362.99,365.10,382.06,383.68,394.12,387.43,372.59,367.57
2001-01-03 22:01:48+00:00,L7,375.81,381.80,389.96,384.30,380.39,388.56,386.04,386.14,395.50,392.69,368.38,357.50,354.51,362.50,369.08,367.70,368.63,361.26,388.56,405.52,395.52,395.43,410.74,397.39,362.26,354.55
2001-03-24 22:01:35+00:00,L7,362.22,360.27,354.86,354.62,357.31,360.64,364.02,377.28,380.93,367.81,357.02,350.36,339.24,337.09,345.01,354.95,355.63,350.88,315.17,364.55,366.89,370.11,378.98,370.60,356.44,335.06
2001-08-15 22:00:14+00:00,L7,394.85,393.60,401.15,405.33,400.68,396.30,393.85,391.91,398.01,393.40,384.97,376.07,369.49,370.21,359.65,362.87,413.48,441.65,449.87,469.06,399.73,389.35,401.51,398.12,373.42,364.11
2001-08-31 22:00:05+00:00,L7,369.97,,,616.54,636.34,649.64,,,,,,,,,,547.01,568.98,558.36,658.68,402.63,553.76,193.16,201.91,,,
2002-01-22 22:00:16+00:00,L7,392.09,388.78,393.79,395.39,400.64,395.75,394.28,393.37,397.46,409.80,397.85,389.47,386.48,366.18,363.90,375.38,393.25,382.72,366.06,430.09,433.82,413.96,402.26,390.47,373.80,372.39
2002-03-27 22:00:13+00:00,L7,360.11,358.98,343.39,347.62,352.03,350.29,363.43,368.41,374.47,375.72,364.48,349.32,342.01,344.43,343.69,338.26,333.65,285.42,333.88,358.38,379.67,389.10,390.45,376.30,356.96,334.46
2002-04-28 22:00:14+00:00,L7,,,,,,,,355.46,365.31,363.90,354.73,345.26,339.33,340.77,337.05,331.19,321.09,,304.53,344.64,365.65,372.55,377.73,363.94,345.34,326.93
2002-07-17 21:59:44+00:00,L7,389.93,383.46,395.84,387.93,387.62,398.05,379.04,386.03,396.54,388.06,388.80,372.93,376.27,,,,,,,,,,,416.16,404.96,378.47
2002-08-18 21:59:33+00:00,L7,392.40,393.59,414.53,401.61,412.17,421.85,377.24,,440.19,,382.75,397.68,369.36,372.44,371.71,356.31,446.38,451.27,448.00,430.36,407.18,170.21,,,,
