dates,nzd0004-0000,nzd0004-0001,nzd0004-0002,nzd0004-0003,nzd0004-0004,nzd0004-0005,nzd0004-0006,nzd0004-0007,nzd0004-0008,nzd0004-0009,nzd0004-0010,nzd0004-0011,nzd0004-0012,nzd0004-0013,nzd0004-0014,nzd0004-0015,nzd0004-0016,nzd0004-0017,nzd0004-0018,nzd0004-0019,nzd0004-0020,nzd0004-0021,nzd0004-0022,nzd0004-0023,nzd0004-0024,nzd0004-0025,nzd0004-0026,nzd0004-0027,nzd0004-0028,nzd0004-0029,nzd0004-0030,nzd0004-0031,nzd0004-0032,nzd0004-0033,nzd0004-0034,nzd0004-0035,nzd0004-0036,nzd0004-0037,nzd0004-0038,nzd0004-0039,nzd0004-0040,nzd0004-0041,nzd0004-0042,nzd0004-0043,nzd0004-0044,nzd0004-0045,nzd0004-0046,nzd0004-0047,nzd0004-0048,nzd0004-0049,nzd0004-0050,nzd0004-0051,nzd0004-0052,nzd0004-0053,nzd0004-0054,nzd0004-0055,nzd0004-0056,nzd0004-0057,nzd0004-0058,nzd0004-0059,nzd0004-0060,nzd0004-0061,nzd0004-0062,nzd0004-0063,nzd0004-0064,nzd0004-0065,nzd0004-0066,nzd0004-0067,nzd0004-0068,nzd0004-0069,nzd0004-0070,nzd0004-0071,nzd0004-0072,nzd0004-0073,nzd0004-0074,nzd0004-0075,nzd0004-0076,nzd0004-0077,nzd0004-0078,nzd0004-0079,nzd0004-0080,nzd0004-0081,nzd0004-0082,nzd0004-0083,satname
1999-10-04 22:10:38+00:00,316.68,312.23,309.59,308.68,305.97,311.28,306.15,309.46,304.19,311.47,318.24,326.45,330.99,336.27,344.71,353.41,360.82,369.32,378.99,381.04,363.68,354.75,353.44,347.04,339.29,330.51,320.79,311.05,306.96,300.47,299.97,299.22,297.21,299.70,301.48,307.73,310.92,314.91,319.35,322.61,330.90,337.13,341.96,348.64,362.77,373.28,388.18,403.11,426.35,444.89,435.74,432.50,425.61,420.21,415.10,412.61,408.54,405.71,407.52,404.47,405.27,395.21,394.23,391.59,397.29,392.94,400.57,404.00,410.28,402.02,375.45,366.51,347.95,334.03,322.28,311.93,314.31,312.42,314.49,321.66,341.33,355.43,373.72,420.66,L7
2000-04-29 22:09:53+00:00,334.88,318.71,323.53,315.01,313.38,312.57,317.75,315.65,312.42,316.21,323.35,321.54,334.72,332.64,348.38,348.21,362.14,370.52,386.29,384.55,369.48,359.08,354.48,350.51,345.74,339.27,327.68,319.89,312.74,307.06,306.20,302.28,299.36,302.42,304.87,313.48,317.27,308.77,299.91,322.91,335.44,337.46,342.83,358.07,367.13,381.15,397.68,415.20,429.04,445.78,434.68,426.99,423.58,418.82,417.77,418.13,418.25,412.39,408.32,406.29,400.86,,,,398.50,399.99,402.97,407.01,411.56,397.19,378.95,364.22,344.18,334.12,325.01,316.62,313.18,315.41,318.67,325.41,340.15,350.35,376.30,398.88,L7
2000-06-16 22:09:26+00:00,335.08,322.73,317.44,311.11,317.09,317.54,322.88,311.39,306.18,312.97,315.30,321.11,327.33,333.58,342.45,347.53,356.14,367.17,386.29,375.69,365.17,356.24,352.56,346.89,340.02,332.37,324.43,313.86,306.50,299.27,295.84,296.31,294.94,293.57,301.68,308.26,311.23,309.85,309.33,319.70,327.19,330.17,336.85,349.60,357.82,370.20,387.63,404.24,422.21,440.96,435.03,428.27,420.21,412.13,411.19,408.44,409.07,407.14,402.19,398.81,395.25,387.97,386.02,373.37,387.28,390.60,396.53,398.30,400.29,381.98,367.25,349.12,334.51,326.52,316.84,311.32,305.49,306.48,318.67,325.41,340.15,350.35,376.30,398.88,L7
2000-08-03 22:08:44+00:00,338.65,329.87,322.82,321.33,324.37,323.05,323.60,313.84,311.67,315.36,316.06,320.74,326.37,334.21,341.44,346.95,355.87,367.83,379.63,374.92,364.21,356.71,349.61,343.93,337.38,328.47,321.71,311.86,305.13,298.43,296.51,295.47,295.53,294.40,298.64,305.60,308.29,308.65,308.97,317.90,325.72,330.83,337.04,349.31,357.83,370.20,387.63,404.24,422.21,440.96,435.03,428.27,420.21,412.13,411.19,408.44,409.07,407.14,402.19,398.81,395.25,387.97,386.02,373.37,387.28,392.80,396.61,398.75,400.78,383.56,367.82,350.08,334.42,326.86,317.03,312.65,305.69,306.71,312.31,324.41,335.44,350.23,371.16,398.76,L7
2000-10-06 22:07:59+00:00,338.65,329.87,322.82,320.89,320.62,319.25,317.73,309.35,309.26,312.12,316.21,325.86,328.52,332.10,336.28,341.94,351.37,364.48,375.37,374.19,364.81,358.57,350.83,343.85,334.00,325.31,319.88,308.60,300.33,295.94,295.77,296.79,296.94,294.12,296.93,303.31,304.75,308.81,312.80,316.57,322.08,331.27,338.52,346.49,354.67,373.29,394.25,406.47,420.90,439.97,432.88,429.10,424.91,414.30,412.91,408.29,408.56,405.62,399.48,398.44,395.01,391.61,388.33,384.45,389.86,392.72,396.16,398.49,401.88,384.14,366.28,350.69,334.48,325.26,314.93,313.48,306.98,305.62,310.98,323.91,336.88,351.10,373.51,398.62,L7
2001-04-16 22:07:42+00:00,325.28,320.61,320.67,314.48,310.46,313.44,316.75,317.02,313.22,313.57,320.46,,,,,,,,,365.67,354.75,342.43,337.23,325.54,318.77,314.54,302.83,294.58,291.89,288.66,284.41,281.10,279.33,281.54,288.49,292.63,294.82,296.12,305.87,308.72,317.27,327.23,332.86,341.94,353.03,371.79,380.15,394.96,413.35,428.53,421.15,412.48,406.92,404.59,398.56,397.19,395.25,392.70,392.79,388.11,387.53,383.33,377.68,378.19,380.46,378.18,384.84,389.89,394.75,382.68,359.09,348.04,325.25,317.16,311.67,306.04,299.09,303.12,295.52,,,,,,L7
2001-06-03 22:07:16+00:00,332.55,325.40,324.22,318.17,314.46,318.17,318.93,317.44,313.00,314.82,318.76,319.58,323.27,329.18,344.16,344.55,353.84,359.24,367.33,363.59,350.94,340.94,335.09,328.99,321.47,316.25,308.83,299.90,295.22,284.79,282.56,282.19,283.64,285.45,290.59,295.32,298.06,299.64,307.50,309.89,317.44,327.72,333.67,341.47,354.61,369.95,381.55,397.48,413.35,428.53,421.15,412.48,406.92,404.59,398.56,397.19,395.25,392.70,392.79,388.11,387.53,384.65,382.77,380.82,383.20,382.25,388.65,393.46,398.56,384.02,362.08,348.03,330.27,320.13,309.43,307.82,302.11,301.69,295.52,,,,,,L7
2001-06-19 22:07:05+00:00,332.35,326.05,325.02,319.36,314.46,317.86,316.91,316.55,312.27,312.94,314.90,314.81,317.93,328.22,337.46,343.38,354.98,361.19,366.41,363.39,349.25,339.01,333.13,328.85,321.23,316.56,308.44,300.12,296.04,285.96,282.88,280.50,282.76,285.95,289.82,294.73,298.01,300.79,307.03,310.27,317.49,324.71,331.13,339.32,351.68,366.88,379.84,397.17,410.64,427.67,419.23,413.39,407.31,403.78,397.12,396.71,392.97,388.61,389.90,387.35,385.33,383.56,382.57,380.46,381.18,382.36,387.13,393.01,397.92,382.63,362.36,346.64,328.63,319.49,307.29,305.69,300.12,300.78,297.38,308.95,323.72,340.87,364.13,396.89,L7
2001-08-22 22:06:23+00:00,332.72,327.53,324.48,319.99,316.09,317.40,315.97,314.74,311.18,311.26,312.13,310.99,313.83,323.47,330.60,336.51,347.84,355.06,361.23,358.23,347.13,338.23,331.16,327.11,317.98,312.55,305.25,297.77,292.73,285.16,282.30,279.07,281.70,284.15,287.89,291.66,295.67,300.35,305.26,308.71,314.34,321.75,329.69,337.94,350.26,363.91,377.82,394.82,409.26,425.04,416.12,410.79,404.67,402.16,397.50,394.89,391.48,387.53,387.63,386.70,385.08,383.83,382.75,379.46,378.07,379.91,382.92,391.62,396.33,379.36,358.98,343.44,325.27,316.69,306.25,303.14,298.91,299.44,294.02,301.59,318.98,340.87,364.13,391.81,L7
2001-12-28 22:06:14+00:00,335.16,332.42,318.73,317.59,314.39,312.13,309.24,312.87,312.88,313.92,310.28,306.87,316.22,321.67,322.40,328.15,334.45,351.50,362.02,352.45,344.67,342.90,331.55,330.45,316.71,306.01,300.63,294.44,291.67,285.43,279.98,280.25,277.67,277.42,284.45,287.26,289.88,302.82,304.82,306.53,312.88,320.41,327.88,334.87,345.82,358.24,371.43,390.74,406.52,423.32,415.43,408.25,403.51,403.85,401.76,393.79,391.60,389.96,386.82,385.09,382.41,382.90,383.42,381.03,377.16,379.69,379.11,390.49,393.50,373.09,355.75,337.99,322.86,312.66,306.51,299.71,299.49,298.44,296.38,302.14,315.93,344.72,370.10,387.10,L7
