dates,nzd0004-0000,nzd0004-0001,nzd0004-0002,nzd0004-0003,nzd0004-0004,nzd0004-0005,nzd0004-0006,nzd0004-0007,nzd0004-0008,nzd0004-0009,nzd0004-0010,nzd0004-0011,nzd0004-0012,nzd0004-0013,nzd0004-0014,nzd0004-0015,nzd0004-0016,nzd0004-0017,nzd0004-0018,nzd0004-0019,nzd0004-0020,nzd0004-0021,nzd0004-0022,nzd0004-0023,nzd0004-0024,nzd0004-0025,nzd0004-0026,nzd0004-0027,nzd0004-0028,nzd0004-0029,nzd0004-0030,nzd0004-0031,nzd0004-0032,nzd0004-0033,nzd0004-0034,nzd0004-0035,nzd0004-0036,nzd0004-0037,nzd0004-0038,nzd0004-0039,nzd0004-0040,nzd0004-0041,nzd0004-0042,nzd0004-0043,nzd0004-0044,nzd0004-0045,nzd0004-0046,nzd0004-0047,nzd0004-0048,nzd0004-0049,nzd0004-0050,nzd0004-0051,nzd0004-0052,nzd0004-0053,nzd0004-0054,nzd0004-0055,nzd0004-0056,nzd0004-0057,nzd0004-0058,nzd0004-0059,nzd0004-0060,nzd0004-0061,nzd0004-0062,nzd0004-0063,nzd0004-0064,nzd0004-0065,nzd0004-0066,nzd0004-0067,nzd0004-0068,nzd0004-0069,nzd0004-0070,nzd0004-0071,nzd0004-0072,nzd0004-0073,nzd0004-0074,nzd0004-0075,nzd0004-0076,nzd0004-0077,nzd0004-0078,nzd0004-0079,nzd0004-0080,nzd0004-0081,nzd0004-0082,nzd0004-0083,satname
1999-10-04 22:10:38+00:00,316.68,312.23,309.59,308.68,305.97,311.28,306.15,309.46,304.19,311.47,318.24,326.45,330.99,336.27,344.05,353.41,360.82,368.79,378.40,380.80,363.02,354.16,352.97,346.51,338.82,329.69,319.79,310.62,306.53,299.88,299.44,298.63,296.55,299.17,300.48,306.73,309.92,314.38,318.35,322.08,330.37,336.54,341.30,348.05,362.24,372.81,387.18,402.58,425.82,443.99,434.74,431.33,424.87,419.62,415.10,412.26,408.19,405.71,407.52,404.47,405.27,395.21,394.23,390.84,396.86,392.94,400.57,404.00,409.69,401.43,375.45,366.51,347.95,334.03,323.03,311.93,314.31,312.42,314.49,321.66,340.18,355.43,373.72,420.66,L7
2000-04-29 22:09:53+00:00,334.88,318.71,323.53,315.01,313.38,312.57,317.75,315.65,312.42,316.21,323.35,321.54,334.72,332.64,347.91,348.21,362.14,370.15,385.87,384.38,369.01,358.66,354.14,350.14,345.40,338.69,326.97,319.59,312.44,306.64,305.83,301.86,298.89,302.05,304.16,312.77,316.56,308.40,299.20,322.54,335.07,337.04,342.36,357.65,366.76,380.81,396.97,414.83,428.67,445.14,433.97,426.16,423.05,418.40,417.77,417.88,418.00,412.39,408.32,406.29,400.86,,,,398.20,399.99,402.97,407.01,411.14,396.77,378.95,364.22,344.18,334.12,325.54,316.62,313.18,315.41,318.67,325.41,339.33,350.35,376.30,398.88,L7
2000-06-16 22:09:26+00:00,335.28,326.74,311.36,307.20,320.80,322.51,328.02,307.14,299.94,309.73,307.24,320.67,319.93,334.53,336.76,346.86,350.14,364.02,,366.92,361.10,353.60,350.82,343.47,334.47,325.76,321.54,307.97,300.42,291.68,285.67,290.54,290.76,284.91,298.84,303.41,305.54,311.12,319.10,316.67,319.12,323.09,331.11,341.32,348.70,359.42,377.95,393.47,415.56,436.46,435.74,429.97,417.11,405.64,404.61,398.89,400.03,401.89,396.07,391.33,389.64,387.97,386.02,373.64,376.22,381.21,390.09,389.59,389.22,366.96,355.55,334.02,324.85,318.93,308.39,306.03,297.80,297.55,,,,,,,L7
2000-08-03 22:08:44+00:00,345.80,344.15,333.56,341.78,338.92,334.08,325.04,318.72,322.64,320.13,317.60,320.02,324.45,335.46,340.13,345.77,355.32,369.70,373.61,373.63,363.02,358.28,344.22,338.58,332.63,321.57,317.37,308.34,302.86,297.39,298.42,294.44,297.42,296.62,293.65,301.37,303.52,306.81,309.36,314.87,323.37,332.77,338.14,349.38,358.42,,,,,,,,,,,,,,,,,,,,,397.19,396.77,399.64,402.40,387.36,368.96,351.99,334.24,327.54,316.60,315.29,306.10,307.16,305.95,323.41,331.97,350.11,366.03,398.65,L7
2000-10-06 22:07:59+00:00,,,,319.58,309.36,307.84,300.09,295.89,302.03,302.43,316.65,341.19,335.00,325.78,320.42,326.91,337.86,354.12,366.49,371.84,366.20,363.81,354.21,343.29,323.58,315.34,313.80,298.57,285.66,288.11,293.22,300.39,300.78,292.97,291.19,295.83,293.51,308.96,323.67,312.26,310.83,332.25,342.55,337.68,344.86,379.19,406.87,410.61,417.97,437.45,427.98,430.07,433.87,418.29,416.34,407.77,407.31,402.59,394.05,397.70,394.54,395.25,390.65,395.08,394.75,392.50,394.83,397.70,404.81,385.54,361.65,352.55,334.63,320.47,309.06,315.99,310.82,302.36,308.32,322.91,339.08,352.83,378.19,398.34,L7
2001-04-16 22:07:42+00:00,325.28,320.61,320.67,314.48,310.46,313.44,316.75,317.02,313.22,313.57,320.46,,,,,,,,,365.55,354.42,342.14,336.99,325.28,318.53,314.13,302.33,294.37,291.68,288.37,284.15,280.81,279.00,281.28,287.99,292.13,294.32,295.86,305.37,308.46,317.01,326.94,332.52,341.65,352.77,371.55,379.65,394.70,413.09,428.08,420.65,411.89,406.54,404.30,398.56,397.01,395.07,392.70,392.79,388.11,387.53,383.33,377.68,377.81,380.25,378.18,384.84,389.89,394.46,382.39,359.09,348.04,325.25,317.16,312.05,306.04,299.09,303.12,295.52,,,,,,L7
2001-06-03 22:07:16+00:00,339.82,330.19,327.77,321.86,318.46,322.90,321.11,317.87,312.78,316.07,317.07,319.58,323.27,329.18,343.84,344.55,353.84,358.98,367.04,361.38,346.81,339.17,332.71,332.18,323.94,317.56,314.34,305.01,298.33,280.63,280.44,282.98,287.63,289.10,292.20,297.53,300.82,302.91,308.63,310.81,317.36,327.92,334.15,340.70,355.93,367.87,382.47,399.73,,,,,,,,,,,,,,385.97,387.87,383.08,385.74,386.32,392.47,397.03,402.07,385.07,365.08,348.02,335.30,323.11,307.55,309.60,305.12,300.27,,,,,,,L7
2001-06-19 22:07:05+00:00,331.94,327.36,326.61,321.73,314.45,317.24,312.88,314.75,310.81,309.18,307.16,310.05,312.59,327.26,330.48,342.20,356.11,362.92,365.24,362.91,345.58,334.90,329.02,328.35,320.54,316.83,307.24,300.37,297.52,288.04,283.30,276.88,280.71,286.73,287.85,293.12,297.49,302.85,305.69,310.79,317.37,318.45,325.79,334.79,345.59,360.56,375.99,396.33,407.71,426.44,416.88,413.81,407.39,402.73,395.68,396.07,390.53,384.52,387.02,386.58,383.14,381.39,382.17,379.43,376.95,382.59,384.07,392.11,396.41,379.59,362.92,343.85,325.33,318.21,303.35,301.44,296.15,298.96,299.23,308.95,323.24,340.87,364.13,396.89,L7
2001-08-22 22:06:23+00:00,333.83,331.97,322.85,321.87,321.01,316.02,313.13,309.31,307.90,306.21,303.84,303.34,305.62,313.98,317.67,322.79,333.57,343.41,351.55,343.01,341.55,336.55,325.79,322.50,308.78,301.46,296.86,291.25,283.27,283.46,281.19,275.47,279.31,279.39,283.31,283.64,289.81,299.66,301.11,304.66,305.51,313.56,326.14,334.50,346.63,355.55,372.93,388.39,407.11,420.84,411.09,406.96,400.25,399.61,398.25,391.67,388.94,385.37,383.08,385.42,384.56,384.62,383.27,377.34,369.24,372.55,370.29,387.47,392.24,370.24,348.82,333.84,315.20,308.27,302.25,295.48,295.28,295.42,287.31,294.23,315.59,,,386.72,L7
2001-12-28 22:06:14+00:00,336.50,332.86,314.61,313.30,307.78,308.25,305.35,316.42,317.85,321.63,316.73,310.40,326.82,329.36,327.91,333.51,335.33,360.20,373.16,362.16,348.57,349.92,337.86,339.02,325.18,311.51,305.56,298.12,300.57,288.07,279.38,285.71,276.80,276.07,286.76,292.04,291.11,306.59,309.69,309.02,320.86,327.94,330.39,335.90,345.62,361.47,371.08,393.69,406.54,426.84,420.93,410.90,407.63,408.76,405.27,396.33,394.66,394.55,390.57,384.75,380.27,381.19,383.57,385.58,385.58,386.83,387.93,393.51,395.44,376.61,362.69,342.13,330.52,317.06,309.91,303.94,303.69,301.46,305.44,310.05,317.60,344.72,370.10,387.47,L7
