dates,satname,nzd0004-0000,nzd0004-0001,nzd0004-0002,nzd0004-0003,nzd0004-0004,nzd0004-0005,nzd0004-0006,nzd0004-0007,nzd0004-0008,nzd0004-0009,nzd0004-0010,nzd0004-0011,nzd0004-0012,nzd0004-0013,nzd0004-0014,nzd0004-0015,nzd0004-0016,nzd0004-0017,nzd0004-0018,nzd0004-0019,nzd0004-0020,nzd0004-0021,nzd0004-0022,nzd0004-0023,nzd0004-0024,nzd0004-0025,nzd0004-0026,nzd0004-0027,nzd0004-0028,nzd0004-0029,nzd0004-0030,nzd0004-0031,nzd0004-0032,nzd0004-0033,nzd0004-0034,nzd0004-0035,nzd0004-0036,nzd0004-0037,nzd0004-0038,nzd0004-0039,nzd0004-0040,nzd0004-0041,nzd0004-0042,nzd0004-0043,nzd0004-0044,nzd0004-0045,nzd0004-0046,nzd0004-0047,nzd0004-0048,nzd0004-0049,nzd0004-0050,nzd0004-0051,nzd0004-0052,nzd0004-0053,nzd0004-0054,nzd0004-0055,nzd0004-0056,nzd0004-0057,nzd0004-0058,nzd0004-0059,nzd0004-0060,nzd0004-0061,nzd0004-0062,nzd0004-0063,nzd0004-0064,nzd0004-0065,nzd0004-0066,nzd0004-0067,nzd0004-0068,nzd0004-0069,nzd0004-0070,nzd0004-0071,nzd0004-0072,nzd0004-0073,nzd0004-0074,nzd0004-0075,nzd0004-0076,nzd0004-0077,nzd0004-0078,nzd0004-0079,nzd0004-0080,nzd0004-0081,nzd0004-0082,nzd0004-0083
1999-10-04 22:10:38+00:00,L7,336.68,334.73,327.59,328.68,328.47,331.28,324.15,324.46,320.55,325.32,329.49,335.92,339.99,347.52,355.30,363.41,370.82,378.79,388.99,387.47,374.27,364.75,362.44,356.51,348.29,338.69,329.79,319.62,315.53,310.47,309.44,309.22,307.80,309.17,310.48,316.73,319.92,324.38,328.35,332.08,340.37,347.13,352.55,358.64,372.24,382.28,397.18,412.58,435.82,453.46,444.74,440.33,433.44,430.21,426.35,420.44,416.37,413.89,416.09,416.47,415.86,408.07,407.09,402.84,405.86,404.19,409.57,414.00,420.28,412.02,386.04,377.10,359.20,346.89,334.28,325.78,328.16,324.42,327.35,334.52,355.18,370.43,386.58,433.52
2000-04-29 22:09:53+00:00,L7,349.10,334.71,336.33,329.23,329.38,326.79,330.55,326.32,324.06,326.06,331.35,328.28,341.12,340.64,355.91,355.32,369.25,377.26,393.40,389.12,377.01,366.19,360.88,357.25,352.14,345.09,334.08,325.99,318.84,314.17,312.94,309.39,306.89,309.16,311.27,319.88,323.67,315.51,306.31,329.65,342.18,344.57,350.36,365.18,373.87,387.55,404.08,421.94,435.78,451.88,441.08,432.56,429.15,425.93,425.77,423.70,423.82,418.21,414.42,414.82,408.39,,,,404.60,407.99,409.37,414.12,418.67,404.30,386.48,371.75,352.18,343.26,333.54,326.47,323.03,323.94,327.81,334.55,350.00,361.02,385.44,408.02
2000-06-16 22:09:26+00:00,L7,328.17,318.74,304.96,300.09,312.80,315.40,321.62,301.81,294.12,304.81,303.24,317.30,316.73,330.53,332.76,343.30,346.58,360.46,,364.55,357.10,349.84,347.45,339.91,331.10,322.56,317.98,304.77,297.22,287.92,282.11,286.78,286.76,281.35,295.28,299.85,301.98,307.56,315.54,313.11,315.56,319.33,327.11,337.56,345.14,356.05,374.39,389.91,412.00,433.09,432.18,426.77,414.06,401.88,400.61,395.98,397.12,398.98,393.02,387.06,385.88,383.40,381.45,369.37,373.02,377.21,386.89,386.03,385.46,363.20,351.79,330.26,320.85,314.36,304.39,301.11,292.88,293.28,,,,,,
2000-08-03 22:08:44+00:00,L7,324.02,319.65,313.96,320.00,314.42,312.30,305.44,302.39,304.82,305.05,305.35,309.70,314.65,323.21,327.88,334.88,344.43,358.81,362.08,366.37,350.77,346.75,333.90,327.69,322.31,311.77,306.48,298.54,293.06,285.86,287.53,282.91,285.17,285.73,282.76,290.48,292.63,295.92,298.47,303.98,312.48,321.24,325.89,337.85,347.53,,,,,,,,,,,,,,,,,,,,,384.94,386.97,388.75,390.87,375.83,357.43,340.46,321.99,313.54,304.35,300.21,291.02,294.09,291.95,309.41,315.64,333.78,352.03,384.65
2000-10-06 22:07:59+00:00,L7,,,,331.58,322.86,319.84,310.89,304.89,311.85,310.74,323.40,346.87,340.40,332.53,327.17,332.91,343.86,360.12,372.84,375.84,372.95,370.16,359.89,349.29,329.26,320.74,319.80,303.97,291.06,294.46,299.22,306.74,307.53,298.97,297.19,301.83,299.51,314.96,329.67,318.26,316.83,338.60,349.30,344.03,350.86,384.87,412.87,416.61,423.97,443.13,433.98,435.47,439.01,424.64,423.09,412.68,412.22,407.50,399.19,404.90,400.89,402.96,398.36,402.28,400.15,399.25,400.23,403.70,411.16,391.89,368.00,358.90,341.38,328.18,315.81,324.30,319.13,309.56,316.03,330.62,348.08,361.83,385.90,406.05
2001-04-16 22:07:42+00:00,L7,335.28,331.86,329.67,324.48,321.71,323.44,325.75,324.52,321.40,320.49,326.09,,,,,,,,,368.88,360.04,347.43,341.73,330.28,323.27,318.63,307.33,298.87,296.18,293.66,289.15,286.10,284.62,286.28,292.99,297.13,299.32,300.86,310.37,313.46,322.01,332.23,338.15,346.94,357.77,376.29,384.65,399.70,418.09,432.82,425.65,416.39,410.83,409.59,404.19,401.10,399.16,396.79,397.08,394.11,392.82,389.76,384.11,383.81,384.75,383.80,389.34,394.89,399.75,387.68,364.38,353.33,330.87,323.59,317.67,312.96,306.01,309.12,301.95,,,,,
2001-06-03 22:07:16+00:00,L7,349.60,341.19,336.57,331.64,329.46,332.68,329.91,325.20,320.78,322.84,322.57,324.21,327.67,334.68,349.34,349.44,358.73,363.87,372.22,364.64,352.31,344.35,337.34,337.07,328.57,321.96,319.23,309.41,302.73,285.81,285.33,288.16,293.13,293.99,297.09,302.42,305.71,307.80,313.52,315.70,322.25,333.10,339.65,345.88,360.82,372.50,387.36,404.62,,,,,,,,,,,,,,392.26,394.16,388.95,390.14,391.82,396.87,401.92,407.25,390.25,370.26,353.20,340.80,329.40,313.05,316.37,311.89,306.14,,,,,,
2001-06-19 22:07:05+00:00,L7,340.38,336.86,334.21,330.17,323.95,325.68,320.48,321.08,317.72,315.03,311.91,314.05,316.39,332.01,335.23,346.42,360.33,367.14,369.71,365.72,350.33,339.37,333.02,332.57,324.54,320.63,311.46,304.17,301.32,292.51,287.52,281.35,285.46,290.95,292.07,297.34,301.71,307.07,309.91,315.01,321.59,322.92,330.54,339.26,349.81,364.56,380.21,400.55,411.93,430.44,421.10,417.61,411.01,407.20,400.43,399.52,393.98,387.97,390.64,391.65,387.61,386.82,387.60,384.50,380.75,387.34,387.87,396.33,400.88,384.06,367.39,348.32,330.08,323.64,308.10,307.29,302.00,304.03,304.66,314.38,329.57,347.20,369.56,402.32
2001-08-22 22:06:23+00:00,L7,310.27,305.47,301.65,298.31,294.51,292.46,291.93,291.64,288.63,289.90,290.59,292.18,295.02,300.73,304.42,311.01,321.79,331.63,339.08,335.16,328.30,324.08,314.63,310.72,297.62,290.86,285.08,280.65,272.67,270.99,269.41,263.00,266.06,267.61,271.53,271.86,278.03,287.88,289.33,292.88,293.73,301.09,312.89,322.03,334.85,344.39,361.15,376.61,395.33,409.68,399.31,396.36,390.15,387.14,385.00,382.03,379.30,375.73,372.98,371.29,372.09,369.48,368.13,363.21,358.64,359.30,359.69,375.69,379.77,357.77,336.35,321.37,301.95,293.13,289.00,279.17,278.97,281.29,272.17,279.09,297.92,,,371.58
2001-12-28 22:06:14+00:00,L7,336.94,333.36,315.01,313.74,308.28,308.69,305.75,316.75,318.21,321.94,316.98,310.61,327.02,329.61,328.16,333.73,335.55,360.42,373.40,362.31,348.82,350.16,338.07,339.24,325.39,311.71,305.78,298.32,300.77,288.31,279.60,285.95,277.05,276.29,286.98,292.26,291.33,306.81,309.91,309.24,321.08,328.18,330.64,336.14,345.84,361.68,371.30,393.91,406.76,427.05,421.15,411.10,407.82,409.00,405.52,396.51,394.84,394.73,390.76,385.02,380.51,381.48,383.86,385.85,385.78,387.08,388.13,393.73,395.68,376.85,362.93,342.37,330.77,317.35,310.16,304.25,304.00,301.73,305.73,310.34,317.93,345.05,370.39,387.76
