dates,nzd0176-0000,nzd0176-0001,nzd0176-0002,nzd0176-0003,nzd0176-0004,nzd0176-0005,nzd0176-0006,nzd0176-0007,nzd0176-0008,nzd0176-0009,nzd0176-0010,nzd0176-0011,nzd0176-0012,nzd0176-0013,nzd0176-0014,nzd0176-0015,nzd0176-0016,nzd0176-0017,nzd0176-0018,nzd0176-0019,nzd0176-0020,nzd0176-0021,nzd0176-0022,nzd0176-0023,nzd0176-0024,nzd0176-0025,nzd0176-0026,nzd0176-0027,nzd0176-0028,nzd0176-0029,nzd0176-0030,nzd0176-0031,nzd0176-0032,nzd0176-0033,nzd0176-0034,nzd0176-0035,nzd0176-0036,nzd0176-0037,nzd0176-0038,nzd0176-0039,nzd0176-0040,nzd0176-0041,satname
1999-07-18 21:58:49+00:00,,,,,,,,,,,361.77,359.04,363.76,364.85,360.09,362.11,,,372.37,372.60,381.28,,,377.17,,,,382.46,373.38,381.87,370.49,,,,,,,369.81,376.78,377.69,391.16,,L7
1999-09-20 21:58:32+00:00,,370.21,365.72,360.50,,,415.97,,378.60,373.38,368.27,364.71,367.62,372.67,374.06,374.77,385.60,387.49,380.75,380.32,392.37,418.43,412.57,375.07,375.18,388.06,395.03,385.89,378.02,383.21,379.83,379.82,375.81,381.93,391.96,389.49,382.88,379.16,383.74,377.07,381.42,357.03,L7
1999-10-22 21:58:28+00:00,332.94,351.17,352.10,344.51,326.18,,406.63,,367.54,366.52,365.99,363.13,365.43,369.35,373.76,375.17,379.28,379.45,378.38,382.94,393.65,414.91,408.23,376.90,370.53,387.78,389.44,384.35,381.34,382.11,381.39,375.03,375.99,381.12,391.93,386.93,381.29,379.23,381.52,372.43,373.39,346.72,L7
1999-12-09 21:58:57+00:00,331.75,345.01,346.91,342.15,332.49,329.66,406.63,355.96,366.88,366.69,367.81,363.14,366.14,369.86,372.64,373.57,373.78,375.37,376.02,379.51,388.31,390.56,392.61,376.50,372.65,383.40,384.97,382.96,379.06,380.27,377.97,372.65,374.30,380.15,388.92,384.56,379.96,378.94,381.73,372.61,373.37,349.76,L7
2000-02-27 21:58:40+00:00,334.90,343.50,342.88,339.80,333.50,328.47,406.63,362.83,365.60,367.92,369.38,363.13,365.51,368.93,374.36,375.23,372.53,373.04,374.65,379.93,387.50,383.38,386.64,375.35,373.81,383.14,384.12,383.36,381.00,380.06,377.78,371.71,373.79,379.58,388.00,383.69,379.42,381.78,383.38,370.92,367.43,351.50,L7
2000-03-14 21:58:11+00:00,341.03,342.10,341.68,339.00,333.50,328.47,398.36,371.66,365.17,366.77,367.67,360.96,364.02,367.24,373.49,374.47,372.74,372.43,373.29,379.40,385.65,385.09,387.62,375.03,374.14,382.57,383.03,383.36,382.52,380.14,377.41,372.09,373.98,379.85,387.52,382.83,379.29,381.08,382.21,371.84,368.52,351.63,L7
2000-03-30 21:58:09+00:00,342.65,336.68,338.27,336.70,338.14,332.27,389.56,370.38,362.51,365.02,365.17,358.38,361.60,363.50,370.55,372.42,370.71,369.65,370.49,377.62,381.73,379.96,383.11,375.65,376.82,382.65,382.45,383.29,384.82,380.00,375.47,371.24,373.95,380.32,387.69,382.68,380.20,380.60,381.72,374.51,369.21,351.61,L7
2000-05-01 21:57:54+00:00,350.42,341.94,340.91,340.22,342.13,332.27,389.30,370.38,366.23,367.57,366.25,359.85,363.43,365.33,372.39,373.62,370.77,371.12,370.89,376.87,382.30,381.76,385.47,382.47,382.47,385.59,386.17,385.51,386.43,380.11,374.45,371.72,373.76,381.12,388.64,385.06,383.01,383.93,387.42,383.50,376.06,355.61,L7
2000-08-05 21:56:44+00:00,348.30,340.64,340.04,339.98,343.60,334.18,376.17,370.40,363.55,363.24,361.72,355.35,360.37,360.73,367.46,372.13,369.07,368.73,368.58,375.08,378.96,386.05,391.49,377.24,378.38,383.75,385.46,383.34,385.99,378.88,373.19,370.44,373.09,380.48,387.58,382.63,379.94,380.41,382.49,380.37,372.55,353.99,L7
2001-01-12 21:56:06+00:00,320.17,330.92,336.97,343.25,347.62,344.55,357.25,368.38,358.04,355.05,359.09,354.16,357.13,353.69,352.51,363.88,357.42,357.61,356.67,363.77,361.11,362.50,,353.51,360.98,368.26,368.79,369.50,366.43,367.73,363.98,361.27,368.26,375.56,376.36,370.65,367.11,365.35,370.36,367.43,363.30,354.21,L7
