dates,nzd0176-0000,nzd0176-0001,nzd0176-0002,nzd0176-0003,nzd0176-0004,nzd0176-0005,nzd0176-0006,nzd0176-0007,nzd0176-0008,nzd0176-0009,nzd0176-0010,nzd0176-0011,nzd0176-0012,nzd0176-0013,nzd0176-0014,nzd0176-0015,nzd0176-0016,nzd0176-0017,nzd0176-0018,nzd0176-0019,nzd0176-0020,nzd0176-0021,nzd0176-0022,nzd0176-0023,nzd0176-0024,nzd0176-0025,nzd0176-0026,nzd0176-0027,nzd0176-0028,nzd0176-0029,nzd0176-0030,nzd0176-0031,nzd0176-0032,nzd0176-0033,nzd0176-0034,nzd0176-0035,nzd0176-0036,nzd0176-0037,nzd0176-0038,nzd0176-0039,nzd0176-0040,nzd0176-0041,satname
1999-07-18 21:58:49+00:00,,,,,,,463.59,,,,366.06,362.45,366.07,368.26,363.30,364.49,,,373.23,373.15,380.26,,,382.88,,,,382.46,380.15,383.75,372.81,,,,,,,371.00,377.89,381.10,395.97,,L7
1999-09-20 21:58:32+00:00,,369.32,360.63,358.75,,,424.14,,378.60,369.30,370.58,367.03,369.23,377.14,384.89,385.11,382.80,386.32,388.30,387.50,404.46,419.80,414.90,367.37,371.29,386.02,392.39,389.32,376.02,382.71,386.90,379.59,375.81,381.39,388.46,388.07,382.01,387.34,389.61,373.12,366.96,355.94,L7
1999-10-22 21:58:28+00:00,324.20,330.94,331.61,326.17,323.82,,408.29,,356.47,354.17,355.77,355.48,357.98,358.21,368.90,372.82,369.19,369.84,372.51,387.46,397.57,413.25,407.02,373.03,360.64,384.75,380.31,381.26,379.05,377.42,381.45,369.94,376.17,379.58,387.19,382.47,378.53,377.81,375.60,358.65,350.98,334.94,L7
1999-12-09 21:58:57+00:00,337.85,333.69,342.24,339.38,340.76,320.49,,350.46,365.57,371.59,377.95,366.93,370.84,375.14,372.81,371.40,365.91,368.52,369.89,369.84,371.18,340.30,358.76,381.60,381.25,376.95,378.99,378.81,379.64,376.82,370.25,368.15,370.93,378.82,386.83,381.41,378.28,379.37,383.58,376.90,378.59,357.06,L7
2000-02-27 21:58:40+00:00,340.66,338.90,330.40,332.61,335.39,327.95,,370.11,361.75,371.27,367.74,358.73,361.04,360.89,366.70,368.57,368.56,365.95,366.81,374.19,378.12,361.97,368.93,372.08,376.95,382.19,381.34,384.04,380.60,380.89,369.55,368.87,372.23,377.81,384.94,380.97,377.72,381.06,,,,356.61,L7
2000-03-14 21:58:11+00:00,354.92,335.87,333.32,334.59,,,387.50,392.70,363.48,359.37,357.90,349.95,356.47,358.12,367.86,369.77,371.63,369.20,367.25,376.95,378.93,392.89,393.14,369.89,372.77,378.88,376.84,383.39,383.99,379.19,374.37,373.42,374.74,380.59,383.19,378.39,378.15,377.47,377.96,372.28,368.53,351.43,L7
2000-03-30 21:58:09+00:00,343.15,342.28,343.99,347.39,350.46,347.38,,371.05,365.28,360.88,358.42,354.40,357.33,358.73,370.42,375.06,372.91,372.51,374.36,378.65,384.78,394.04,392.17,370.90,385.01,386.57,389.69,388.97,388.08,382.17,377.40,375.38,375.69,383.75,389.57,387.43,386.64,385.03,387.72,384.07,370.09,355.90,L7
2000-05-01 21:57:54+00:00,363.33,357.28,345.06,343.83,,,407.44,,375.09,367.09,361.34,362.97,367.21,367.48,378.26,378.92,369.59,377.24,374.54,383.68,400.39,422.18,418.71,407.35,389.06,399.52,399.03,392.35,387.38,378.05,376.42,372.33,375.22,383.60,392.12,394.43,392.62,394.53,398.44,394.76,378.55,354.99,L7
2000-08-05 21:56:44+00:00,326.84,327.14,337.59,338.10,345.06,326.72,341.24,350.86,352.14,349.70,355.07,344.21,355.42,351.94,347.93,363.79,357.25,356.48,358.32,360.89,354.56,361.81,,355.12,360.55,367.63,375.26,367.94,377.02,370.53,363.81,361.76,367.59,375.61,381.32,369.18,362.89,361.70,363.83,364.16,364.28,348.91,L7
2001-01-12 21:56:06+00:00,334.81,337.63,353.07,354.14,355.93,335.54,346.41,369.79,363.95,373.81,376.91,375.09,366.27,366.41,367.42,371.63,366.80,362.58,357.78,368.43,364.35,358.69,,370.30,374.19,375.61,371.00,371.07,377.66,370.98,371.60,361.55,368.94,377.28,382.90,376.77,374.20,372.83,380.47,381.68,377.81,363.09,L7
