,dates,jap0190-0000,jap0190-0001,jap0190-0002,jap0190-0003,jap0190-0004,jap0190-0005,jap0190-0006,jap0190-0007,jap0190-0008,jap0190-0009,jap0190-0010,jap0190-0011
0,1984-08-16 00:46:00+00:00,174.05813575676447,178.10691332298842,174.86340949846658,171.39260652764875,169.72115924285632,167.17370407235546,164.50511251624474,154.13800610169295,150.06082428625757,143.28127667719951,150.53797288747933,153.10417544585772
1,1984-11-04 00:46:10+00:00,181.09800310353987,177.79761585996891,178.60112340889208,174.93507832729046,172.76705631767632,170.1958664863504,165.25351695649476,163.59852267721087,158.69670690474953,153.5673200361772,154.11724092231532,155.01893945572982
2,1985-01-07 00:46:30+00:00,171.53958387733525,167.69757418487998,170.8799457050996,170.47555448305067,166.026227450548,164.492639741024,167.96986668844005,149.50523553432384,146.81347873492533,151.04667267971115,145.32434859135174,138.9234993629436
3,1985-12-09 00:44:17+00:00,171.58138502959497,168.05385185592073,168.56543169752908,166.38727377488084,163.84746683771164,164.3951792045458,161.16380055277904,153.0231752801545,147.96874609186096,142.02267021664647,142.77582359029117,139.9586742785654
4,1986-01-10 00:43:42+00:00,173.95523290452468,172.05607035128443,170.8345422216464,161.85813939895309,160.8746303805952,166.37535823624572,165.61603029524804,157.25892844992637,152.0997643598331,147.03268423265754,145.61620264682864,153.55684828355314
5,1986-11-10 00:34:53+00:00,169.193416233489,175.388698975851,173.24235374802169,169.32593300301465,164.00454840263006,164.99002379528773,161.3679958560775,158.98689887009675,152.38070069594318,148.29501494818066,149.3969228213476,152.68250234518538
6,1987-01-13 00:35:52+00:00,145.35325121175532,154.22169513269904,154.24123709845725,152.11791851307305,147.32426598867605,145.22636955807678,144.81450705768344,142.950958593612,135.33822002404324,133.2532547838221,135.50059360195382,140.00969659111973
7,1987-02-14 00:36:58+00:00,151.93092969268656,155.29704740518608,153.60759337807298,150.63665230956423,153.38249850476208,151.1589570242735,147.51693115157136,143.63211665288858,140.9836214577126,139.72789736249558,141.80962737971498,140.2889864625226
8,1987-03-18 00:38:11+00:00,175.09550862958855,174.63405407783617,168.79172145055466,150.47995809573416,153.5352010852883,162.5117794013662,156.53031712397745,154.6109879889368,156.59404103202257,152.12098088071025,149.77898094043994,112.1793779442768
9,1987-04-19 00:39:16+00:00,161.35816348029056,157.98977544572148,159.19700524781902,151.93389481903404,,151.43200261328425,149.4819074536053,149.05915264111957,139.7012743706981,137.2234182001943,139.82096613667508,124.54600094834993
10,1987-05-05 00:39:45+00:00,175.8656340303394,168.76835510006927,167.91006324573704,162.75701335394058,158.76931175042785,160.3484630124903,162.0935842184859,155.05157375603892,149.98842565995935,149.03001240040282,148.7979757077763,139.65744703744133
