,dates,nzd0402-0000,nzd0402-0001,nzd0402-0002,nzd0402-0003,nzd0402-0004,nzd0402-0005,nzd0402-0006,nzd0402-0007,nzd0402-0008,nzd0402-0009,nzd0402-0010,nzd0402-0011,nzd0402-0012,nzd0402-0013,nzd0402-0014,nzd0402-0015,nzd0402-0016,nzd0402-0017,nzd0402-0018,nzd0402-0019,nzd0402-0020,nzd0402-0021,nzd0402-0022,nzd0402-0023,nzd0402-0024,nzd0402-0025,nzd0402-0026,nzd0402-0027,nzd0402-0028,nzd0402-0029,nzd0402-0030
0,1999-09-04 22:00:33+00:00,122.85067667882899,118.93893547086324,125.10265513262152,123.87117036929334,123.7227600160993,119.03750697987277,111.95683262449026,114.36296896359302,107.24480534529309,100.63197709947008,93.2670659024518,91.16319053393103,89.60461471168789,88.4764558153434,,,,,,70.60078327116508,79.50634399783078,74.98858039788121,78.30740575340957,82.53434689876521,81.3346307857253,78.96030285307225,78.28395043119568,83.4276168292183,81.8520098760167,83.15842284970321,83.25555967944061
1,1999-10-22 22:00:28+00:00,136.04360156091715,139.03982526042893,142.03462014479834,142.53565066596224,145.03966010375825,139.59395819227223,134.3273453841251,128.5698125711919,123.68250856416996,111.11911548160455,107.44770478740924,103.38731440528869,103.0178522676404,102.60459938037786,,,92.09757519780533,92.32505861599728,,91.31986359142243,89.16274359371518,89.3181908248064,92.12505707679139,97.28203943922318,93.09095000885561,95.88559341180097,93.0232941975476,95.1357824761862,102.11313054157787,104.8671596444124,116.33091242569213
2,1999-12-09 22:00:33+00:00,117.34969559880354,120.32248766630994,125.44948768080422,128.5460688615059,125.22052322213275,118.5126787821829,115.66335593523249,114.89424275615636,108.2425541712915,103.55336102536067,97.41633768025491,91.40524213208076,86.7299398233792,85.99829340848342,-5.588505599825023,-26.488734012641608,75.3653846032305,67.6226330290507,-39.558248083929584,71.7764594156071,69.66534716514538,72.78569073149711,70.04528130723281,,,,,,,,
3,1999-12-25 22:00:28+00:00,,,,,139.70048261693123,129.37503208542873,117.30790713273491,113.2162068343635,104.18577584477491,100.58160004077115,88.59652525868836,94.70106734310467,71.5430029549257,,-1.7576501637874284,-25.719061277814987,75.80010630054747,58.90199409277921,-39.32930727763136,63.05588247591883,70.93545737073808,70.90463765617595,75.99472728899221,75.4028951637888,68.3188384853914,75.22032562368949,79.80164642994244,81.69222344205986,84.82784650838454,84.58577780321951,98.48711498473406
4,2000-01-26 22:00:26+00:00,116.30275765759338,121.33742727325853,128.69191218649635,123.10723013119221,124.60010288744414,118.54593292490569,115.38774667598696,113.04413385909062,110.22973573472095,104.23610238280403,97.5516298855076,95.10315623677094,87.13367153805967,84.61108756374462,3.268435873991411,-21.932413248409233,74.1532300315753,63.89565320882457,,66.50416637626925,72.68908370079683,73.50892032449013,74.31260405489766,76.90265774377933,80.86782357820793,80.7926948202599,81.81726774821676,79.74674267491756,86.95785828554622,92.74193824145249,95.94939549739235
5,2000-02-11 22:00:21+00:00,118.28621814186852,123.49742226009766,127.00936523080553,124.21528270798248,126.80043088065233,116.39105655526706,108.18025559699875,107.07971846232357,104.14673960111185,96.4701385267748,84.56460425897299,83.92134673134412,83.07352689132293,65.80788071817582,1.9374930269988981,-20.495793050370978,,,-32.62254542437872,63.099650485408176,62.204604905334,66.52695902000204,67.09828299999438,70.50331673069162,63.25501391301684,71.44654763134635,71.02204101605227,72.60808196177001,77.62972797565567,78.52535095652834,89.59314164122421
6,2000-02-27 22:00:16+00:00,122.65057262760624,118.51902566302834,123.77966892055434,125.81613695718829,128.37644125609475,124.3210857342071,122.70357058632283,120.80343835640629,108.85953397520748,103.49583413834327,99.51909227736364,94.47285855903148,90.34629916759278,81.44396281080958,,78.06383963913393,71.76990953399165,72.5172248213056,77.84180724671835,78.29330246773061,79.94473141963003,78.6203490980042,77.16663722895652,77.72086796691597,80.33755231839872,81.67441871858028,85.86981401032881,87.33082946488149,90.68881796662488,94.21479063191208,98.6341620772497
7,2000-03-30 22:00:09+00:00,124.697340885575,124.80381231676073,129.43665946609343,130.87920708851937,131.64228012208832,129.11872865895845,126.60990051305633,124.49951165056802,120.78400147661333,113.23455824985493,105.38211499315594,99.33237504191229,95.94632726137864,94.27770703313423,,85.38830603068875,83.0029076348516,79.32851905868006,79.99230105767136,84.59770763545772,85.19762303642,85.6823150569511,86.8126733320375,91.23560232978116,87.42745808567358,90.12589804811171,90.26983520127058,93.42171691911989,99.13612698288338,103.70829304753995,103.7153984326048
8,2000-04-15 21:59:55+00:00,119.94133448481662,120.19604141756757,128.46644197264195,130.91196768031247,128.27497225840185,122.63893472403139,120.1119203157409,121.00624432114766,110.48505912385295,103.5359591533326,101.4484139993099,96.39167376504213,90.30506999923736,86.38351621994934,-11.312187302673259,78.70486056959831,80.85875300760912,78.66907667255063,73.07304610257862,78.83543861540788,82.8714912595124,85.22160403265883,85.12419191915242,89.1300241973608,88.24594996078024,89.99067388166415,87.57463279002556,91.01583414428688,93.61661014113771,97.80043855454267,99.8803957058611
9,2000-05-01 21:59:54+00:00,126.54882860391106,121.57503932475328,131.21530637674465,131.1110437229391,134.46894520270553,129.42613453069862,,,,112.76871283979168,108.45959617842841,105.27914388934298,100.81946377325943,99.43674552524062,,92.15741854660446,86.40562126868599,86.81037480864187,86.15757462308972,85.31852990485403,90.13211828391485,88.94250285985657,93.9509900911398,93.44366991053963,92.3417711407313,94.1364955733086,93.96270744007865,93.19996463671089,98.94780872877516,97.26428170284034,108.98555889506757
