,dates,aus0238-0000,aus0238-0001,aus0238-0002,aus0238-0003,aus0238-0004,aus0238-0005,aus0238-0006,aus0238-0007,aus0238-0008,aus0238-0009,aus0238-0010,aus0238-0011,aus0238-0012,aus0238-0013,aus0238-0014,aus0238-0015,aus0238-0016,aus0238-0017,aus0238-0018,aus0238-0019,aus0238-0020,aus0238-0021,aus0238-0022,aus0238-0023,aus0238-0024,aus0238-0025,aus0238-0026,aus0238-0027,aus0238-0028,aus0238-0029,aus0238-0030,aus0238-0031,aus0238-0032,aus0238-0033,aus0238-0034,aus0238-0035,aus0238-0036,aus0238-0037,aus0238-0038,aus0238-0039,aus0238-0040,aus0238-0041,aus0238-0042,aus0238-0043,aus0238-0044,aus0238-0045,aus0238-0046,aus0238-0047,aus0238-0048,aus0238-0049,aus0238-0050,aus0238-0051,aus0238-0052,aus0238-0053,aus0238-0054,aus0238-0055,aus0238-0056,aus0238-0057,aus0238-0058,aus0238-0059,aus0238-0060,aus0238-0061,aus0238-0062,aus0238-0063,aus0238-0064,aus0238-0065,aus0238-0066
0,1987-05-22 23:08:08+00:00,175.9641530266916,183.30358302270517,180.41800960495635,185.94200532451572,181.8583924905795,181.5143068761974,176.35855994580405,189.39541022683537,177.22762468859798,173.75592166017356,183.89756098410692,186.21629840667265,178.34499984738662,176.85270495307304,181.68057896087225,176.483997630073,189.5702872135311,197.20913413783566,183.6697521304494,180.5869369906763,190.20659367843217,186.02718195723662,178.78375716013392,204.38262411806542,195.15434918156305,199.67661071392106,212.85871781704157,202.27652966272387,215.1625775186754,210.76105997629165,219.76956026349427,219.73734529906378,212.62945536202125,206.06670093160804,206.16760025633678,191.63882547176632,192.70831454044634,186.31658479575995,191.00966372425592,193.71802214430636,188.39661722704804,196.63842904062955,192.84011827026,197.90116847999283,203.3058482315124,208.0907828328513,208.08877481712227,208.9725107651723,213.47068273167304,204.03734851126126,199.7034762151048,212.09370677196426,216.46102810980244,222.18872841129792,214.82646359989903,209.57872692309635,212.7108792544729,207.4171770694098,202.541354854747,200.75985322645167,196.8789461364851,195.49714244084763,184.143331870189,183.12438382872438,186.22125612046318,174.94652995406773,181.85156087219258
1,1987-09-02 23:16:50+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201.6278662244859,203.5580990440633,210.27820824908991,224.71751708422406,212.6254307974556,215.4759103415518,203.7269069984776,203.2610077110631,190.4977718208421,192.71122901340857,204.14535346672693,205.5699808557023,199.32325858313797,193.70175707898534,191.23880231394435,203.26958653675473,201.71576716627044,208.0720454874339,206.67897871865097,215.43410802661128,207.38413173568233,208.79611669202097,207.84708925470926,210.38465550859712,212.53560579120358,209.73817286847026,198.28177557087253,190.5655451297467,,,,,,,,,,,
2,1987-09-18 23:17:14+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,222.56898947060972,229.1015785563269,225.66259085428592,225.05204131291572,209.33868151167647,208.3698343521619,208.85659033980673,208.49240868769022,205.65989978009162,195.71510191945018,201.53109211327438,201.1251127069949,206.5125771091001,209.10804338121426,213.36548360973944,208.51864759089491,214.6608587795332,226.70178466361315,222.51371747771765,213.67161044076448,213.57864597280192,208.68766522440177,219.01947181785067,223.25889647309455,220.659842762061,214.6230015520401,218.083215116857,205.01458656665562,208.42960945446595,205.5515668468805,201.61194588749007,200.13076797575565,196.43768106288462,190.0064094638243,193.13498957333775,184.09076389160768,179.6641724563144
3,1987-09-27 23:11:15+00:00,197.03180916075044,196.64637164547153,195.24949799275427,204.26483852443312,195.70418991947693,198.67905760776978,190.1887106832262,208.34094188103455,201.38954116691423,192.0875823884511,203.93783172086745,197.26475471887272,199.51236043670448,201.74400619242408,196.75433306991354,201.2109966178606,208.63028240751996,216.10519024616337,204.9031645283269,194.39845063317972,200.64179353967597,204.82390550123378,208.93053509732334,224.90105835803365,199.75998087508736,201.13983219062214,211.6323410199777,188.48901452254572,214.88769184262614,221.69867249818327,224.82502066522045,231.81486908875365,225.70744114480377,216.48070334815566,203.79932371920438,208.00780375074146,200.6969498476638,201.49933807009523,200.30420116664123,199.92723181577142,196.12388932433007,204.6181380957324,208.97613092161916,202.62199630567693,206.64094960033265,208.85304638288818,209.1417793675398,213.31436381515118,219.54095615379617,215.71343348443742,206.1651935281928,216.64248787700882,218.47204413565441,220.45372431606197,,,,,,,,,,,,,
4,1987-10-04 23:17:34+00:00,,,,,,,,,,,,,,,,,,,,180.6666921784303,190.5483550089325,197.26423686236978,194.4276227609165,210.62794358995313,185.04488099768122,185.107666835748,198.40104906172152,183.35503952633644,197.99139531487586,207.98292677591127,212.45602616395627,214.1788533858005,210.90633826046525,204.8769090611416,197.41890023654327,194.52345988003708,197.9971651836073,191.96113386318146,192.37269942834104,194.52268760953808,191.9493499751391,202.33200738546068,194.42694354843076,201.2329300694719,202.25346182350697,197.36872712655995,196.8440299718789,205.85608079811377,202.60553323907814,204.34966272653008,200.69660976093832,198.54011748207586,205.64071331547945,210.85510563210417,201.52596630603034,193.53761178109434,200.14643754704022,191.54604742459367,190.7116916300725,191.6445228900896,189.96993481412864,185.34560066268043,177.3287827527042,172.37183770048915,170.40571857319975,173.82275787392143,168.80311852273704
5,1987-10-13 23:11:33+00:00,179.92639834002412,187.12744252123687,200.2793530509003,210.30447845491,195.46602202341336,179.29218675251076,184.16807585944207,199.6022841839573,192.73187488236664,190.81816525674742,195.51552534561418,197.05071846029762,196.67336284868466,189.14846504661114,193.09490868001274,188.19458140924314,200.02727273084687,204.38025482990378,182.60916411942512,195.58728542842778,205.12029515025162,206.0919416084211,197.21133586853884,220.3736233616384,193.57786756906117,194.27004479817103,212.61297496133753,201.85622089320606,205.4674874592049,215.37869281922494,207.59987383338222,222.5497755542794,216.97950810145076,208.84457430850568,198.89681094499159,197.35165570708503,204.93349274646977,201.36610382557285,202.1409144487634,196.5867741645203,195.71539883533018,204.784575271317,198.19984682860357,206.1505858208876,208.24793923080884,212.42200292357217,205.3310766172201,218.48283951695518,215.08382044757244,206.00071146656194,206.56319757354873,214.14491027415903,214.31399777446273,219.3194057695359,216.7867042338787,213.54036833950272,218.05300382690749,213.94368359293645,209.36911849417436,207.19767559606916,203.59458298922436,195.95641167244813,190.1175834131047,180.56213960345724,181.05943960848924,174.98230028823372,169.60602274967735
6,1987-11-21 23:18:29+00:00,,,,,,,,,,,,,158.54335653401387,160.76017940296805,170.10183018713974,168.70688733341512,180.8854410883481,179.25488644318725,166.7886284539823,178.42207854465676,187.53180451152258,169.41078650917927,167.06453698888635,199.08658630007102,178.63767659497594,175.56798980592015,193.40008954669233,180.52031363014237,184.93095593043392,,185.9543255930639,195.47453098621736,190.98539611437582,185.900553593488,177.03693438124128,171.76114484942835,181.43207354658165,177.20268972944882,171.7696775051701,165.5610816738903,169.75128074764342,166.63040550859407,171.18780222523299,173.42997535290164,181.2589516702194,180.63839796045784,180.1083674779226,186.43503853374267,186.79654523568104,181.58839170716038,181.13342164289986,184.3374907434705,184.3181474290201,192.32626940237793,187.28448026439116,173.14308460168002,187.1668007364824,182.37144502381238,177.71978755005952,173.9287372391707,181.66992590357683,167.04951862759197,160.7577495331951,157.9883555167191,,,
7,1987-12-16 23:12:41+00:00,208.53169238966254,211.66661753905652,226.18536508904242,224.65561207469077,201.26846395350407,206.41775708940148,205.84565576205375,208.06628202061,197.3935024697446,201.20417311120457,219.55594726856347,207.4924455110747,202.21177161643703,192.4881124572471,197.3172959006595,205.102538196247,211.6099019030899,215.97336593844136,216.93965529998246,204.2559990928658,203.65977787466198,201.51572893725597,208.7314066732504,225.87722539752576,215.89763913346104,207.4217289726749,208.9878101634048,201.7828575409482,216.66060448780806,219.00987936716746,209.7723203591885,227.57462123061268,215.63760618594858,209.52922588730166,205.6990178800466,217.6113338567961,209.20657369378475,204.76577127236848,207.92727910137808,215.4200172282059,212.7181817837939,213.2660868531885,206.89380700027056,205.23309708803941,205.89413861373788,219.1846416811037,210.85550528934579,219.47612664779513,221.5055078681445,209.90927773915806,209.90087700207644,213.38488417952954,223.85319485250423,223.4547908466743,210.1550849045697,202.49690740351988,210.67853689235912,197.66885442236804,201.0982386749301,199.54851984997916,193.4248993536413,174.92383976456293,174.9813765389055,169.85472723452716,163.2245800066352,167.2865635890995,156.75537435382228
8,1988-01-08 23:19:14+00:00,202.1453468782455,202.94454854701758,224.09278612540265,219.3350603802908,196.63290018171023,196.71874510014237,199.25703522314325,205.39452341290124,186.38006414283242,196.60641596271975,209.580728162004,204.4362848941023,196.3236842516121,191.53346764204878,191.77892428129235,205.24476401223365,212.95720049907442,217.45051815280922,221.79116272642898,206.89272402929993,207.22303012720957,214.2948829327558,201.97345200528756,223.82505703545348,218.8208813995816,199.47726376357753,211.2624235556087,205.5059862913601,213.1583617571337,210.7278258953205,224.3728740022587,227.12178198637682,226.01442563860562,204.26752916758286,209.0380421653065,207.67658729781144,196.4659214628656,200.7573140244422,205.83137924420316,203.85100600066394,210.09461014290815,205.22363464837295,198.56380607802973,197.13322007200293,202.5113347898465,214.5278907176285,203.90056017783115,220.1711080231752,211.4911166286412,208.85710476344315,218.91220124583398,223.5495689846798,222.0385175898149,215.25286671830253,207.29193026476761,205.20442233527552,207.70086496039724,204.41280749893826,206.1320389568542,196.81390903097113,191.07883277159982,188.81843252520073,182.73410698943988,172.87955258340068,160.77019342360308,156.47426468363702,153.44859737791208
9,1988-01-17 23:13:14+00:00,169.86707650824326,181.558979394977,192.65795512947528,194.1686358612983,170.74585490257562,178.54104872624697,173.4131149673179,178.4900696609056,167.35828645715645,177.9126332913783,183.606994060707,181.3703685646749,176.02060567201548,164.8772694115152,166.2931939322296,181.21555064801032,190.72626198931292,193.4449452289466,192.76037321013422,187.10687594480933,183.95848131485826,188.31674872587615,187.70632788738584,204.82924281212198,194.6684665762409,190.221532000391,194.05111817206654,180.92199350581618,192.45956482529482,192.14883456234227,199.39506725717976,213.27573600672272,195.46033792061812,196.57242965549221,185.98656822704038,187.83469173620364,186.01341954131806,174.2293442155369,185.4595876125235,190.2944408214933,189.96925505331802,191.2651250483927,184.8446841129179,178.9184638840137,184.30832022983842,191.50265359281423,193.15101585784294,195.78528412097927,195.35286311885463,185.96861102779968,,178.38063720304302,183.4646761561932,192.9190538359216,189.12110205710525,183.53043152454057,187.8721437546419,186.63570089999746,183.43816589881823,181.13333678839936,183.21731775771013,177.64902482811138,163.24124297522425,155.4801485710709,150.14279977838635,144.77671452065556,145.48892079882125
10,1988-01-24 23:19:32+00:00,,,,,,,,,,,,,,,190.8533827284221,201.7167224118843,215.8356147864752,217.4313768255476,215.91993487346662,212.65128443907685,210.60906446763067,210.6352253965108,204.456610428014,222.28868854826234,204.7028965483127,204.7776647240023,210.64124484458262,191.56439258907628,220.06015722275913,209.48079810894916,220.45852704837012,232.13539988772533,212.71379080296236,205.08275059540176,211.23928431462457,203.92597064926832,202.07618972430865,199.35942968369082,199.75408276170361,203.79640971437559,204.44646452967044,208.48580171585922,214.76406101116402,194.62085525004213,205.9728635442176,215.96547722583603,215.31795681098453,218.97963349634713,219.88320521839762,221.96639320553174,216.95494180850736,216.03229624300795,221.53020588878894,221.3729033532052,216.11873310328255,200.34526019266642,203.24886891145658,199.5323286948689,203.66928579783269,196.30813304762876,201.34360008780266,198.05523526900777,184.69214275700978,167.47889714278483,162.86024761910545,156.36159631342224,154.8827973945302
11,1988-04-13 23:20:23+00:00,,,,,,,,,,,,,,,,,187.7383541098709,199.27207972003407,197.96763673655533,193.17828121438333,183.3707830826179,189.85932508572995,183.61740639593893,201.9632085045866,199.91730255522373,197.010760138575,217.8517951078784,199.14407925343247,202.55636460303504,198.75871230641292,202.62958602507922,206.0159657623089,204.2639382136923,193.37108270157927,184.17021037898002,187.70391616890356,195.77478926747403,205.51291816121577,196.73832937833893,192.66693518224926,197.23185726998165,187.53401713911236,204.46058811062167,186.588621304565,183.26456418191572,192.0976719054891,200.57736951874182,217.60381746800724,200.23491532173824,198.12602875968233,200.62952966631815,211.42527856031438,219.65175017359647,212.8643122058935,199.7475490305265,191.59617746695812,204.4904857377871,193.563782810665,178.49958365659512,199.91220887522,190.98641023841805,166.62038280470824,183.68979886376587,164.77655594381895,143.5579966077934,163.6042226688753,164.44982227905828
12,1988-04-22 23:14:16+00:00,199.14314066965306,199.55614291191304,200.0155726113232,208.26067225398214,194.0773430200357,187.79108909356364,184.5358705836858,188.71382518456383,187.92883175605846,185.23333866409007,199.80770084546015,195.93086748748544,182.3793367387173,182.6423937636733,183.33667153178968,198.27063532327244,202.0251749690495,208.7077223934695,208.96030870887017,196.56316655002672,204.80924437363262,207.37733676565824,195.93830130566653,209.3013716974001,205.8260173549912,201.83349567286285,219.16970566620694,200.79695338511308,209.76620748245267,209.0643452219884,212.93080189524477,221.99777540531318,216.70593463547706,214.13567468245884,196.04898717043736,201.26729589060525,,,,,,,215.6547614123802,,,,,,204.78653720595346,204.8950307998112,205.80035954313078,218.57154557615894,,,,,,,,,,169.81894529654326,182.92651870447398,170.22100548174183,142.9279133263348,166.42754443596283,159.33342843348788
13,1988-05-08 23:14:26+00:00,184.85209685761023,189.5977252809634,181.21283957239214,189.01454337066764,179.2649469407728,182.90370046503227,180.09936872524815,183.21840285957208,177.30227726625318,180.3783118155966,183.4853366155965,185.51313765155265,178.44562165841353,178.17360183484567,177.32125688984786,184.93424043916892,196.25733459149887,205.53372147424642,191.92921681849344,193.07162179403912,195.84846664429347,188.18943417052267,185.65943290650796,208.64767617171708,189.9335607609147,190.75808678636048,202.13468661381444,182.80460757102549,191.93445466203397,196.67571751414073,206.12622424269682,213.6976491898673,212.27833350639895,210.27626277220213,210.55475641597718,201.59633818535988,197.21159904167013,200.5295265493625,198.66936765318886,204.86958708838293,193.15128494110124,192.66656543485283,196.97056045975884,191.86884203498136,199.22340882449834,197.94608002761998,202.39405464186473,215.30389085326044,212.27305972310324,210.20783030134947,202.0685908428818,218.61140967688374,216.09281877014325,216.89466099547226,206.9703241781886,203.16665769061362,198.67051509143556,192.95007160207362,202.76718827794917,192.5068431991378,187.5747513325502,191.62266866819596,167.61172161058826,170.22253598864347,156.57287685074022,155.9368467644463,167.47840255993276
