dates,satname,sar2540-0000,sar2540-0001,sar2540-0002,sar2540-0003,sar2540-0004
1984-04-13 09:27:31+00:00,L5,216.95,185.60,174.78,172.67,177.66
1984-04-29 09:27:29+00:00,L5,183.45,180.51,182.55,179.73,182.10
1984-05-06 09:33:51+00:00,L5,178.85,184.82,174.35,173.54,178.85
1984-07-18 09:29:10+00:00,L5,233.99,184.11,177.55,176.04,186.50
1984-08-19 09:30:15+00:00,L5,211.05,176.59,178.96,178.79,184.14
1984-09-04 09:30:25+00:00,L5,219.47,169.65,165.65,169.05,182.13
1984-09-11 09:36:38+00:00,L5,183.10,171.53,163.41,167.06,174.73
1984-09-20 09:30:28+00:00,L5,196.29,128.31,242.91,,
1984-09-27 09:36:39+00:00,L5,199.01,168.45,165.92,160.94,164.53
1984-11-07 09:30:17+00:00,L5,211.30,167.97,160.60,154.51,153.25
1984-12-09 09:30:22+00:00,L5,250.60,184.64,173.63,171.20,172.38
1985-03-15 09:30:46+00:00,L5,216.07,177.81,173.59,165.42,171.11
1985-03-31 09:30:43+00:00,L5,231.19,175.27,170.79,171.67,172.94
1985-04-16 09:30:39+00:00,L5,199.82,172.51,174.41,172.59,182.49
1985-04-23 09:36:47+00:00,L5,199.28,166.59,167.18,166.84,175.15
1985-05-02 09:30:31+00:00,L5,161.55,156.32,163.69,161.83,163.75
1985-06-03 09:30:28+00:00,L5,217.11,174.01,164.24,163.05,171.89
1985-06-19 09:30:26+00:00,L5,187.06,161.41,164.14,159.56,162.10
1985-06-26 09:36:35+00:00,L5,171.85,165.73,165.31,161.66,169.24
1985-07-05 09:30:21+00:00,L5,217.17,158.75,156.66,155.62,159.28
1985-07-28 09:36:22+00:00,L5,171.05,171.07,166.88,164.02,170.64
1985-08-06 09:30:06+00:00,L5,169.28,158.26,155.47,152.30,158.39
1985-08-22 09:29:56+00:00,L5,199.67,164.98,162.73,158.96,168.76
1985-08-29 09:36:02+00:00,L5,209.79,165.58,160.86,158.86,168.20
1985-09-14 09:35:49+00:00,L5,198.93,165.92,163.44,157.76,169.85
1985-09-23 09:29:32+00:00,L5,244.37,166.42,161.33,159.75,170.49
1985-11-10 09:28:57+00:00,L5,212.53,175.02,166.36,161.90,170.11
1985-12-03 09:34:43+00:00,L5,216.65,172.72,165.45,160.73,170.28
1986-01-13 09:27:46+00:00,L5,170.98,164.60,161.36,157.47,160.74
1986-03-18 09:26:22+00:00,L5,233.53,180.34,180.74,182.78,189.69
1986-04-19 09:25:41+00:00,L5,210.09,175.39,166.09,165.97,176.54
1986-05-21 09:24:51+00:00,L5,220.10,174.48,168.94,172.58,182.59
1986-06-29 09:29:50+00:00,L5,189.81,180.56,166.55,164.49,172.72
1986-07-08 09:23:21+00:00,L5,210.70,167.61,163.78,160.90,164.09
1986-07-24 09:22:47+00:00,L5,215.93,161.58,157.82,153.41,158.50
1986-07-31 09:28:43+00:00,L5,174.21,173.29,172.61,172.08,185.32
1986-08-09 09:22:13+00:00,L5,250.79,175.98,168.89,165.38,173.77
1986-08-25 09:21:37+00:00,L5,178.91,175.92,172.07,171.09,176.54
1986-09-26 09:20:33+00:00,L5,212.21,173.58,168.01,165.99,172.18
1986-10-28 09:19:29+00:00,L5,215.92,169.41,170.13,165.58,172.44
