dates,sar2540-0000,sar2540-0001,sar2540-0002,sar2540-0003,sar2540-0004,satname
1984-04-13 09:27:31+00:00,216.95,185.6,174.78,172.67,177.66,L5
1984-04-29 09:27:29+00:00,183.45,180.51,182.55,179.73,182.1,L5
1984-05-06 09:33:51+00:00,178.85,184.82,174.35,173.54,178.85,L5
1984-07-18 09:29:10+00:00,233.99,184.11,177.55,176.04,186.5,L5
1984-08-19 09:30:15+00:00,211.05,176.59,178.96,178.79,184.14,L5
1984-09-04 09:30:25+00:00,219.47,169.65,165.65,169.05,182.13,L5
1984-09-11 09:36:38+00:00,183.1,171.53,163.41,167.06,174.73,L5
1984-09-20 09:30:28+00:00,196.29,,,,,L5
1984-09-27 09:36:39+00:00,199.01,168.45,165.92,160.94,164.53,L5
1984-11-07 09:30:17+00:00,211.3,167.97,160.6,154.51,153.25,L5
1984-12-09 09:30:22+00:00,250.6,184.64,173.63,171.2,172.38,L5
1985-03-15 09:30:46+00:00,216.07,177.81,173.59,165.42,171.11,L5
1985-03-31 09:30:43+00:00,231.19,175.27,170.79,171.67,172.94,L5
1985-04-16 09:30:39+00:00,199.82,172.51,174.41,172.59,182.49,L5
1985-04-23 09:36:47+00:00,199.28,166.59,167.18,166.84,175.15,L5
1985-05-02 09:30:31+00:00,161.55,156.32,163.69,161.83,163.75,L5
1985-06-03 09:30:28+00:00,217.11,174.01,164.24,163.05,171.89,L5
1985-06-19 09:30:26+00:00,187.06,161.41,164.14,159.56,162.1,L5
1985-06-26 09:36:35+00:00,171.85,165.73,165.31,161.66,169.24,L5
1985-07-05 09:30:21+00:00,,158.75,156.66,155.62,159.28,L5
1985-07-28 09:36:22+00:00,171.05,171.07,166.88,164.02,170.64,L5
1985-08-06 09:30:06+00:00,169.28,158.26,155.47,152.3,158.39,L5
1985-08-22 09:29:56+00:00,199.67,164.98,162.73,158.96,168.76,L5
1985-08-29 09:36:02+00:00,209.79,165.58,160.86,158.86,168.2,L5
1985-09-14 09:35:49+00:00,198.93,165.92,163.44,157.76,169.85,L5
1985-09-23 09:29:32+00:00,244.37,166.42,161.33,159.75,170.49,L5
1985-11-10 09:28:57+00:00,212.53,175.02,166.36,161.9,170.11,L5
1985-12-03 09:34:43+00:00,216.65,172.72,165.45,160.73,170.28,L5
1986-01-13 09:27:46+00:00,,164.6,161.36,157.47,160.74,L5
1986-03-18 09:26:22+00:00,233.53,180.34,180.74,182.78,189.69,L5
1986-04-19 09:25:41+00:00,210.09,175.39,166.09,165.97,176.54,L5
1986-05-21 09:24:51+00:00,220.1,174.48,168.94,172.58,182.59,L5
1986-06-29 09:29:50+00:00,189.81,180.56,166.55,164.49,172.72,L5
1986-07-08 09:23:21+00:00,210.7,167.61,163.78,160.9,164.09,L5
1986-07-24 09:22:47+00:00,215.93,161.58,157.82,153.41,158.5,L5
1986-07-31 09:28:43+00:00,,173.29,172.61,172.08,185.32,L5
1986-08-09 09:22:13+00:00,250.79,175.98,168.89,165.38,173.77,L5
1986-08-25 09:21:37+00:00,,175.92,172.07,171.09,176.54,L5
1986-09-26 09:20:33+00:00,,173.58,168.01,165.99,172.18,L5
1986-10-28 09:19:29+00:00,215.92,169.41,170.13,165.58,172.44,L5
1986-12-22 09:25:33+00:00,210.68,176.44,165.35,159.78,159.01,L5
1986-12-31 09:19:38+00:00,212.35,176.41,175.07,171.54,179.55,L5
1987-01-07 09:26:01+00:00,184.93,179.27,176.52,171.62,179.86,L5
1987-02-01 09:20:35+00:00,219.85,187.71,180.15,177.78,186.74,L5
1987-03-28 09:28:52+00:00,187.13,185.91,183.52,177.93,185.91,L5
1987-04-06 09:23:00+00:00,,200.65,186.28,182.13,188.09,L5
1987-04-13 09:29:24+00:00,188.99,186.94,181.17,177.78,178.55,L5
1987-04-29 09:29:54+00:00,189.19,185.94,182.93,178.85,184.14,L5
1987-05-08 09:23:59+00:00,,186.92,179.36,174.25,180.52,L5
1987-05-15 09:30:21+00:00,186.49,185.22,182.59,179.89,186.65,L5
1987-05-24 09:24:24+00:00,188.9,185.45,181.29,177.7,180.57,L5
1987-05-31 09:30:45+00:00,184.24,185.51,180.85,176.63,180.81,L5
1987-06-16 09:31:07+00:00,187.18,184.87,175.29,165.71,170.27,L5
1987-07-02 09:31:27+00:00,182.31,185.05,180.36,178.14,183.96,L5
1987-07-11 09:25:27+00:00,,195.0,175.35,170.94,175.34,L5
1987-07-18 09:31:44+00:00,197.26,199.2,182.13,179.04,186.14,L5
1987-07-27 09:25:49+00:00,185.5,185.7,176.99,172.94,181.04,L5
1987-08-03 09:32:13+00:00,185.05,183.07,175.8,177.14,185.3,L5
1987-08-19 09:32:41+00:00,190.85,188.66,178.83,175.29,179.84,L5
1987-08-28 09:26:45+00:00,190.7,187.29,176.31,165.61,165.72,L5
1987-09-04 09:33:07+00:00,211.56,173.03,169.31,166.09,173.87,L5
1987-09-13 09:27:09+00:00,217.2,182.9,177.85,173.38,179.45,L5
1987-09-20 09:33:30+00:00,212.74,176.87,174.89,174.87,183.16,L5
1987-10-06 09:33:50+00:00,216.92,176.23,167.07,166.19,167.18,L5
1987-10-31 09:28:04+00:00,232.43,175.08,170.82,164.85,169.18,L5
1987-11-07 09:34:26+00:00,217.05,170.66,166.49,161.61,168.14,L5
1987-11-16 09:28:26+00:00,195.48,189.45,186.97,180.77,176.2,L5
1987-12-02 09:28:42+00:00,,177.39,169.41,166.13,174.58,L5
1987-12-09 09:34:58+00:00,,,,,160.22,L5
1987-12-25 09:35:13+00:00,198.95,195.7,191.24,189.8,191.8,L5
1988-01-10 09:35:29+00:00,233.49,198.14,188.68,186.92,189.64,L5
1988-02-11 09:36:05+00:00,202.22,205.1,194.03,195.49,188.38,L5
1988-04-15 09:36:38+00:00,201.57,196.02,179.09,176.55,184.66,L5
1988-04-24 09:30:31+00:00,210.74,174.47,169.6,169.77,171.1,L5
1988-05-01 09:36:45+00:00,233.03,177.27,171.1,169.32,177.02,L5
1988-05-17 09:36:55+00:00,186.56,184.77,182.37,179.0,186.74,L5
1988-05-26 09:30:48+00:00,212.58,177.12,169.64,168.53,177.08,L5
1988-06-02 09:37:02+00:00,177.75,169.92,167.33,165.56,172.74,L5
1988-07-04 09:37:12+00:00,183.85,177.85,179.82,177.12,177.48,L5
1988-07-13 09:31:03+00:00,216.26,176.18,171.37,167.95,174.18,L5
1988-07-29 09:31:06+00:00,200.22,168.81,164.64,161.27,166.69,L5
1988-08-05 09:37:16+00:00,210.76,167.82,162.27,157.77,170.71,L5
1988-08-14 09:31:04+00:00,216.9,174.77,171.15,168.8,176.27,L5
1988-08-21 09:37:17+00:00,179.32,178.84,175.55,174.84,182.2,L5
1988-09-06 09:37:19+00:00,178.5,174.95,179.85,178.88,184.44,L5
1988-09-22 09:37:13+00:00,185.19,177.6,172.06,169.71,172.85,L5
1988-10-08 09:37:09+00:00,216.92,172.63,167.6,165.3,163.79,L5
1988-10-24 09:37:05+00:00,210.41,179.5,176.57,174.27,183.68,L5
1988-11-18 09:30:56+00:00,249.79,172.83,169.87,169.89,166.54,L5
1988-12-04 09:30:53+00:00,,164.6,155.44,151.15,145.46,L5
1988-12-11 09:36:57+00:00,217.35,177.97,175.32,169.51,171.62,L5
1988-12-27 09:36:51+00:00,233.73,177.81,178.27,173.5,178.12,L5
1989-01-05 09:30:40+00:00,,182.99,182.98,178.8,190.44,L5
1989-01-12 09:36:44+00:00,,181.55,181.15,177.18,183.22,L5
1989-02-06 09:30:23+00:00,233.42,181.51,181.28,179.34,186.36,L5
1989-03-17 09:35:40+00:00,200.89,188.82,178.91,169.57,169.74,L5
1989-03-26 09:29:17+00:00,198.76,200.5,192.61,185.42,187.26,L5
1989-04-02 09:35:35+00:00,200.3,192.97,182.42,179.53,186.23,L5
1989-05-20 09:34:56+00:00,191.75,187.17,176.22,175.29,180.62,L5
1989-05-29 09:28:41+00:00,182.47,174.97,169.58,165.73,167.32,L5
1989-06-14 09:28:10+00:00,191.44,187.54,186.48,188.5,193.03,L5
1989-06-21 09:34:19+00:00,198.72,196.63,189.95,190.05,193.87,L5
1989-06-30 09:28:02+00:00,194.16,182.79,179.0,178.61,187.19,L5
1989-07-16 09:27:43+00:00,232.65,182.82,169.4,166.42,171.81,L5
1989-07-23 09:33:45+00:00,,174.52,170.0,167.09,174.62,L5
1989-08-01 09:27:23+00:00,232.93,172.02,164.76,160.81,170.05,L5
1989-08-24 09:33:03+00:00,249.74,181.7,178.07,174.91,177.78,L5
1989-09-18 09:26:08+00:00,212.55,173.72,164.63,164.95,171.32,L5
1989-09-25 09:32:16+00:00,231.97,180.51,168.89,166.19,173.66,L5
