dates,nzd0356-0000,nzd0356-0001,nzd0356-0002,nzd0356-0003,nzd0356-0004,nzd0356-0005,nzd0356-0006,nzd0356-0007,nzd0356-0008,nzd0356-0009,nzd0356-0010,nzd0356-0011,nzd0356-0012,nzd0356-0013,nzd0356-0014,nzd0356-0015,nzd0356-0016,nzd0356-0017,nzd0356-0018,nzd0356-0019,nzd0356-0020,satname
1999-08-17 22:12:26+00:00,339.96,354.23,349.36,347.74,343.14,345.63,338.85,338.02,331.50,343.56,352.62,339.81,324.93,342.17,339.04,343.60,,342.61,339.44,328.91,327.26,L7
1999-08-26 22:06:20+00:00,353.57,355.50,358.49,354.11,353.31,353.08,356.90,344.13,337.61,340.06,345.35,338.31,335.13,343.65,342.94,348.78,350.54,343.62,341.33,343.33,331.49,L7
1999-11-21 22:12:24+00:00,369.14,364.03,365.20,359.19,354.63,355.21,358.76,352.75,344.85,348.14,356.95,346.06,345.85,358.19,352.86,362.20,353.94,351.35,347.70,350.10,350.00,L7
2000-02-18 22:06:05+00:00,356.05,363.13,348.61,352.15,354.02,356.43,350.70,341.59,332.87,333.95,342.65,338.16,334.90,344.61,346.45,357.88,352.35,343.57,341.91,341.67,342.82,L7
2000-02-25 22:12:13+00:00,363.80,367.23,366.20,359.31,360.05,367.40,362.11,356.33,343.36,350.04,357.74,349.01,345.68,367.69,362.57,370.15,368.00,365.96,359.57,356.48,366.26,L7
2000-03-12 22:12:09+00:00,338.54,350.81,341.75,338.24,342.86,343.77,341.49,338.00,331.76,346.08,351.47,337.15,332.68,358.47,351.34,365.19,360.33,364.37,353.34,354.13,357.80,L7
2000-03-21 22:06:01+00:00,335.13,338.03,332.66,329.37,330.25,328.74,335.88,328.73,323.74,328.44,339.63,334.07,330.05,337.41,338.05,343.67,340.31,336.73,334.54,332.09,335.82,L7
2000-04-13 22:11:54+00:00,364.18,364.98,352.82,342.39,341.39,335.86,329.87,319.46,314.26,331.03,343.97,343.14,341.88,362.14,355.86,359.16,357.02,357.02,357.32,359.12,354.99,L7
2000-05-15 22:11:42+00:00,377.68,358.20,,325.45,,330.38,,,,310.59,326.76,333.38,328.49,,359.01,358.40,379.38,,363.02,,,L7
2000-05-24 22:05:22+00:00,390.90,384.07,358.99,340.64,332.28,333.21,333.79,326.68,323.15,332.47,345.33,329.74,332.26,350.55,347.35,357.16,355.48,356.76,354.97,355.42,329.58,L7
