dates,satname,nzd0356-0000,nzd0356-0001,nzd0356-0002,nzd0356-0003,nzd0356-0004,nzd0356-0005,nzd0356-0006,nzd0356-0007,nzd0356-0008,nzd0356-0009,nzd0356-0010,nzd0356-0011,nzd0356-0012,nzd0356-0013,nzd0356-0014,nzd0356-0015,nzd0356-0016,nzd0356-0017,nzd0356-0018,nzd0356-0019,nzd0356-0020
1999-08-17 22:12:26+00:00,L7,357.36,368.73,362.74,362.24,356.52,357.23,351.28,349.62,343.10,352.26,362.29,350.68,336.53,351.84,348.71,353.84,,353.48,349.68,339.15,332.70
1999-08-26 22:06:20+00:00,L7,324.57,331.33,336.18,329.94,331.00,333.75,336.19,324.80,318.28,325.56,329.24,320.19,315.80,327.54,326.83,331.72,332.41,325.50,324.27,326.27,322.43
1999-11-21 22:12:24+00:00,L7,340.54,340.20,343.20,335.36,332.63,336.14,338.33,333.68,325.78,333.84,341.06,328.19,326.78,342.30,336.97,345.38,336.07,333.47,330.88,333.28,341.06
2000-02-18 22:06:05+00:00,L7,323.65,336.13,323.69,325.15,329.10,334.83,327.56,319.99,311.27,317.75,324.65,317.91,313.30,326.61,328.45,338.82,332.10,323.32,322.85,322.61,332.70
2000-02-25 22:12:13+00:00,L7,381.00,381.56,379.43,373.64,373.28,378.87,374.40,367.80,354.83,358.64,367.30,359.76,357.15,377.25,372.13,380.27,378.75,376.71,369.69,366.60,371.64
2000-03-12 22:12:09+00:00,L7,359.54,368.31,357.90,355.74,359.01,357.77,356.49,352.00,345.76,356.58,363.14,350.28,346.68,370.14,363.01,377.54,373.46,377.49,365.69,366.48,364.36
2000-03-21 22:06:01+00:00,L7,315.53,321.70,317.58,313.04,315.17,315.67,321.88,315.66,310.67,318.64,328.74,321.82,316.98,326.52,327.16,332.14,328.06,324.48,323.01,320.56,329.70
2000-04-13 22:11:54+00:00,L7,364.38,365.15,352.97,342.56,341.54,335.99,330.01,319.59,314.39,331.13,344.08,343.27,342.01,362.25,355.97,359.28,357.15,357.15,357.44,359.24,355.05
2000-05-15 22:11:42+00:00,L7,354.28,338.70,,305.95,,314.78,,,,298.89,313.76,318.76,312.89,,346.01,344.64,364.76,,349.26,395.82,404.50
2000-05-24 22:05:22+00:00,L7,404.10,395.07,369.14,351.64,342.43,342.01,343.22,335.48,331.95,339.07,352.66,337.99,341.06,357.88,354.68,364.92,363.73,365.01,362.73,363.18,333.71
2000-05-31 22:11:30+00:00,L7,,,,,,,,,,602.18,595.84,641.59,645.46,,632.71,469.60,,,,173.91,618.71
2000-06-25 22:05:07+00:00,L7,388.63,389.26,371.30,357.48,358.48,358.32,356.63,349.98,348.66,348.65,346.28,343.12,335.62,358.35,354.70,364.08,363.44,367.22,366.13,357.96,230.81
2000-08-03 22:10:43+00:00,L7,364.98,368.76,359.84,356.17,354.91,359.24,347.75,340.02,342.06,354.83,358.89,354.43,348.01,363.38,354.18,362.67,359.57,349.85,348.61,346.57,319.30
2000-08-19 22:10:38+00:00,L7,384.07,369.32,352.85,339.54,339.02,344.09,350.95,349.08,340.61,341.88,351.48,344.76,342.93,355.47,350.41,358.41,353.25,348.77,347.25,342.25,341.00
2000-09-13 22:04:02+00:00,L7,344.82,336.89,320.90,313.61,317.87,318.04,309.73,304.06,297.37,308.54,330.60,321.87,316.40,334.75,328.89,339.80,334.70,330.72,319.93,313.43,311.77
2000-09-20 22:10:03+00:00,L7,411.74,405.49,380.13,363.14,348.83,350.78,348.14,341.55,331.13,356.32,369.11,371.55,382.90,384.68,377.32,378.62,370.35,367.15,358.93,354.86,347.00
2000-10-31 22:03:46+00:00,L7,409.52,402.57,376.74,346.63,325.56,318.54,314.75,318.34,310.28,322.42,326.34,320.83,322.74,342.24,343.16,345.63,352.28,347.34,,304.02,293.15
2000-11-07 22:09:53+00:00,L7,404.70,397.28,365.30,345.26,324.85,324.49,318.91,322.95,310.20,322.14,324.26,316.43,315.97,339.05,340.07,359.20,357.74,348.47,337.50,333.60,331.77
2001-01-10 22:10:03+00:00,L7,375.49,348.92,328.29,320.06,323.44,323.42,317.64,315.31,309.24,313.82,328.44,320.23,322.08,344.19,340.14,344.49,335.84,338.78,343.05,344.03,348.06
2001-03-08 22:03:44+00:00,L7,362.24,349.82,330.18,317.79,306.45,303.96,306.29,305.81,303.19,313.58,322.68,317.12,318.41,334.98,330.26,335.34,336.45,329.74,331.46,327.85,332.83
2001-03-15 22:09:51+00:00,L7,,393.67,375.73,358.45,348.67,343.95,,,,110.43,,,,,,,,,,,
2001-03-31 22:09:43+00:00,L7,,392.59,378.29,361.04,352.88,349.52,349.29,344.77,342.09,359.35,366.08,365.54,360.38,379.58,375.38,379.46,381.11,379.35,377.67,376.11,385.94
2001-04-16 22:09:42+00:00,L7,386.55,367.08,344.47,327.07,334.15,342.95,331.29,318.15,306.79,312.40,328.11,326.06,329.28,345.92,349.71,359.53,356.37,351.48,350.61,349.93,352.19
2001-05-27 22:03:12+00:00,L7,,382.73,373.16,355.82,350.80,344.64,343.91,343.00,341.52,361.57,361.13,348.70,336.60,359.13,358.03,372.27,370.09,375.25,363.89,369.14,354.17
2001-06-03 22:09:16+00:00,L7,363.95,353.44,340.29,325.48,324.61,325.56,315.49,317.93,321.54,329.45,338.38,329.08,324.67,342.41,344.41,351.61,354.31,347.96,350.85,347.25,230.13
2001-06-19 22:09:05+00:00,L7,364.23,352.60,343.00,329.77,326.60,326.63,323.27,317.76,,332.13,337.67,327.86,329.22,341.62,345.96,353.50,357.64,346.47,347.59,345.24,221.83
2001-07-05 22:08:57+00:00,L7,370.31,356.80,334.65,318.11,323.79,323.18,318.87,311.73,,309.19,319.15,315.29,319.21,330.72,328.91,342.37,,335.26,331.12,338.28,221.26
2001-07-14 22:02:45+00:00,L7,,,,,,,,344.30,,344.61,357.83,346.66,344.83,362.90,363.25,365.61,,354.10,352.90,355.68,218.20
2001-08-15 22:02:14+00:00,L7,364.13,356.67,336.60,318.89,324.10,316.69,318.18,315.41,309.93,319.67,329.07,326.23,325.70,342.86,344.34,351.84,355.11,356.53,352.86,344.54,334.16
2001-08-31 22:02:05+00:00,L7,352.70,341.62,319.94,310.04,313.12,317.56,312.52,312.38,301.23,314.17,315.94,310.99,310.62,338.42,337.22,345.83,341.52,339.99,337.81,334.34,335.52
