dates,satname,sar1213-0000,sar1213-0001,sar1213-0002,sar1213-0003,sar1213-0004
1984-04-13 09:27:31+00:00,L5,194.46,267.59,200.13,194.47,193.94
1984-05-06 09:33:51+00:00,L5,,,,,
1984-07-18 09:29:10+00:00,L5,199.73,273.20,203.01,189.44,199.21
1984-08-19 09:30:15+00:00,L5,196.93,265.98,200.19,187.68,196.41
1984-09-04 09:30:25+00:00,L5,190.48,260.67,200.20,188.04,189.95
1984-09-11 09:36:38+00:00,L5,,,,,
1984-09-20 09:30:28+00:00,L5,256.18,143.71,310.19,121.10,255.73
1984-09-27 09:36:39+00:00,L5,198.77,268.16,209.67,193.31,196.67
1984-12-09 09:30:22+00:00,L5,188.82,271.84,215.21,184.11,188.29
1985-06-03 09:30:28+00:00,L5,,,,,
1985-06-19 09:30:26+00:00,L5,,,,,
1985-06-26 09:36:35+00:00,L5,,,,,
1985-07-05 09:30:21+00:00,L5,,,,,
1985-07-12 09:36:29+00:00,L5,189.12,258.52,200.10,189.08,188.59
1985-07-28 09:36:22+00:00,L5,200.02,259.13,199.17,191.91,199.51
1985-08-06 09:30:06+00:00,L5,,,,,
1985-08-13 09:36:12+00:00,L5,,,,,
1985-08-22 09:29:56+00:00,L5,198.11,271.50,199.87,184.15,197.59
1985-08-29 09:36:02+00:00,L5,198.38,265.52,199.24,198.01,197.86
1985-09-14 09:35:49+00:00,L5,193.15,262.01,208.77,199.22,192.63
1985-09-23 09:29:32+00:00,L5,192.96,264.66,208.67,192.41,192.44
1985-11-10 09:28:57+00:00,L5,184.30,266.29,203.78,188.21,183.77
1985-12-03 09:34:43+00:00,L5,,,,,
1986-01-04 09:34:08+00:00,L5,,,,,
1986-03-18 09:26:22+00:00,L5,193.28,271.48,208.13,192.02,192.75
1986-04-19 09:25:41+00:00,L5,,,,,
1986-05-12 09:31:17+00:00,L5,198.50,277.07,214.18,204.15,197.87
1986-05-21 09:24:51+00:00,L5,,,,,
1986-06-29 09:29:50+00:00,L5,,,,,
1986-07-08 09:23:21+00:00,L5,,,,,
1986-07-15 09:29:17+00:00,L5,,,,,
1986-07-24 09:22:47+00:00,L5,,,,,
1986-07-31 09:28:43+00:00,L5,,,,,
1986-08-09 09:22:13+00:00,L5,195.67,286.49,204.68,186.07,195.15
1986-08-25 09:21:37+00:00,L5,194.96,260.42,200.40,190.04,194.44
1986-09-01 09:27:32+00:00,L5,,,,,
1986-09-17 09:27:01+00:00,L5,,,,,
1986-09-26 09:20:33+00:00,L5,192.42,267.71,206.19,187.10,191.90
1986-10-28 09:19:29+00:00,L5,187.96,271.50,203.39,185.40,187.43
1986-11-04 09:25:25+00:00,L5,,,,,
1986-12-22 09:25:33+00:00,L5,198.14,16.81,82.89,290.72,205.04
1986-12-31 09:19:38+00:00,L5,190.64,271.52,203.55,189.74,190.12
