dates,sar1213-0000,sar1213-0001,sar1213-0002,sar1213-0003,sar1213-0004,satname
1984-04-13 09:27:31+00:00,194.46,267.59,200.13,194.47,193.94,L5
1984-07-18 09:29:10+00:00,199.73,273.2,203.01,189.44,199.21,L5
1984-08-19 09:30:15+00:00,196.93,265.98,200.19,187.68,196.41,L5
1984-09-04 09:30:25+00:00,190.48,260.67,200.2,188.04,189.95,L5
1984-09-27 09:36:39+00:00,198.77,268.16,209.67,193.31,196.67,L5
1984-12-09 09:30:22+00:00,188.82,271.84,215.21,184.11,188.29,L5
1985-07-12 09:36:29+00:00,189.12,258.52,200.1,189.08,188.59,L5
1985-07-28 09:36:22+00:00,200.02,259.13,199.17,191.91,199.51,L5
1985-08-22 09:29:56+00:00,198.11,271.5,199.87,184.15,197.59,L5
1985-08-29 09:36:02+00:00,198.38,265.52,199.24,198.01,197.86,L5
1985-09-14 09:35:49+00:00,193.15,262.01,208.77,199.22,192.63,L5
1985-09-23 09:29:32+00:00,192.96,264.66,208.67,192.41,192.44,L5
1985-11-10 09:28:57+00:00,184.3,266.29,203.78,188.21,183.77,L5
1986-03-18 09:26:22+00:00,193.28,271.48,208.13,192.02,192.75,L5
1986-05-12 09:31:17+00:00,198.5,277.07,214.18,204.15,197.87,L5
1986-08-09 09:22:13+00:00,195.67,286.49,204.68,186.07,195.15,L5
1986-08-25 09:21:37+00:00,194.96,260.42,200.4,190.04,194.44,L5
1986-09-26 09:20:33+00:00,192.42,267.71,206.19,187.1,191.9,L5
1986-10-28 09:19:29+00:00,187.96,271.5,203.39,185.4,187.43,L5
1986-12-22 09:25:33+00:00,198.14,,,,205.04,L5
1986-12-31 09:19:38+00:00,190.64,271.52,203.55,189.74,190.12,L5
1987-02-01 09:20:35+00:00,193.44,271.43,201.91,188.16,192.92,L5
1987-03-28 09:28:52+00:00,192.07,267.32,204.44,193.81,191.54,L5
1987-04-06 09:23:00+00:00,202.58,286.44,200.43,199.81,202.06,L5
1987-04-13 09:29:24+00:00,170.99,271.84,188.58,155.33,170.44,L5
1987-05-08 09:23:59+00:00,194.06,272.88,204.21,185.2,193.54,L5
1987-06-25 09:25:08+00:00,192.75,264.89,203.75,187.8,192.22,L5
1987-07-02 09:31:27+00:00,196.83,263.61,202.05,190.46,196.31,L5
1987-07-18 09:31:44+00:00,200.04,263.9,204.68,193.05,199.52,L5
1987-09-04 09:33:07+00:00,186.4,264.76,199.44,188.32,185.87,L5
1987-09-13 09:27:09+00:00,194.2,269.72,201.42,185.71,193.68,L5
1987-09-20 09:33:30+00:00,193.78,258.65,199.62,186.98,193.25,L5
1987-10-31 09:28:04+00:00,190.63,271.48,219.12,188.57,190.11,L5
1987-11-07 09:34:26+00:00,197.35,267.98,208.81,192.3,196.83,L5
1987-11-16 09:28:26+00:00,191.19,281.74,208.37,186.25,190.66,L5
1987-12-02 09:28:42+00:00,192.56,286.45,208.45,192.14,192.04,L5
1987-12-09 09:34:58+00:00,188.8,259.81,200.56,191.1,188.27,L5
1987-12-25 09:35:13+00:00,189.88,263.97,220.79,201.25,189.35,L5
1988-01-10 09:35:29+00:00,191.77,301.46,214.17,201.23,191.25,L5
1988-02-11 09:36:05+00:00,196.27,301.48,208.87,198.0,195.75,L5
1988-04-15 09:36:38+00:00,200.22,301.45,200.58,197.78,199.7,L5
1988-05-01 09:36:45+00:00,196.24,286.45,199.69,182.68,195.72,L5
1988-05-17 09:36:55+00:00,198.38,262.29,202.44,195.65,197.86,L5
1988-05-26 09:30:48+00:00,190.85,278.95,205.55,180.46,190.33,L5
1988-07-13 09:31:03+00:00,194.57,271.48,209.57,188.83,194.04,L5
1988-08-14 09:31:04+00:00,193.3,271.54,195.07,179.64,192.78,L5
1988-08-21 09:37:17+00:00,197.32,301.5,199.67,195.83,196.81,L5
1988-10-24 09:37:05+00:00,195.01,260.14,199.92,193.43,194.49,L5
1988-11-18 09:30:56+00:00,196.47,272.3,214.65,191.55,195.95,L5
1988-12-11 09:36:57+00:00,193.4,271.45,214.79,194.85,193.86,L5
1988-12-27 09:36:51+00:00,186.44,267.68,203.96,186.8,185.91,L5
1989-01-05 09:30:40+00:00,189.5,271.48,210.42,205.3,188.97,L5
1989-01-12 09:36:44+00:00,184.32,288.89,201.9,173.78,183.79,L5
1989-01-28 09:36:31+00:00,192.86,263.95,206.46,191.35,192.33,L5
1989-03-17 09:35:40+00:00,186.66,253.89,201.91,201.05,186.13,L5
1989-03-26 09:29:17+00:00,195.17,275.91,205.47,187.73,194.65,L5
1989-04-02 09:35:35+00:00,194.31,274.16,207.04,190.11,193.79,L5
1989-06-14 09:28:10+00:00,193.92,287.01,200.42,185.68,193.4,L5
1989-07-16 09:27:43+00:00,199.53,271.47,203.03,199.06,199.01,L5
1989-08-24 09:33:03+00:00,189.14,251.58,199.96,,188.61,L5
1989-09-25 09:32:16+00:00,198.7,301.44,201.99,195.48,197.44,L5
1989-10-04 09:26:00+00:00,197.38,277.97,195.85,200.51,196.86,L5
1989-10-20 09:25:15+00:00,193.86,279.71,199.83,178.93,193.33,L5
1989-10-27 09:31:15+00:00,179.14,265.12,214.65,201.98,178.6,L5
1989-11-12 09:30:54+00:00,198.14,301.45,207.86,189.64,197.62,L5
1989-11-28 09:30:28+00:00,178.39,257.31,217.13,202.16,177.85,L5
1989-12-07 09:24:00+00:00,168.25,247.49,212.26,205.28,167.9,L5
1990-01-15 09:28:57+00:00,180.33,266.29,209.39,187.93,179.79,L5
1990-02-25 09:21:33+00:00,184.68,271.51,207.78,184.23,184.15,L5
1990-03-13 09:20:59+00:00,190.62,265.8,200.44,185.62,190.1,L5
1990-04-14 09:20:34+00:00,191.67,256.45,207.86,206.21,192.21,L5
1990-06-01 09:20:32+00:00,201.49,301.63,193.94,190.84,200.97,L5
1990-06-24 09:26:42+00:00,200.23,286.44,206.58,199.46,199.71,L5
1990-07-03 09:20:30+00:00,196.74,276.36,201.04,181.65,196.22,L5
1990-07-19 09:20:25+00:00,197.59,271.5,199.51,186.05,197.07,L5
1990-08-04 09:20:20+00:00,193.67,268.33,206.71,196.84,193.14,L5
1990-08-20 09:20:18+00:00,193.36,271.51,200.87,181.77,192.84,L5
1990-09-05 09:20:10+00:00,178.33,263.35,220.95,196.96,177.79,L5
1990-09-12 09:26:23+00:00,177.77,273.0,209.72,175.42,177.23,L5
1990-09-28 09:26:14+00:00,193.7,262.29,214.28,192.66,193.17,L5
1990-10-14 09:26:08+00:00,196.32,301.48,199.86,183.45,195.81,L5
1990-11-15 09:26:01+00:00,192.25,278.71,200.01,178.07,191.73,L5
1990-12-26 09:20:01+00:00,185.11,268.47,208.81,187.89,184.58,L5
1991-01-02 09:26:25+00:00,189.08,271.64,214.29,191.21,188.56,L5
1991-01-11 09:20:27+00:00,191.21,275.92,216.68,212.1,190.69,L5
1991-01-18 09:26:53+00:00,187.4,263.58,211.39,198.54,186.87,L5
1991-04-01 09:21:58+00:00,196.64,291.82,186.24,177.21,196.12,L5
1991-05-26 09:29:10+00:00,190.13,274.47,203.85,187.01,189.61,L5
1991-06-04 09:23:06+00:00,198.39,273.65,199.12,184.34,197.84,L5
1991-06-20 09:23:18+00:00,194.71,291.17,214.48,192.03,194.19,L5
