,dates,chi0288-0000,chi0288-0001,chi0288-0002,chi0288-0003,chi0288-0004,chi0288-0005,chi0288-0006,chi0288-0007,chi0288-0008,chi0288-0009,chi0288-0010,chi0288-0011,chi0288-0012,chi0288-0013,chi0288-0014,chi0288-0015,chi0288-0016
0,1985-07-27 14:09:17+00:00,187.54057093886098,181.89527078139275,184.80291661768615,203.5715546701556,174.41124041304928,,231.90856085417997,225.87325411918425,224.95260074249717,201.4377385675464,204.9169412017576,,214.01327966910947,199.73462379345182,187.58511413725233,176.8375157630477,203.33430165874276
1,1986-02-04 14:06:23+00:00,204.02360657398128,194.205586092504,200.64430050670333,218.99242283957526,199.23572556240518,212.3636452990798,224.3311696381701,227.06346801877356,224.09069064234936,235.54432190415096,226.18309316142447,215.3530813966245,217.7936120127954,198.4316819669447,155.6726932486142,175.6787151901925,203.03812154290736
2,1986-08-31 14:00:29+00:00,181.03040886335236,167.10765342199764,170.65416195605118,195.88117416657172,181.67760563193266,201.35828910989696,218.265730767065,222.22395187095563,214.24546059314747,200.28073906530375,185.0046109621411,190.0769978413842,194.04834470788995,176.6354698238297,182.96326310800768,203.4743240861187,205.61945942089048
3,1986-11-03 13:58:22+00:00,203.12001936490392,199.72581320368965,208.04607395695115,224.99445635533078,192.12880919937382,210.78914321056382,226.33268226794425,226.63980359824134,226.21947800588939,220.4868015624518,188.57296352205827,181.88034949174894,196.1205088200043,190.39051204350895,169.33603732486912,173.83633691694155,189.8850972111591
4,1987-02-07 13:59:57+00:00,197.24286833988864,176.7438175008722,180.8955375326977,218.0331303642855,207.17087479925283,225.50476395435655,243.51405363518109,237.34742477382753,229.7479474731263,215.4518369283102,213.45120242285793,201.024654524872,198.2350116989327,183.9904403353743,172.66222020220195,177.6081988452333,215.29915463006404
5,1987-03-27 14:01:45+00:00,207.72651795147598,200.72354111208477,210.2788074692802,259.14179074601856,238.8351214781759,251.30474702231297,253.79922887344742,261.623692311884,256.6501879410199,250.30586552722625,238.77793650449993,236.96937757857046,228.83029348615815,191.70365755612198,198.48915803802845,213.97502209692107,243.71030925303555
6,1987-11-06 14:07:20+00:00,196.7586607205254,183.28098936055244,184.96555708064807,217.95987989552918,199.3092214772545,223.8054472973101,242.4770227776715,233.34179473607338,,,,,,,,181.2356230249527,200.72468349721117
7,1988-02-26 14:09:12+00:00,189.34339403732858,169.87375712130526,,247.8884375190744,230.38778997555653,228.1371251478869,265.6199868884208,240.91678622067826,226.0354771625125,,207.98877759197242,236.13551508538794,225.90286851872762,240.04995106621845,215.09991884243493,216.07774201536435,
8,1988-03-29 14:09:29+00:00,206.04076291552835,193.52888830425601,187.27104246591603,233.4383704888642,224.5504052642364,231.71146055174535,241.22381120783848,223.47889841851378,228.04916031467363,247.44147155804342,225.85030012130574,238.46997149669645,236.02059661963847,236.4847786433799,219.63302700413377,219.9009453320051,235.02212481292855
9,1988-04-30 14:09:40+00:00,195.7054877720429,191.89653708605675,197.6756975707226,230.97408862069545,213.097249173526,233.50668181955774,228.44902280432163,245.83738054735483,235.01174250982075,239.89683338493586,233.47657531763238,238.9513137105852,244.70832302665332,223.56474511999298,209.37488104123773,219.9939862778236,223.4480263009107
