,dates,satname,nzd0562-0000,nzd0562-0001,nzd0562-0002,nzd0562-0003,nzd0562-0004,nzd0562-0005,nzd0562-0006,nzd0562-0007,nzd0562-0008,nzd0562-0009,nzd0562-0010,nzd0562-0011,nzd0562-0012,nzd0562-0013,nzd0562-0014,nzd0562-0015,nzd0562-0016,nzd0562-0017,nzd0562-0018
0,1999-07-18 21:58:49+00:00,L7,,219.23285178372714,226.419241199984,213.028149852434,205.616074552937,201.118871148386,203.79035837292605,207.89869063335766,207.99550562367233,198.38221806742203,190.51726580979613,194.1884747182788,192.45606731679922,188.7541681846793,188.58568445713476,192.9672407102052,202.61921808714848,207.6590210501127,207.90766781384616
1,1999-08-26 22:04:44+00:00,L7,,224.40853312242427,232.1385177409622,214.70910521024967,207.66298542136798,207.93025532020272,207.5114674309844,211.20706119377576,209.7801868841166,200.6119860194027,200.43305168488004,199.1553815588293,201.1811794660668,196.5756406744091,193.531930843871,199.3087054160949,213.09640134805466,214.56226834847917,222.68232524240918
2,1999-09-20 21:58:56+00:00,L7,,276.43878618128844,275.9797926520794,226.6390394665476,219.3050468714678,221.97951933194702,228.6620790818446,225.56995501276086,226.93014334045577,218.16623274628552,220.71348503775417,222.04056007152371,229.66227556185743,236.00638667607254,232.08710286471322,249.0259169643346,,,
3,1999-09-27 22:05:12+00:00,L7,,206.40261035562287,204.3180867107666,206.45606657741808,192.15608099535189,192.58888282913634,195.18115533954466,196.71266689486856,198.5137088122764,190.24570378977378,185.27736037497158,185.41986786508517,192.5829712235255,179.72113191403236,179.07405201579996,187.94001665935525,194.54483535422847,199.01090902867958,195.3280190229388
4,2000-01-10 21:58:52+00:00,L7,233.40005245851296,210.18218473198965,210.19706989366324,195.25277896780423,,,,,,,,,,,,,,,
5,2000-02-11 21:58:45+00:00,L7,221.6412062712599,204.7396885443616,225.47653691479312,203.1764350620061,200.37745521634832,196.26704248546244,194.7157973403983,199.00055217202978,202.6249486548896,189.71311843521843,189.15465853392723,189.1068810588397,189.59304095741555,191.33184289346406,178.1026327267047,182.72827282069906,192.02193962820155,192.99472737523706,192.52238608820124
6,2000-05-17 21:58:07+00:00,L7,,216.85749124676465,230.39208302029147,212.92624210907155,198.82712512554124,197.7636307910757,200.89488367350302,,,205.13106069757708,197.48163337474168,197.31697182278538,199.81383313789033,187.05280265457017,188.5805316509145,199.40936256651412,199.51920143861275,204.32082615013553,213.17851933477056
7,2000-05-24 22:03:46+00:00,L7,,219.571185284367,233.48300125155114,215.8129971761166,210.63549552447216,207.82250836416733,208.36139264462446,212.70833732122617,214.54508147244056,206.89851036179545,199.73705587842238,196.06724008091396,199.0795920567031,199.22489186679294,192.01757901659602,201.0565605783927,211.64137917968222,215.18303026567375,205.84840585844023
8,2000-06-09 22:04:04+00:00,L7,205.60629880799698,187.83848007622876,,,178.16615221477963,184.69892191314992,181.1437450354799,182.68971170782203,189.12056290866295,191.11203374644023,188.23961596030355,167.62842838664184,202.98316916265517,181.7911461180538,,194.5292761039149,,,
9,2000-06-25 22:03:56+00:00,L7,,226.37530104817444,233.8383971514257,209.95129134896297,202.53870695175902,200.66269907824244,197.6174781946707,200.844795779892,205.42557985266382,195.5173941307595,192.0425858561381,192.409823381116,195.46467636718486,197.25304742350446,189.25733910200887,191.08362958933594,198.69766696829197,221.9207190967526,217.52679889149232
