dates,satname,nzd0003-0000,nzd0003-0001,nzd0003-0002,nzd0003-0003,nzd0003-0004,nzd0003-0005,nzd0003-0006,nzd0003-0007,nzd0003-0008,nzd0003-0009,nzd0003-0010,nzd0003-0011,nzd0003-0012,nzd0003-0013,nzd0003-0014,nzd0003-0015,nzd0003-0016,nzd0003-0017,nzd0003-0018,nzd0003-0019,nzd0003-0020,nzd0003-0021,nzd0003-0022,nzd0003-0023,nzd0003-0024,nzd0003-0025,nzd0003-0026,nzd0003-0027,nzd0003-0028,nzd0003-0029,nzd0003-0030,nzd0003-0031
1999-08-17 22:10:26+00:00,L7,312.77,295.75,302.34,290.70,297.89,308.39,322.83,331.65,337.27,339.62,324.86,326.73,331.52,323.33,326.11,331.50,322.67,322.23,312.19,325.88,335.80,332.04,337.63,339.64,334.51,326.99,336.04,331.94,314.58,322.31,319.61,311.17
1999-12-07 22:10:30+00:00,L7,263.65,256.81,288.75,302.79,304.73,332.23,338.18,333.30,342.72,340.25,340.04,334.09,335.15,332.30,329.62,336.07,333.47,334.94,334.48,330.94,332.17,330.12,325.28,329.58,324.75,323.31,332.29,325.69,324.48,328.87,330.02,324.19
2000-04-29 22:09:53+00:00,L7,317.50,,,328.09,356.31,379.93,389.14,388.09,395.56,391.89,374.59,358.62,354.24,383.15,372.42,361.69,375.47,357.43,377.53,376.68,389.09,364.96,352.51,348.23,373.39,382.84,342.25,349.85,365.81,368.82,359.98,360.41
2000-06-16 22:09:26+00:00,L7,281.82,,310.96,318.32,324.09,329.76,330.36,333.82,340.26,337.98,330.77,334.84,333.63,328.03,324.70,337.95,331.73,317.75,322.74,323.72,334.27,336.62,329.80,342.85,345.19,334.34,324.70,322.73,330.18,336.61,325.65,323.60
2000-08-03 22:08:44+00:00,L7,264.43,258.86,240.62,272.05,272.41,269.86,283.33,293.43,301.52,303.64,304.37,302.62,292.25,287.54,295.26,297.73,291.23,289.84,295.40,291.18,289.10,291.80,293.17,294.64,295.50,291.10,280.52,289.57,286.31,287.57,287.11,285.20
2000-09-04 22:08:22+00:00,L7,293.59,299.63,299.09,305.42,311.45,318.70,315.29,319.35,324.69,335.32,333.41,331.63,325.53,318.71,329.27,328.61,322.30,330.00,330.22,324.39,314.81,315.09,333.27,336.91,332.13,326.58,322.84,,,,,
2000-10-06 22:07:59+00:00,L7,363.29,361.33,367.05,372.34,370.92,360.41,352.80,331.87,355.52,367.35,365.28,375.45,361.23,342.08,362.82,373.29,365.86,340.94,357.38,363.76,330.67,335.28,346.92,359.24,372.27,360.71,363.08,377.85,359.11,341.85,,
2001-04-16 22:07:42+00:00,L7,,,,,,,,,,,,333.39,334.21,352.15,337.53,336.28,317.03,321.57,321.12,315.10,311.24,323.27,328.40,332.74,321.13,320.79,321.04,318.73,329.10,319.34,305.45,310.41
2001-06-03 22:07:16+00:00,L7,319.88,307.59,338.65,329.45,329.99,346.61,356.82,344.11,339.86,326.88,333.96,346.53,346.50,325.89,328.46,323.44,316.16,313.35,309.12,320.65,319.62,330.35,330.08,334.78,327.57,322.78,328.62,323.32,310.62,337.30,318.46,319.15
2001-06-19 22:07:05+00:00,L7,321.01,321.51,319.56,310.09,328.24,349.13,336.46,340.56,340.40,331.96,325.55,336.56,338.62,329.95,331.59,330.11,323.22,329.63,327.68,326.85,316.53,310.56,323.48,322.50,317.63,321.29,334.01,318.95,309.61,315.67,319.78,309.88
2001-08-22 22:06:23+00:00,L7,,,,,,,,,,,275.34,280.87,290.67,291.18,292.67,298.12,306.06,301.96,293.72,290.68,296.54,292.41,296.36,299.71,292.87,286.07,292.94,289.93,292.97,288.33,291.91,275.00
2002-01-29 22:06:21+00:00,L7,264.83,252.55,223.31,241.02,259.80,273.10,280.49,292.27,303.51,298.71,292.83,290.51,290.46,288.64,294.74,296.89,287.00,285.44,285.83,283.84,291.34,287.20,284.06,285.02,296.79,,284.08,292.78,282.50,282.70,286.07,280.79
