,dates,aus0223-0000,aus0223-0001,aus0223-0002
0,1987-05-22 23:08:08+00:00,164.47470363973466,173.52079499046926,195.93527421545016
1,1987-09-27 23:11:15+00:00,201.42402683948956,203.59059008948805,221.98161348483242
2,1987-10-13 23:11:33+00:00,191.83029254857348,175.56685507147932,193.59980848328024
3,1988-01-17 23:13:14+00:00,171.90881443933867,178.30112383324558,187.6867037697157
4,1988-02-18 23:13:47+00:00,183.4848844508025,187.08470580894732,202.19894453465142
5,1988-04-22 23:14:16+00:00,172.47796773441988,181.5424603250268,206.24126946936954
6,1988-05-08 23:14:26+00:00,,195.74432094470376,194.79020761404536
7,1988-06-09 23:14:39+00:00,177.9540573736683,182.25910404430488,185.95298032620644
8,1988-06-25 23:14:44+00:00,173.38763437110745,185.33128846888,185.63375276085733
9,1988-07-27 23:14:50+00:00,164.90850498645284,182.7876383333447,194.83272012601256
10,1988-08-28 23:14:54+00:00,169.72659718802882,181.93832469751086,203.0433688634148
11,1988-09-29 23:14:45+00:00,165.6589310069651,175.66803779064074,210.6797216857793
12,1988-12-02 23:14:39+00:00,177.2812058211794,186.1397533240602,197.1378169546154
13,1989-02-20 23:14:03+00:00,162.84353230268124,175.63034827876567,200.86380338926722
14,1989-03-08 23:13:39+00:00,174.0902336000105,182.75085197990626,214.26299952938032
15,1989-06-12 23:12:05+00:00,176.98494945884858,187.87057387410914,203.39374208495164
16,1989-07-14 23:11:29+00:00,175.37835884557842,174.46199870435856,194.11789365028426
17,1989-07-30 23:11:11+00:00,173.1684364375496,182.83756913112228,210.4042043374218
18,1989-08-15 23:10:47+00:00,182.45805211403078,186.74910058966884,202.77837737902072
19,1989-08-31 23:10:29+00:00,189.7530944760012,200.11193050664335,213.22043686110618
20,1989-09-16 23:09:56+00:00,185.75758672451045,190.2623095380367,205.9283449487851
21,1989-10-02 23:09:47+00:00,169.1900059731919,169.1784592448712,185.68422818737903
22,1989-10-18 23:09:03+00:00,182.40988712310102,189.70332006885636,212.86753285369096
23,1989-11-19 23:08:06+00:00,166.6733273002992,195.83066758401077,201.8509287274749
24,1990-04-12 23:04:18+00:00,186.39895568653958,204.63330697457434,220.28083763679763
25,1990-05-30 23:04:17+00:00,181.61755780820937,183.41648257931394,190.14263320391387
26,1990-07-01 23:04:16+00:00,195.04334940384018,197.8617451060603,203.7876083784385
27,1990-08-18 23:04:04+00:00,187.2624318285823,183.8821074903098,175.72901060204143
28,1990-09-03 23:03:57+00:00,168.19309000459523,177.6703749628514,174.7266717767242
29,1991-03-30 23:05:43+00:00,180.1098710788923,185.71554990209683,201.46680687302324
30,1991-04-15 23:06:03+00:00,168.3090845107756,171.38064916783017,186.77744737840274
31,1991-05-17 23:06:34+00:00,162.99431496073686,164.94561365195352,190.45325951826607
32,1991-07-20 23:07:31+00:00,173.69499317367382,183.48605412385973,188.0151281073239
33,1991-08-05 23:07:37+00:00,173.54797496936612,190.45700755786848,211.43326780800874
34,1991-08-21 23:07:41+00:00,176.44775018410155,178.8607399978663,191.95836823079117
35,1991-09-06 23:07:56+00:00,193.61580602480834,189.12800514471687,201.10635747239087
36,1991-09-22 23:08:04+00:00,178.32176470238392,172.4386340383864,197.93246729422697
37,1991-10-24 23:08:13+00:00,192.72275093768656,189.05780348863237,212.18336372676305
38,1991-11-09 23:08:19+00:00,181.38838627956383,183.6553270660799,199.7463374612937
39,1992-01-12 23:08:22+00:00,193.86274559588156,190.4761959753499,208.55171488467133
40,1992-05-03 23:07:54+00:00,201.77716330460248,202.59978337530845,218.69107264659894
41,1992-05-19 23:07:45+00:00,197.14410500077094,186.8567702621299,211.22755214894164
42,1992-06-04 23:07:37+00:00,191.96039529886718,189.14799216063096,207.84088338609564
43,1992-06-20 23:07:24+00:00,199.14077020994102,191.37860754781204,215.3478380051711
44,1992-07-06 23:07:13+00:00,197.53992294409204,202.191472927313,206.23663515693713
45,1992-07-22 23:07:00+00:00,207.33807674823888,205.53027294206217,213.20308308974234
46,1992-08-07 23:06:48+00:00,199.10342591121344,200.99767681185915,217.90045512777255
47,1992-08-23 23:06:32+00:00,203.73868307195002,200.66942823960662,212.88514333527388
48,1992-09-24 23:06:01+00:00,202.7538214414154,229.58053583831784,231.91721456784254
49,1992-10-10 23:05:38+00:00,179.9773511318672,192.24727384660068,199.92091016847766
50,1992-11-27 23:05:11+00:00,179.9785428909454,184.85339353593187,196.21601189059086
51,1992-12-13 23:05:23+00:00,175.81913878997136,180.63616629139472,200.83002464618545
52,1992-12-29 23:05:32+00:00,182.38013864852138,185.8486784310159,203.75074166495523
53,1993-01-14 23:05:45+00:00,176.6289450072223,191.48532625821917,205.098120344532
54,1993-03-03 23:06:12+00:00,174.68363291787315,175.7700413657564,204.59725165727303
55,1993-03-19 23:06:16+00:00,174.15578391209434,179.59550743687822,207.63653388095813
56,1993-05-22 23:06:38+00:00,194.89111616002984,209.17940211905267,220.37162474287715
57,1993-06-07 23:06:40+00:00,193.51689734946518,190.07509245450865,204.54040495178216
58,1993-06-23 23:06:35+00:00,176.1878539987897,178.9412725369265,198.27201300896985
59,1993-07-25 23:06:29+00:00,187.1979013744557,190.71616033800112,209.69189288028346
60,1993-08-10 23:06:30+00:00,177.8975891746375,184.76291033395827,208.6521270941638
61,1993-08-26 23:06:29+00:00,195.02055318402248,190.3055974616917,210.64235579177407
62,1993-09-27 23:06:25+00:00,194.68523900135148,207.93827920381048,217.82621834220802
63,1993-10-13 23:06:19+00:00,187.40565326799327,193.78399409092214,212.44705876258723
64,1993-10-29 23:06:13+00:00,188.864842584572,198.1675772640231,222.86887772535113
65,1993-11-30 23:06:00+00:00,206.06084718236647,211.18212054455688,227.50630474391758
