,dates,mex0577-0000,mex0577-0001,mex0577-0002,mex0577-0003,mex0577-0004,mex0577-0005,mex0577-0006,mex0577-0007,mex0577-0008,mex0577-0009,mex0577-0010,mex0577-0011,mex0577-0012,mex0577-0013,mex0577-0014,mex0577-0015,mex0577-0016,mex0577-0017,mex0577-0018,mex0577-0019,mex0577-0020,mex0577-0021,mex0577-0022,mex0577-0023,mex0577-0024,mex0577-0025,mex0577-0026,mex0577-0027,mex0577-0028,mex0577-0029,mex0577-0030,mex0577-0031,mex0577-0032,mex0577-0033,mex0577-0034,mex0577-0035,mex0577-0036,mex0577-0037,mex0577-0038,mex0577-0039,mex0577-0040,mex0577-0041,mex0577-0042,mex0577-0043,mex0577-0044,mex0577-0045,mex0577-0046,mex0577-0047,mex0577-0048,mex0577-0049,mex0577-0050,mex0577-0051,mex0577-0052,mex0577-0053,mex0577-0054,mex0577-0055,mex0577-0056,mex0577-0057
0,1984-06-16 17:45:05+00:00,,,,,,,,,,,,,,,,,,,,,,277.2349849291819,267.74590722473715,274.6019643355304,271.93678590182924,277.0263503230001,275.24054869102054,273.7742073011057,277.49464150167563,278.93664620332993,270.1256514507224,271.68460973784266,264.89787526794845,242.1620317933112,254.16540662723887,261.143631242661,256.07932584211756,255.45110552080456,267.1628472983681,271.4944905629435,236.28404460506928,221.91739419030162,215.3142017753475,222.01883018703822,222.85049339011863,212.1760991463215,218.96791597008954,198.45675930170387,211.11948800279745,217.70303467254772,216.21250152910008,221.5684133781929,224.7386735428447,219.20138867467068,220.90468240826587,218.58840285414502,215.38574574077816,211.62196216931545
1,1984-07-02 17:45:17+00:00,,,,,,,,,,,,,,,,,224.5825287786932,233.27204204086436,245.7373255745769,247.66476232012542,261.56798726213987,266.09121006224535,268.43313940568834,262.7811506559757,264.75776057497734,269.5384544880922,261.45950124636244,261.52084544971217,264.8878186086329,268.6902524517748,262.0487851961518,261.46782492278766,251.6162140146656,240.91841387667498,251.63432199367747,260.756192064897,,,263.66301311784486,269.7185164775793,234.39108681456054,214.64646335029104,210.64409806420798,222.44092887647437,221.83775491623118,214.85677727447566,219.07478683018735,196.77396836668981,210.25106048612656,212.66712122543274,216.9393642832342,218.3213422930504,219.1111469842764,211.35600589224353,213.77036346585402,217.31653581589114,212.6499694245934,210.96566179637853
2,1984-10-22 17:47:12+00:00,227.56608791387694,234.21803579591202,248.74264585359126,237.54341627929094,234.50018978127795,228.75395826185397,220.77845544817706,222.9696597362301,209.99079399818342,209.32502837069362,207.87263704475285,217.35515402459436,222.80428822067543,220.1891837007334,217.44661672795186,223.51594852783595,220.65518989323894,229.21493559494462,234.5923352369298,239.18481882083526,250.720141770942,261.3632200221457,271.63750690292824,274.13765038601247,275.01382170921914,278.1174453768633,275.0771848555742,269.84516511995184,273.7812606228452,271.38006620707193,267.29226361013764,266.34328064421516,259.1717772974954,240.13790387457547,249.53361918221532,253.48522305661598,255.28496442776145,254.7740786021952,263.62379499516226,264.72666490734343,237.5138306088074,214.62142099917455,208.63840667812036,216.12454338409205,224.97924140706294,220.68575565843662,224.92536670805055,195.80769906303274,214.5177908855257,221.88323017000144,226.04090091616087,226.19564914063602,226.63852109722683,218.6172540267426,229.78128142424512,224.2308158336085,214.76761833266082,216.02117653213506
3,1984-11-23 17:46:39+00:00,226.2312802071617,230.75902973343548,237.46429574703046,223.99880663857314,232.10628363982445,229.7194765529933,216.22163727877424,211.31207141874506,201.4712676430872,196.8919403045675,195.68427876306907,212.8549577251701,215.90968615254934,211.2792783890939,205.0239477066805,216.0857446221785,208.71818842430514,218.4487067193121,222.97314285882229,231.70898468036071,234.2907642607861,231.51245914443135,237.10970224654986,236.73071238164638,242.4721010319197,252.29923371403862,243.74490019452105,239.83589854668193,243.16062317008158,,,243.20051284242345,243.32494140881877,,,252.81150439564502,253.8920131090029,256.40793286887674,262.8808474028108,265.77618485124316,235.515402219558,216.09076503559177,204.0985887237611,216.91738119328147,228.20400584398035,217.0634609987677,227.52315670269525,204.52134557948173,215.59176039637808,221.02028545886037,218.3802312604347,218.49073655229506,219.4085056312855,210.79201138641204,224.4427428829391,222.461486525192,220.7555181212794,216.55527130424483
4,1984-12-09 17:46:47+00:00,235.49719048341163,238.9749084881021,240.34499442851288,230.75717708660287,239.18598541212717,229.39933757344588,206.64085783163642,204.21659535138397,194.38385624330797,192.16456240676678,188.45362711932944,210.53274480714566,221.94762756537514,222.68812653550532,221.46588094363997,218.7940206219522,219.03729021391487,224.79313714364423,229.4428720292075,233.44029191962827,234.8530758431538,236.1361455780884,242.40593788417678,245.64494295599587,250.78152593640849,267.8920559054883,252.89413619701216,249.46544988359878,254.83427140673388,,,,,,,252.21347191018614,,,253.96504977251715,262.45413502930876,230.51175719484564,210.8736054291995,201.40033741850237,211.18512512882643,220.93824418761866,215.66521372118874,226.19515532572834,196.51865838836056,213.22000230691043,218.0344172551921,221.31056873892558,220.7958137202881,221.79196628307298,212.92080415874094,228.52885637208905,227.21371916253128,228.67520003836634,217.14624420774416
5,1985-01-26 17:47:09+00:00,,,,,,238.34046166651336,223.7211177156176,203.63907403112967,189.3756394728074,185.87026752578336,180.06420334828775,202.24816880131056,216.92799027579193,212.38445242814376,212.49741660207943,212.55170111775558,217.19978832645478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,183.54059485115891,204.40660177610246,195.86012141013657,210.94321035483807,214.3406201833254,212.35667112712986,214.00598896379995,212.45880695169626,207.79001325373622,217.09440848229588,213.20545441957145,208.0544237590367,205.02978128806996
6,1985-03-31 17:47:08+00:00,,,,,,257.38462374694546,241.80108996893657,230.06634528335732,213.62621529808774,208.71897967187738,200.53686641076365,217.35003369067206,233.21155564037832,230.12495024335368,217.40314084188117,229.17604670637138,232.31971404788823,237.19851207549755,241.5314287085611,239.02539379051663,243.6817735194898,251.50158902301976,257.78637551073825,259.58372083767017,262.11614465513355,267.367759901,256.53535659298075,248.1159039632891,254.44976141526598,256.69630709875213,254.52665089224502,256.9461924245469,256.2557626316518,243.58725103120372,270.4351142253116,277.81593650908684,276.48240971919176,267.2690560005386,273.22248714347734,281.6645448681677,255.8721305150408,233.62971793342058,222.0338543315768,227.64067907247284,235.8550119145002,227.28816636017868,235.50175654392146,209.329241485222,220.88602698151703,230.16766496032983,232.10847976255516,231.57011435238505,230.56477813827826,218.4511128638426,218.35805030756063,222.22351622354134,218.4621589182815,214.05122075900942
7,1985-04-16 17:47:03+00:00,,,,,259.6872674674567,251.68501120928104,240.27746209523593,230.14628783233223,222.71563954386008,216.8571824478912,212.26179472785276,222.18884812282155,225.04080432521047,227.6234069655589,225.67157268132965,232.76184252657183,232.19998719867726,237.8234829370388,240.12959614386415,239.07577020045196,244.68625161054962,254.20371882669036,258.52897129822776,257.57075343502004,256.54222022136736,262.8225007759071,258.09529049143754,250.21270456352246,256.98698596350295,255.90322851975097,246.5597300755007,252.38929027418325,252.49174222991326,240.0566393687139,250.18766770203902,258.974403236436,265.11204200440494,259.7449081989871,267.3412592344713,267.89351878125245,235.19696963274788,217.19604476016926,213.48642706574077,219.14251604344543,225.94920156567554,220.0009077992889,221.25166208047588,201.54704473713753,214.9361828274637,220.5321882072159,221.5889497262161,228.19495261222926,222.91844173325015,214.38273940319425,208.3760200742634,216.2622517359881,218.50669324070904,208.68015726484418
8,1985-08-22 17:46:20+00:00,,,,,,,,,,,225.487178351238,228.54505913064375,227.0365113558854,224.69531398982488,234.9039554442232,235.35235434700067,231.05771706753117,241.62563669951902,243.17281082167196,250.53037353797447,272.0669788454896,284.5469199783666,287.88639367200255,281.7851617690325,276.30457763879986,277.80406803916543,280.2420536962328,282.64499728445253,282.4820697384566,284.38318824723234,276.9808719540629,275.58979172074197,263.53639254892374,249.86935367480547,254.20029490627232,256.90965678985907,255.3423520000873,255.85410680506055,270.5463230911975,276.5032981316887,238.44053833657097,219.05708891122163,218.9913926231099,220.1237032164453,227.82200201474097,221.63188530091904,227.68466822906373,205.7546738795352,217.63230275383572,219.64447030798678,222.96982937610517,225.00739175996182,229.25442556666576,224.40587959467317,229.21045357674313,222.95860342923885,214.48968917688592,215.14739454667134
9,1986-03-18 17:42:46+00:00,,,,,,,,,,,,,,,212.67328489631987,218.7669655358803,218.76204932367915,226.9959197672614,231.88885269858196,231.73773728028948,226.64289565775195,223.88948559323794,225.32819769554777,224.57514245911773,,,,,,,,,,224.6433198530396,253.50408503543275,,,,,271.31837229888134,237.5321711458526,220.50247266677215,212.70410225364625,217.89834981398764,227.11206034662553,221.45578052510507,222.6028027971277,208.70729958016966,212.40807415050597,218.75447597605978,219.58312700942412,220.62829121415183,222.40914970740394,219.81512102699006,212.84680043628205,211.50692162840275,205.64666317913614,194.4170949512811
