dates,nzd0497-0000,nzd0497-0001,nzd0497-0002,nzd0497-0003,nzd0497-0004,nzd0497-0005,nzd0497-0006,nzd0497-0007,nzd0497-0008,nzd0497-0009,nzd0497-0010,nzd0497-0011,nzd0497-0012,nzd0497-0013,nzd0497-0014,nzd0497-0015,nzd0497-0016,nzd0497-0017,nzd0497-0018,nzd0497-0019,nzd0497-0020,nzd0497-0021,nzd0497-0022,nzd0497-0023,nzd0497-0024,nzd0497-0025,nzd0497-0026,nzd0497-0027,nzd0497-0028,nzd0497-0029,nzd0497-0030,nzd0497-0031,satname
1999-08-26 22:07:32+00:00,370.30,,,,299.34,296.62,295.51,298.93,293.07,309.16,312.89,,,,299.03,311.95,,,306.47,,,,303.24,,,,,373.81,430.25,,,,L7
1999-09-27 22:07:36+00:00,377.15,346.79,359.23,347.43,,295.28,302.74,307.10,292.08,300.25,303.70,369.23,373.97,,,328.35,362.16,,,362.15,363.42,360.86,311.35,348.30,356.81,349.21,356.57,357.79,459.91,421.78,405.71,303.56,L7
1999-12-07 22:13:41+00:00,380.57,345.89,344.39,338.77,336.15,338.01,333.51,333.94,324.57,325.14,326.67,333.40,337.13,333.43,329.71,337.38,334.17,327.74,325.35,334.15,329.58,331.11,327.90,326.93,327.62,336.62,331.02,347.44,,394.29,384.95,281.36,L7
2000-02-18 22:07:16+00:00,375.91,337.58,328.33,324.77,327.65,329.87,327.13,327.25,328.42,324.71,319.79,318.13,322.42,319.43,316.22,316.41,321.24,325.39,327.78,330.59,325.65,322.07,306.75,,,,,,,,,,L7
2000-02-25 22:13:25+00:00,360.60,335.86,332.21,325.59,325.81,320.29,312.44,309.70,306.07,307.55,310.07,312.16,314.69,314.56,319.77,315.19,318.63,317.80,313.03,311.34,316.09,314.62,311.25,304.39,297.94,290.64,283.68,296.19,,,,302.83,L7
2000-03-21 22:07:12+00:00,381.30,355.63,345.46,327.07,329.28,339.91,337.21,335.14,331.73,326.38,330.26,336.77,330.25,327.94,339.50,338.18,337.80,340.27,346.52,344.39,336.57,325.36,312.33,317.16,315.08,,323.45,330.65,349.94,,,,L7
2000-05-08 22:06:44+00:00,345.01,335.20,333.47,326.92,322.22,316.09,312.15,310.94,310.49,313.38,312.75,309.24,315.48,317.49,317.13,312.42,320.88,317.94,317.50,318.86,316.33,304.66,304.46,302.82,303.70,294.91,286.43,298.28,314.85,330.15,331.02,311.91,L7
2000-05-15 22:12:54+00:00,335.51,324.54,325.61,317.39,312.57,305.60,301.33,306.57,303.69,306.93,302.01,296.60,295.85,304.84,302.01,306.98,312.75,311.31,315.84,311.12,309.18,299.99,295.46,292.50,294.05,297.86,278.04,290.46,300.24,320.25,315.37,280.63,L7
2000-05-31 22:12:42+00:00,341.02,281.67,269.71,264.37,261.88,275.23,273.01,267.11,268.10,268.33,262.72,261.13,262.22,263.32,,,266.87,275.94,272.30,264.32,263.46,270.77,269.00,265.97,263.75,262.22,248.47,,,,290.63,259.03,L7
2000-06-25 22:06:19+00:00,349.01,301.51,294.81,301.91,298.03,299.02,294.36,293.36,298.91,297.27,296.14,294.86,305.60,303.15,302.14,305.99,303.15,299.30,289.97,284.94,280.94,282.81,284.64,280.18,288.65,285.81,283.08,296.56,306.70,337.38,,,L7
2000-08-03 22:11:55+00:00,360.04,309.61,302.49,291.29,286.34,286.99,294.96,291.27,289.60,289.53,286.95,294.41,291.64,292.11,297.17,297.41,287.61,286.18,288.66,293.13,293.85,290.84,295.79,294.16,298.08,285.76,273.49,272.77,267.35,,275.54,257.50,L7
