dates,nzd0037-0000,nzd0037-0001,nzd0037-0002,nzd0037-0003,nzd0037-0004,nzd0037-0005,nzd0037-0006,nzd0037-0007,nzd0037-0008,nzd0037-0009,nzd0037-0010,nzd0037-0011
1999-07-25 22:04:15+00:00,126.64100208849905,123.96155140957512,121.02828393277977,111.47592947031349,108.10512507182912,110.3240476541011,125.5099916704588,133.621489414225,160.9004761325289,107.46088084137112,119.26276169352693,125.5390138711374
1999-08-26 22:04:21+00:00,150.45418111165014,144.10541591845384,144.435665253087,130.03117928478923,121.33585434857524,126.53139586619166,141.8712661668969,160.31819130903463,181.7472845938314,118.70657955927408,132.57985931540344,135.5425134910714
1999-09-27 22:04:25+00:00,158.84827421921204,154.9781842277419,152.5845291999142,148.71964184309797,130.74054221478806,147.47439065893536,162.0982507767257,176.42920400780315,166.19566241521625,132.64867589510266,140.1544131628955,149.50352647826296
1999-10-04 22:10:38+00:00,150.11355578617332,135.8028317679868,121.56716628049251,107.72442074108699,127.85127277481611,128.79555323819207,131.4815904109307,,155.30374773399086,120.16161508579212,129.80538281209957,138.8914038020929
1999-10-13 22:04:24+00:00,160.81185911338986,151.56706396406716,156.66296929316923,147.20905724129216,135.3909166496099,154.0946985417789,166.69483298624138,167.14870128164353,164.58635979067415,132.55008350050923,142.09478540615086,145.94998022883064
1999-11-14 22:04:18+00:00,157.56523230486562,149.92487453248128,147.67643520520016,141.243836947099,128.2395953460282,137.141719874556,150.0282867322702,169.01795973541041,200.69769931222675,126.37330030640238,138.027699106136,140.93661769943458
2000-02-09 22:10:19+00:00,178.363138998897,168.29291525480895,167.9812964320189,167.72352862304598,141.94503572198187,162.01894573433395,168.50217594233723,186.8968017496693,186.1874755588039,144.61107096137337,152.170587997893,163.51250911073436
2000-04-13 22:09:54+00:00,179.76169615672575,168.49405900921522,166.43612927120174,161.46903542220437,135.1589932625747,128.21339247817298,152.9515506122297,181.3316854573148,173.36385824296116,137.14636941354982,148.2238232117721,151.4993963460128
2000-04-29 22:09:53+00:00,187.89600509547154,172.7467105618643,169.55730924708539,146.4213930846548,150.0631736399992,134.10470127677482,148.88790246889985,173.6779728227069,182.5862986363863,140.94689897639066,149.69903020373377,149.55468649398307
2000-05-24 22:03:22+00:00,162.58602399724379,153.86822987385375,153.51217563786466,145.52757596905863,131.7166991429657,139.63393017192615,147.57556627010644,171.4821992512548,186.44177750963922,134.33407999166457,145.0333011147304,143.21037445253037
2000-08-03 22:08:44+00:00,140.52122365895838,133.64305679644593,132.39197731782275,127.13732547494271,116.03276737189196,129.88649343814413,153.99096726758478,173.1554795206244,154.6736352362527,126.6380211745367,138.9156994365176,146.59677213053598
2000-08-12 22:02:30+00:00,128.01357227423384,125.09996024985539,113.6154909333445,110.72571282564809,103.58566643555321,109.42634533181412,128.41276527966906,142.91156941699123,147.50791827230867,111.23281901385505,123.47258277473405,131.58842702403015
2000-08-19 22:08:38+00:00,131.43053178518,132.30641078228618,121.84118513155582,115.38734648091463,105.6431079746848,119.53761091008516,138.43395703672385,154.08207794662545,148.47309259875544,122.3021496661662,143.7323610549457,148.9712759280519
2000-09-04 22:08:22+00:00,128.96419912402416,124.6948191147628,129.61569909310086,122.94850476916432,111.45059982197203,113.2340489815144,130.8214457834334,158.10970730147037,186.70498984281733,112.42379552676553,123.16168940788624,128.82341311862905
2001-01-03 22:01:48+00:00,156.6566859852606,147.64652350944698,138.66048840830763,140.6676909795953,127.9953054227754,130.29894329089564,148.85535355178916,161.90439467067137,190.09825522437632,132.95650672919342,153.50321702015555,154.74790890975052
2001-03-08 22:01:45+00:00,145.9979697828274,139.066981573873,134.78652250287666,,115.11173910654087,120.99015330942956,135.35854725209762,145.224716755971,159.61533805016342,126.25799087286157,133.4605874772719,126.36435344747584
2001-03-24 22:01:35+00:00,161.66728097824316,153.71638381366535,151.15655977484448,143.41310436198586,130.06842334336733,136.9275182525743,151.2492372473196,170.42580985791795,175.50241261158155,142.18571373789513,148.4421841212663,152.33567984383276
2001-06-03 22:07:16+00:00,125.75850537944237,120.03677181288111,122.90725146742575,106.7624996310519,105.69554917896944,112.40461681520378,134.93988820592358,154.75975176957039,167.506101484582,124.93882699916304,138.73028923797472,144.3259470600866
2001-06-12 22:01:01+00:00,139.9915297445098,135.86607167177917,129.0716471893179,124.79806756269524,115.71986066000588,118.2118345757725,140.379063533711,157.28399920603528,179.1603025723242,124.33045168622007,137.2910955333732,139.95608723968203
2001-06-19 22:07:05+00:00,140.28127482032667,130.99218949027605,124.60208394868727,127.05962045334782,120.73803928452573,113.96761266668298,134.65950283851606,150.48202354809396,170.22730382549216,116.8040582544125,130.45885473608035,135.27301604479732
2001-06-28 22:00:45+00:00,138.29338934178165,140.52658797583683,135.78151795141918,125.74042355278557,119.77531405875125,108.79190091451059,125.51181841634836,137.88643578560902,174.70301087596118,,,
2001-08-15 22:00:14+00:00,128.2215098955876,123.03311385839919,115.26322505597847,103.49697434826989,104.58103704174812,83.98680150389796,127.586524770845,,177.74453662843547,114.02417885311316,124.72306927922033,134.29074619732478
2001-08-31 22:00:05+00:00,130.3683435579911,128.53300318376026,121.2339588754073,111.48844654171597,105.95376694619212,100.316139398168,125.00306808157849,133.20628544798598,156.05040241151053,110.84081941645061,122.56664498656711,123.61653434772103
2001-09-07 22:06:11+00:00,130.77401573229218,121.37139178451224,123.89047360175834,96.31023327644,120.6101973793712,130.01097152955288,145.06486052628514,161.9227703454221,154.81343124289273,121.57353469616683,135.48510500726866,144.62162835111138
